for a good ten years or so , super cool chow yun fat has enjoyed god hood status in the hong kong action scene . 	Translation	Positive	Negative	EmotionRationale
the emphasis during the constant action seemed to be on the accompanying music , ( i could have sworn one piece was ripped out of a bruckheimer movie ) and not on the content . 	the emphasis during the constant action seemed to be on the accompanying music , ( i could have sworn one piece was ripped out of a bruckheimer movie ) and not on the content .	1	-1	 the[0] emphasis[0] during[0] the[0] constant[0] action[0] seemed[0] to[0] be[0] on[0] the[0] accompanying[0] music[0] i[0] could[0] have[0] sworn[0] one[0] piece[0] was[0] ripped[0] out[0] of[0] a[0] bruckheimer[0] movie[0] and[0] not[0] on[0] the[0] content[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mia sorvino ( a passport forger ) is dragged into the affay and also provides a lame love interest as well as being rather handy with a gun . 	mia sorvino ( a passport forger ) is dragged into the affay and also provides a lame love interest as well as being rather handy with a gun .	3	-3	 mia[0] sorvino[0] a[0] passport[0] forger[0] is[0] dragged[0] into[0] the[0] affay[0] and[0] also[0] provides[0] a[0] lame[-2] love[2] interest[1] as[0] well[0] as[0] being[0] rather[0] handy[0] with[0] a[0] gun[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
director antoine arqua has clearly not observed chow's excellent acting capabilties and simply requires him to mutter a few lines of broken english and look flash as he stands and shoots . 	director antoine arqua has clearly not observed chow's excellent acting capabilties and simply requires him to mutter a few lines of broken english and look flash as he stands and shoots .	4	-2	 director[0] antoine[0] arqua[0] has[0] clearly[0] not[0] observed[0] chow's[0] excellent[3] acting[0] capabilties[0] and[0] simply[0] requires[0] him[0] to[0] mutter[-1] a[0] few[0] lines[0] of[0] broken[-1] english[0] and[0] look[0] flash[0] as[0] he[0] stands[0] and[0] shoots[-1] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
chow's trademark of twin pistol shooting is saved for the finale ( which in fairness is quite good ) and there's not even a toothpick in site . 	chow's trademark of twin pistol shooting is saved for the finale ( which in fairness is quite good ) and there's not even a toothpick in site .	2	-2	 chow's[0] trademark[0] of[0] twin[0] pistol[0] shooting[-1] is[0] saved[1] for[0] the[0] finale[0] which[0] in[0] fairness[0] is[0] quite[0] good[1] and[0] there's[0] not[0] even[0] a[0] toothpick[0] in[0] site[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and as for making chow shoot like a cop , well that's damned unforgiveable . 	and as for making chow shoot like a cop , well that's damned unforgiveable .	2	-2	 and[0] as[0] for[0] making[0] chow[0] shoot[-1] like[1] a[0] cop[0] well[0] that's[0] damned[-1] unforgiveable[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
to round up , the replacement killers is a pretty darned lame first outing for chow . 	to round up , the replacement killers is a pretty darned lame first outing for chow .	3	-3	 to[0] round[0] up[0] the[0] replacement[0] killers[0] is[0] a[0] pretty[2] darned[0] lame[-2] first[0] outing[0] for[0] chow[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
it would appear he has left asia for a 90 minute pop video . 	it would appear he has left asia for a 90 minute pop video .	1	-1	 it[0] would[0] appear[0] he[0] has[0] left[0] asia[0] for[0] a[0] 90[0] minute[0] pop[0] video[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is not what we wanted at all , considering john woo was the exec producer . 	this is not what we wanted at all , considering john woo was the exec producer .	1	-1	 this[0] is[0] not[0] what[0] we[0] wanted[0] at[0] all[0] considering[0] john[0] woo[0] was[0] the[0] exec[0] producer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( did he have no say so at all ? ) 	 ( did he have no say so at all ?<br> )	1	-1	 did[0] he[0] have[0] no[0] say[0] so[0] at[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
watch 'the killer' again and weep at the difference . 	watch 'the killer' again and weep at the difference .	1	-3	 watch[0] 'the[0] killer'[0] again[0] and[0] weep[-2] at[0] the[0] difference[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
review by chris hill . 	review by chris hill .	1	-1	 review[0] by[0] chris[0] hill[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " there's room at the top , they are telling you still , but first you must learn how to smile as you kill , if you want to be like the folks on the hill . " 	 " there's room at the top , they are telling you still , but first you must learn how to smile as you kill , if you want to be like the folks on the hill .<br> "	3	-2	 there's[0] room[0] at[0] the[0] top[0] they[0] are[0] telling[0] you[0] still[0] but[0] first[0] you[0] must[0] learn[0] how[0] to[0] smile[2] as[0] you[0] kill[-1] if[0] you[0] want[0] to[0] be[0] like[1] the[0] folks[0] on[0] the[0] hill[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
