when critics attack seemingly well-intentioned films like patch adams or more recently pay it forward as i am about to do , their opinions are often greeted with a backlash of angry e-mails , sometimes even mock death threats from those who ( i suppose ) like to be shamelessly manipulated by their entertainment . 	Translation	Positive	Negative	EmotionRationale
maybe the actor should get an award for coming off the least self consciously irritating ; though how can he not , even when he's emoting spacey seems somehow shielded by a wry indifference . 	maybe the actor should get an award for coming off the least self consciously irritating ; though how can he not , even when he's emoting spacey seems somehow shielded by a wry indifference .	1	-3	 maybe[0] the[0] actor[0] should[0] get[0] an[0] award[0] for[0] coming[0] off[0] the[0] least[0] self[0] consciously[0] irritating[-2] though[0] how[0] can[0] he[0] not[0] even[0] when[0] he's[0] emoting[0] spacey[0] seems[0] somehow[0] shielded[0] by[0] a[0] wry[0] indifference[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the usually talented helen hunt is the worst offender . 	the usually talented helen hunt is the worst offender .	2	-3	 the[0] usually[0] talented[1] helen[0] hunt[0] is[0] the[0] worst[-2] offender[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
in one atrocious touched by an angel moment hunt slaps osmet , immediately covering her mouth with the guilty hand in that very same stroke , and with said hand still on said mouth , she actually begins convulsing ( dry heaving really ) , then ( and i'm not making this up ) she scurries to the kitchen tearing the place apart in a frenzied search for alcohol . 	in one atrocious touched by an angel moment hunt slaps osmet , immediately covering her mouth with the guilty hand in that very same stroke , and with said hand still on said mouth , she actually begins convulsing ( dry heaving really ) , then ( and i'm not making this up ) she scurries to the kitchen tearing the place apart in a frenzied search for alcohol .	1	-4	 in[0] one[0] atrocious[-3] touched[0] by[0] an[0] angel[0] moment[0] hunt[0] slaps[-1] osmet[0] immediately[0] covering[0] her[0] mouth[0] with[0] the[0] guilty[-3] hand[0] in[0] that[0] very[0] same[0] stroke[0] and[0] with[0] said[0] hand[0] still[0] on[0] said[0] mouth[0] she[0] actually[0] begins[0] convulsing[0] dry[0] heaving[0] really[0] then[0] and[0] i'm[0] not[0] making[0] this[0] up[0] she[0] scurries[0] to[0] the[0] kitchen[0] tearing[0] the[0] place[0] apart[0] in[0] a[0] frenzied[0] search[0] for[0] alcohol[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the scene is so hokey it could very nearly be construed as a parody of hackneyed tv movie blow-ups ; it's all very theatrical , especially hunt's performance , which feels like a pathetic plea to the academy for another oscar . 	the scene is so hokey it could very nearly be construed as a parody of hackneyed tv movie blow-ups ; it's all very theatrical , especially hunt's performance , which feels like a pathetic plea to the academy for another oscar .	2	-3	 the[0] scene[0] is[0] so[0] hokey[0] it[0] could[0] very[0] nearly[0] be[0] construed[0] as[0] a[0] parody[0] of[0] hackneyed[0] tv[0] movie[0] blow[0] ups[0] it's[0] all[0] very[0] theatrical[0] especially[0] hunt's[0] performance[0] which[0] feels[0] like[1] a[0] pathetic[-2] plea[0] to[0] the[0] academy[0] for[0] another[0] oscar[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
pay it forward has the dubious distinction of being a film that could be used as an argument for why actors shouldn't get academy awards . 	pay it forward has the dubious distinction of being a film that could be used as an argument for why actors shouldn't get academy awards .	1	-2	 pay[0] it[0] forward[0] has[0] the[0] dubious[-1] distinction[0] of[0] being[0] a[0] film[0] that[0] could[0] be[0] used[0] as[0] an[0] argument[-1] for[0] why[0] actors[0] shouldn't[0] get[0] academy[0] awards[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the picture unknowingly affirms that oscars transform nuanced talent into overwrought expressionists . 	the picture unknowingly affirms that oscars transform nuanced talent into overwrought expressionists .	2	-1	 the[0] picture[0] unknowingly[0] affirms[0] that[0] oscars[0] transform[0] nuanced[0] talent[1] into[0] overwrought[0] expressionists[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
even haley joel osemt , the wunderkind who was nominated for an academy award for his unforced performance in sixth sense , seems more divisive about his expressions and inflections . 	even haley joel osemt , the wunderkind who was nominated for an academy award for his unforced performance in sixth sense , seems more divisive about his expressions and inflections .	1	-1	 even[0] haley[0] joel[0] osemt[0] the[0] wunderkind[0] who[0] was[0] nominated[0] for[0] an[0] academy[0] award[0] for[0] his[0] unforced[0] performance[0] in[0] sixth[0] sense[0] seems[0] more[0] divisive[0] about[0] his[0] expressions[0] and[0] inflections[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his acting has become broader , less intimate ; it's as if we can make out the little munchkin's thoughts : " boy this outta floor em " . 	his acting has become broader , less intimate ; it's as if we can make out the little munchkin's thoughts : " boy this outta floor em " .	1	-1	 his[0] acting[0] has[0] become[0] broader[0] less[0] intimate[0] it's[0] as[0] if[0] we[0] can[0] make[0] out[0] the[0] little[0] munchkin's[0] thoughts[0] boy[0] this[0] outta[0] floor[0] em[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
naturally osmet is made to play one of those only-in-the-movies children , a martyr-figure who cleans up after his mother , lectures her on the ills of drinking , and even fixes her up on a date with his intellectual teacher . 	naturally osmet is made to play one of those only-in-the-movies children , a martyr-figure who cleans up after his mother , lectures her on the ills of drinking , and even fixes her up on a date with his intellectual teacher .	1	-2	 naturally[0] osmet[0] is[0] made[0] to[0] play[0] one[0] of[0] those[0] only[0] in[0] the[0] movies[0] children[0] a[0] martyr[-1] figure[0] who[0] cleans[0] up[0] after[0] his[0] mother[0] lectures[0] her[0] on[0] the[0] ills[0] of[0] drinking[0] and[0] even[0] fixes[0] her[0] up[0] on[0] a[0] date[0] with[0] his[0] intellectual[0] teacher[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
never mind that the two couldn't be more dissimilar ; his mother is trailer trash dopey , and the teacher is one of those dennis miller-ey intellectuals who hides his insecurities behind a vast vocabulary . 	never mind that the two couldn't be more dissimilar ; his mother is trailer trash dopey , and the teacher is one of those dennis miller-ey intellectuals who hides his insecurities behind a vast vocabulary .	1	-2	 never[0] mind[0] that[0] the[0] two[0] couldn't[0] be[0] more[0] dissimilar[0] his[0] mother[0] is[0] trailer[0] trash[-1] dopey[0] and[0] the[0] teacher[0] is[0] one[0] of[0] those[0] dennis[0] miller[0] ey[0] intellectuals[0] who[0] hides[0] his[0] insecurities[-1] behind[0] a[0] vast[0] vocabulary[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
nevertheless this little nudnik goes out of his way to bring the pair together in a scene that recalls parent trap-ish cornball antics . 	nevertheless this little nudnik goes out of his way to bring the pair together in a scene that recalls parent trap-ish cornball antics .	1	-2	 nevertheless[0] this[0] little[0] nudnik[0] goes[0] out[0] of[0] his[0] way[0] to[0] bring[0] the[0] pair[0] together[0] in[0] a[0] scene[0] that[0] recalls[0] parent[0] trap[-1] ish[0] cornball[0] antics[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but oh how we love bright , articulate , self-sacrificing children who pick adults up by their bootstraps and guide them through life . 	but oh how we love bright , articulate , self-sacrificing children who pick adults up by their bootstraps and guide them through life .	3	-1	 but[0] oh[0] how[0] we[0] love[2] bright[0] articulate[0] self[0] sacrificing[0] children[0] who[0] pick[0] adults[0] up[0] by[0] their[0] bootstraps[0] and[0] guide[0] them[0] through[0] life[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
they're so adorable . 	they're so adorable .	4	-1	 they're[0] so[0] adorable[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
of course the blame can't all be hoisted onto the actors ( though with the exception of the little kid , they probably should have known better ) , instead the brunt of it should be passed on to mimi leder , who directed one of the most thrilling episodes of er , then went on to make two awful genre films in a row . 	of course the blame can't all be hoisted onto the actors ( though with the exception of the little kid , they probably should have known better ) , instead the brunt of it should be passed on to mimi leder , who directed one of the most thrilling episodes of er , then went on to make two awful genre films in a row .	4	-4	 of[0] course[0] the[0] blame[-1] can't[0] all[0] be[0] hoisted[0] onto[0] the[0] actors[0] though[0] with[0] the[0] exception[0] of[0] the[0] little[0] kid[0] they[0] probably[0] should[0] have[0] known[0] better[0] instead[0] the[0] brunt[0] of[0] it[0] should[0] be[0] passed[0] on[0] to[0] mimi[0] leder[0] who[0] directed[0] one[0] of[0] the[0] most[0] thrilling[3] episodes[0] of[0] er[0] then[0] went[0] on[0] to[0] make[0] two[0] awful[-3] genre[0] films[0] in[0] a[0] row[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
the first being the peacemaker , a witless post-cold war george clooney vehicle , and deep impact , one of the two films of 1998 to squander the premise of earth's possible demise by a crazed meteorite . 	the first being the peacemaker , a witless post-cold war george clooney vehicle , and deep impact , one of the two films of 1998 to squander the premise of earth's possible demise by a crazed meteorite .	1	-3	 the[0] first[0] being[0] the[0] peacemaker[0] a[0] witless[0] post[0] cold[-1] war[-2] george[0] clooney[0] vehicle[0] and[0] deep[0] impact[0] one[0] of[0] the[0] two[0] films[0] of[0] 1998[0] to[0] squander[-1] the[0] premise[0] of[0] earth's[0] possible[0] demise[-1] by[0] a[0] crazed[0] meteorite[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the first flick was sunk by an over reliance on clich ? s , and a complete absence of any kind of emotional involvement , not aided by an ending which actually centered around the diffusing of a ticking time bomb complete with digital read out ( apparently present for an invisible audience ) . 	the first flick was sunk by an over reliance on clich ?<br> s , and a complete absence of any kind of emotional involvement , not aided by an ending which actually centered around the diffusing of a ticking time bomb complete with digital read out ( apparently present for an invisible audience ) .	2	-3	 the[0] first[0] flick[0] was[0] sunk[0] by[0] an[0] over[0] reliance[0] on[0] clich[0] [[Sentence=-1,1=word max, 1-5]] s[0] and[0] a[0] complete[0] absence[-1][-1 LastWordBoosterStrength] of[0] any[0] kind[1] of[0] emotional[-1] involvement[0] not[0] aided[0] by[0] an[0] ending[0] which[0] actually[0] centered[0] around[0] the[0] diffusing[0] of[0] a[0] ticking[0] time[0] bomb[-1] complete[0] with[0] digital[0] read[0] out[0] apparently[0] present[0] for[0] an[0] invisible[-1] audience[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
deep impact has more in common with pay it forward ; it's a movie that treats earth's impending destruction in awfully simplistic terms , completely ignoring the havoc that would so obviously take place if the world believed its planet would be a goner within days . 	deep impact has more in common with pay it forward ; it's a movie that treats earth's impending destruction in awfully simplistic terms , completely ignoring the havoc that would so obviously take place if the world believed its planet would be a goner within days .	1	-4	 deep[0] impact[0] has[0] more[0] in[0] common[0] with[0] pay[0] it[0] forward[0] it's[0] a[0] movie[0] that[0] treats[0] earth's[0] impending[0] destruction[-1] in[0] awfully[-3] simplistic[-1] terms[0] completely[0] ignoring[0] the[0] havoc[-1] that[0] would[0] so[0] obviously[0] take[0] place[0] if[0] the[0] world[0] believed[0] its[0] planet[0] would[0] be[0] a[0] goner[0] within[0] days[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the film was full of inspirational speeches where people really said nothing , though the sappy score swelled up to make it appear as if they were being profoundly touching . 	the film was full of inspirational speeches where people really said nothing , though the sappy score swelled up to make it appear as if they were being profoundly touching .	3	-1	 the[0] film[0] was[0] full[0] of[0] inspirational[2] speeches[0] where[0] people[0] really[0] said[0] nothing[0] though[0] the[0] sappy[0] score[0] swelled[0] up[0] to[0] make[0] it[0] appear[0] as[0] if[0] they[0] were[0] being[0] profoundly[0] touching[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in pay it forward leder continues in this vein with her intermittent dollops of cynicism seeming almost like a rebuttal : " see my movie isn't as na ? ve as you might think " she seems to be saying . 	in pay it forward leder continues in this vein with her intermittent dollops of cynicism seeming almost like a rebuttal : " see my movie isn't as na ?<br> ve as you might think " she seems to be saying .	2	-2	 in[0] pay[0] it[0] forward[0] leder[0] continues[0] in[0] this[0] vein[0] with[0] her[0] intermittent[0] dollops[0] of[0] cynicism[-1] seeming[0] almost[0] like[1] a[0] rebuttal[-1] see[0] my[0] movie[0] isn't[0] as[0] na[0] [[Sentence=-2,2=word max, 1-5]] ve[0] as[0] you[0] might[0] think[0] she[0] seems[0] to[0] be[0] saying[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
no , it's just horribly confused . 	no , it's just horribly confused .	1	-3	 no[0] it's[0] just[0] horribly[-3][--1 LastWordBoosterStrength] confused[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
