under any other circumstances , i would not be discussing the ending of a film to the extent that i will in this particular review . 	Translation	Positive	Negative	EmotionRationale
and indeed , my viewing of the sixth sense did prove to be quite an enlightening experiment . 	and indeed , my viewing of the sixth sense did prove to be quite an enlightening experiment .	1	-1	 and[0] indeed[0] my[0] viewing[0] of[0] the[0] sixth[0] sense[0] did[0] prove[0] to[0] be[0] quite[0] an[0] enlightening[0] experiment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
stripped of the element of surprise , the film was put to the task of showing what it really had , instead of simply hiding behind a shocking conclusion . 	stripped of the element of surprise , the film was put to the task of showing what it really had , instead of simply hiding behind a shocking conclusion .	1	-3	 stripped[0] of[0] the[0] element[0] of[0] surprise[0] the[0] film[0] was[0] put[0] to[0] the[0] task[0] of[0] showing[0] what[0] it[0] really[0] had[0] instead[0] of[0] simply[0] hiding[0] behind[0] a[0] shocking[-2] conclusion[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
after seeing its true colors , i came to the conclusion that the sixth sense is , despite what the many champions of the movie may say , void of any real power . 	after seeing its true colors , i came to the conclusion that the sixth sense is , despite what the many champions of the movie may say , void of any real power .	2	-2	 after[0] seeing[0] its[0] true[1] colors[0] i[0] came[0] to[0] the[0] conclusion[0] that[0] the[0] sixth[0] sense[0] is[0] despite[0] what[0] the[0] many[0] champions[0] of[0] the[0] movie[0] may[0] say[0] void[-1] of[0] any[0] real[0] power[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's a neat concept , but not one that justifies being made into a feature-length movie . 	it's a neat concept , but not one that justifies being made into a feature-length movie .	1	-1	 it's[0] a[0] neat[0] concept[0] but[0] not[0] one[0] that[0] justifies[0] being[0] made[0] into[0] a[0] feature[0] length[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fact , the sixth sense relies so strongly on its finale that the rest of the film develops as a sort of prelude to the supposedly earth-shattering revelation that is yet to come . 	in fact , the sixth sense relies so strongly on its finale that the rest of the film develops as a sort of prelude to the supposedly earth-shattering revelation that is yet to come .	1	-1	 in[0] fact[0] the[0] sixth[0] sense[0] relies[0] so[0] strongly[0] on[0] its[0] finale[0] that[0] the[0] rest[0] of[0] the[0] film[0] develops[0] as[0] a[0] sort[0] of[0] prelude[0] to[0] the[0] supposedly[0] earth[0] shattering[0] revelation[0] that[0] is[0] yet[0] to[0] come[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and when the final moments do come , it's a huge letdown ; the end makes no sense at all . 	and when the final moments do come , it's a huge letdown ; the end makes no sense at all .	1	-1	 and[0] when[0] the[0] final[0] moments[0] do[0] come[0] it's[0] a[0] huge[0] letdown[0] the[0] end[0] makes[0] no[0] sense[0] at[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it stupefied me with the heights of its ineptitude and is completely idiotic on a fundamental and very rare level . 	it stupefied me with the heights of its ineptitude and is completely idiotic on a fundamental and very rare level .	1	-4	 it[0] stupefied[0] me[0] with[0] the[0] heights[0] of[0] its[0] ineptitude[0] and[0] is[0] completely[0] idiotic[-2][-1 LastWordBoosterStrength] on[0] a[0] fundamental[0] and[0] very[0] rare[0] level[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i won't go into any details , but suffice to say that , as far as i can tell , it negates to rest of the movie to such an extent that anyone who buys it even for a second must be suffering from a very acute case of attention deficit disorder . 	i won't go into any details , but suffice to say that , as far as i can tell , it negates to rest of the movie to such an extent that anyone who buys it even for a second must be suffering from a very acute case of attention deficit disorder .	1	-4	 i[0] won't[0] go[0] into[0] any[0] details[0] but[0] suffice[0] to[0] say[0] that[0] as[0] far[0] as[0] i[0] can[0] tell[0] it[0] negates[0] to[0] rest[0] of[0] the[0] movie[0] to[0] such[0] an[0] extent[0] that[0] anyone[0] who[0] buys[0] it[0] even[0] for[0] a[0] second[0] must[0] be[0] suffering[-3] from[0] a[0] very[0] acute[0] case[0] of[0] attention[0] deficit[-1] disorder[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
now , in all fairness , i cannot say for sure that i would have guessed the ending ( however stupid it may be ) had it not been revealed to me before hand . 	now , in all fairness , i cannot say for sure that i would have guessed the ending ( however stupid it may be ) had it not been revealed to me before hand .	1	-2	 now[0] in[0] all[0] fairness[0] i[0] cannot[0] say[0] for[0] sure[0] that[0] i[0] would[0] have[0] guessed[0] the[0] ending[0] however[0] stupid[-1] it[0] may[0] be[0] had[0] it[0] not[0] been[0] revealed[0] to[0] me[0] before[0] hand[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , i feel very confident that i , as well as anyone who had seen a few " twilight zone " episodes , would have seen it coming a mile away . 	however , i feel very confident that i , as well as anyone who had seen a few " twilight zone " episodes , would have seen it coming a mile away .	3	-1	 however[0] i[0] feel[0] very[0] confident[1][1 LastWordBoosterStrength] that[0] i[0] as[0] well[0] as[0] anyone[0] who[0] had[0] seen[0] a[0] few[0] twilight[0] zone[0] episodes[0] would[0] have[0] seen[0] it[0] coming[0] a[0] mile[0] away[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the fact that movie-goers nation wide are surprised by the ending still has me stumped . 	the fact that movie-goers nation wide are surprised by the ending still has me stumped .	1	-1	 the[0] fact[0] that[0] movie[0] goers[0] nation[0] wide[0] are[0] surprised[0] by[0] the[0] ending[0] still[0] has[0] me[0] stumped[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ironically , to fully appreciate the best scene ( that of cole and malcolm attending a little girl's funeral ) , the viewer is required to be aware of a very rare psychological disorder called munchausen syndrome by proxy . 	ironically , to fully appreciate the best scene ( that of cole and malcolm attending a little girl's funeral ) , the viewer is required to be aware of a very rare psychological disorder called munchausen syndrome by proxy .	2	-2	 ironically[-1] to[0] fully[0] appreciate[1] the[0] best[1] scene[0] that[0] of[0] cole[0] and[0] malcolm[0] attending[0] a[0] little[0] girl's[0] funeral[0] the[0] viewer[0] is[0] required[0] to[0] be[0] aware[0] of[0] a[0] very[0] rare[0] psychological[0] disorder[-1] called[0] munchausen[0] syndrome[0] by[0] proxy[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i wouldn't have even known about this mental disease if i hadn't , by pure dumb luck , caught " dateline nbc " the other week when they did a feature story on it . 	i wouldn't have even known about this mental disease if i hadn't , by pure dumb luck , caught " dateline nbc " the other week when they did a feature story on it .	3	-3	 i[0] wouldn't[0] have[0] even[0] known[0] about[0] this[0] mental[0] disease[-2] if[0] i[0] hadn't[0] by[0] pure[0] dumb[-1] luck[2] caught[0] dateline[0] nbc[0] the[0] other[0] week[0] when[0] they[0] did[0] a[0] feature[0] story[0] on[0] it[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
despite being blessed with some really amazing cinematography and a brauva performance from osment ( where was this kid when casting calls were going out for the phantom menace ? ) , in the end , the sixth sense is too chalk-full of contradictions and just isn't plausible enough to warrant even a slight recommendation . 	despite being blessed with some really amazing cinematography and a brauva performance from osment ( where was this kid when casting calls were going out for the phantom menace ?<br> ) , in the end , the sixth sense is too chalk-full of contradictions and just isn't plausible enough to warrant even a slight recommendation .	4	-3	 despite[0] being[0] blessed[1] with[0] some[0] really[0] amazing[2][1 LastWordBoosterStrength] cinematography[0] and[0] a[0] brauva[0] performance[0] from[0] osment[0] where[0] was[0] this[0] kid[0] when[0] casting[0] calls[0] were[0] going[0] out[0] for[0] the[0] phantom[0] menace[-2] [[Sentence=-3,4=word max, 1-5]] in[0] the[0] end[0] the[0] sixth[0] sense[0] is[0] too[0] chalk[0] full[0] of[0] contradictions[-1] and[0] just[0] isn't[0] plausible[0] enough[0] to[0] warrant[0] even[0] a[0] slight[0] recommendation[0] [[Sentence=-2,1=word max, 1-5]][[[4,-3 max of sentences]]]
