the formula is simple . 	Translation	Positive	Negative	EmotionRationale
why else would they indulge in petty squabbling while they watch their friends become fish food . 	why else would they indulge in petty squabbling while they watch their friends become fish food .	2	-2	 why[0] else[0] would[0] they[0] indulge[-1] in[0] petty[0] squabbling[0] while[0] they[0] watch[0] their[0] friends[1] become[0] fish[0] food[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
if there's a more clarion call for unity , i don't know what it might be . 	if there's a more clarion call for unity , i don't know what it might be .	1	-1	 if[0] there's[0] a[0] more[0] clarion[0] call[0] for[0] unity[0] i[0] don't[0] know[0] what[0] it[0] might[0] be[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's pretty easy to guess who will get killed off when . 	it's pretty easy to guess who will get killed off when .	3	-4	 it's[0] pretty[2] easy[0] to[0] guess[0] who[0] will[0] get[0] killed[-3] off[0] when[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
there are no surprises in that the most interesting characters seem to last until the end . 	there are no surprises in that the most interesting characters seem to last until the end .	2	-1	 there[0] are[0] no[0] surprises[0] in[0] that[0] the[0] most[0] interesting[1] characters[0] seem[0] to[0] last[0] until[0] the[0] end[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for the most part , the watery tentacles seem to be acting on the audience's impulses to get rid of the most boring characters first . 	for the most part , the watery tentacles seem to be acting on the audience's impulses to get rid of the most boring characters first .	1	-2	 for[0] the[0] most[0] part[0] the[0] watery[0] tentacles[0] seem[0] to[0] be[0] acting[0] on[0] the[0] audience's[0] impulses[0] to[0] get[0] rid[-1] of[0] the[0] most[0] boring[-1] characters[0] first[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( although i wonder if the filmmakers might have extended djimon hounsou's life a bit if they knew this would be released so soon after his acclaim for amistad . ) 	 ( although i wonder if the filmmakers might have extended djimon hounsou's life a bit if they knew this would be released so soon after his acclaim for amistad .<br> )	1	-1	 although[0] i[0] wonder[0] if[0] the[0] filmmakers[0] might[0] have[0] extended[0] djimon[0] hounsou's[0] life[0] a[0] bit[0] if[0] they[0] knew[0] this[0] would[0] be[0] released[0] so[0] soon[0] after[0] his[0] acclaim[0] for[0] amistad[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
treat williams is a passable hero , and famke janssen does her best julia roberts impersonation . 	treat williams is a passable hero , and famke janssen does her best julia roberts impersonation .	3	-1	 treat[1] williams[0] is[0] a[0] passable[0] hero[2] and[0] famke[0] janssen[0] does[0] her[0] best[1] julia[0] roberts[0] impersonation[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but while wes studi and anthony heald are particularly slimy , very little of the rest of the company stand out in any way . 	but while wes studi and anthony heald are particularly slimy , very little of the rest of the company stand out in any way .	1	-1	 but[0] while[0] wes[0] studi[0] and[0] anthony[0] heald[0] are[0] particularly[0] slimy[0] very[0] little[0] of[0] the[0] rest[0] of[0] the[0] company[0] stand[0] out[0] in[0] any[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the biggest treat in the film , however , has to be pantucci , kevin j . o'connor's whining engine-boy , under finnegan's employ . 	the biggest treat in the film , however , has to be pantucci , kevin j .<br> o'connor's whining engine-boy , under finnegan's employ .	2	-3	 the[0] biggest[0] treat[1] in[0] the[0] film[0] however[0] has[0] to[0] be[0] pantucci[0] kevin[0] j[0] [[Sentence=-1,2=word max, 1-5]] o'connor's[0] whining[-2] engine[0] boy[0] under[0] finnegan's[0] employ[0] [[Sentence=-3,1=word max, 1-5]][[[2,-3 max of sentences]]]
his constant quips may be a bit over-written , but they manage to capture the same vein of nerve-addled humor that bill paxton delivered as hudson in aliens ( or todd graff as hippie in the abyss , for that matter ) . 	his constant quips may be a bit over-written , but they manage to capture the same vein of nerve-addled humor that bill paxton delivered as hudson in aliens ( or todd graff as hippie in the abyss , for that matter ) .	3	-2	 his[0] constant[0] quips[0] may[0] be[0] a[0] bit[0] over[0] written[0] but[0] they[0] manage[0] to[0] capture[-1] the[0] same[0] vein[0] of[0] nerve[0] addled[0] humor[2] that[0] bill[0] paxton[0] delivered[0] as[0] hudson[0] in[0] aliens[0] or[0] todd[0] graff[0] as[0] hippie[0] in[0] the[0] abyss[-1] for[0] that[0] matter[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it's just a stock part ( the comic-relief character ) , but it almost makes this tired alien clone bearable . 	it's just a stock part ( the comic-relief character ) , but it almost makes this tired alien clone bearable .	2	-2	 it's[0] just[0] a[0] stock[0] part[0] the[0] comic[0] relief[1] character[0] but[0] it[0] almost[0] makes[0] this[0] tired[-1] alien[-1] clone[0] bearable[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as far as the monster goes , although the cgi is done well , the creature has no logical consistency . 	as far as the monster goes , although the cgi is done well , the creature has no logical consistency .	1	-2	 as[0] far[0] as[0] the[0] monster[-1] goes[0] although[0] the[0] cgi[0] is[0] done[0] well[0] the[0] creature[0] has[0] no[0] logical[0] consistency[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
think back to the great ( or even just good ) movie monsters . 	think back to the great ( or even just good ) movie monsters .	3	-1	 think[0] back[0] to[0] the[0] great[2] or[0] even[0] just[0] good[1][-1 LastWordBoosterStrength] movie[0] monsters[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
they all had a set of " rules " about what they could do , and how and why they would do it . 	they all had a set of " rules " about what they could do , and how and why they would do it .	1	-1	 they[0] all[0] had[0] a[0] set[0] of[0] rules[0] about[0] what[0] they[0] could[0] do[0] and[0] how[0] and[0] why[0] they[0] would[0] do[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
part of the joy of those films was slowly discovering , along with the heroes , just what those rules are . 	part of the joy of those films was slowly discovering , along with the heroes , just what those rules are .	3	-1	 part[0] of[0] the[0] joy[2] of[0] those[0] films[0] was[0] slowly[0] discovering[0] along[0] with[0] the[0] heroes[2] just[0] what[0] those[0] rules[0] are[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the tentacle monster in deep rising doesn't have a set of rules . . . 	the tentacle monster in deep rising doesn't have a set of rules .<br> .<br> .	1	-2	 the[0] tentacle[0] monster[-1] in[0] deep[0] rising[0] doesn't[0] have[0] a[0] set[0] of[0] rules[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
or if it does , not a very good one . 	or if it does , not a very good one .	1	-3	 or[0] if[0] it[0] does[0] not[0] a[0] very[0] good[1][1 LastWordBoosterStrength][NegatedDueToPreviousWord] one[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it merely eats ( or drinks , as the case may be ) , and there is no rhyme or reason for what it does in order to do so . 	it merely eats ( or drinks , as the case may be ) , and there is no rhyme or reason for what it does in order to do so .	1	-1	 it[0] merely[0] eats[0] or[0] drinks[0] as[0] the[0] case[0] may[0] be[0] and[0] there[0] is[0] no[0] rhyme[0] or[0] reason[0] for[0] what[0] it[0] does[0] in[0] order[0] to[0] do[0] so[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film never explains why the argonauticus is attacked in the first place . 	the film never explains why the argonauticus is attacked in the first place .	1	-3	 the[0] film[0] never[0] explains[0] why[0] the[0] argonauticus[0] is[0] attacked[-2] in[0] the[0] first[0] place[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it simply happens . 	it simply happens .	1	-1	 it[0] simply[0] happens[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the action scenes are decent , but few are noteworthy . 	the action scenes are decent , but few are noteworthy .	1	-1	 the[0] action[0] scenes[0] are[0] decent[0] but[0] few[0] are[0] noteworthy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film definitely does suffer from its proximity to titanic . 	the film definitely does suffer from its proximity to titanic .	1	-4	 the[0] film[0] definitely[0] does[0] suffer[-3] from[0] its[0] proximity[0] to[0] titanic[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
deep rising's peril in the water scenes pale next to cameron's ( but can you really blame them ) . 	deep rising's peril in the water scenes pale next to cameron's ( but can you really blame them ) .	1	-3	 deep[0] rising's[0] peril[-1] in[0] the[0] water[0] scenes[0] pale[0] next[0] to[0] cameron's[0] but[0] can[0] you[0] really[0] blame[-1][-1 LastWordBoosterStrength] them[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
unfortunately , deep rising's efforts are more on par with speed 2 . 	unfortunately , deep rising's efforts are more on par with speed 2 .	1	-2	 unfortunately[-1] deep[0] rising's[0] efforts[0] are[0] more[0] on[0] par[0] with[0] speed[0] 2[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
on the plus side , however , the film's closing image shows some promise for a potentially interesting ( but unlikely ) sequel . 	on the plus side , however , the film's closing image shows some promise for a potentially interesting ( but unlikely ) sequel .	2	-1	 on[0] the[0] plus[0] side[0] however[0] the[0] film's[0] closing[0] image[0] shows[0] some[0] promise[1][-1 LastWordBoosterStrength] for[0] a[0] potentially[0] interesting[1] but[0] unlikely[0] sequel[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
perhaps you'd be better off waiting for that one . 	perhaps you'd be better off waiting for that one .	1	-1	 perhaps[0] you'd[0] be[0] better[0] off[0] waiting[0] for[0] that[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
