jet li busted onto the american action movie scene , when he stole the show in 1998's lethal weapon 4 , with his wicked looks , his nasty moves and his undeniable charisma . 	Translation	Positive	Negative	EmotionRationale
how 'bout giving the slickster some more opportunities to show us his kung-fu fighting chops , slap him in a few more scenes , and give him more chances to practice his acting/english abilities ? 	how 'bout giving the slickster some more opportunities to show us his kung-fu fighting chops , slap him in a few more scenes , and give him more chances to practice his acting/english abilities ?	1	-3	 how[0] 'bout[0] giving[0] the[0] slickster[0] some[0] more[0] opportunities[0] to[0] show[0] us[0] his[0] kung[0] fu[0] fighting[-2] chops[0] slap[-1] him[0] in[0] a[0] few[0] more[0] scenes[0] and[0] give[0] him[0] more[0] chances[0] to[0] practice[0] his[0] acting/english[0] abilities[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what a letdown . 	what a letdown .	1	-1	 what[0] a[0] letdown[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even black mask was more entertaining than this glossed up , empty shell of a film . 	even black mask was more entertaining than this glossed up , empty shell of a film .	1	-1	 even[0] black[0] mask[0] was[0] more[0] entertaining[0] than[0] this[0] glossed[0] up[0] empty[0] shell[0] of[0] a[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fact , i am sure that more time was spent gathering the " hits " for the soundtrack of this film , than were on the so-called " screenplay " . 	in fact , i am sure that more time was spent gathering the " hits " for the soundtrack of this film , than were on the so-called " screenplay " .	1	-1	 in[0] fact[0] i[0] am[0] sure[0] that[0] more[0] time[0] was[0] spent[0] gathering[0] the[0] hits[0] for[0] the[0] soundtrack[0] of[0] this[0] film[0] than[0] were[0] on[0] the[0] so[0] called[0] screenplay[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i felt like i was watching a soundtrack rather than a movie most of the time . 	i felt like i was watching a soundtrack rather than a movie most of the time .	2	-1	 i[0] felt[0] like[1] i[0] was[0] watching[0] a[0] soundtrack[0] rather[0] than[0] a[0] movie[0] most[0] of[0] the[0] time[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the sad part about the bad script is that it wouldn't matter so much if the film actually had some decent actors spouting out the tacky lines . 	the sad part about the bad script is that it wouldn't matter so much if the film actually had some decent actors spouting out the tacky lines .	1	-4	 the[0] sad[-3] part[0] about[0] the[0] bad[-1] script[0] is[0] that[0] it[0] wouldn't[0] matter[0] so[0] much[0] if[0] the[0] film[0] actually[0] had[0] some[0] decent[0] actors[0] spouting[0] out[0] the[0] tacky[0] lines[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
but no , save lindo and aaliyah , who weren't too shabby , i thought the rest of the cast was picked primarily from their inability to deliver lines convincingly . 	but no , save lindo and aliyah , who weren't too shabby , i thought the rest of the cast was picked primarily from their inability to deliver lines convincingly .	2	-2	 but[0] no[0] save[1] lindo[0] and[0] aaliyah/aliyah[0] who[0] weren't[0] too[0] shabby[-1] i[0] thought[0] the[0] rest[0] of[0] the[0] cast[0] was[0] picked[0] primarily[0] from[0] their[0] inability[-1] to[0] deliver[0] lines[0] convincingly[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and what was the deal with the whole nfl franchise deal run by some 15-year old looking guy , acting like he's the overlord of a drug ring ? ! 	and what was the deal with the whole nfl franchise deal run by some 15-year old looking guy , acting like he's the overlord of a drug ring ?<br> !	2	-1	 and[0] what[0] was[0] the[0] deal[0] with[0] the[0] whole[0] nfl[0] franchise[0] deal[0] run[0] by[0] some[0] 15[0] year[0] old[0] looking[0] guy[0] acting[0] like[1] he's[0] the[0] overlord[0] of[0] a[0] drug[0] ring[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
what a mess . 	what a mess .	1	-1	 what[0] a[0] mess[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then again , i don't want it to seem like i'm complaining solely about the story which was completely foreseeable , since we all go to see these movies for the action anyway , not the story . 	then again , i don't want it to seem like i'm complaining solely about the story which was completely foreseeable , since we all go to see these movies for the action anyway , not the story .	2	-2	 then[0] again[0] i[0] don't[0] want[0] it[0] to[0] seem[0] like[1] i'm[0] complaining[-1] solely[0] about[0] the[0] story[0] which[0] was[0] completely[0] foreseeable[0] since[0] we[0] all[0] go[0] to[0] see[0] these[0] movies[0] for[0] the[0] action[0] anyway[0] not[0] the[0] story[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
well , i guess that's what disappointed me the most out of this film . 	well , i guess that's what disappointed me the most out of this film .	1	-2	 well[0] i[0] guess[0] that's[0] what[0] disappointed[-1] me[0] the[0] most[0] out[0] of[0] this[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there were a couple of cool fight scenes with li , but simply not enough to satisfy my overall craving . 	there were a couple of cool fight scenes with li , but simply not enough to satisfy my overall craving .	2	-3	 there[0] were[0] a[0] couple[0] of[0] cool[1] fight[-2] scenes[0] with[0] li[0] but[0] simply[0] not[0] enough[0] to[0] satisfy[1] my[0] overall[0] craving[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
also , as much as i love the way they incorporate wires and special effects in some of their stunts , a couple of the exaggerated fight scenes were simply too obvious a stunt . 	also , as much as i love the way they incorporate wires and special effects in some of their stunts , a couple of the exaggerated fight scenes were simply too obvious a stunt .	3	-3	 also[0] as[0] much[0] as[0] i[0] love[2] the[0] way[0] they[0] incorporate[0] wires[0] and[0] special[1] effects[0] in[0] some[0] of[0] their[0] stunts[0] a[0] couple[0] of[0] the[0] exaggerated[-1] fight[-2] scenes[0] were[0] simply[0] too[0] obvious[0] a[0] stunt[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
it should be seamless , fellas , not necessarily against the laws of gravity ! 	it should be seamless , fellas , not necessarily against the laws of gravity !	2	-1	 it[0] should[0] be[0] seamless[0] fellas[0] not[0] necessarily[0] against[-1][NegatedDueToPreviousWord] the[0] laws[0] of[0] gravity[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the one cool thing that was original in the movie was the way in which the director showed us some of the inside cracklings of the human body when penetrated by a blow , but that simple creative touch couldn't save the rest of this film's uninteresting plot movements . 	the one cool thing that was original in the movie was the way in which the director showed us some of the inside cracklings of the human body when penetrated by a blow , but that simple creative touch couldn't save the rest of this film's uninteresting plot movements .	2	-2	 the[0] one[0] cool[1] thing[0] that[0] was[0] original[0] in[0] the[0] movie[0] was[0] the[0] way[0] in[0] which[0] the[0] director[0] showed[0] us[0] some[0] of[0] the[0] inside[0] cracklings[0] of[0] the[0] human[0] body[0] when[0] penetrated[0] by[0] a[0] blow[0] but[0] that[0] simple[0] creative[0] touch[0] couldn't[0] save[1][NegatedDueToPreviousWord] the[0] rest[0] of[0] this[0] film's[0] uninteresting[0] plot[0] movements[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i'm disappointed for jet li that this film didn't give him the real opportunity to star in a good story with many great action scenes . 	i'm disappointed for jet li that this film didn't give him the real opportunity to star in a good story with many great action scenes .	3	-2	 i'm[0] disappointed[-1] for[0] jet[0] li[0] that[0] this[0] film[0] didn't[0] give[0] him[0] the[0] real[0] opportunity[0] to[0] star[0] in[0] a[0] good[1] story[0] with[0] many[0] great[2] action[0] scenes[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
hopefully , the next time will be a charm for this charismatic actor . 	hopefully , the next time will be a charm for this charismatic actor .	2	-1	 hopefully[0] the[0] next[0] time[0] will[0] be[0] a[0] charm[1] for[0] this[0] charismatic[0] actor[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for now , i just hope that for his sake , the film's title isn't a premonition of the movie's ultimate fate at the box-office . 	for now , i just hope that for his sake , the film's title isn't a premonition of the movie's ultimate fate at the box-office .	2	-1	 for[0] now[0] i[0] just[0] hope[2][-1 LastWordBoosterStrength] that[0] for[0] his[0] sake[0] the[0] film's[0] title[0] isn't[0] a[0] premonition[0] of[0] the[0] movie's[0] ultimate[0] fate[0] at[0] the[0] box[0] office[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
