the premise of this movie is , well , pretty far-fetched . 	Translation	Positive	Negative	EmotionRationale
upright , ex-cop principal , played by the forgotten ghostbuster , ernie hudson ! 	upright , ex-cop principal , played by the forgotten ghostbuster , ernie hudson !	1	-1	 upright[0] ex[0] cop[0] principal[0] played[0] by[0] the[0] forgotten[0] ghostbuster[0] ernie[0] hudson[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so shale does what any good teacher would do . 	so shale does what any good teacher would do .	2	-1	 so[0] shale[0] does[0] what[0] any[0] good[1] teacher[0] would[0] do[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he gets his buddies together , they gather together a bunch of bazookas and other major weapons , explosives , and cool stuff like that , and they have a big showdown against the drug dealers and kod at the high school . 	he gets his buddies together , they gather together a bunch of bazookas and other major weapons , explosives , and cool stuff like that , and they have a big showdown against the drug dealers and kod at the high school .	2	-2	 he[0] gets[0] his[0] buddies[0] together[0] they[0] gather[0] together[0] a[0] bunch[0] of[0] bazookas[0] and[0] other[0] major[0] weapons[-1] explosives[-1] and[0] cool[1] stuff[0] like[1] that[0] and[0] they[0] have[0] a[0] big[0] showdown[0] against[-1] the[0] drug[0] dealers[0] and[0] kod[0] at[0] the[0] high[0] school[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
ok , so the premise is not just far-fetched , it's downright dumb . 	ok , so the premise is not just far-fetched , it's downright dumb .	1	-2	 ok[0] so[0] the[0] premise[0] is[0] not[0] just[0] far[0] fetched[0] it's[0] downright[0] dumb[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if this were a hong kong action comedy , we might just accept it , but it takes itself far too seriously to be truly fun . 	if this were a hong kong action comedy , we might just accept it , but it takes itself far too seriously to be truly fun .	2	-1	 if[0] this[0] were[0] a[0] hong[0] kong[0] action[0] comedy[0] we[0] might[0] just[0] accept[0] it[0] but[0] it[0] takes[0] itself[0] far[0] too[0] seriously[0] to[0] be[0] truly[1] fun[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
oh , it has its moments ; how one can truly hate a movie in which huge ( really huge ) amounts of cocaine are delivered in school busses ? 	oh , it has its moments ; how one can truly hate a movie in which huge ( really huge ) amounts of cocaine are delivered in school buses ?	2	-4	 oh[0] it[0] has[0] its[0] moments[0] how[0] one[0] can[0] truly[1] hate[-3] a[0] movie[0] in[0] which[0] huge[0] really[0] huge[0] amounts[0] of[0] cocaine[0] are[0] delivered[0] in[0] school[0] busses/buses[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
and to be fair , it is almost never really boring , as the action is interrupted by only short sequences of actual story . 	and to be fair , it is almost never really boring , as the action is interrupted by only short sequences of actual story .	3	-2	 and[0] to[0] be[0] fair[0] it[0] is[0] almost[0] never[0] really[0] boring[-1][-1 LastWordBoosterStrength][NegatedDueToPreviousWord] as[0] the[0] action[0] is[0] interrupted[-1] by[0] only[0] short[0] sequences[0] of[0] actual[0] story[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but over all , this is pretty much a made-for-tv movie with more ( and bigger ) explosions and more foul language . 	but over all , this is pretty much a made-for-tv movie with more ( and bigger ) explosions and more foul language .	3	-2	 but[0] over[0] all[0] this[0] is[0] pretty[2] much[0] a[0] made[0] for[0] tv[0] movie[0] with[0] more[0] and[0] bigger[0] explosions[-1] and[0] more[0] foul[0] language[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in fact , it reminded me of " miami vice " without the production values , babes in skimpy bikinis , and pastels . 	in fact , it reminded me of " miami vice " without the production values , babes in skimpy bikinis , and pastels .	2	-2	 in[0] fact[0] it[0] reminded[0] me[0] of[0] miami[0] vice[-1] without[0] the[0] production[0] values[1] babes[0] in[0] skimpy[0] bikinis[0] and[0] pastels[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
if you can sneak into the theater without paying , go for it . 	if you can sneak into the theater without paying , go for it .	1	-2	 if[0] you[0] can[0] sneak[-1] into[0] the[0] theater[0] without[0] paying[0] go[0] for[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
otherwise , wait for video . 	otherwise , wait for video .	1	-1	 otherwise[0] wait[0] for[0] video[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the flying inkpot rating system : * wait for the tv2 broadcast . 	the flying inkpot rating system : * wait for the tv2 broadcast .	1	-1	 the[0] flying[0] inkpot[0] rating[0] system[0] wait[0] for[0] the[0] tv2[0] broadcast[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 * * a little creaky , but still better than staying at home with gotcha ! 	 * * a little creaky , but still better than staying at home with gotcha !	1	-1	 a[0] little[0] creaky[0] but[0] still[0] better[0] than[0] staying[0] at[0] home[0] with[0] gotcha[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 * * * pretty good , bring a friend . 	 * * * pretty good , bring a friend .	3	-1	 pretty[2] good[1] bring[0] a[0] friend[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 * * * * amazing , potent stuff . 	 * * * * amazing , potent stuff .	3	-1	 amazing[2] potent[0] stuff[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 * * * * * perfection . 	 * * * * * perfection .	2	-1	 perfection[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
see it twice . 	see it twice .	1	-1	 see[0] it[0] twice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
