'bicentennial man' is a family film without any external motive with the exception of providing the minimum dose of entertainment . 	Translation	Positive	Negative	EmotionRationale
ever since that film , the subject of humanity still stands as one big controversy . 	ever since that film , the subject of humanity still stands as one big controversy .	1	-2	 ever[0] since[0] that[0] film[0] the[0] subject[0] of[0] humanity[0] still[0] stands[0] as[0] one[0] big[0] controversy[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what makes us human ? 	what makes us human ?	1	-1	 what[0] makes[0] us[0] human[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the thoughts ? 	the thoughts ?	1	-1	 the[0] thoughts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the emotions ? 	the emotions ?	1	-1	 the[0] emotions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is it possible to become human ? 	is it possible to become human ?	1	-1	 is[0] it[0] possible[0] to[0] become[0] human[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at what point can we say to a robot " now you are one of us " ? 	at what point can we say to a robot " now you are one of us " ?	1	-1	 at[0] what[0] point[0] can[0] we[0] say[0] to[0] a[0] robot[0] now[0] you[0] are[0] one[0] of[0] us[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these are very tough questions that require a serious and thurral approach . 	these are very tough questions that require a serious and thurral approach .	1	-3	 these[0] are[0] very[0] tough[-1][-1 LastWordBoosterStrength] questions[0] that[0] require[0] a[0] serious[-1] and[0] thurral[0] approach[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it is obvious that columbus didn't take them very seriously . 	it is obvious that columbus didn't take them very seriously .	1	-1	 it[0] is[0] obvious[0] that[0] columbus[0] didn't[0] take[0] them[0] very[0] seriously[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when you think about it , this film is not really meditating on the question " when is a robot no longer a machine , but a human being ? " , but tells a story about racial discrimination and lack of understanding . 	when you think about it , this film is not really meditating on the question " when is a robot no longer a machine , but a human being ?<br> " , but tells a story about racial discrimination and lack of understanding .	1	-3	 when[0] you[0] think[0] about[0] it[0] this[0] film[0] is[0] not[0] really[0] meditating[0] on[0] the[0] question[0] when[0] is[0] a[0] robot[0] no[0] longer[0] a[0] machine[0] but[0] a[0] human[0] being[0] [[Sentence=-1,1=word max, 1-5]] but[0] tells[0] a[0] story[0] about[0] racial[0] discrimination[-2] and[0] lack[-1] of[0] understanding[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
andrew is so complex and emotional from the very beginning that the audience immediately accepts him as a human being , and only the society has troubles with it . 	andrew is so complex and emotional from the very beginning that the audience immediately accepts him as a human being , and only the society has troubles with it .	1	-2	 andrew[0] is[0] so[0] complex[0] and[0] emotional[-1] from[0] the[0] very[0] beginning[0] that[0] the[0] audience[0] immediately[0] accepts[0] him[0] as[0] a[0] human[0] being[0] and[0] only[0] the[0] society[0] has[0] troubles[-1] with[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in other words , it is as far from reality as from the academy awards . 	in other words , it is as far from reality as from the academy awards .	1	-1	 in[0] other[0] words[0] it[0] is[0] as[0] far[0] from[0] reality[0] as[0] from[0] the[0] academy[0] awards[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
further more , there are other annoying problems . 	further more , there are other annoying problems .	1	-3	 further[0] more[0] there[0] are[0] other[0] annoying[-2] problems[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
to this day no serious filmmaker has dared to speculate about the future in more than 50 years from now . 	to this day no serious filmmaker has dared to speculate about the future in more than 50 years from now .	1	-2	 to[0] this[0] day[0] no[0] serious[-1] filmmaker[0] has[0] dared[0] to[0] speculate[0] about[0] the[0] future[0] in[0] more[0] than[0] 50[0] years[0] from[0] now[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this has not been done for obvious reasons , because the filmmakers are well aware of the fact that they lack the knowledge and imagination to perform such a difficult task . 	this has not been done for obvious reasons , because the filmmakers are well aware of the fact that they lack the knowledge and imagination to perform such a difficult task .	1	-2	 this[0] has[0] not[0] been[0] done[0] for[0] obvious[0] reasons[0] because[0] the[0] filmmakers[0] are[0] well[0] aware[0] of[0] the[0] fact[0] that[0] they[0] lack[-1] the[0] knowledge[0] and[0] imagination[0] to[0] perform[0] such[0] a[0] difficult[-1] task[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
columbus is the first to have crossed that line . 	columbus is the first to have crossed that line .	1	-1	 columbus[0] is[0] the[0] first[0] to[0] have[0] crossed[0] that[0] line[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the result is , as you might imagine , primitive , unrealistic and incredibly disappointing effort . 	the result is , as you might imagine , primitive , unrealistic and incredibly disappointing effort .	1	-4	 the[0] result[0] is[0] as[0] you[0] might[0] imagine[0] primitive[0] unrealistic[0] and[0] incredibly[0] disappointing[-1][-2 LastWordBoosterStrength] effort[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the world is simply frozen in time . 	the world is simply frozen in time .	1	-1	 the[0] world[0] is[0] simply[0] frozen[0] in[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
neither the society , fashion , culture or values have changed over 200 years . 	neither the society , fashion , culture or values have changed over 200 years .	2	-1	 neither[0] the[0] society[0] fashion[0] culture[0] or[0] values[1] have[0] changed[0] over[0] 200[0] years[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
mom is still working at the kitchen , doing the dishes . 	mom is still working at the kitchen , doing the dishes .	1	-1	 mom[0] is[0] still[0] working[0] at[0] the[0] kitchen[0] doing[0] the[0] dishes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when you think back to the late 17th century and then compare it to the world we live in today , you'll see a slightly bigger difference . 	when you think back to the late 17th century and then compare it to the world we live in today , you'll see a slightly bigger difference .	1	-1	 when[0] you[0] think[0] back[0] to[0] the[0] late[0] 17th[0] century[0] and[0] then[0] compare[0] it[0] to[0] the[0] world[0] we[0] live[0] in[0] today[0] you'll[0] see[0] a[0] slightly[0] bigger[0] difference[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i am not saying that everything should change . 	i am not saying that everything should change .	1	-1	 i[0] am[0] not[0] saying[0] that[0] everything[0] should[0] change[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is unlikely that the human rights will change , but it's even more unlikely that there will not be any progress in science , technology and fashion . 	it is unlikely that the human rights will change , but it's even more unlikely that there will not be any progress in science , technology and fashion .	1	-1	 it[0] is[0] unlikely[0] that[0] the[0] human[0] rights[0] will[0] change[0] but[0] it's[0] even[0] more[0] unlikely[0] that[0] there[0] will[0] not[0] be[0] any[0] progress[0] in[0] science[0] technology[0] and[0] fashion[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i suppose it's possible to watch this as a some sort of bizarre fairytale , but it's really hard . 	i suppose it's possible to watch this as a some sort of bizarre fairytale , but it's really hard .	1	-2	 i[0] suppose[0] it's[0] possible[0] to[0] watch[0] this[0] as[0] a[0] some[0] sort[0] of[0] bizarre[-1] fairytale[0] but[0] it's[0] really[0] hard[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
robin williams is hidden behind c and speaking in a robotic way . 	robin williams is hidden behind c and speaking in a robotic way .	1	-1	 robin[0] williams[0] is[0] hidden[0] behind[0] c[0] and[0] speaking[0] in[0] a[0] robotic[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as always he does a decent job , as does sam neill . 	as always he does a decent job , as does sam neill .	1	-1	 as[0] always[0] he[0] does[0] a[0] decent[0] job[0] as[0] does[0] sam[0] neill[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but it doesn't really matter . 	but it doesn't really matter .	1	-1	 but[0] it[0] doesn't[0] really[0] matter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is the sentimentality and length that turns this picture into a tiresome experience . 	it is the sentimentality and length that turns this picture into a tiresome experience .	3	-2	 it[0] is[0] the[0] sentimentality[2] and[0] length[0] that[0] turns[0] this[0] picture[0] into[0] a[0] tiresome[-1] experience[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
pretty much like last year's " meet joe black " , this is a primitive and unresolved story which is presented with a splendor and professionalism that it doesn't deserve . 	pretty much like last year's " meet joe black " , this is a primitive and unresolved story which is presented with a splendor and professionalism that it doesn't deserve .	3	-1	 pretty[2] much[0] like[1] last[0] year's[0] meet[0] joe[0] black[0] this[0] is[0] a[0] primitive[0] and[0] unresolved[0] story[0] which[0] is[0] presented[0] with[0] a[0] splendor[2] and[0] professionalism[0] that[0] it[0] doesn't[0] deserve[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
great actors and a talented crew have worked hard to achieve something that will be instantly forgotten . 	great actors and a talented crew have worked hard to achieve something that will be instantly forgotten .	3	-1	 great[2] actors[0] and[0] a[0] talented[1] crew[0] have[0] worked[0] hard[0] to[0] achieve[0] something[0] that[0] will[0] be[0] instantly[0] forgotten[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
when isaac asimov wrote this story , the future seemed far away and magical . 	when isac asimov wrote this story , the future seemed far away and magical .	1	-1	 when[0] isaac/isac[0] asimov[0] wrote[0] this[0] story[0] the[0] future[0] seemed[0] far[0] away[0] and[0] magical[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
everything seemed possible . 	everything seemed possible .	1	-1	 everything[0] seemed[0] possible[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now is the future of asimov's time , and we know that it is not as magical and perfect as it seemed a long time ago . 	now is the future of asimov's time , and we know that it is not as magical and perfect as it seemed a long time ago .	2	-1	 now[0] is[0] the[0] future[0] of[0] asimov's[0] time[0] and[0] we[0] know[0] that[0] it[0] is[0] not[0] as[0] magical[0] and[0] perfect[1] as[0] it[0] seemed[0] a[0] long[0] time[0] ago[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for the same reasons that the young generation of today can not be amazed by julius verne's " 20 000 leagues under the sea " , so can't we accept this story as a potential reality . 	for the same reasons that the young generation of today can not be amazed by julius verne's " 20 00 leagues under the sea " , so can't we accept this story as a potential reality .	1	-3	 for[0] the[0] same[0] reasons[0] that[0] the[0] young[0] generation[0] of[0] today[0] can[0] not[0] be[0] amazed[2][NegatedDueToPreviousWord] by[0] julius[0] verne's[0] 20[0] 000/00[0] leagues[0] under[0] the[0] sea[0] so[0] can't[0] we[0] accept[0] this[0] story[0] as[0] a[0] potential[0] reality[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
let us hope that next year's " a . i . " 	let us hope that next year's " a .<br> i .<br> "	3	-1	 let[0] us[0] hope[2] that[0] next[0] year's[0] a[0] [[Sentence=-1,3=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
will be more rewarding . 	will be more rewarding .	2	-1	 will[0] be[0] more[0] rewarding[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
