my giant begins with a monologue that's more funny than not and a distinctive `princess bride , ' medieval fairy-tale-in-the- ? 90s feel . 	Translation	Positive	Negative	EmotionRationale
this includes the scenes featuring steven seagal , when sammy gets max a role in a big , hollywood movie filming in las vegas . 	this includes the scenes featuring steven seagal , when sammy gets max a role in a big , hollywood movie filming in las vegas .	1	-1	 this[0] includes[0] the[0] scenes[0] featuring[0] steven[0] seagal[0] when[0] sammy[0] gets[0] max[0] a[0] role[0] in[0] a[0] big[0] hollywood[0] movie[0] filming[0] in[0] las[0] vegas[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while i enjoyed seeing seagal poke fun at himself , the scenes appeared to exist solely because of his participation , rather than because the film demanded it . 	while i enjoyed seeing seagal poke fun at himself , the scenes appeared to exist solely because of his participation , rather than because the film demanded it .	3	-1	 while[0] i[0] enjoyed[2] seeing[0] seagal[0] poke[0] fun[1] at[0] himself[0] the[0] scenes[0] appeared[0] to[0] exist[0] solely[0] because[0] of[0] his[0] participation[0] rather[0] than[0] because[0] the[0] film[0] demanded[0] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and the audience is required to take a huge leap to believe that max would win the role based on his quotations of shakespeare . 	and the audience is required to take a huge leap to believe that max would win the role based on his quotations of shakespeare .	1	-1	 and[0] the[0] audience[0] is[0] required[0] to[0] take[0] a[0] huge[0] leap[0] to[0] believe[0] that[0] max[0] would[0] win[0] the[0] role[0] based[0] on[0] his[0] quotations[0] of[0] shakespeare[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at this point i found myself thinking ,  we're supposed to believe that someone would cast this guy in a film ? ' 	at this point i found myself thinking ,  we're supposed to believe that someone would cast this guy in a film ?<br> '	1	-1	 at[0] this[0] point[0] i[0] found[0] myself[0] thinking[0] we're[0] supposed[0] to[0] believe[0] that[0] someone[0] would[0] cast[0] this[0] guy[0] in[0] a[0] film[0] [[Sentence=-1,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then i realized he was , and i was watching it . 	then i realized he was , and i was watching it .	1	-1	 then[0] i[0] realized[0] he[0] was[0] and[0] i[0] was[0] watching[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the final third , the film undergoes another transformation , this time to unbridled sentimentality . 	in the final third , the film undergoes another transformation , this time to unbridled sentimentality .	3	-1	 in[0] the[0] final[0] third[0] the[0] film[0] undergoes[0] another[0] transformation[0] this[0] time[0] to[0] unbridled[0] sentimentality[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
note : major plot points are revealed in this and the final paragraph . 	note : major plot points are revealed in this and the final paragraph .	1	-1	 note[0] major[0] plot[0] points[0] are[0] revealed[0] in[0] this[0] and[0] the[0] final[0] paragraph[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
max went to america because sammy promised to reunited him with his childhood love , lillianna , who hasn't seen him since he was a normal-sized kid . 	max went to america because sammy promised to reunited him with his childhood love , lillianna , who hasn't seen him since he was a normal-sized kid .	3	-1	 max[0] went[0] to[0] america[0] because[0] sammy[0] promised[1] to[0] reunited[0] him[0] with[0] his[0] childhood[0] love[2] lillianna[0] who[0] hasn't[0] seen[0] him[0] since[0] he[0] was[0] a[0] normal[0] sized[0] kid[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
her refusal to see max ( unbeknownst to him ) leads us to an awkward  ends justify the means' scene as sammy's wife serena , played nicely by kathleen quinlan , poses as lillianna . 	her refusal to see max ( unbeknownst to him ) leads us to an awkward  ends justify the means' scene as sammy's wife serena , played nicely by kathleen quinlan , poses as lillianna .	2	-2	 her[0] refusal[-1] to[0] see[0] max[0] unbeknownst[0] to[0] him[0] leads[0] us[0] to[0] an[0] awkward[-1] ends[0] justify[0] the[0] means'[0] scene[0] as[0] sammy's[0] wife[0] serena[0] played[0] nicely[1] by[0] kathleen[0] quinlan[0] poses[0] as[0] lillianna[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i found this scene offensive . 	i found this scene offensive .	1	-3	 i[0] found[0] this[0] scene[0] offensive[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
not only did it rely on deception to induce warm , fuzzy feelings from the audience , it reduced max to someone we should pity and coddle , which i thought was quite undeserved . 	not only did it rely on deception to induce warm , fuzy feelings from the audience , it reduced max to someone we should pity and coddle , which i thought was quite undeserved .	1	-2	 not[0] only[0] did[0] it[0] rely[0] on[0] deception[-1] to[0] induce[0] warm[0] fuzzy/fuzy[0] feelings[0] from[0] the[0] audience[0] it[0] reduced[0] max[0] to[0] someone[0] we[0] should[0] pity[-1][--1 LastWordBoosterStrength] and[0] coddle[0] which[0] i[0] thought[0] was[0] quite[0] undeserved[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i think max could have handled the truth , gratuitous illness and all . 	i think max could have handled the truth , gratuitous illness and all .	2	-2	 i[0] think[0] max[0] could[0] have[0] handled[0] the[0] truth[1] gratuitous[-1] illness[-1] and[0] all[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
late in the film we learn max , and in fact all giants , have a heart condition which shortens their lives considerably . 	late in the film we learn max , and in fact all giants , have a heart condition which shortens their lives considerably .	1	-1	 late[0] in[0] the[0] film[0] we[0] learn[0] max[0] and[0] in[0] fact[0] all[0] giants[0] have[0] a[0] heart[0] condition[0] which[0] shortens[0] their[0] lives[0] considerably[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this could be an enlightening revelation , but the film seemingly presents it only to justify sammy's transformation into a caring , sensitive guy -- and hey , a great dad and husband , too ! 	this could be an enlightening revelation , but the film seemingly presents it only to justify sammy's transformation into a caring , sensitive guy - and hey , a great dad and husband , too !	3	-1	 this[0] could[0] be[0] an[0] enlightening[0] revelation[0] but[0] the[0] film[0] seemingly[0] presents[0] it[0] only[0] to[0] justify[0] sammy's[0] transformation[0] into[0] a[0] caring[2] sensitive[0] guy[0] and[0] hey[1] a[0] great[2] dad[0] and[0] husband[0] too[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 my giant' suffers from a poorly constructed story line and undeveloped characters whose actions are determined by plot points rather than their own internal persuasions . 	 my giant' suffers from a poorly constructed story line and undeveloped characters whose actions are determined by plot points rather than their own internal persuasions .	1	-4	 my[0] giant'[0] suffers[-3] from[0] a[0] poorly[-1] constructed[0] story[0] line[0] and[0] undeveloped[0] characters[0] whose[0] actions[0] are[0] determined[0] by[0] plot[0] points[0] rather[0] than[0] their[0] own[0] internal[0] persuasions[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
a stronger story with more room for character growth might have been possible if the focus was on max's struggle to be accepted and cast in movies instead of sammy's struggles to get money and become a better person . 	a stronger story with more room for character growth might have been possible if the focus was on max's struggle to be accepted and cast in movies instead of sammy's struggles to get money and become a better person .	1	-2	 a[0] stronger[0] story[0] with[0] more[0] room[0] for[0] character[0] growth[0] might[0] have[0] been[0] possible[0] if[0] the[0] focus[0] was[0] on[0] max's[0] struggle[-1] to[0] be[0] accepted[0] and[0] cast[0] in[0] movies[0] instead[0] of[0] sammy's[0] struggles[-1] to[0] get[0] money[0] and[0] become[0] a[0] better[0] person[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in this scenario , max's illness could have been a integral part of the film not a story motivator . 	in this scenario , max's illness could have been a integral part of the film not a story motivator .	1	-2	 in[0] this[0] scenario[0] max's[0] illness[-1] could[0] have[0] been[0] a[0] integral[0] part[0] of[0] the[0] film[0] not[0] a[0] story[0] motivator[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sentiment and emotion would have followed naturally . 	sentiment and emotion would have followed naturally .	1	-1	 sentiment[0] and[0] emotion[0] would[0] have[0] followed[0] naturally[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
instead , we're apparently not supposed to like sammy until the end , but we're not allowed to focus on max . 	instead , we're apparently not supposed to like sammy until the end , but we're not allowed to focus on max .	2	-1	 instead[0] we're[0] apparently[0] not[0] supposed[0] to[0] like[1] sammy[0] until[0] the[0] end[0] but[0] we're[0] not[0] allowed[0] to[0] focus[0] on[0] max[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
crystal and muresan give adequate and at times enjoyable performances , but in the end ,  my giant' left me feeling like i'd been fed gruel from a giant spoon . 	crystal and muresan give adequate and at times enjoyable performances , but in the end ,  my giant' left me feeling like i'd been fed gruel from a giant spoon .	3	-1	 crystal[0] and[0] muresan[0] give[0] adequate[0] and[0] at[0] times[0] enjoyable[2] performances[0] but[0] in[0] the[0] end[0] my[0] giant'[0] left[0] me[0] feeling[0] like[1] i'd[0] been[0] fed[0] gruel[0] from[0] a[0] giant[0] spoon[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
