hong kong cinema has been going through a bad spell . 	Translation	Positive	Negative	EmotionRationale
it's not until club owner silk ( rapper dmx ) , bears down on kai and his henchmen that the fight ends . 	it's not until club owner silk ( rapper dmx ) , bears down on kai and his henchmen that the fight ends .	1	-3	 it's[0] not[0] until[0] club[0] owner[0] silk[0] rapper[0] dmx[0] bears[0] down[0] on[0] kai[0] and[0] his[0] henchmen[0] that[0] the[0] fight[-2] ends[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the following morning po sing is found dead . 	the following morning po sing is found dead .	1	-3	 the[0] following[0] morning[0] po[0] sing[0] is[0] found[0] dead[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
suspicions escalate , as issac o'day ( delroy lindo ) is told of the murder . 	suspicions escalate , as issac o'day ( delroy lindo ) is told of the murder .	1	-4	 suspicions[-1] escalate[0] as[0] issac[0] o'day[0] delroy[0] lindo[0] is[0] told[0] of[0] the[0] murder[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
his concern that the war between his and the chinese family may explode and ruin his plans to move out of the business of corruption and into a legitimate venture . 	his concern that the war between his and the chinese family may explode and ruin his plans to move out of the business of corruption and into a legitimate venture .	1	-3	 his[0] concern[-1] that[0] the[0] war[-2] between[0] his[0] and[0] the[0] chinese[0] family[0] may[0] explode[-1][--1 LastWordBoosterStrength] and[0] ruin[-1] his[0] plans[0] to[0] move[0] out[0] of[0] the[0] business[0] of[0] corruption[-2] and[0] into[0] a[0] legitimate[0] venture[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
issac implores his chief of security , mac ( issiah washington ) to watch after his son and daughter . 	issac implores his chief of security , mac ( issiah washington ) to watch after his son and daughter .	2	-1	 issac[0] implores[0] his[0] chief[0] of[0] security[1] mac[0] issiah[0] washington[0] to[0] watch[0] after[0] his[0] son[0] and[0] daughter[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the scene shifts to a prison in china , where han sing ( jet li ) learns of his brothers murder . 	the scene shifts to a prison in china , where han sing ( jet li ) learns of his brothers murder .	1	-4	 the[0] scene[0] shifts[0] to[0] a[0] prison[-1] in[0] china[0] where[0] han[0] sing[0] jet[0] li[0] learns[0] of[0] his[0] brothers[0] murder[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he fights with the guards and is dragged off to be disciplined . 	he fights with the guards and is dragged off to be disciplined .	1	-3	 he[0] fights[-2] with[0] the[0] guards[0] and[0] is[0] dragged[0] off[0] to[0] be[0] disciplined[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
hung upside down by one foot , han recovers and battle his way out of custody in a blistering display of fight choreography and stunt work . 	hung upside down by one foot , han recovers and battle his way out of custody in a blistering display of fight choreography and stunt work .	1	-4	 hung[0] upside[0] down[0] by[0] one[0] foot[0] han[0] recovers[0] and[0] battle[-1] his[0] way[0] out[0] of[0] custody[0] in[0] a[0] blistering[0] display[0] of[0] fight[-2] choreography[-2][-1 MultiplePositiveWords] and[0] stunt[-1] work[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
escaping to the u . s . han sets out to find the person responsible for his brother's death . 	escaping to the you .<br> s .<br> han sets out to find the person responsible for his brother's death .	1	-3	 escaping[0] to[0] the[0] u[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] han[0] sets[0] out[0] to[0] find[0] the[0] person[0] responsible[0] for[0] his[0] brother's[0] death[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 " romeo must die " is in many ways a fun film . 	 " romeo must die " is in many ways a fun film .	2	-1	 romeo[0] must[0] die[0] is[0] in[0] many[0] ways[0] a[0] fun[1] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it is both absurd and assured . 	it is both absurd and assured .	1	-2	 it[0] is[0] both[0] absurd[-1] and[0] assured[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the basic plot of a gangster wanting to become legitimate echoes " the godfather " . 	the basic plot of a gangster wanting to become legitimate echoes " the godfather " .	1	-1	 the[0] basic[0] plot[0] of[0] a[0] gangster[0] wanting[0] to[0] become[0] legitimate[0] echoes[0] the[0] godfather[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the relationship between jet li's han and aaliyah's trish o'day reminds us of abel ferrera's " china girl " , except that romeo must die's couple never once exchange more than a loving glance towards one another . 	the relationship between jet li's han and aliyah's trish o'day reminds us of abel ferrera's " china girl " , except that romeo must die's couple never once exchange more than a loving glance towards one another .	4	-1	 the[0] relationship[0] between[0] jet[0] li's[0] han[0] and[0] aaliyah's/aliyah's[0] trish[0] o'day[0] reminds[0] us[0] of[0] abel[0] ferrera's[0] china[0] girl[0] except[0] that[0] romeo[0] must[0] die's[0] couple[0] never[0] once[0] exchange[0] more[0] than[0] a[0] loving[3] glance[0] towards[0] one[0] another[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
their romance is much more puritanical than any other romance in film history . 	their romance is much more puritanical than any other romance in film history .	4	-1	 their[0] romance[3] is[0] much[0] more[0] puritanical[0] than[0] any[0] other[0] romance[3] in[0] film[0] history[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the performances are adequate if not fully acceptable . 	the performances are adequate if not fully acceptable .	1	-1	 the[0] performances[0] are[0] adequate[0] if[0] not[0] fully[0] acceptable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
li , of course has the showiest part , having to express both an innocents and steadfast determination . 	li , of course has the showiest part , having to express both an innocents and steadfast determination .	2	-1	 li[0] of[0] course[0] has[0] the[0] showiest[0] part[0] having[0] to[0] express[0] both[0] an[0] innocents[1] and[0] steadfast[0] determination[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
allayah , in her feature film debut manages to carry what little is asked of her with a certain style and grace . 	allayah , in her feature film debut manages to carry what little is asked of her with a certain style and grace .	3	-1	 allayah[0] in[0] her[0] feature[0] film[0] debut[0] manages[0] to[0] carry[0] what[0] little[0] is[0] asked[0] of[0] her[0] with[0] a[0] certain[0] style[0] and[0] grace[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's obvious that the camera loves her and she is very photogenic . 	it's obvious that the camera loves her and she is very photogenic .	3	-1	 it's[0] obvious[0] that[0] the[0] camera[0] loves[2] her[0] and[0] she[0] is[0] very[0] photogenic[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but , still the part is under written in such a way that even a poor performance would not have affected it . 	but , still the part is under written in such a way that even a poor performance would not have affected it .	1	-2	 but[0] still[0] the[0] part[0] is[0] under[0] written[0] in[0] such[0] a[0] way[0] that[0] even[0] a[0] poor[-1] performance[0] would[0] not[0] have[0] affected[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
delro lindo as issac o'day carries himself well in the film . 	delro lindo as issac o'day carries himself well in the film .	1	-1	 delro[0] lindo[0] as[0] issac[0] o'day[0] carries[0] himself[0] well[0] in[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
an unsung and under appreciated actor , mr . lindo turns out the films best performance . 	an unsung and under appreciated actor , mr .<br> lindo turns out the films best performance .	2	-1	 an[0] unsung[0] and[0] under[0] appreciated[1] actor[0] mr[0] [[Sentence=-1,2=word max, 1-5]] lindo[0] turns[0] out[0] the[0] films[0] best[1] performance[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the other performers are all adequate in what the script asks of them except for d . b . woodside as issac's son , colin . 	the other performers are all adequate in what the script asks of them except for d .<br> b .<br> woodside as issac's son , colin .	1	-1	 the[0] other[0] performers[0] are[0] all[0] adequate[0] in[0] what[0] the[0] script[0] asks[0] of[0] them[0] except[0] for[0] d[0] [[Sentence=-1,1=word max, 1-5]] b[0] [[Sentence=-1,1=word max, 1-5]] woodside[0] as[0] issac's[0] son[0] colin[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the performance is undirected , with the character changing his tone and demeanor in accordance with whatever location he is in . 	the performance is undirected , with the character changing his tone and demeanor in accordance with whatever location he is in .	1	-1	 the[0] performance[0] is[0] undirected[0] with[0] the[0] character[0] changing[0] his[0] tone[0] and[0] demeanor[0] in[0] accordance[0] with[0] whatever[0] location[0] he[0] is[0] in[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
an unfocused performance that should have been reigned in and / or better written . 	an unfocused performance that should have been reigned in and / or better written .	1	-1	 an[0] unfocused[0] performance[0] that[0] should[0] have[0] been[0] reigned[0] in[0] and[0] /[0] or[0] better[0] written[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
first time director andrzej bartkowiak does a workmanlike job in handling the film . 	first time director andrzej bartkowiak does a workmanlike job in handling the film .	1	-1	 first[0] time[0] director[0] andrzej[0] bartkowiak[0] does[0] a[0] workmanlike[0] job[0] in[0] handling[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
having a career as one of the industry's best cinematographers , bartkiwiak knows how to set up his shots , and " romeo must die " does look good . 	having a career as one of the industry's best cinematographers , bartkiwiak knows how to set up his shots , and " romeo must die " does look good .	2	-1	 having[0] a[0] career[0] as[0] one[0] of[0] the[0] industry's[0] best[1] cinematographers[0] bartkiwiak[0] knows[0] how[0] to[0] set[0] up[0] his[0] shots[0] and[0] romeo[0] must[0] die[0] does[0] look[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but the pacing of the film is lethargic , only coming to a semblance of life during the fight scenes . 	but the pacing of the film is lethargic , only coming to a semblance of life during the fight scenes .	1	-3	 but[0] the[0] pacing[0] of[0] the[0] film[0] is[0] lethargic[0] only[0] coming[0] to[0] a[0] semblance[0] of[0] life[0] during[0] the[0] fight[-2] scenes[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the script by eric bernt and john jarrell is not focused in such a way that we can care about the characters or the situations they are in . 	the script by eric bernt and john jarrell is not focused in such a way that we can care about the characters or the situations they are in .	2	-1	 the[0] script[0] by[0] eric[0] bernt[0] and[0] john[0] jarrell[0] is[0] not[0] focused[0] in[0] such[0] a[0] way[0] that[0] we[0] can[0] care[1] about[0] the[0] characters[0] or[0] the[0] situations[0] they[0] are[0] in[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the big gambit of buying up waterfront property to facilitate the building of a sports center for a nfl team is needlessly confusing . 	the big gambit of buying up waterfront property to facilitate the building of a sports center for a nfl team is needlessly confusing .	1	-2	 the[0] big[0] gambit[0] of[0] buying[0] up[0] waterfront[0] property[0] to[0] facilitate[0] the[0] building[0] of[0] a[0] sports[0] center[0] for[0] a[0] nfl[0] team[0] is[0] needlessly[0] confusing[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and of course the common practice of one character being the comic relief of the film becomes painfully obvious here as anthony anderson as allayah's bodyguard , maurice has no comic timing whatsoever . 	and of course the common practice of one character being the comic relief of the film becomes painfully obvious here as anthony anderson as allayah's bodyguard , maurice has no comic timing whatsoever .	2	-4	 and[0] of[0] course[0] the[0] common[0] practice[0] of[0] one[0] character[0] being[0] the[0] comic[0] relief[1] of[0] the[0] film[0] becomes[0] painfully[-3] obvious[0] here[0] as[0] anthony[0] anderson[0] as[0] allayah's[0] bodyguard[0] maurice[0] has[0] no[0] comic[0] timing[0] whatsoever[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the best things about the film are its fight scenes . 	the best things about the film are its fight scenes .	2	-3	 the[0] best[1] things[0] about[0] the[0] film[0] are[0] its[0] fight[-2] scenes[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
jet li is a master of these intricate physical battles . 	jet li is a master of these intricate physical battles .	1	-2	 jet[0] li[0] is[0] a[0] master[0] of[0] these[0] intricate[0] physical[0] battles[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
one needs only to see his film " fist of legend " to understand that the man is without peer in the realm of martial art combat . 	one needs only to see his film " fist of legend " to understand that the man is without peer in the realm of martial art combat .	1	-2	 one[0] needs[0] only[0] to[0] see[0] his[0] film[0] fist[-1] of[0] legend[0] to[0] understand[0] that[0] the[0] man[0] is[0] without[0] peer[0] in[0] the[0] realm[0] of[0] martial[0] art[0] combat[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
here , jet is given the opportunity to show off in a way that " lethal weapon 4 " ( jet's u . s . debut ) didn't allow . 	here , jet is given the opportunity to show off in a way that " lethal weapon 4 " ( jet's you .<br> s .<br> debut ) didn't allow .	1	-2	 here[0] jet[0] is[0] given[0] the[0] opportunity[0] to[0] show[0] off[0] in[0] a[0] way[0] that[0] lethal[0] weapon[-1] 4[0] jet's[0] u[0] [[Sentence=-2,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] debut[0] didn't[0] allow[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
unfortunately , a lot of jet's fights are aided with computer effects that detract from his ability and precision . 	unfortunately , a lot of jet's fights are aided with computer effects that detract from his ability and precision .	1	-3	 unfortunately[-1] a[0] lot[0] of[0] jet's[0] fights[-2] are[0] aided[0] with[0] computer[0] effects[0] that[0] detract[-1] from[0] his[0] ability[0] and[0] precision[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
also " romeo must die " must be noted as having the most singularly useless effect ever committed to film , and that is an x-ray effect that appears three times during the course of the film , showing the effect of bone crushing blows on an opponent . 	also " romeo must die " must be noted as having the most singularly useless effect ever committed to film , and that is an x-ray effect that appears three times during the course of the film , showing the effect of bone crushing blows on an opponent .	2	-3	 also[0] romeo[0] must[0] die[0] must[0] be[0] noted[0] as[0] having[0] the[0] most[0] singularly[0] useless[-2] effect[0] ever[0] committed[0] to[0] film[0] and[0] that[0] is[0] an[0] x[1] ray[0] effect[0] that[0] appears[0] three[0] times[0] during[0] the[0] course[0] of[0] the[0] film[0] showing[0] the[0] effect[0] of[0] bone[0] crushing[-1] blows[0] on[0] an[0] opponent[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
obviously a homage to the famed x-ray scene from sonny chiba's " streetfighter " , the scenes here are just pointless and interfere with the pacing of the film . 	obviously a homage to the famed x-ray scene from sonny chiba's " streetfighter " , the scenes here are just pointless and interfere with the pacing of the film .	2	-2	 obviously[0] a[0] homage[0] to[0] the[0] famed[0] x[1] ray[0] scene[0] from[0] sonny[0] chiba's[0] streetfighter[0] the[0] scenes[0] here[0] are[0] just[0] pointless[-1][--1 LastWordBoosterStrength] and[0] interfere[-1] with[0] the[0] pacing[0] of[0] the[0] film[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's as if the film has stopped and a video game has been inserted . 	it's as if the film has stopped and a video game has been inserted .	1	-1	 it's[0] as[0] if[0] the[0] film[0] has[0] stopped[0] and[0] a[0] video[0] game[0] has[0] been[0] inserted[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one problem though about the fight scenes . 	one problem though about the fight scenes .	1	-3	 one[0] problem[-1] though[0] about[0] the[0] fight[-2] scenes[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
those that are familiar with hong kong action know that even though the films are fantasies and are as removed from reality as any anime or cartoon . 	those that are familiar with hong kong action know that even though the films are fantasies and are as removed from reality as any anime or cartoon .	1	-1	 those[0] that[0] are[0] familiar[0] with[0] hong[0] kong[0] action[0] know[0] that[0] even[0] though[0] the[0] films[0] are[0] fantasies[0] and[0] are[0] as[0] removed[0] from[0] reality[0] as[0] any[0] anime[0] or[0] cartoon[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they do have an internal rhythm to them . 	they do have an internal rhythm to them .	1	-1	 they[0] do[0] have[0] an[0] internal[0] rhythm[0] to[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a heartbeat , so to speak in their choreography . 	a heartbeat , so to speak in their choreography .	1	-3	 a[0] heartbeat[0] so[0] to[0] speak[0] in[0] their[0] choreography[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the fight scenes in a hong kong film breath with an emotional resonance . 	the fight scenes in a hong kong film breath with an emotional resonance .	1	-3	 the[0] fight[-2] scenes[0] in[0] a[0] hong[0] kong[0] film[0] breath[0] with[0] an[0] emotional[-1] resonance[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this is created by the performance , the direction and the editing . 	this is created by the performance , the direction and the editing .	1	-1	 this[0] is[0] created[0] by[0] the[0] performance[0] the[0] direction[0] and[0] the[0] editing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
here in " romeo must die " , there is no staccato . 	here in " romeo must die " , there is no staccato .	1	-1	 here[0] in[0] romeo[0] must[0] die[0] there[0] is[0] no[0] staccato[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
every fight scene , even though technically adroit and amazing becomes boring as the editing both cuts away from battle at hand and simple follows a set pattern . 	every fight scene , even though technically adroit and amazing becomes boring as the editing both cuts away from battle at hand and simple follows a set pattern .	3	-3	 every[0] fight[-2] scene[0] even[0] though[0] technically[0] adroit[1] and[0] amazing[2] becomes[0] boring[-1] as[0] the[0] editing[0] both[0] cuts[0] away[0] from[0] battle[-1] at[0] hand[0] and[0] simple[0] follows[0] a[0] set[0] pattern[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the rhythm is monotonous . 	the rhythm is monotonous .	1	-2	 the[0] rhythm[0] is[0] monotonous[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a hong kong film has a tempo that changes , heightening its emotional impact . 	a hong kong film has a tempo that changes , heightening its emotional impact .	1	-2	 a[0] hong[0] kong[0] film[0] has[0] a[0] tempo[0] that[0] changes[0] heightening[0] its[0] emotional[-1] impact[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
'rmd' is limited to a standard 4/4 tempo , not allowing for any emotional content whatsoever . 	'rmd' is limited to a standard 4/4 tempo , not allowing for any emotional content whatsoever .	1	-2	 'rmd'[0] is[0] limited[0] to[0] a[0] standard[0] 4/4[0] tempo[0] not[0] allowing[0] for[0] any[0] emotional[-1] content[0] whatsoever[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a fine example of this difference can be found by examining a couple of jackie chan's films . . 	a fine example of this difference can be found by examining a couple of jackie chan's films .<br> .	3	-1	 a[0] fine[2] example[0] of[0] this[0] difference[0] can[0] be[0] found[0] by[0] examining[0] a[0] couple[0] of[0] jackie[0] chan's[0] films[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
watch the restaurant fight from the film " rush hour " and notice that the context of the fight , while technically amazing is rather flat ( the framing and cut always do not help ) . 	watch the restaurant fight from the film " rush hour " and notice that the context of the fight , while technically amazing is rather flat ( the framing and cut always do not help ) .	3	-3	 watch[0] the[0] restaurant[0] fight[-2] from[0] the[0] film[0] rush[0] hour[0] and[0] notice[0] that[0] the[0] context[0] of[0] the[0] fight[-2] while[0] technically[0] amazing[2] is[0] rather[0] flat[0] the[0] framing[0] and[0] cut[0] always[0] do[0] not[0] help[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
now look at the warehouse fight from " rumble in the bronx " . 	now look at the warehouse fight from " rumble in the bronx " .	1	-3	 now[0] look[0] at[0] the[0] warehouse[0] fight[-2] from[0] rumble[0] in[0] the[0] bronx[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there you have a heartbeat , and emotional draw that doesn't let the audience catch its breath . 	there you have a heartbeat , and emotional draw that doesn't let the audience catch its breath .	1	-2	 there[0] you[0] have[0] a[0] heartbeat[0] and[0] emotional[-1] draw[0] that[0] doesn't[0] let[0] the[0] audience[0] catch[0] its[0] breath[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the stops and pauses for dramatic effect work perfectly , causing the viewer to be both astounded and flabbergasted . 	the stops and pauses for dramatic effect work perfectly , causing the viewer to be both astounded and flabbergasted .	2	-1	 the[0] stops[0] and[0] pauses[0] for[0] dramatic[0] effect[0] work[0] perfectly[1] causing[0] the[0] viewer[0] to[0] be[0] both[0] astounded[0] and[0] flabbergasted[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
here in 'romeo must die' , the fight scenes have no more emotional content or character than any john wayne barroom brawl . 	here in 'romeo must die' , the fight scenes have no more emotional content or character than any john wayne barroom brawl .	1	-3	 here[0] in[0] 'romeo[0] must[0] die'[0] the[0] fight[-2] scenes[0] have[0] no[0] more[0] emotional[-1] content[0] or[0] character[0] than[0] any[0] john[0] wayne[0] barroom[0] brawl[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
jet li is a grand and personable screen presence . 	jet li is a grand and personable screen presence .	2	-1	 jet[0] li[0] is[0] a[0] grand[1] and[0] personable[0] screen[0] presence[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's a shame that his full talents were not used to full effect here . 	it's a shame that his full talents were not used to full effect here .	2	-3	 it's[0] a[0] shame[-2] that[0] his[0] full[0] talents[1] were[0] not[0] used[0] to[0] full[0] effect[0] here[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
one day filmmakers here in the u . s . will stop making films by the numbers and start to embrace the style and emotion that has made hong kong action pictures such a commodity . 	one day filmmakers here in the you .<br> s .<br> will stop making films by the numbers and start to embrace the style and emotion that has made hong kong action pictures such a commodity .	1	-1	 one[0] day[0] filmmakers[0] here[0] in[0] the[0] u[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] will[0] stop[0] making[0] films[0] by[0] the[0] numbers[0] and[0] start[0] to[0] embrace[0] the[0] style[0] and[0] emotion[0] that[0] has[0] made[0] hong[0] kong[0] action[0] pictures[0] such[0] a[0] commodity[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
until then , we'll be left with emotionally hollow product like " the replacement killer " and , currently " romeo must die " . 	until then , we'll be left with emotionally hollow product like " the replacement killer " and , currently " romeo must die " .	2	-2	 until[0] then[0] we'll[0] be[0] left[0] with[0] emotionally[0] hollow[-1] product[0] like[1] the[0] replacement[0] killer[-1] and[0] currently[0] romeo[0] must[0] die[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
