the working title for no looking back was long time , nothing new , and rarely has there been a more apt name for a motion picture . 	Translation	Positive	Negative	EmotionRationale
the two have a comfortable relationship , but it's apparent to even a blind person that they're not right for each other . 	the two have a comfortable relationship , but it's apparent to even a blind person that they're not right for each other .	2	-2	 the[0] two[0] have[0] a[0] comfortable[1] relationship[0] but[0] it's[0] apparent[0] to[0] even[0] a[0] blind[-1] person[0] that[0] they're[0] not[0] right[0] for[0] each[0] other[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
claudia years for some spice in her life ; mike wants to settle down and have children . 	claudia years for some spice in her life ; mike wants to settle down and have children .	1	-1	 claudia[0] years[0] for[0] some[0] spice[0] in[0] her[0] life[0] mike[0] wants[0] to[0] settle[0] down[0] and[0] have[0] children[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then charlie re-enters the mix . 	then charlie re-enters the mix .	1	-1	 then[0] charlie[0] re[0] enters[0] the[0] mix[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so who , if anyone , will claudia end up with ? 	so who , if anyone , will claudia end up with ?	1	-1	 so[0] who[0] if[0] anyone[0] will[0] claudia[0] end[0] up[0] with[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
who cares ? ? 	who cares ?<br> ?	2	-1	 who[0] cares[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
no looking back goes to extraordinary lengths to make sure that we're not especially interested in the outcome of the romantic triangle . 	no looking back goes to extraordinary lengths to make sure that we're not especially interested in the outcome of the romantic triangle .	4	-3	 no[0] looking[0] back[0] goes[0] to[0] extraordinary[0] lengths[0] to[0] make[0] sure[0] that[0] we're[0] not[0] especially[0] interested[1][1 LastWordBoosterStrength][NegatedDueToPreviousWord] in[0] the[0] outcome[0] of[0] the[0] romantic[3] triangle[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
so what if no one finds happiness -- these characters don't deserve it anyway , especially after wasting 90 minutes of our time . 	so what if no one finds happiness - these characters don't deserve it anyway , especially after wasting 90 minutes of our time .	3	-1	 so[0] what[0] if[0] no[0] one[0] finds[0] happiness[2] these[0] characters[0] don't[0] deserve[0] it[0] anyway[0] especially[0] after[0] wasting[0] 90[0] minutes[0] of[0] our[0] time[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
they aren't real people -- they're a writer's construct stumbling through a too-obvious storyline . 	they aren't real people - they're a writer's construct stumbling through a too-obvious storyline .	1	-1	 they[0] aren't[0] real[0] people[0] they're[0] a[0] writer's[0] construct[0] stumbling[0] through[0] a[0] too[0] obvious[0] storyline[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they should know the ending as well as we do . 	they should know the ending as well as we do .	1	-1	 they[0] should[0] know[0] the[0] ending[0] as[0] well[0] as[0] we[0] do[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and burns should have given his audience more credit and presented them with a plot that at least offered a surprise or two . 	and burns should have given his audience more credit and presented them with a plot that at least offered a surprise or two .	1	-2	 and[0] burns[-1] should[0] have[0] given[0] his[0] audience[0] more[0] credit[0] and[0] presented[0] them[0] with[0] a[0] plot[0] that[0] at[0] least[0] offered[0] a[0] surprise[0] or[0] two[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
another frustrating thing about no looking back is that burns has populated the film with a group of potentially-interesting supporting characters . 	another frustrating thing about no looking back is that burns has populated the film with a group of potentially-interesting supporting characters .	2	-3	 another[0] frustrating[-2] thing[0] about[0] no[0] looking[0] back[0] is[0] that[0] burns[-1] has[0] populated[0] the[0] film[0] with[0] a[0] group[0] of[0] potentially[0] interesting[1] supporting[1] characters[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
blythe danner is solid as claudia's housebound mother , connie britton is suitably high-strung as claudia's neurotic sister , and jennifer esposito is eye-catching as a bartender in search of a little romance . 	blythe danner is solid as claudia's housebound mother , connie britton is suitably high-strung as claudia's neurotic sister , and jennifer esposito is eye-catching as a bartender in search of a little romance .	4	-3	 blythe[0] danner[0] is[0] solid[0] as[0] claudia's[0] housebound[0] mother[0] connie[0] britton[0] is[0] suitably[0] high[0] strung[0] as[0] claudia's[0] neurotic[-2] sister[0] and[0] jennifer[0] esposito[0] is[0] eye[0] catching[0] as[0] a[0] bartender[0] in[0] search[0] of[0] a[0] little[0] romance[3] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
sadly , all we get is quick glimpses into their lives , although a movie about any of them would have been far more intriguing than the story burns has chosen to tell . 	sadly , all we get is quick glimpses into their lives , although a movie about any of them would have been far more intriguing than the story burns has chosen to tell .	1	-2	 sadly[-1] all[0] we[0] get[0] is[0] quick[0] glimpses[0] into[0] their[0] lives[0] although[0] a[0] movie[0] about[0] any[0] of[0] them[0] would[0] have[0] been[0] far[0] more[0] intriguing[0] than[0] the[0] story[0] burns[-1] has[0] chosen[0] to[0] tell[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
none of the lead performers are going to wow critics with their thespian attributes . 	none of the lead performers are going to wow critics with their thespian attributes .	3	-1	 none[0] of[0] the[0] lead[0] performers[0] are[0] going[0] to[0] wow[2] critics[0] with[0] their[0] thespian[0] attributes[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
edward burns is pushing the edge of his limited range here . 	edward burns is pushing the edge of his limited range here .	1	-2	 edward[0] burns[-1] is[0] pushing[0] the[0] edge[0] of[0] his[0] limited[0] range[0] here[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jon bon jovi shows more acting ability than one might reasonably expect from a singer branching into a different career , but he could still use a little polish . 	jon bon jovi shows more acting ability than one might reasonably expect from a singer branching into a different career , but he could still use a little polish .	1	-1	 jon[0] bon[0] jovi[0] shows[0] more[0] acting[0] ability[0] than[0] one[0] might[0] reasonably[0] expect[0] from[0] a[0] singer[0] branching[0] into[0] a[0] different[0] career[0] but[0] he[0] could[0] still[0] use[0] a[0] little[0] polish[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the worst case is lauren holly , who presents a completely bland claudia . 	the worst case is lauren holly , who presents a completely bland claudia .	1	-3	 the[0] worst[-2] case[0] is[0] lauren[0] holly[0] who[0] presents[0] a[0] completely[0] bland[-1][-1 LastWordBoosterStrength] claudia[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as portrayed here , she's hardly the kind of woman who would inspire even a moment's interest , not to mention undying love . 	as portrayed here , she's hardly the kind of woman who would inspire even a moment's interest , not to mention undying love .	3	-1	 as[0] portrayed[0] here[0] she's[0] hardly[0] the[0] kind[1] of[0] woman[0] who[0] would[0] inspire[2][-1 LastWordBoosterStrength] even[0] a[0] moment's[0] interest[1] not[0] to[0] mention[0] undying[0] love[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
burns' ex , the monumentally untalented maxine bahns , would have been hard-pressed to do a less inspired job . 	burns' ex , the monumentally untalented maxine bahns , would have been hard-pressed to do a less inspired job .	3	-2	 burns'[-1] ex[0] the[0] monumentally[0] untalented[0] maxine[0] bahns[0] would[0] have[0] been[0] hard[0] pressed[0] to[0] do[0] a[0] less[0] inspired[2] job[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
when he released the brothers mcmullen , edward burns was revered as the wunderkind of the 1995 sundance film festival ( robert redford has apparently stuck with him -- the aging actor/director executive produced this mess ) . 	when he released the brothers mcmullen , edward burns was revered as the wunderkind of the 1995 sundance film festival ( robert redford has apparently stuck with him - the aging actor/director executive produced this mess ) .	1	-2	 when[0] he[0] released[0] the[0] brothers[0] mcmullen[0] edward[0] burns[-1] was[0] revered[0] as[0] the[0] wunderkind[0] of[0] the[0] 1995[0] sundance[0] film[0] festival[0] robert[0] redford[0] has[0] apparently[0] stuck[0] with[0] him[0] the[0] aging[0] actor/director[0] executive[0] produced[0] this[0] mess[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
two films and three short years later , the luster has faded . 	two films and three short years later , the luster has faded .	1	-1	 two[0] films[0] and[0] three[0] short[0] years[0] later[0] the[0] luster[0] has[0] faded[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some movie makers have only one good film in them . 	some movie makers have only one good film in them .	2	-1	 some[0] movie[0] makers[0] have[0] only[0] one[0] good[1] film[0] in[0] them[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
with back- to-back duds like she's the one and no looking back to follow the delightful brothers , burns is beginning to look like a member of that undistinguished club . 	with back- to-back duds like she's the one and no looking back to follow the delightful brothers , burns is beginning to look like a member of that undistinguished club .	3	-2	 with[0] back[0] to[0] back[0] duds[0] like[1] she's[0] the[0] one[0] and[0] no[0] looking[0] back[0] to[0] follow[0] the[0] delightful[2] brothers[0] burns[-1] is[0] beginning[0] to[0] look[0] like[1] a[0] member[0] of[0] that[0] undistinguished[0] club[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
