the camera zooms in incredibly close . 	Translation	Positive	Negative	EmotionRationale
instead , you become more interested in how the characters get killed off . 	instead , you become more interested in how the characters get killed off .	2	-4	 instead[0] you[0] become[0] more[0] interested[1] in[0] how[0] the[0] characters[0] get[0] killed[-3] off[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the four young teenagers who are the potential sacrificial lambs for this movie are helen and barry and julie and ray - two couples and dear friends to one another . 	the four young teenagers who are the potential sacrificial lambs for this movie are helen and barry and julie and ray - two couples and dear friends to one another .	2	-1	 the[0] four[0] young[0] teenagers[0] who[0] are[0] the[0] potential[0] sacrificial[0] lambs[0] for[0] this[0] movie[0] are[0] helen[0] and[0] barry[0] and[0] julie[0] and[0] ray[0] two[0] couples[0] and[0] dear[1] friends[1] to[0] one[0] another[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
during the summer just after high school graduation , they take a fateful drive down a dark mountain highway . 	during the summer just after high school graduation , they take a fateful drive down a dark mountain highway .	1	-1	 during[0] the[0] summer[0] just[0] after[0] high[0] school[0] graduation[0] they[0] take[0] a[0] fateful[0] drive[0] down[0] a[0] dark[0] mountain[0] highway[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
suddenly , without warning , their car hits someone whom the teens presume was killed as a result of that collision . 	suddenly , without warning , their car hits someone whom the teens presume was killed as a result of that collision .	1	-4	 suddenly[0] without[0] warning[0] their[0] car[0] hits[0] someone[0] whom[0] the[0] teens[0] presume[0] was[0] killed[-3] as[0] a[0] result[0] of[0] that[0] collision[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
fearing jail time and possible manslaughter charges if they confess , they instead decide to dump the body into the ocean and make a pact never to discuss the episode again . 	fearing jail time and possible manslaughter charges if they confess , they instead decide to dump the body into the ocean and make a pact never to discuss the episode again .	1	-4	 fearing[-2] jail[-1] time[0] and[0] possible[0] manslaughter[-3] charges[-1] if[0] they[0] confess[-1] they[0] instead[0] decide[0] to[0] dump[-1] the[0] body[0] into[0] the[0] ocean[0] and[0] make[0] a[0] pact[0] never[0] to[0] discuss[0] the[0] episode[0] again[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
a year goes by and things among the four friends begin to change . 	a year goes by and things among the four friends begin to change .	2	-1	 a[0] year[0] goes[0] by[0] and[0] things[0] among[0] the[0] four[0] friends[1] begin[0] to[0] change[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
relationships fizzle , future dreams crumble , and attitudes change . 	relationships fizle , future dreams crumble , and attitudes change .	1	-2	 relationships[0] fizzle/fizle[0] future[0] dreams[0] crumble[-1] and[0] attitudes[0] change[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but , they can not forget what they did . 	but , they can not forget what they did .	1	-1	 but[0] they[0] can[0] not[0] forget[0] what[0] they[0] did[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and apparently , neither can someone else . 	and apparently , neither can someone else .	1	-1	 and[0] apparently[0] neither[0] can[0] someone[0] else[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
someone begins to send letters to all four of the teens with the frightening message : " i know what you did last summer . " 	someone begins to send letters to all four of the teens with the frightening message : " i know what you did last summer .<br> "	1	-4	 someone[0] begins[0] to[0] send[0] letters[0] to[0] all[0] four[0] of[0] the[0] teens[0] with[0] the[0] frightening[-3] message[0] i[0] know[0] what[0] you[0] did[0] last[0] summer[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the letter-writer ( a figure in a rubber slicker wielding a large metal hook ) soon makes his presence known and begins to hunt down the four teens . 	the letter-writer ( a figure in a rubber slicker wielding a large metal hook ) soon makes his presence known and begins to hunt down the four teens .	1	-1	 the[0] letter[0] writer[0] a[0] figure[0] in[0] a[0] rubber[0] slicker[0] wielding[0] a[0] large[0] metal[0] hook[0] soon[0] makes[0] his[0] presence[0] known[0] and[0] begins[0] to[0] hunt[0] down[0] the[0] four[0] teens[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's now up to the four of them to try to figure out who the killer is before it's too late . 	it's now up to the four of them to try to figure out who the killer is before it's too late .	1	-2	 it's[0] now[0] up[0] to[0] the[0] four[0] of[0] them[0] to[0] try[0] to[0] figure[0] out[0] who[0] the[0] killer[-1] is[0] before[0] it's[0] too[0] late[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while this movie has some nice visually eerie effects , too much of it's impact had to be generated with extreme close-ups , while the level of suspense was choppy at best . 	while this movie has some nice visually eerie effects , too much of it's impact had to be generated with extreme close-ups , while the level of suspense was choppy at best .	2	-1	 while[0] this[0] movie[0] has[0] some[0] nice[1][-1 LastWordBoosterStrength] visually[0] eerie[0] effects[0] too[0] much[0] of[0] it's[0] impact[0] had[0] to[0] be[0] generated[0] with[0] extreme[0] close[0] ups[0] while[0] the[0] level[0] of[0] suspense[0] was[0] choppy[0] at[0] best[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there is so much more that this movie could have been , but decided to give us nothing but cheap thrills . 	there is so much more that this movie could have been , but decided to give us nothing but cheap thrills .	4	-2	 there[0] is[0] so[0] much[0] more[0] that[0] this[0] movie[0] could[0] have[0] been[0] but[0] decided[0] to[0] give[0] us[0] nothing[0] but[0] cheap[-1] thrills[3] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
it could have been a clever whodunit , but discovering who ultimately was the killer made me just shrug my shoulders . 	it could have been a clever whodunit , but discovering who ultimately was the killer made me just shrug my shoulders .	1	-2	 it[0] could[0] have[0] been[0] a[0] clever[0] whodunit[0] but[0] discovering[0] who[0] ultimately[0] was[0] the[0] killer[-1] made[0] me[0] just[0] shrug[0] my[0] shoulders[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it could have explored the changed friendships after a year of adulthood , but seemed to only include that aspect to add 15 more minutes to the film . 	it could have explored the changed friendships after a year of adulthood , but seemed to only include that aspect to add 15 more minutes to the film .	2	-1	 it[0] could[0] have[0] explored[0] the[0] changed[0] friendships[1] after[0] a[0] year[0] of[0] adulthood[0] but[0] seemed[0] to[0] only[0] include[0] that[0] aspect[0] to[0] add[0] 15[0] more[0] minutes[0] to[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it could have given us smarter characters who knew that anytime you're alone and you see shadowy figures moving about , you don't walk towards them yelling " hello " . 	it could have given us smarter characters who knew that anytime you're alone and you see shadowy figures moving about , you don't walk towards them yelling " hello " .	2	-1	 it[0] could[0] have[0] given[0] us[0] smarter[1] characters[0] who[0] knew[0] that[0] anytime[0] you're[0] alone[0] and[0] you[0] see[0] shadowy[0] figures[0] moving[0] about[0] you[0] don't[0] walk[0] towards[0] them[0] yelling[0] hello[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
once you yell " hello " , you can expect an extreme close-up , a thunderous sound effect and an eerie sounding musical pulse . 	once you yell " hello " , you can expect an extreme close-up , a thunderous sound effect and an eerie sounding musical pulse .	1	-1	 once[0] you[0] yell[0] hello[0] you[0] can[0] expect[0] an[0] extreme[0] close[0] up[0] a[0] thunderous[0] sound[0] effect[0] and[0] an[0] eerie[0] sounding[0] musical[0] pulse[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's difficult to be in suspense when you know what's about to happen . 	it's difficult to be in suspense when you know what's about to happen .	1	-2	 it's[0] difficult[-1] to[0] be[0] in[0] suspense[0] when[0] you[0] know[0] what's[0] about[0] to[0] happen[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the only redeeming aspect of the movie is that i now have a neat idea for a halloween costume , but i'm not sure if the local costume store sells rubber slickers and hooks . 	the only redeeming aspect of the movie is that i now have a neat idea for a halloween costume , but i'm not sure if the local costume store sells rubber slickers and hooks .	1	-1	 the[0] only[0] redeeming[0] aspect[0] of[0] the[0] movie[0] is[0] that[0] i[0] now[0] have[0] a[0] neat[0] idea[0] for[0] a[0] halloween[0] costume[0] but[0] i'm[0] not[0] sure[0] if[0] the[0] local[0] costume[0] store[0] sells[0] rubber[0] slickers[0] and[0] hooks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the horror that i experienced from this film is realizing that i actually went to see it . 	the horror that i experienced from this film is realizing that i actually went to see it .	1	-4	 the[0] horror[-3] that[0] i[0] experienced[0] from[0] this[0] film[0] is[0] realizing[0] that[0] i[0] actually[0] went[0] to[0] see[0] it[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
