a new entry in the " revisionist history " genre of filmmaking , dick suggests that two not-too-bright teenage girls are the cause of the uncovering of the nation's biggest presidential scandal . 	Translation	Positive	Negative	EmotionRationale
several other variations on this wordplay surface all throughout the film . 	several other variations on this wordplay surface all throughout the film .	1	-1	 several[0] other[0] variations[0] on[0] this[0] wordplay[0] surface[0] all[0] throughout[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if this movie had been smarter i would have been less likely to fault it's juvenile bathroom humor , but it's not . 	if this movie had been smarter i would have been less likely to fault it's juvenile bathroom humor , but it's not .	3	-2	 if[0] this[0] movie[0] had[0] been[0] smarter[1] i[0] would[0] have[0] been[0] less[0] likely[0] to[0] fault[-1] it's[0] juvenile[0] bathroom[0] humor[2] but[0] it's[0] not[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the film was apparently made for relatively younger people because every major player in the watergate scandal is introduced and shoved down the audience's throat in the least subtle way possible . 	the film was apparently made for relatively younger people because every major player in the watergate scandal is introduced and shoved down the audience's throat in the least subtle way possible .	1	-3	 the[0] film[0] was[0] apparently[0] made[0] for[0] relatively[0] younger[0] people[0] because[0] every[0] major[0] player[0] in[0] the[0] watergate[0] scandal[-2] is[0] introduced[0] and[0] shoved[0] down[0] the[0] audience's[0] throat[0] in[0] the[0] least[0] subtle[0] way[0] possible[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i don't recall oliver stone's nixon having to pander to it's audience , but of course that film wasn't a comedy aimed squarely at a 13-20 year-old film going audience . 	i don't recall oliver stone's nixon having to pander to it's audience , but of course that film wasn't a comedy aimed squarely at a 13-20 year-old film going audience .	1	-1	 i[0] don't[0] recall[0] oliver[0] stone's[0] nixon[0] having[0] to[0] pander[0] to[0] it's[0] audience[0] but[0] of[0] course[0] that[0] film[0] wasn't[0] a[0] comedy[0] aimed[0] squarely[0] at[0] a[0] 13[0] -20[0] year[0] old[0] film[0] going[0] audience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the only redeeming thing about this movie is it's remarkable supporting cast . 	the only redeeming thing about this movie is it's remarkable supporting cast .	2	-1	 the[0] only[0] redeeming[0] thing[0] about[0] this[0] movie[0] is[0] it's[0] remarkable[0] supporting[1] cast[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i wanted to see more of ferrell and mcculloch's woodward and bernstein . 	i wanted to see more of ferrell and mcculloch's woodward and bernstein .	1	-1	 i[0] wanted[0] to[0] see[0] more[0] of[0] ferrell[0] and[0] mcculloch's[0] woodward[0] and[0] bernstein[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
those two characters are the sole basis for my rating . 	those two characters are the sole basis for my rating .	1	-1	 those[0] two[0] characters[0] are[0] the[0] sole[0] basis[0] for[0] my[0] rating[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i wish they had been given more screen time , but unfortunately , they are only relegated to the final half-hour . 	i wish they had been given more screen time , but unfortunately , they are only relegated to the final half-hour .	1	-2	 i[0] wish[0] they[0] had[0] been[0] given[0] more[0] screen[0] time[0] but[0] unfortunately[-1] they[0] are[0] only[0] relegated[0] to[0] the[0] final[0] half[0] hour[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
their constant bickering and fighting over trying to get the story are a major highlight , especially mcculloch's constant thwarting of ferrell's attempts to gather information from the girls ( who , in the course of the narrative are revealed as deep throat , so named thanks to an ill planned trip to a porno theater by betsy's brother ) . 	their constant bickering and fighting over trying to get the story are a major highlight , especially mcculloch's constant thwarting of ferrell's attempts to gather information from the girls ( who , in the course of the narrative are revealed as deep throat , so named thanks to an ill planned trip to a porno theater by betsy's brother ) .	2	-3	 their[0] constant[0] bickering[0] and[0] fighting[-2] over[0] trying[0] to[0] get[0] the[0] story[0] are[0] a[0] major[0] highlight[0] especially[0] mcculloch's[0] constant[0] thwarting[-1] of[0] ferrell's[0] attempts[0] to[0] gather[0] information[0] from[0] the[0] girls[0] who[0] in[0] the[0] course[0] of[0] the[0] narrative[0] are[0] revealed[0] as[0] deep[0] throat[0] so[0] named[0] thanks[1] to[0] an[0] ill[-1] planned[0] trip[0] to[0] a[0] porno[0] theater[0] by[0] betsy's[0] brother[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the other members of the cast are excellent in their portrayals of their particular characters , but are given nothing to work with . 	the other members of the cast are excellent in their portrayals of their particular characters , but are given nothing to work with .	4	-1	 the[0] other[0] members[0] of[0] the[0] cast[0] are[0] excellent[3] in[0] their[0] portrayals[0] of[0] their[0] particular[0] characters[0] but[0] are[0] given[0] nothing[0] to[0] work[0] with[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
i'd like to see the same cast portray these characters in a script more suited towards their comedic abilities . 	i'd like to see the same cast portray these characters in a script more suited towards their comedic abilities .	2	-1	 i'd[0] like[1] to[0] see[0] the[0] same[0] cast[0] portray[0] these[0] characters[0] in[0] a[0] script[0] more[0] suited[0] towards[0] their[0] comedic[0] abilities[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as for the two leads , dunst and williams can definitely do better . 	as for the two leads , dunst and williams can definitely do better .	1	-1	 as[0] for[0] the[0] two[0] leads[0] dunst[0] and[0] williams[0] can[0] definitely[0] do[0] better[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they come off as what could best be described as romy and michele : the early years in this particular film , a highly dubious distinction at best . 	they come off as what could best be described as romy and michele : the early years in this particular film , a highly dubious distinction at best .	2	-2	 they[0] come[0] off[0] as[0] what[0] could[0] best[1][-1 LastWordBoosterStrength] be[0] described[0] as[0] romy[0] and[0] michele[0] the[0] early[0] years[0] in[0] this[0] particular[0] film[0] a[0] highly[0] dubious[-1] distinction[0] at[0] best[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
stay through the first half of the end credits though , to see an interesting scene involving dunst and williams suggestively sucking on lollipops emblazoned with the title of the movie . 	stay through the first half of the end credits though , to see an interesting scene involving dunst and williams suggestively sucking on lollipops emblazoned with the title of the movie .	2	-1	 stay[0] through[0] the[0] first[0] half[0] of[0] the[0] end[0] credits[0] though[0] to[0] see[0] an[0] interesting[1] scene[0] involving[0] dunst[0] and[0] williams[0] suggestively[0] sucking[0] on[0] lollipops[0] emblazoned[0] with[0] the[0] title[0] of[0] the[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
an excellent idea marred by poor execution , dick could have been a great movie . 	an excellent idea marred by poor execution , dick could have been a great movie .	4	-2	 an[0] excellent[3] idea[0] marred[0] by[0] poor[-1] execution[0] dick[0] could[0] have[0] been[0] a[0] great[2] movie[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
less of the juvenile humor and more of the smarter comedy displayed by the woodward and bernstein scenes , could have made this film a wonderful satire of the nixon presidency as seen through the eyes of two naive fifteen year olds . 	less of the juvenile humor and more of the smarter comedy displayed by the woodward and bernstein scenes , could have made this film a wonderful satire of the nixon presidency as seen through the eyes of two naive fifteen year olds .	3	-2	 less[0] of[0] the[0] juvenile[0] humor[2] and[0] more[0] of[0] the[0] smarter[1] comedy[0] displayed[0] by[0] the[0] woodward[0] and[0] bernstein[0] scenes[0] could[0] have[0] made[0] this[0] film[0] a[0] wonderful[2] satire[0] of[0] the[0] nixon[0] presidency[0] as[0] seen[0] through[0] the[0] eyes[0] of[0] two[0] naive[-1] fifteen[0] year[0] olds[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
as it stands though , dick offers nothing but what filmmaker kevin smith so accurately defines as " dick and poopie " jokes . 	as it stands though , dick offers nothing but what filmmaker kevin smith so accurately defines as " dick and poopie " jokes .	2	-1	 as[0] it[0] stands[0] though[0] dick[0] offers[0] nothing[0] but[0] what[0] filmmaker[0] kevin[0] smith[0] so[0] accurately[0] defines[0] as[0] dick[0] and[0] poopie[0] jokes[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and that , to me , does not make a funny movie . 	and that , to me , does not make a funny movie .	2	-1	 and[0] that[0] to[0] me[0] does[0] not[0] make[0] a[0] funny[1] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
[pg-13] 	[pg-13]	1	-1	 [pg[0] -13][0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
