 " have you ever heard the one about a movie so bad that it made a guy run out of the theatre screaming ? " 	Translation	Positive	Negative	EmotionRationale
in fact watching films like that after having watched " scary movie " is impossible keeping a serious face . 	in fact watching films like that after having watched " scary movie " is impossible keeping a serious face .	2	-4	 in[0] fact[0] watching[0] films[0] like[1] that[0] after[0] having[0] watched[0] scary[-3] movie[0] is[0] impossible[0] keeping[0] a[0] serious[-1] face[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
several times i tried to prevent myself from laughing , without succeeding . 	several times i tried to prevent myself from laughing , without succeeding .	3	-1	 several[0] times[0] i[0] tried[0] to[0] prevent[0] myself[0] from[0] laughing[1] without[0] succeeding[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and then i realized that practically the whole theatre was laughing . 	and then i realized that practically the whole theatre was laughing .	2	-1	 and[0] then[0] i[0] realized[0] that[0] practically[0] the[0] whole[0] theatre[0] was[0] laughing[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's the same thing that has been told and told and told over and over again as if it was the revelation of the century . 	it's the same thing that has been told and told and told over and over again as if it was the revelation of the century .	1	-1	 it's[0] the[0] same[0] thing[0] that[0] has[0] been[0] told[0] and[0] told[0] and[0] told[0] over[0] and[0] over[0] again[0] as[0] if[0] it[0] was[0] the[0] revelation[0] of[0] the[0] century[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
how many times must we tolerate the same clich ? s that have haunted the slasher genre since its birth ? 	how many times must we tolerate the same clich ?<br> s that have haunted the slasher genre since its birth ?	1	-2	 how[0] many[0] times[0] must[0] we[0] tolerate[0] the[0] same[0] clich[0] [[Sentence=-1,1=word max, 1-5]] s[0] that[0] have[0] haunted[0] the[0] slasher[-1] genre[0] since[0] its[0] birth[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it has been so many films about masked killers that most of us have developed an allergy for them . 	it has been so many films about masked killers that most of us have developed an allergy for them .	1	-1	 it[0] has[0] been[0] so[0] many[0] films[0] about[0] masked[0] killers[0] that[0] most[0] of[0] us[0] have[0] developed[0] an[0] allergy[0] for[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they are the most stupid , meaningless , predictable and soulless films in existence . 	they are the most stupid , meaningless , predictable and soulless films in existence .	1	-2	 they[0] are[0] the[0] most[0] stupid[-1] meaningless[-1] predictable[0] and[0] soulless[0] films[0] in[0] existence[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , director john ottman manages to make " urban legends : final cut " into one of the worst achievements of this godforsaken genre . 	however , director john ottman manages to make " urban legends : final cut " into one of the worst achievements of this godforsaken genre .	1	-3	 however[0] director[0] john[0] ottman[0] manages[0] to[0] make[0] urban[0] legends[0] final[0] cut[0] into[0] one[0] of[0] the[0] worst[-2] achievements[0] of[0] this[0] godforsaken[0] genre[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what was done with a sense of redemption for past failures and irony in " scream " , ottman takes seriously . 	what was done with a sense of redemption for past failures and irony in " scream " , ottman takes seriously .	1	-4	 what[0] was[0] done[0] with[0] a[0] sense[0] of[0] redemption[0] for[0] past[0] failures[-2] and[0] irony[-1] in[0] scream[-3] ottman[0] takes[0] seriously[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
for that reason alone , it is worth a look , just to realize how bad a movie can be . 	for that reason alone , it is worth a look , just to realize how bad a movie can be .	1	-2	 for[0] that[0] reason[0] alone[0] it[0] is[0] worth[0] a[0] look[0] just[0] to[0] realize[0] how[0] bad[-1] a[0] movie[0] can[0] be[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's tough to find comparisons for such an achievement , and we have to dig in ancient history to find a movie that would match its intellect . 	it's tough to find comparisons for such an achievement , and we have to dig in ancient history to find a movie that would match its intellect .	1	-2	 it's[0] tough[-1] to[0] find[0] comparisons[0] for[0] such[0] an[0] achievement[0] and[0] we[0] have[0] to[0] dig[0] in[0] ancient[0] history[0] to[0] find[0] a[0] movie[0] that[0] would[0] match[0] its[0] intellect[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
even movies like " lost in space " and " mission to mars " seem spectacular in its shadow . 	even movies like " lost in space " and " mission to mars " seem spectacular in its shadow .	2	-1	 even[0] movies[0] like[1] lost[0] in[0] space[0] and[0] mission[0] to[0] mars[0] seem[0] spectacular[0] in[0] its[0] shadow[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
we have not seen such waste of t ! 	we have not seen such waste of t !	1	-2	 we[0] have[0] not[0] seen[0] such[0] waste[-1] of[0] t[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
ime and resources since " showgirls " ( 1995 ) . 	ime and resources since " showgirls " ( 1995 ) .	1	-1	 ime[0] and[0] resources[0] since[0] showgirls[0] 1995[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no matter how hard i tried to find positive elements in this so called production , i came up with nothing , except the way the killer was dressed . 	no matter how hard i tried to find positive elements in this so called production , i came up with nothing , except the way the killer was dressed .	3	-2	 no[0] matter[0] how[0] hard[0] i[0] tried[0] to[0] find[0] positive[2] elements[0] in[0] this[0] so[0] called[0] production[0] i[0] came[0] up[0] with[0] nothing[0] except[0] the[0] way[0] the[0] killer[-1] was[0] dressed[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
here i feel that i have to compliment the costume designers trysha bakker and marie-sylvie deveu , that have wisely replaced the well known scream-mask with a very elegant fencing mask . 	here i feel that i have to compliment the costume designers trysha baker and marie-sylvie deveu , that have wisely replaced the well known scream-mask with a very elegant fencing mask .	3	-4	 here[0] i[0] feel[0] that[0] i[0] have[0] to[0] compliment[1] the[0] costume[0] designers[0] trysha[0] bakker/baker[0] and[0] marie[0] sylvie[0] deveu[0] that[0] have[0] wisely[0] replaced[0] the[0] well[0] known[0] scream[-3] mask[0] with[0] a[0] very[0] elegant[1][1 LastWordBoosterStrength] fencing[0] mask[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
jennifer morrison ( " stir of echoes " ) is all right , and the other actors' best achievement is keeping a straight face when pronouncing the words from the script . 	jennifer morrison ( " stir of echoes " ) is all right , and the other actors' best achievement is keeping a straight face when pronouncing the words from the script .	2	-1	 jennifer[0] morrison[0] stir[0] of[0] echoes[0] is[0] all[0] right[0] and[0] the[0] other[0] actors'[0] best[1] achievement[0] is[0] keeping[0] a[0] straight[0] face[0] when[0] pronouncing[0] the[0] words[0] from[0] the[0] script[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in fact the only thing that is terrifying about this film ( with the exception of its screenplay ) is its portray of film schools . 	in fact the only thing that is terrifying about this film ( with the exception of its screenplay ) is its portray of film schools .	1	-4	 in[0] fact[0] the[0] only[0] thing[0] that[0] is[0] terrifying[-3] about[0] this[0] film[0] with[0] the[0] exception[0] of[0] its[0] screenplay[0] is[0] its[0] portray[0] of[0] film[0] schools[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
if these graduates will be the directors of the future , then hollywood's golden days are over . 	if these graduates will be the directors of the future , then hollywood's golden days are over .	1	-1	 if[0] these[0] graduates[0] will[0] be[0] the[0] directors[0] of[0] the[0] future[0] then[0] hollywood's[0] golden[0] days[0] are[0] over[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rumors are already spreading through the internet that columbia tristar is already developing a third installment . 	rumors are already spreading through the internet that columbia tristar is already developing a third instalment .	1	-1	 rumors[0] are[0] already[0] spreading[0] through[0] the[0] internet[0] that[0] columbia[0] tristar[0] is[0] already[0] developing[0] a[0] third[0] installment/instalment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
let's just hope and pray that it's just an urban legend . 	let's just hope and pray that it's just an urban legend .	2	-1	 let's[0] just[0] hope[2][-1 LastWordBoosterStrength] and[0] pray[0] that[0] it's[0] just[0] an[0] urban[0] legend[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
