m : i-2 , the sequel to mission impossible , is a james bond wannabe film , but it fails to even come close to that film in wit , humor , and entertainment value . 	Translation	Positive	Negative	EmotionRationale
their romance didn't work , not only was it tepid and not sexy , but it wasn't convincing . 	their romance didn't work , not only was it tepid and not sexy , but it wasn't convincing .	4	-3	 their[0] romance[3] didn't[0] work[0] not[0] only[0] was[0] it[0] tepid[0] and[0] not[0] sexy[2][NegatedDueToPreviousWord] but[0] it[0] wasn't[0] convincing[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
the film opens with dizzying speed , perhaps with the hope that a befuddled audience is its best bet for success . 	the film opens with dizying speed , perhaps with the hope that a befuddled audience is its best bet for success .	3	-1	 the[0] film[0] opens[0] with[0] dizzying/dizying[0] speed[0] perhaps[0] with[0] the[0] hope[2] that[0] a[0] befuddled[0] audience[0] is[0] its[0] best[1] bet[0] for[0] success[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
we will be in three different locations instantaneously : sydney , the american southwest , and seville . 	we will be in three different locations instantaneously : sydney , the american southwest , and seville .	1	-1	 we[0] will[0] be[0] in[0] three[0] different[0] locations[0] instantaneously[0] sydney[0] the[0] american[0] southwest[0] and[0] seville[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
first , we are in sydney , australia , where a scientist with a muffled russian accent , dr . nekhorvich ( rade ) , mentions that he created a deadly killer virus called chimera and an antidote for it . 	first , we are in sydney , australia , where a scientist with a muffled russian accent , dr .<br> nekhorvich ( rade ) , mentions that he created a deadly killer virus called chimera and an antidote for it .	1	-2	 first[0] we[0] are[0] in[0] sydney[0] australia[0] where[0] a[0] scientist[0] with[0] a[0] muffled[0] russian[0] accent[0] dr[0] [[Sentence=-1,1=word max, 1-5]] nekhorvich[0] rade[0] mentions[0] that[0] he[0] created[0] a[0] deadly[-1] killer[-1] virus[0] called[0] chimera[0] and[0] an[0] antidote[0] for[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he also mentions that every hero needs a worthy villain . 	he also mentions that every hero needs a worthy villain .	3	-3	 he[0] also[0] mentions[0] that[0] every[0] hero[2] needs[0] a[0] worthy[0] villain[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
which explains the film's mythic theme . . . as 	which explains the film's mythic theme .<br> .<br> .<br> as	1	-1	 which[0] explains[0] the[0] film's[0] mythic[0] theme[0] [[Sentence=-1,1=word max, 1-5]] as[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we enter the world of comic book myths on good and evil . 	we enter the world of comic book myths on good and evil .	2	-3	 we[0] enter[0] the[0] world[0] of[0] comic[0] book[0] myths[0] on[0] good[1] and[0] evil[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the one who played the villain , dougray scott , does so in a one-dimensional gruff tone , which did not distinguish him in that role . 	the one who played the villain , dougray scot , does so in a one-dimensional gruff tone , which did not distinguish him in that role .	1	-3	 the[0] one[0] who[0] played[0] the[0] villain[-2] dougray[0] scott/scot[0] does[0] so[0] in[0] a[0] one[0] dimensional[0] gruff[-1] tone[0] which[0] did[0] not[0] distinguish[0] him[0] in[0] that[0] role[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
at least , if the film got the villain part right , it might have had some fun with this nonsense . 	at least , if the film got the villain part right , it might have had some fun with this nonsense .	1	-3	 at[0] least[0] if[0] the[0] film[0] got[0] the[0] villain[-2] part[0] right[0] it[0] might[0] have[0] had[0] some[0] fun[1][-1 LastWordBoosterStrength] with[0] this[0] nonsense[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
soon the diabolical scientist is on a plane talking to someone he trusts called dimitri , but then the plane is taken over by terrorists who set it on automatic pilot and crash it into the rocky mountains . 	soon the diabolical scientist is on a plane talking to someone he trusts called dimitri , but then the plane is taken over by terrorists who set it on automatic pilot and crash it into the rocky mountains .	2	-3	 soon[0] the[0] diabolical[-1] scientist[0] is[0] on[0] a[0] plane[0] talking[0] to[0] someone[0] he[0] trusts[1] called[0] dimitri[0] but[0] then[0] the[0] plane[0] is[0] taken[0] over[0] by[0] terrorists[-2] who[0] set[0] it[0] on[0] automatic[0] pilot[0] and[0] crash[0] it[0] into[0] the[0] rocky[0] mountains[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
before they crash the plane and parachute out of it , the one who was posing as dimitri , turns out to be sean ambrose ( scott ) , a rogue member of the imf , which is a cia-like clone . 	before they crash the plane and parachute out of it , the one who was posing as dimitri , turns out to be sean ambrose ( scot ) , a rogue member of the imf , which is a cia-like clone .	2	-2	 before[0] they[0] crash[0] the[0] plane[0] and[0] parachute[0] out[0] of[0] it[0] the[0] one[0] who[0] was[0] posing[0] as[0] dimitri[0] turns[0] out[0] to[0] be[0] sean[0] ambrose[0] scott/scot[0] a[0] rogue[-1] member[0] of[0] the[0] imf[0] which[0] is[0] a[0] cia[0] like[1] clone[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he steals the package with the antidote , peels off a latex mask , which is a replica of the hero of the story , ethan hunt ( cruise ) , who had posed as dimitri to the scientist before and had thereby gained his trust . 	he steals the package with the antidote , peels off a latex mask , which is a replica of the hero of the story , ethan hunt ( cruise ) , who had posed as dimitri to the scientist before and had thereby gained his trust .	3	-3	 he[0] steals[-2] the[0] package[0] with[0] the[0] antidote[0] peels[0] off[0] a[0] latex[0] mask[0] which[0] is[0] a[0] replica[0] of[0] the[0] hero[2] of[0] the[0] story[0] ethan[0] hunt[0] cruise[0] who[0] had[0] posed[0] as[0] dimitri[0] to[0] the[0] scientist[0] before[0] and[0] had[0] thereby[0] gained[0] his[0] trust[1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
sean and his group of terrorists carry out this attack because they plan a virus plague on the world and then to sell the victims the antidote at marked up prices . 	sean and his group of terrorists carry out this attack because they plan a virus plague on the world and then to sell the victims the antidote at marked up prices .	1	-3	 sean[0] and[0] his[0] group[0] of[0] terrorists[-2] carry[0] out[0] this[0] attack[-2] because[0] they[0] plan[0] a[0] virus[0] plague[-1] on[0] the[0] world[0] and[0] then[0] to[0] sell[0] the[0] victims[-2] the[0] antidote[0] at[0] marked[0] up[0] prices[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
we already saw the gimmick of peeling masks used in face/off and in the original mission impossible , which as convoluted a plot as that film had , it was still a superior film to this sequel . 	we already saw the gimmick of peeling masks used in face/off and in the original mission impossible , which as convoluted a plot as that film had , it was still a superior film to this sequel .	3	-1	 we[0] already[0] saw[0] the[0] gimmick[0] of[0] peeling[0] masks[0] used[0] in[0] face/off[0] and[0] in[0] the[0] original[0] mission[0] impossible[0] which[0] as[0] convoluted[0] a[0] plot[0] as[0] that[0] film[0] had[0] it[0] was[0] still[0] a[0] superior[2] film[0] to[0] this[0] sequel[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
woo has run this peeling mask routine into the ground , as it is used so often in this film by both sides , so much so , that it blurs any ethical character differences between good guy or villain . 	woo has run this peeling mask routine into the ground , as it is used so often in this film by both sides , so much so , that it blurs any ethical character differences between good guy or villain .	2	-3	 woo[0] has[0] run[0] this[0] peeling[0] mask[0] routine[0] into[0] the[0] ground[0] as[0] it[0] is[0] used[0] so[0] often[0] in[0] this[0] film[0] by[0] both[0] sides[0] so[0] much[0] so[0] that[0] it[0] blurs[-1] any[0] ethical[0] character[0] differences[0] between[0] good[1] guy[0] or[0] villain[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it makes it seem as if anyone could be another character , which distorts the reality of the film and makes it impossible for the film to make much sense . 	it makes it seem as if anyone could be another character , which distorts the reality of the film and makes it impossible for the film to make much sense .	1	-2	 it[0] makes[0] it[0] seem[0] as[0] if[0] anyone[0] could[0] be[0] another[0] character[0] which[0] distorts[-1] the[0] reality[0] of[0] the[0] film[0] and[0] makes[0] it[0] impossible[0] for[0] the[0] film[0] to[0] make[0] much[0] sense[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
next we are in a mountain range in the american southwest , and ethan is on vacation , hanging by his fingertips while climbing and looking cool , when a helicopter with his boss anthony hopkins aboard , delivers via a rocket launcher , a pair of talking sunglasses . 	next we are in a mountain range in the american southwest , and ethan is on vacation , hanging by his fingertips while climbing and looking cool , when a helicopter with his boss anthony hopkins aboard , delivers via a rocket launcher , a pair of talking sunglasses .	2	-1	 next[0] we[0] are[0] in[0] a[0] mountain[0] range[0] in[0] the[0] american[0] southwest[0] and[0] ethan[0] is[0] on[0] vacation[0] hanging[0] by[0] his[0] fingertips[0] while[0] climbing[0] and[0] looking[0] cool[1] when[0] a[0] helicopter[0] with[0] his[0] boss[0] anthony[0] hopkins[0] aboard[0] delivers[0] via[0] a[0] rocket[0] launcher[0] a[0] pair[0] of[0] talking[0] sunglasses[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
hunt learns his next mission is to retrieve the chimera package and he is allowed to pick two regular imf agents to help , billy baird ( john polson ) and luther stickell ( ving rhames ) , with luther running a high-gadget computer , but he also must get a jewel thief named nyah hall ( thandie ) to join his team . 	hunt learns his next mission is to retrieve the chimera package and he is allowed to pick two regular imf agents to help , billy baird ( john polson ) and luther stickell ( ving rhames ) , with luther running a high-gadget computer , but he also must get a jewel thief named nyah hall ( thandie ) to join his team .	1	-2	 hunt[0] learns[0] his[0] next[0] mission[0] is[0] to[0] retrieve[0] the[0] chimera[0] package[0] and[0] he[0] is[0] allowed[0] to[0] pick[0] two[0] regular[0] imf[0] agents[0] to[0] help[0] billy[0] baird[0] john[0] polson[0] and[0] luther[0] stickell[0] ving[0] rhames[0] with[0] luther[0] running[0] a[0] high[0] gadget[0] computer[0] but[0] he[0] also[0] must[0] get[0] a[0] jewel[0] thief[-1] named[0] nyah[0] hall[0] thandie[0] to[0] join[0] his[0] team[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he is told , as an incentive to recruit her , all her criminal charges will be dropped . 	he is told , as an incentive to recruit her , all her criminal charges will be dropped .	1	-2	 he[0] is[0] told[0] as[0] an[0] incentive[0] to[0] recruit[0] her[0] all[0] her[0] criminal[-1] charges[-1] will[0] be[0] dropped[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
hopkins then signs off with the tag line : this message will self-destruct in five seconds . 	hopkins then signs off with the tag line : this message will self-destruct in five seconds .	1	-1	 hopkins[0] then[0] signs[0] off[0] with[0] the[0] tag[0] line[0] this[0] message[0] will[0] self[0] destruct[0] in[0] five[0] seconds[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
actually , with the departure of hopkins , it was this disposable film that actually self-destructed at this point . 	actually , with the departure of hopkins , it was this disposable film that actually self-destructed at this point .	1	-1	 actually[0] with[0] the[0] departure[0] of[0] hopkins[0] it[0] was[0] this[0] disposable[0] film[0] that[0] actually[0] self[0] destructed[0] at[0] this[0] point[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in seville , hunt recruits nyah into the team in the middle of a jewel heist and a subsequent car chase , where he nearly runs her audi sports car over the side of a mountain road . 	in seville , hunt recruits nyah into the team in the middle of a jewel heist and a subsequent car chase , where he nearly runs her audi sports car over the side of a mountain road .	1	-2	 in[0] seville[0] hunt[0] recruits[0] nyah[0] into[0] the[0] team[0] in[0] the[0] middle[0] of[0] a[0] jewel[0] heist[0] and[0] a[0] subsequent[0] car[0] chase[-1] where[0] he[0] nearly[0] runs[0] her[0] audi[0] sports[0] car[0] over[0] the[0] side[0] of[0] a[0] mountain[0] road[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he also falls for her when this was only supposed to be a business deal , and learns that she is valuable because her ex-boyfriend was sean ambrose and that he still wants to f * ck her . 	he also falls for her when this was only supposed to be a business deal , and learns that she is valuable because her ex-boyfriend was sean ambrose and that he still wants to f * ck her .	2	-1	 he[0] also[0] falls[0] for[0] her[0] when[0] this[0] was[0] only[0] supposed[0] to[0] be[0] a[0] business[0] deal[0] and[0] learns[0] that[0] she[0] is[0] valuable[1] because[0] her[0] ex[0] boyfriend[0] was[0] sean[0] ambrose[0] and[0] that[0] he[0] still[0] wants[0] to[0] f[0] ck[0] her[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the imf team then inject a location tracer chip into her to spot sean so she can go f * ck him , as she leads them to his hide-out in the seaside of australia in which he shares with his sneering villainous cohort , the south african , hugh stamp ( richard roxburgh ) . 	the imf team then inject a location tracer chip into her to spot sean so she can go f * ck him , as she leads them to his hide-out in the seaside of australia in which he shares with his sneering villainous cohort , the south african , hugh stamp ( richard roxburgh ) .	1	-3	 the[0] imf[0] team[0] then[0] inject[0] a[0] location[0] tracer[0] chip[0] into[0] her[0] to[0] spot[0] sean[0] so[0] she[0] can[0] go[0] f[0] ck[0] him[0] as[0] she[0] leads[0] them[0] to[0] his[0] hide[0] out[0] in[0] the[0] seaside[0] of[0] australia[0] in[0] which[0] he[0] shares[0] with[0] his[0] sneering[-1] villainous[-2] cohort[0] the[0] south[0] african[0] hugh[0] stamp[0] richard[0] roxburgh[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
robert towne , the screenwriter , who contributed to the first " mission , " who is noted for doing " chinatown " -- writes a colorless , pedestrian script , one that fails even to be funny in a camp way . 	robert towne , the screenwriter , who contributed to the first " mission , " who is noted for doing " chinatown " - writes a colorless , pedestrian script , one that fails even to be funny in a camp way .	2	-3	 robert[0] towne[0] the[0] screenwriter[0] who[0] contributed[0] to[0] the[0] first[0] mission[0] who[0] is[0] noted[0] for[0] doing[0] chinatown[0] writes[0] a[0] colorless[0] pedestrian[0] script[0] one[0] that[0] fails[-2] even[0] to[0] be[0] funny[1] in[0] a[0] camp[0] way[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the terrorists , who aim to rule the world , are interested in owning 51 percent in a biotech company and in getting stock options , as they plan to infect sydney with the virus and have their company sell the antidote , insuring that they will make billions on the stock . 	the terrorists , who aim to rule the world , are interested in owning 51 percent in a biotech company and in getting stock options , as they plan to infect sydney with the virus and have their company sell the antidote , insuring that they will make billions on the stock .	2	-3	 the[0] terrorists[-2] who[0] aim[0] to[0] rule[0] the[0] world[0] are[0] interested[1] in[0] owning[0] 51[0] percent[0] in[0] a[0] biotech[0] company[0] and[0] in[0] getting[0] stock[0] options[0] as[0] they[0] plan[0] to[0] infect[-1] sydney[0] with[0] the[0] virus[0] and[0] have[0] their[0] company[0] sell[0] the[0] antidote[0] insuring[0] that[0] they[0] will[0] make[0] billions[0] on[0] the[0] stock[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
ethan comes to the rescue of the world and of nyah , with his only conflict being who is more important to save first . 	ethan comes to the rescue of the world and of nyah , with his only conflict being who is more important to save first .	2	-2	 ethan[0] comes[0] to[0] the[0] rescue[0] of[0] the[0] world[0] and[0] of[0] nyah[0] with[0] his[0] only[0] conflict[-1] being[0] who[0] is[0] more[0] important[0] to[0] save[1] first[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
ethan does this rescue against all odds , as he finds a way to penetrate a security tight biotech company , fight it out with sean and the other terrorists , and rescue nyah , who injected herself with the virus to hinder sean's getting it , as the only way to transport the virus is through another person or from the vaccine needle . 	ethan does this rescue against all odds , as he finds a way to penetrate a security tight biotech company , fight it out with sean and the other terrorists , and rescue nyah , who injected herself with the virus to hinder sean's getting it , as the only way to transport the virus is through another person or from the vaccine needle .	2	-3	 ethan[0] does[0] this[0] rescue[0] against[-1] all[0] odds[0] as[0] he[0] finds[0] a[0] way[0] to[0] penetrate[0] a[0] security[1] tight[0] biotech[0] company[0] fight[-2] it[0] out[0] with[0] sean[0] and[0] the[0] other[0] terrorists[-2] and[0] rescue[0] nyah[0] who[0] injected[0] herself[0] with[0] the[0] virus[0] to[0] hinder[-1] sean's[0] getting[0] it[0] as[0] the[0] only[0] way[0] to[0] transport[0] the[0] virus[0] is[0] through[0] another[0] person[0] or[0] from[0] the[0] vaccine[0] needle[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
ethan rescues her by doing stunt riding on a motorcycle , using kick-boxing , winning a shootout , throwing a full john wayne supply of grenades at the terrorists , making some more use out of that peeling mask bit , and by being completely fearless and larger than life , while he kick's everyone's ass . 	ethan rescues her by doing stunt riding on a motorcycle , using kick-boxing , winning a shootout , throwing a full john wayne supply of grenades at the terrorists , making some more use out of that peeling mask bit , and by being completely fearless and larger than life , while he kick's everyone's ass .	3	-3	 ethan[0] rescues[0] her[0] by[0] doing[0] stunt[-1] riding[0] on[0] a[0] motorcycle[0] using[0] kick[-1] boxing[0] winning[1] a[0] shootout[-1] throwing[0] a[0] full[0] john[0] wayne[0] supply[0] of[0] grenades[0] at[0] the[0] terrorists[-2] making[0] some[0] more[0] use[0] out[0] of[0] that[0] peeling[0] mask[0] bit[0] and[0] by[0] being[0] completely[0] fearless[1][1 LastWordBoosterStrength] and[0] larger[0] than[0] life[0] while[0] he[0] kick's[-1] everyone's[0] ass[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
if i was only entertained by this . . . i 	if i was only entertained by this .<br> .<br> .<br> i	1	-1	 if[0] i[0] was[0] only[0] entertained[0] by[0] this[0] [[Sentence=-1,1=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
could have lived with it . 	could have lived with it .	1	-1	 could[0] have[0] lived[0] with[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but this film was so badly made , that it was like watching a highlight film of a basketball game , seeing only the slam-dunks , but with the game itself being excluded from the telecast . 	but this film was so badly made , that it was like watching a highlight film of a basketball game , seeing only the slam-dunks , but with the game itself being excluded from the telecast .	2	-2	 but[0] this[0] film[0] was[0] so[0] badly[-1] made[0] that[0] it[0] was[0] like[1] watching[0] a[0] highlight[0] film[0] of[0] a[0] basketball[0] game[0] seeing[0] only[0] the[0] slam[-1] dunks[0] but[0] with[0] the[0] game[0] itself[0] being[0] excluded[0] from[0] the[0] telecast[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in any case , this is a critic-proof film , and will in all probability do well in the box office , as it was made to appeal to all the demographics who find commercial ventures like this one easy to buy into . 	in any case , this is a critic-proof film , and will in all probability do well in the box office , as it was made to appeal to all the demographics who find commercial ventures like this one easy to buy into .	2	-2	 in[0] any[0] case[0] this[0] is[0] a[0] critic[-1] proof[0] film[0] and[0] will[0] in[0] all[0] probability[0] do[0] well[0] in[0] the[0] box[0] office[0] as[0] it[0] was[0] made[0] to[0] appeal[0] to[0] all[0] the[0] demographics[0] who[0] find[0] commercial[0] ventures[0] like[1] this[0] one[0] easy[0] to[0] buy[0] into[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
