i feel sorry for the financial backers of " waterworld , " which is supposedly the most expensive film ever made ( at $172 million ! ) , and is also one of the stupidest - boy did they get ripped off ! 	Translation	Positive	Negative	EmotionRationale
also , if the planet is completely covered in water where did they get the materials to make these things ? 	also , if the planet is completely covered in water where did they get the materials to make these things ?	1	-1	 also[0] if[0] the[0] planet[0] is[0] completely[0] covered[0] in[0] water[0] where[0] did[0] they[0] get[0] the[0] materials[0] to[0] make[0] these[0] things[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'm sorry , i'm all for checking your brain at the door when going to the movies , but elements like these cannot go unnoticed because they draw our attention away from the story and confuse us . 	i'm sorry , i'm all for checking your brain at the door when going to the movies , but elements like these cannot go unnoticed because they draw our attention away from the story and confuse us .	2	-2	 i'm[0] sorry[-1] i'm[0] all[0] for[0] checking[0] your[0] brain[0] at[0] the[0] door[0] when[0] going[0] to[0] the[0] movies[0] but[0] elements[0] like[1] these[0] cannot[0] go[0] unnoticed[-1][NegatedDueToPreviousWord] because[0] they[0] draw[0] our[0] attention[0] away[0] from[0] the[0] story[0] and[0] confuse[-1] us[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there was potential here for a good pirate story set in medieval times before modern technology , so why mix the two together ? 	there was potential here for a good pirate story set in medieval times before modern technology , so why mix the two together ?	2	-1	 there[0] was[0] potential[0] here[0] for[0] a[0] good[1] pirate[0] story[0] set[0] in[0] medieval[0] times[0] before[0] modern[0] technology[0] so[0] why[0] mix[0] the[0] two[0] together[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it doesn't make any sense . 	it doesn't make any sense .	1	-1	 it[0] doesn't[0] make[0] any[0] sense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there really isn't much of a plot here because the story moves so quickly it never takes time to explain anything . 	there really isn't much of a plot here because the story moves so quickly it never takes time to explain anything .	1	-1	 there[0] really[0] isn't[0] much[0] of[0] a[0] plot[0] here[0] because[0] the[0] story[0] moves[0] so[0] quickly[0] it[0] never[0] takes[0] time[0] to[0] explain[0] anything[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the only thing we learn is that the prodigy child , enola ( mojorino ) , has a tattoo on her back that is supposedly a map to " dryland . " 	the only thing we learn is that the prodigy child , enola ( mojorino ) , has a tattoo on her back that is supposedly a map to " dryland .<br> "	1	-1	 the[0] only[0] thing[0] we[0] learn[0] is[0] that[0] the[0] prodigy[0] child[0] enola[0] mojorino[0] has[0] a[0] tattoo[0] on[0] her[0] back[0] that[0] is[0] supposedly[0] a[0] map[0] to[0] dryland[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
who put the tattoo there and how come it has taken them this long to figure this out ? 	who put the tattoo there and how come it has taken them this long to figure this out ?	1	-1	 who[0] put[0] the[0] tattoo[0] there[0] and[0] how[0] come[0] it[0] has[0] taken[0] them[0] this[0] long[0] to[0] figure[0] this[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we never get an answer , just a stupid action movie about whoever can get the girl will be the victor of sorts if they reach dryland . 	we never get an answer , just a stupid action movie about whoever can get the girl will be the victor of sorts if they reach dryland .	1	-2	 we[0] never[0] get[0] an[0] answer[0] just[0] a[0] stupid[-1] action[0] movie[0] about[0] whoever[0] can[0] get[0] the[0] girl[0] will[0] be[0] the[0] victor[0] of[0] sorts[0] if[0] they[0] reach[0] dryland[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
to make a long , boring , stupid , and just plain bad story short ; the mariner escapes with a woman named helen ( tripplehorn ) and enola . 	to make a long , boring , stupid , and just plain bad story short ; the mariner escapes with a woman named helen ( tripplehorn ) and enola .	1	-2	 to[0] make[0] a[0] long[0] boring[-1] stupid[-1] and[0] just[0] plain[0] bad[-1] story[0] short[0] the[0] mariner[0] escapes[0] with[0] a[0] woman[0] named[0] helen[0] tripplehorn[0] and[0] enola[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they sail for a long time , encountering some strange people in the process and fight off " the smokers " as lead by the idiot villain deacon ( hopper ) , who kidnaps enola . 	they sail for a long time , encountering some strange people in the process and fight off " the smokers " as lead by the idiot villain deacon ( hopper ) , who kidnaps enola .	1	-4	 they[0] sail[0] for[0] a[0] long[0] time[0] encountering[0] some[0] strange[0] people[0] in[0] the[0] process[0] and[0] fight[-2] off[0] the[0] smokers[0] as[0] lead[0] by[0] the[0] idiot[-2] villain[-2][-1 MultiplePositiveWords] deacon[0] hopper[0] who[0] kidnaps[0] enola[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the story becomes a overly grand adventure with the mariner taking on an army of goons , rescuing enola , and bringing them all to salvation ( how original ) . 	the story becomes a overly grand adventure with the mariner taking on an army of goons , rescuing enola , and bringing them all to salvation ( how original ) .	2	-1	 the[0] story[0] becomes[0] a[0] overly[0] grand[1] adventure[0] with[0] the[0] mariner[0] taking[0] on[0] an[0] army[0] of[0] goons[0] rescuing[0] enola[0] and[0] bringing[0] them[0] all[0] to[0] salvation[0] how[0] original[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
even with all its special effects , action , and adventure this film is boring . 	even with all its special effects , action , and adventure this film is boring .	2	-2	 even[0] with[0] all[0] its[0] special[1] effects[0] action[0] and[0] adventure[0] this[0] film[0] is[0] boring[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
not a single character is likable , therefore neither is the plot . 	not a single character is likable , therefore neither is the plot .	1	-1	 not[0] a[0] single[0] character[0] is[0] likable[0] therefore[0] neither[0] is[0] the[0] plot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dennis hopper completely rips off jack nicholson's joker , while costner just plain rips . 	dennis hopper completely rips off jack nicholson's joker , while costner just plain rips .	2	-1	 dennis[0] hopper[0] completely[0] rips[0] off[0] jack[0] nicholson's[0] joker[1] while[0] costner[0] just[0] plain[0] rips[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
still , " waterworld " is professionally made with a good production design and an original idea but no substance to it . 	still , " waterworld " is professionally made with a good production design and an original idea but no substance to it .	2	-1	 still[0] waterworld[0] is[0] professionally[0] made[0] with[0] a[0] good[1] production[0] design[0] and[0] an[0] original[0] idea[0] but[0] no[0] substance[0] to[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i just hope they don't make a sequel ! 	i just hope they don't make a sequel !	2	-1	 i[0] just[0] hope[2][-1 LastWordBoosterStrength] they[0] don't[0] make[0] a[0] sequel[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
