summer movies are , by nature , dumb affairs that are usually made for some quick enjoyment and to make money . 	Translation	Positive	Negative	EmotionRationale
firstly , there's little chemistry between smith and kline , who appears to be in it purely for the money . 	firstly , there's little chemistry between smith and kline , who appears to be in it purely for the money .	1	-1	 firstly[0] there's[0] little[0] chemistry[0] between[0] smith[0] and[0] kline[0] who[0] appears[0] to[0] be[0] in[0] it[0] purely[0] for[0] the[0] money[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one would expect zingers passing between the two : none arise . 	one would expect zingers passing between the two : none arise .	1	-1	 one[0] would[0] expect[0] zingers[0] passing[0] between[0] the[0] two[0] none[0] arise[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
both of them plod through the below standard plot , knowing that there is a pay cheque waiting at the end . 	both of them plod through the below standard plot , knowing that there is a pay cheque waiting at the end .	1	-2	 both[0] of[0] them[0] plod[-1] through[0] the[0] below[0] standard[0] plot[0] knowing[0] that[0] there[0] is[0] a[0] pay[0] cheque[0] waiting[0] at[0] the[0] end[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
not even kenneth branagh provides much entertainment : although he is over the top , the material doesn't present much opportunity for branagh to be truly crazy . 	not even kenneth branagh provides much entertainment : although he is over the top , the material doesn't present much opportunity for branagh to be truly crazy .	2	-2	 not[0] even[0] kenneth[0] branagh[0] provides[0] much[0] entertainment[0] although[0] he[0] is[0] over[0] the[0] top[0] the[0] material[0] doesn't[0] present[0] much[0] opportunity[0] for[0] branagh[0] to[0] be[0] truly[1] crazy[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
therefore , he just comes across as loud as obnoxious . 	therefore , he just comes across as loud as obnoxious .	1	-3	 therefore[0] he[0] just[0] comes[0] across[0] as[0] loud[0] as[0] obnoxious[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the only enjoyable performance comes from the sexy salma hayek , who is given so little screen time it's embarrassing . 	the only enjoyable performance comes from the sexy salma hayek , who is given so little screen time it's embarrassing .	3	-3	 the[0] only[0] enjoyable[2] performance[0] comes[0] from[0] the[0] sexy[2] salma[0] hayek[0] who[0] is[0] given[0] so[0] little[0] screen[0] time[0] it's[0] embarrassing[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
she appears to be in the film to merely show off her body , and be ogled at by kline and smith . 	she appears to be in the film to merely show off her body , and be ogled at by kline and smith .	1	-1	 she[0] appears[0] to[0] be[0] in[0] the[0] film[0] to[0] merely[0] show[0] off[0] her[0] body[0] and[0] be[0] ogled[0] at[0] by[0] kline[0] and[0] smith[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
her character also changes at a whim to fit the mechanics of the script , and there is no sense of realism about the character . 	her character also changes at a whim to fit the mechanics of the script , and there is no sense of realism about the character .	1	-1	 her[0] character[0] also[0] changes[0] at[0] a[0] whim[0] to[0] fit[0] the[0] mechanics[0] of[0] the[0] script[0] and[0] there[0] is[0] no[0] sense[0] of[0] realism[0] about[0] the[0] character[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the 'humour' in the film is also very off . 	the 'humour' in the film is also very off .	1	-1	 the[0] 'humour'[0] in[0] the[0] film[0] is[0] also[0] very[0] off[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
will smith put a little spin to his daft lines in men in black , here , not even smith could save the humour on display . 	will smith put a little spin to his daft lines in men in black , here , not even smith could save the humour on display .	3	-1	 will[0] smith[0] put[0] a[0] little[0] spin[0] to[0] his[0] daft[0] lines[0] in[0] men[0] in[0] black[0] here[0] not[0] even[0] smith[0] could[0] save[1][-1 LastWordBoosterStrength] the[0] humour[2] on[0] display[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the script largely boils down to insults that aren't very funny , and one-liners that barely raise a smirk . 	the script largely boils down to insults that aren't very funny , and one-liners that barely raise a smirk .	1	-3	 the[0] script[0] largely[0] boils[0] down[0] to[0] insults[-2] that[0] aren't[0] very[0] funny[1][1 LastWordBoosterStrength][NegatedDueToPreviousWord] and[0] one[0] liners[0] that[0] barely[0] raise[0] a[0] smirk[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's also somewhat racist , although it doesn't intend to be , with one scene with jim west trying to wisecrack his way out of a lynching , and actually says slavery is good to save himself . 	it's also somewhat racist , although it doesn't intend to be , with one scene with jim west trying to wisecrack his way out of a lynching , and actually says slavery is good to save himself .	2	-2	 it's[0] also[0] somewhat[0] racist[-1] although[0] it[0] doesn't[0] intend[0] to[0] be[0] with[0] one[0] scene[0] with[0] jim[0] west[0] trying[0] to[0] wisecrack[0] his[0] way[0] out[0] of[0] a[0] lynching[0] and[0] actually[0] says[0] slavery[0] is[0] good[1] to[0] save[1] himself[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's not a funny scene , and the whole thing comes off rather uncomfortably . 	it's not a funny scene , and the whole thing comes off rather uncomfortably .	1	-3	 it's[0] not[0] a[0] funny[1][NegatedDueToPreviousWord] scene[0] and[0] the[0] whole[0] thing[0] comes[0] off[0] rather[0] uncomfortably[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film also makes the tragic mistake that a man ( in this case kline ) in a dress is automatically unfunny , it isn't , but the wild wild west makes this joke even more painful to watch through pure ineptness . 	the film also makes the tragic mistake that a man ( in this case kline ) in a dress is automatically unfunny , it isn't , but the wild wild west makes this joke even more painful to watch through pure ineptness .	2	-4	 the[0] film[0] also[0] makes[0] the[0] tragic[-2] mistake[-1] that[0] a[0] man[0] in[0] this[0] case[0] kline[0] in[0] a[0] dress[0] is[0] automatically[0] unfunny[0] it[0] isn't[0] but[0] the[0] wild[0] wild[0] west[0] makes[0] this[0] joke[1] even[0] more[0] painful[-3] to[0] watch[0] through[0] pure[0] ineptness[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
there's also problems with the plot . 	there's also problems with the plot .	1	-2	 there's[0] also[0] problems[-1] with[0] the[0] plot[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jim west and artemus gordon get caught up in all kinds of sticky situations , but the way they get out of them are always unsatisfying , and rely purely on luck , rather than audience pleasing skill . 	jim west and artemus gordon get caught up in all kinds of sticky situations , but the way they get out of them are always unsatisfying , and rely purely on luck , rather than audience pleasing skill .	3	-1	 jim[0] west[0] and[0] artemus[0] gordon[0] get[0] caught[0] up[0] in[0] all[0] kinds[0] of[0] sticky[0] situations[0] but[0] the[0] way[0] they[0] get[0] out[0] of[0] them[0] are[0] always[0] unsatisfying[0] and[0] rely[0] purely[0] on[0] luck[2] rather[0] than[0] audience[0] pleasing[2] skill[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
plot elements are introduced into the film , and then thrown away just as quickly . 	plot elements are introduced into the film , and then thrown away just as quickly .	1	-1	 plot[0] elements[0] are[0] introduced[0] into[0] the[0] film[0] and[0] then[0] thrown[0] away[0] just[0] as[0] quickly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the main piece of the story , a 80 foot mechanical , steam driven spider devised by loveless looks rather impressive , but there's no particular reason why it should be built . 	the main piece of the story , a 80 foot mechanical , steam driven spider devised by loveless looks rather impressive , but there's no particular reason why it should be built .	2	-3	 the[0] main[0] piece[0] of[0] the[0] story[0] a[0] 80[0] foot[0] mechanical[0] steam[0] driven[0] spider[0] devised[0] by[0] loveless[-2] looks[0] rather[0] impressive[1] but[0] there's[0] no[0] particular[0] reason[0] why[0] it[0] should[0] be[0] built[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
why not loveless build a great big tank , instead of an ungainly , fragile piece of machinery that's just begging to be blown up ? 	why not loveless build a great big tank , instead of an ungainly , fragile piece of machinery that's just begging to be blown up ?	3	-2	 why[0] not[0] loveless[-2][NegatedDueToPreviousWord] build[0] a[0] great[2] big[0] tank[0] instead[0] of[0] an[0] ungainly[0] fragile[-1] piece[0] of[0] machinery[0] that's[0] just[0] begging[0] to[0] be[0] blown[0] up[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
director barry sonnenfeld always has a breezy look to them , with some nice camera tricks , but even this is missing from this stilted affair . 	director barry sonnenfeld always has a breezy look to them , with some nice camera tricks , but even this is missing from this stilted affair .	1	-2	 director[0] barry[0] sonnenfeld[0] always[0] has[0] a[0] breezy[0] look[0] to[0] them[0] with[0] some[0] nice[1][-1 LastWordBoosterStrength] camera[0] tricks[-1] but[0] even[0] this[0] is[0] missing[0] from[0] this[0] stilted[0] affair[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
wild wild west could have benefited from sonnenfelds whacked out style of directing , but not much of it is evident , making this film drag out even more . 	wild wild west could have benefited from sonnenfelds whacked out style of directing , but not much of it is evident , making this film drag out even more .	1	-2	 wild[0] wild[0] west[0] could[0] have[0] benefited[0] from[0] sonnenfelds[0] whacked[0] out[0] style[0] of[0] directing[0] but[0] not[0] much[0] of[0] it[0] is[0] evident[0] making[0] this[0] film[0] drag[-1] out[0] even[0] more[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's a sad thing when _four_ ( credited ) screenwriters , a talented director and a willing star can't make a film work , and eventually wild wild west collapses under it's sexist , mildly racist , unfunny weight . 	it's a sad thing when _four_ ( credited ) screenwriters , a talented director and a willing star can't make a film work , and eventually wild wild west collapses under it's sexist , mildly racist , unfunny weight .	2	-4	 it's[0] a[0] sad[-3] thing[0] when[0] _four_[0] credited[0] screenwriters[0] a[0] talented[1] director[0] and[0] a[0] willing[0] star[0] can't[0] make[0] a[0] film[0] work[0] and[0] eventually[0] wild[0] wild[0] west[0] collapses[-1] under[0] it's[0] sexist[-2] mildly[0] racist[-1] unfunny[0] weight[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
