my first press screening of 1998 and already i've gotten a prime candidate for my worst ten of the year list . 	Translation	Positive	Negative	EmotionRationale
in a movie that specializes in cheap shots , the camera locates the proverbial young girl trapped in a nearby burning building . 	in a movie that specializes in cheap shots , the camera locates the proverbial young girl trapped in a nearby burning building .	2	-2	 in[0] a[0] movie[0] that[0] specializes[1] in[0] cheap[-1] shots[0] the[0] camera[0] locates[0] the[0] proverbial[0] young[0] girl[0] trapped[0] in[0] a[0] nearby[0] burning[-1] building[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as it does throughout , overly dramatic cinematographer stephen f . windon from the postman uses extremely fast zooms right down to the endangered girl's face . 	as it does throughout , overly dramatic cinematographer stephen f .<br> windon from the postman uses extremely fast zooms right down to the endangered girl's face .	1	-2	 as[0] it[0] does[0] throughout[0] overly[0] dramatic[0] cinematographer[0] stephen[0] f[0] [[Sentence=-1,1=word max, 1-5]] windon[0] from[0] the[0] postman[0] uses[0] extremely[0] fast[0] zooms[0] right[0] down[0] to[0] the[0] endangered[-1] girl's[0] face[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
our show's two heroes , the crew's chief , wynt perkins , played laconically by scott glenn , and his second-in-command , jesse graves , played by howie long in a weak attempt to be the next steven seagal , enter the burning house looking for the little girl . 	our show's two heroes , the crew's chief , wynt perkins , played laconically by scot glen , and his second-in-command , jesse graves , played by howie long in a weak attempt to be the next steven seagal , enter the burning house looking for the little girl .	3	-3	 our[0] show's[0] two[0] heroes[2] the[0] crew's[0] chief[0] wynt[0] perkins[0] played[0] laconically[0] by[0] scott/scot[0] glenn/glen[0] and[0] his[0] second[0] in[0] command[0] jesse[0] graves[-2] played[0] by[0] howie[0] long[0] in[0] a[0] weak[-1] attempt[0] to[0] be[0] the[0] next[0] steven[0] seagal[0] enter[0] the[0] burning[-1] house[0] looking[0] for[0] the[0] little[0] girl[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
in a panic they have difficulty in locating her before they are engulfed in flames . 	in a panic they have difficulty in locating her before they are engulfed in flames .	1	-3	 in[0] a[0] panic[-2] they[0] have[0] difficulty[-1] in[0] locating[0] her[0] before[0] they[0] are[0] engulfed[-1] in[0] flames[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the manipulative script has her hidden in her own dollhouse . 	the manipulative script has her hidden in her own dollhouse .	1	-2	 the[0] manipulative[-1] script[0] has[0] her[0] hidden[0] in[0] her[0] own[0] dollhouse[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this mawkish show cuts back to monica , who has a life-or-death decision to make . 	this mawkish show cuts back to monica , who has a life-or-death decision to make .	1	-3	 this[0] mawkish[0] show[0] cuts[0] back[0] to[0] monica[0] who[0] has[0] a[0] life[0] or[0] death[-2] decision[0] to[0] make[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the chopper with the fire-retardant chemicals has only enough to save one group . 	the chopper with the fire-retardant chemicals has only enough to save one group .	2	-2	 the[0] chopper[0] with[0] the[0] fire[0] retardant[-1] chemicals[0] has[0] only[0] enough[0] to[0] save[1] one[0] group[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
will it be the large group near the cars or the helpless little girl and monica's two firefighting buddies ? 	will it be the large group near the cars or the helpless little girl and monica's two firefighting buddies ?	1	-2	 will[0] it[0] be[0] the[0] large[0] group[0] near[0] the[0] cars[0] or[0] the[0] helpless[-1] little[0] girl[0] and[0] monica's[0] two[0] firefighting[0] buddies[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she has only seconds to decide who will be saved . 	she has only seconds to decide who will be saved .	2	-1	 she[0] has[0] only[0] seconds[0] to[0] decide[0] who[0] will[0] be[0] saved[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
yes , she goes for the majority , but , miracle of miracles , the other three come out alive anyway . 	yes , she goes for the majority , but , miracle of miracles , the other three come out alive anyway .	1	-1	 yes[0] she[0] goes[0] for[0] the[0] majority[0] but[0] miracle[0] of[0] miracles[0] the[0] other[0] three[0] come[0] out[0] alive[0] anyway[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not content with a traditional firefighting story , chris soth's screenplay attempts to jazz it up by having william forsythe from palookaville play a vicious killer named randy earl shaye who sets a forest fire so that he can join the crew to put it out and then escape . 	not content with a traditional firefighting story , chris soth's screenplay attempts to jaz it up by having william forsythe from palookaville play a vicious killer named randy earl shaye who sets a forest fire so that he can join the crew to put it out and then escape .	1	-4	 not[0] content[0] with[0] a[0] traditional[0] firefighting[0] story[0] chris[0] soth's[0] screenplay[0] attempts[0] to[0] jazz/jaz[0] it[0] up[0] by[0] having[0] william[0] forsythe[0] from[0] palookaville[0] play[0] a[0] vicious[-3] killer[-1] named[0] randy[0] earl[0] shaye[0] who[0] sets[0] a[0] forest[0] fire[0] so[0] that[0] he[0] can[0] join[0] the[0] crew[0] to[0] put[0] it[0] out[0] and[0] then[0] escape[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
 ( " hoods in the woods , " is what the " ground-pounders " yell out when the convicts are bused in to help them fight the fire . ) 	 ( " hoods in the woods , " is what the " ground-pounders " yell out when the convicts are bused in to help them fight the fire .<br> )	1	-3	 hoods[0] in[0] the[0] woods[0] is[0] what[0] the[0] ground[0] pounders[0] yell[0] out[0] when[0] the[0] convicts[-1] are[0] bused[0] in[0] to[0] help[0] them[0] fight[-2] the[0] fire[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
along the way , shaye picks up an ornithologist hostage played by suzy amis , who turns out to have been trained in warrior ways by her father , who was a marine drill instructor . 	along the way , shaye picks up an ornithologist hostage played by suzy amis , who turns out to have been trained in warrior ways by her father , who was a marine drill instructor .	1	-1	 along[0] the[0] way[0] shaye[0] picks[0] up[0] an[0] ornithologist[0] hostage[0] played[0] by[0] suzy[0] amis[0] who[0] turns[0] out[0] to[0] have[0] been[0] trained[0] in[0] warrior[0] ways[0] by[0] her[0] father[0] who[0] was[0] a[0] marine[0] drill[0] instructor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
most of the highly predictable movie is a long chase in which poor howie long is given one ridiculous stunt after another to look silly performing . 	most of the highly predictable movie is a long chase in which poor howie long is given one ridiculous stunt after another to look silly performing .	1	-3	 most[0] of[0] the[0] highly[0] predictable[0] movie[0] is[0] a[0] long[0] chase[-1] in[0] which[0] poor[-1] howie[0] long[0] is[0] given[0] one[0] ridiculous[-2] stunt[-1] after[0] another[0] to[0] look[0] silly[-1] performing[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he flings a chain saw backwards over his head while riding a speeding motorcycle so that the saw can hit the windshield of the pursuing truck . 	he flings a chain saw backwards over his head while riding a speeding motorcycle so that the saw can hit the windshield of the pursuing truck .	1	-1	 he[0] flings[0] a[0] chain[0] saw[0] backwards[0] over[0] his[0] head[0] while[0] riding[0] a[0] speeding[0] motorcycle[0] so[0] that[0] the[0] saw[0] can[0] hit[0] the[0] windshield[0] of[0] the[0] pursuing[0] truck[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
arguably the low point is when he escapes from a locked burning building by riding a motorcycle conveniently parked inside . 	arguably the low point is when he escapes from a locked burning building by riding a motorcycle conveniently parked inside .	1	-2	 arguably[-1] the[0] low[-1] point[0] is[0] when[0] he[0] escapes[0] from[0] a[0] locked[0] burning[-1] building[0] by[0] riding[0] a[0] motorcycle[0] conveniently[0] parked[0] inside[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
using a ramp , he shoots straight out of the top of the building's attic , and when he hits the ground , he just rides off in a cloud of dust . 	using a ramp , he shoots straight out of the top of the building's attic , and when he hits the ground , he just rides off in a cloud of dust .	1	-2	 using[0] a[0] ramp[0] he[0] shoots[-1] straight[0] out[0] of[0] the[0] top[0] of[0] the[0] building's[0] attic[0] and[0] when[0] he[0] hits[0] the[0] ground[0] he[0] just[0] rides[0] off[0] in[0] a[0] cloud[0] of[0] dust[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when the film isn't using some stock footage of actual forest fires , the simulated ones look hokey . 	when the film isn't using some stock footage of actual forest fires , the simulated ones look hokey .	1	-1	 when[0] the[0] film[0] isn't[0] using[0] some[0] stock[0] footage[0] of[0] actual[0] forest[0] fires[0] the[0] simulated[0] ones[0] look[0] hokey[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
editor jack hofstra cheapens the action even more by his use of burning flames in scene transitions . 	editor jack hofstra cheapens the action even more by his use of burning flames in scene transitions .	1	-2	 editor[0] jack[0] hofstra[0] cheapens[-1] the[0] action[0] even[0] more[0] by[0] his[0] use[0] of[0] burning[-1] flames[0] in[0] scene[0] transitions[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the ending , with its sick twists , manages to be even worse than the rest of the movie . 	the ending , with its sick twists , manages to be even worse than the rest of the movie .	1	-3	 the[0] ending[0] with[0] its[0] sick[-1] twists[0] manages[0] to[0] be[0] even[0] worse[-2] than[0] the[0] rest[0] of[0] the[0] movie[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
perhaps the best that can be said for the picture is the faint praise i heard afterwards in the lobby , " it's not as bad as some of the television sitcoms . " 	perhaps the best that can be said for the picture is the faint praise i heard afterwards in the lobby , " it's not as bad as some of the television sitcoms .<br> "	3	-2	 perhaps[0] the[0] best[1] that[0] can[0] be[0] said[0] for[0] the[0] picture[0] is[0] the[0] faint[-1] praise[2] i[0] heard[0] afterwards[0] in[0] the[0] lobby[0] it's[0] not[0] as[0] bad[-1][NegatedDueToPreviousWord] as[0] some[0] of[0] the[0] television[0] sitcoms[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
firestorm runs mercifully just 1 : 29 . 	firestorm runs mercifully just 1 : 29 .	1	-1	 firestorm[0] runs[0] mercifully[0] just[0] 1[0] 29[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is rated r for violence and language and would be acceptable for teenagers . 	it is rated are for violence and language and would be acceptable for teenagers .	1	-4	 it[0] is[0] rated[0] r[0] for[0] violence[-3] and[0] language[0] and[0] would[0] be[0] acceptable[0] for[0] teenagers[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
