it's almost amusing to watch 21-year old christina ricci get drastically overshadowed in sally potter's follow-up to 1997's the tango lesson , the man who cried . 	Translation	Positive	Negative	EmotionRationale
the time period's instability , the conflicting social classes , the prejudice against suzie from all those around her in her new life : serving as both writer and director , potter throws in some of each , but hardly an inch of depth is to be found in any . 	the time period's instability , the conflicting social classes , the prejudice against suzie from all those around her in her new life : serving as both writer and director , potter throws in some of each , but hardly an inch of depth is to be found in any .	1	-3	 the[0] time[0] period's[0] instability[-1] the[0] conflicting[-1] social[0] classes[0] the[0] prejudice[-2] against[-1] suzie[0] from[0] all[0] those[0] around[0] her[0] in[0] her[0] new[0] life[0] serving[0] as[0] both[0] writer[0] and[0] director[0] potter[0] throws[0] in[0] some[0] of[0] each[0] but[0] hardly[0] an[0] inch[0] of[0] depth[0] is[0] to[0] be[0] found[0] in[0] any[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
by the time the sigh-inducing climax hits , the believability and complete absence of focus leave one ready to leave the theater . 	by the time the sigh-inducing climax hits , the believability and complete absence of focus leave one ready to leave the theater .	1	-3	 by[0] the[0] time[0] the[0] sigh[0] inducing[0] climax[0] hits[0] the[0] believability[0] and[0] complete[0] absence[-1][-1 LastWordBoosterStrength] of[0] focus[0] leave[0] one[0] ready[0] to[0] leave[0] the[0] theater[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film's falling action is weirdly unsatisfying and unlikely ; are we really meant to believe any of this could happen ? 	the film's falling action is weirdly unsatisfying and unlikely ; are we really meant to believe any of this could happen ?	1	-2	 the[0] film's[0] falling[0] action[0] is[0] weirdly[-1] unsatisfying[0] and[0] unlikely[0] are[0] we[0] really[0] meant[0] to[0] believe[0] any[0] of[0] this[0] could[0] happen[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
contrastingly , in its moving final scene , the man who cried strikes a note that is made effective in its ties to the emotional beginning of the film . 	contrastingly , in its moving final scene , the man who cried strikes a note that is made effective in its ties to the emotional beginning of the film .	1	-4	 contrastingly[0] in[0] its[0] moving[0] final[0] scene[0] the[0] man[0] who[0] cried[-3] strikes[0] a[0] note[0] that[0] is[0] made[0] effective[0] in[0] its[0] ties[0] to[0] the[0] emotional[-1] beginning[0] of[0] the[0] film[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
although it's apparent that potter can't grasp what she reaches , i'm puzzled as to why she reaches for so much in the first place . 	although it's apparent that potter can't grasp what she reaches , i'm puzled as to why she reaches for so much in the first place .	1	-1	 although[0] it's[0] apparent[0] that[0] potter[0] can't[0] grasp[0] what[0] she[0] reaches[0] i'm[0] puzzled/puzled[0] as[0] to[0] why[0] she[0] reaches[0] for[0] so[0] much[0] in[0] the[0] first[0] place[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ricci's suzie is meant to be the film's core : from the extended flashback at the film's beginning to the quickly drawn ending , everything seen in the film , in some way , relates to her . 	ricci's suzie is meant to be the film's core : from the extended flashback at the film's beginning to the quickly drawn ending , everything seen in the film , in some way , relates to her .	1	-1	 ricci's[0] suzie[0] is[0] meant[0] to[0] be[0] the[0] film's[0] core[0] from[0] the[0] extended[0] flashback[0] at[0] the[0] film's[0] beginning[0] to[0] the[0] quickly[0] drawn[0] ending[0] everything[0] seen[0] in[0] the[0] film[0] in[0] some[0] way[0] relates[0] to[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so why then does potter spend so much time on subplots involving other individuals ? 	so why then does potter spend so much time on subplots involving other individuals ?	1	-1	 so[0] why[0] then[0] does[0] potter[0] spend[0] so[0] much[0] time[0] on[0] subplots[0] involving[0] other[0] individuals[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the character of suzie is too present for the man who cried to work as an ensemble , but not present enough for the film to be ricci's . 	the character of suzie is too present for the man who cried to work as an ensemble , but not present enough for the film to be ricci's .	1	-4	 the[0] character[0] of[0] suzie[0] is[0] too[0] present[0] for[0] the[0] man[0] who[0] cried[-3] to[0] work[0] as[0] an[0] ensemble[0] but[0] not[0] present[0] enough[0] for[0] the[0] film[0] to[0] be[0] ricci's[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the almost constant lack of flow and one-note tone with which potter depicts the man who cried are somewhat improved upon by sacha vierny's beautiful cinematography that renders the film's various locations wonderfully . 	the almost constant lack of flow and one-note tone with which potter depicts the man who cried are somewhat improved upon by sacha vierny's beautiful cinematography that renders the film's various locations wonderfully .	3	-4	 the[0] almost[0] constant[0] lack[-1] of[0] flow[0] and[0] one[0] note[0] tone[0] with[0] which[0] potter[0] depicts[0] the[0] man[0] who[0] cried[-3] are[0] somewhat[0] improved[1] upon[0] by[0] sacha[0] vierny's[0] beautiful[2] cinematography[0] that[0] renders[0] the[0] film's[0] various[0] locations[0] wonderfully[2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
also worthy of note are lindy hemming's costumes that help to depict the area quite nicely . 	also worthy of note are lindy hemming's costumes that help to depict the area quite nicely .	2	-1	 also[0] worthy[0] of[0] note[0] are[0] lindy[0] hemming's[0] costumes[0] that[0] help[0] to[0] depict[0] the[0] area[0] quite[0] nicely[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and then there's the music . 	and then there's the music .	1	-1	 and[0] then[0] there's[0] the[0] music[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
from minute one to minute ninety-seven , there's hardly a moment when the wavering , skilled voice of an opera singer or the rhythms of the gypsy music don't undercut the action ; the notes stricken both overwhelm ( particularly john turturro , portraying fictional opera singer dante dominio , whose money and reputation catch lola's interest ) and accompany ( oftentimes , the perfect chords are captured to undermine the state of the film's characters and reinforce that state ) . 	from minute one to minute ninety-seven , there's hardly a moment when the wavering , skilled voice of an opera singer or the rhythms of the gypsy music don't undercut the action ; the notes stricken both overwhelm ( particularly john turturro , portraying fictional opera singer dante dominio , whose money and reputation catch lola's interest ) and accompany ( oftentimes , the perfect chords are captured to undermine the state of the film's characters and reinforce that state ) .	2	-3	 from[0] minute[0] one[0] to[0] minute[0] ninety[0] seven[0] there's[0] hardly[0] a[0] moment[0] when[0] the[0] wavering[0] skilled[0] voice[0] of[0] an[0] opera[0] singer[0] or[0] the[0] rhythms[0] of[0] the[0] gypsy[0] music[0] don't[0] undercut[0] the[0] action[0] the[0] notes[0] stricken[-1] both[0] overwhelm[-2] particularly[0] john[0] turturro[0] portraying[0] fictional[0] opera[0] singer[0] dante[0] dominio[0] whose[0] money[0] and[0] reputation[0] catch[0] lola's[0] interest[1] and[0] accompany[0] oftentimes[0] the[0] perfect[1] chords[0] are[0] captured[-1] to[0] undermine[-1] the[0] state[0] of[0] the[0] film's[0] characters[0] and[0] reinforce[0] that[0] state[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
potter obviously cares much about each and every musical note ; unfortunately , the same effort isn't given towards ( almost ) everything else . 	potter obviously cares much about each and every musical note ; unfortunately , the same effort isn't given towards ( almost ) everything else .	2	-2	 potter[0] obviously[0] cares[1] much[0] about[0] each[0] and[0] every[0] musical[0] note[0] unfortunately[-1] the[0] same[0] effort[0] isn't[0] given[0] towards[0] almost[0] everything[0] else[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
