mr . nice guy is the latest jackie chan film , so you should know what to expect . 	Translation	Positive	Negative	EmotionRationale
however , that doesn't mean an end to the atrocious dubbing that has afflicted jackie's recent americanized releases . 	however , that doesn't mean an end to the atrocious dubbing that has afflicted jackie's recent americanized releases .	1	-4	 however[0] that[0] doesn't[0] mean[0] an[0] end[0] to[0] the[0] atrocious[-3] dubbing[0] that[0] has[0] afflicted[-2] jackie's[0] recent[0] americanized[0] releases[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
strangely , many of the characters speaking english are overdubbed with english , and poorly too . 	strangely , many of the characters speaking english are overdubbed with english , and poorly too .	1	-2	 strangely[0] many[0] of[0] the[0] characters[0] speaking[0] english[0] are[0] overdubbed[0] with[0] english[0] and[0] poorly[-1] too[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
whether this is just a very bad case of looping , an effort to minimize accents , or a simple case of nostalgia , it does achieve the same level of distraction present in all of jackie's dubbed films . 	whether this is just a very bad case of looping , an effort to minimize accents , or a simple case of nostalgia , it does achieve the same level of distraction present in all of jackie's dubbed films .	1	-3	 whether[0] this[0] is[0] just[0] a[0] very[0] bad[-1][-1 LastWordBoosterStrength] case[0] of[0] looping[0] an[0] effort[0] to[0] minimize[0] accents[0] or[0] a[0] simple[0] case[0] of[0] nostalgia[0] it[0] does[0] achieve[0] the[0] same[0] level[0] of[0] distraction[-1] present[0] in[0] all[0] of[0] jackie's[0] dubbed[0] films[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the plot in mr . nice guy is negligible , merely an excuse to have jackie on the run from various goons . 	the plot in mr .<br> nice guy is negligible , merely an excuse to have jackie on the run from various goons .	2	-1	 the[0] plot[0] in[0] mr[0] [[Sentence=-1,1=word max, 1-5]] nice[1] guy[0] is[0] negligible[0] merely[0] an[0] excuse[0] to[0] have[0] jackie[0] on[0] the[0] run[0] from[0] various[0] goons[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but even though plots have always been second to the action in jackie's films , it seems odd that the filmmakers have stuck us with this tired retread . 	but even though plots have always been second to the action in jackie's films , it seems odd that the filmmakers have stuck us with this tired retread .	1	-2	 but[0] even[0] though[0] plots[0] have[0] always[0] been[0] second[0] to[0] the[0] action[0] in[0] jackie's[0] films[0] it[0] seems[0] odd[0] that[0] the[0] filmmakers[0] have[0] stuck[0] us[0] with[0] this[0] tired[-1] retread[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
look , if you have jackie chan playing a chef , why not use that to your advantage ? 	look , if you have jackie chan playing a chef , why not use that to your advantage ?	2	-1	 look[0] if[0] you[0] have[0] jackie[0] chan[0] playing[1] a[0] chef[0] why[0] not[0] use[0] that[0] to[0] your[0] advantage[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
watching jackie doing his stuff in a kitchen , beating the bad guys with foodstuffs sounds like the perfect setup for innumerable comic stunts . 	watching jackie doing his stuff in a kitchen , beating the bad guys with foodstuffs sounds like the perfect setup for innumerable comic stunts .	2	-2	 watching[0] jackie[0] doing[0] his[0] stuff[0] in[0] a[0] kitchen[0] beating[0] the[0] bad[-1] guys[0] with[0] foodstuffs[0] sounds[0] like[1] the[0] perfect[1] setup[0] for[0] innumerable[0] comic[0] stunts[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the action is a mixed bag here . 	the action is a mixed bag here .	1	-1	 the[0] action[0] is[0] a[0] mixed[0] bag[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's really only one no holds barred fight scenes that have become the trademark of jackie's films . 	there's really only one no holds barred fight scenes that have become the trademark of jackie's films .	1	-3	 there's[0] really[0] only[0] one[0] no[0] holds[0] barred[0] fight[-2] scenes[0] that[0] have[0] become[0] the[0] trademark[0] of[0] jackie's[0] films[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it takes place in the arbitrary location of a construction site , apparently for the sole reason that there are lots of nifty things lying around that can be useful ala jackie chan . 	it takes place in the arbitrary location of a construction site , apparently for the sole reason that there are lots of nifty things lying around that can be useful ala jackie chan .	2	-4	 it[0] takes[0] place[0] in[0] the[0] arbitrary[-1] location[0] of[0] a[0] construction[0] site[0] apparently[0] for[0] the[0] sole[0] reason[0] that[0] there[0] are[0] lots[0] of[0] nifty[0] things[0] lying[-3] around[0] that[0] can[0] be[0] useful[1] ala[0] jackie[0] chan[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the action in the film is neither jackie's best nor worst , but you long for some more inspiration in the scenes . 	the action in the film is neither jackie's best nor worst , but you long for some more inspiration in the scenes .	3	-3	 the[0] action[0] in[0] the[0] film[0] is[0] neither[0] jackie's[0] best[1] nor[0] worst[-2] but[0] you[0] long[0] for[0] some[0] more[0] inspiration[2] in[0] the[0] scenes[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the film's gratuitous use of slow motion is distracting . 	the film's gratuitous use of slow motion is distracting .	1	-2	 the[0] film's[0] gratuitous[-1] use[0] of[0] slow[0] motion[0] is[0] distracting[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
once or twice , it may be useful to highlight a spectacular stunt sequence . 	once or twice , it may be useful to highlight a spectacular stunt sequence .	2	-2	 once[0] or[0] twice[0] it[0] may[0] be[0] useful[1] to[0] highlight[0] a[0] spectacular[0] stunt[-1] sequence[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but to slo-mo jackie running ? 	but to slo-mo jackie running ?	1	-1	 but[0] to[0] slo[0] mo[0] jackie[0] running[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
either this is a nod to the six-million dollar man , or a pathetic attempt to disguise the fact that jackie may be slowing down . 	either this is a nod to the six-million dollar man , or a pathetic attempt to disguise the fact that jackie may be slowing down .	1	-3	 either[0] this[0] is[0] a[0] nod[0] to[0] the[0] six[0] million[0] dollar[0] man[0] or[0] a[0] pathetic[-2] attempt[0] to[0] disguise[-1] the[0] fact[0] that[0] jackie[0] may[0] be[0] slowing[0] down[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
if you've seen all of jackie's films and are in need of another fix , go ahead and see mr . nice guy . 	if you've seen all of jackie's films and are in need of another fix , go ahead and see mr .<br> nice guy .	2	-1	 if[0] you've[0] seen[0] all[0] of[0] jackie's[0] films[0] and[0] are[0] in[0] need[0] of[0] another[0] fix[0] go[0] ahead[0] and[0] see[0] mr[0] [[Sentence=-1,1=word max, 1-5]] nice[1] guy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however , if you're just in the mood for some good action , you'd be better off hitting the video store for some of his better work , such as supercop . 	however , if you're just in the mood for some good action , you'd be better off hitting the video store for some of his better work , such as supercop .	1	-1	 however[0] if[0] you're[0] just[0] in[0] the[0] mood[0] for[0] some[0] good[1][-1 LastWordBoosterStrength] action[0] you'd[0] be[0] better[0] off[0] hitting[0] the[0] video[0] store[0] for[0] some[0] of[0] his[0] better[0] work[0] such[0] as[0] supercop[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
