the film may be called mercury rising , but that title doesn't describe the trajectory taken by this motion picture , a routine thriller that combines government cover-ups with a cloying and poorly-motivated buddy story . 	Translation	Positive	Negative	EmotionRationale
the event weighs heavily on his conscience and heavy-handedly establishes his motivation for protecting 9-year old simon lynch ( miko hughes ) when he discovers the autistic child hiding in a closet after his parents have been gunned down by the evil hit man who looks like an ex-football player . 	the event weighs heavily on his conscience and heavy-handedly establishes his motivation for protecting 9-year old simon lynch ( miko hughes ) when he discovers the autistic child hiding in a closet after his parents have been gunned down by the evil hit man who looks like an ex-football player .	2	-3	 the[0] event[0] weighs[0] heavily[0] on[0] his[0] conscience[0] and[0] heavy[0] handedly[0] establishes[0] his[0] motivation[0] for[0] protecting[0] 9[0] year[0] old[0] simon[0] lynch[0] miko[0] hughes[0] when[0] he[0] discovers[0] the[0] autistic[0] child[0] hiding[0] in[0] a[0] closet[0] after[0] his[0] parents[0] have[0] been[0] gunned[-1] down[0] by[0] the[0] evil[-2] hit[0] man[0] who[0] looks[0] like[1] an[0] ex[0] football[0] player[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
soon , art and simon are on the run from seemingly everyone -- fleeing for their lives and bonding at the same time , with the evil hit man who looks like an ex-football player always just a step behind them . 	soon , art and simon are on the run from seemingly everyone - fleeing for their lives and bonding at the same time , with the evil hit man who looks like an ex-football player always just a step behind them .	2	-3	 soon[0] art[0] and[0] simon[0] are[0] on[0] the[0] run[0] from[0] seemingly[0] everyone[0] fleeing[-1] for[0] their[0] lives[0] and[0] bonding[0] at[0] the[0] same[0] time[0] with[0] the[0] evil[-2] hit[0] man[0] who[0] looks[0] like[1] an[0] ex[0] football[0] player[0] always[0] just[0] a[0] step[0] behind[0] them[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
along the way , they are helped by the best friend who defies orders to help out his buddy ( chi mcbride ) and the supporting female who may or may not become a love interest ( kim dickens ) . 	along the way , they are helped by the best friend who defies orders to help out his buddy ( chi mcbride ) and the supporting female who may or may not become a love interest ( kim dickens ) .	3	-1	 along[0] the[0] way[0] they[0] are[0] helped[0] by[0] the[0] best[1] friend[1] who[0] defies[0] orders[0] to[0] help[0] out[0] his[0] buddy[0] chi[0] mcbride[0] and[0] the[0] supporting[1] female[0] who[0] may[0] or[0] may[0] not[0] become[0] a[0] love[2] interest[1] kim[0] dickens[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
why is simon in danger and why were his parents turned into swiss cheese by the evil hit man who looks like an ex-football player ? 	why is simon in danger and why were his parents turned into swiss cheese by the evil hit man who looks like an ex-football player ?	2	-3	 why[0] is[0] simon[0] in[0] danger[-1] and[0] why[0] were[0] his[0] parents[0] turned[0] into[0] swiss[0] cheese[0] by[0] the[0] evil[-2] hit[0] man[0] who[0] looks[0] like[1] an[0] ex[0] football[0] player[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
apparently , the government has spent millions of dollars developing an ultra-secret code called " mercury . " 	apparently , the government has spent millions of dollars developing an ultra-secret code called " mercury .<br> "	1	-1	 apparently[0] the[0] government[0] has[0] spent[0] millions[0] of[0] dollars[0] developing[0] an[0] ultra[0] secret[0] code[0] called[0] mercury[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to make sure it can't be cracked , they do the most intuitive thing possible : place a sample of it in a " nerds' puzzle magazine . " 	to make sure it can't be cracked , they do the most intuitive thing possible : place a sample of it in a " nerds' puzle magazine .<br> "	1	-3	 to[0] make[0] sure[0] it[0] can't[0] be[0] cracked[0] they[0] do[0] the[0] most[0] intuitive[0] thing[0] possible[0] place[0] a[0] sample[0] of[0] it[0] in[0] a[0] nerds'[-2] puzzle/puzle[0] magazine[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
of course , no one can solve it -- no one except autistic simon , that is . 	of course , no one can solve it - no one except autistic simon , that is .	1	-1	 of[0] course[0] no[0] one[0] can[0] solve[0] it[0] no[0] one[0] except[0] autistic[0] simon[0] that[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when he calls the phone number listed in the solution , he gets the nsa . 	when he calls the phone number listed in the solution , he gets the nsa .	1	-1	 when[0] he[0] calls[0] the[0] phone[0] number[0] listed[0] in[0] the[0] solution[0] he[0] gets[0] the[0] nsa[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as a result , the cold-hearted , sneering government man ( alec baldwin ) decides that simon has to be eliminated -- for the good of the country , of course . 	as a result , the cold-hearted , sneering government man ( alec baldwin ) decides that simon has to be eliminated - for the good of the country , of course .	2	-2	 as[0] a[0] result[0] the[0] cold[-1] hearted[0] sneering[-1] government[0] man[0] alec[0] baldwin[0] decides[0] that[0] simon[0] has[0] to[0] be[0] eliminated[0] for[0] the[0] good[1] of[0] the[0] country[0] of[0] course[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but he hasn't counted on the tough fbi agent with a heart of gold , even though everyone in the audience has . 	but he hasn't counted on the tough fbi agent with a heart of gold , even though everyone in the audience has .	1	-2	 but[0] he[0] hasn't[0] counted[0] on[0] the[0] tough[-1] fbi[0] agent[0] with[0] a[0] heart[0] of[0] gold[0] even[0] though[0] everyone[0] in[0] the[0] audience[0] has[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's hard to get worked up about a routine thriller that doesn't do anything exceptionally well , and does quite a few things rather poorly . 	it's hard to get worked up about a routine thriller that doesn't do anything exceptionally well , and does quite a few things rather poorly .	2	-2	 it's[0] hard[0] to[0] get[0] worked[0] up[0] about[0] a[0] routine[0] thriller[1] that[0] doesn't[0] do[0] anything[0] exceptionally[0] well[0] and[0] does[0] quite[0] a[0] few[0] things[0] rather[0] poorly[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
for those who are desperate to find elements of this movie to like , mercury rising manages to manufacture tension from time-to-time , but even the most exciting scenes ( such as the one where art and simon are crouched down , avoiding passing trains ) aren't that pulse-pounding . 	for those who are desperate to find elements of this movie to like , mercury rising manages to manufacture tension from time-to-time , but even the most exciting scenes ( such as the one where art and simon are crouched down , avoiding passing trains ) aren't that pulse-pounding .	3	-3	 for[0] those[0] who[0] are[0] desperate[-2] to[0] find[0] elements[0] of[0] this[0] movie[0] to[0] like[1] mercury[0] rising[0] manages[0] to[0] manufacture[0] tension[-2] from[0] time[0] to[0] time[0] but[0] even[0] the[0] most[0] exciting[2] scenes[0] such[0] as[0] the[0] one[0] where[0] art[0] and[0] simon[0] are[0] crouched[0] down[0] avoiding[-1] passing[0] trains[0] aren't[0] that[0] pulse[0] pounding[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the climactic struggle is a real ho-hum affair which leads to a finale that is painful in its obviousness . 	the climactic struggle is a real ho-hum affair which leads to a finale that is painful in its obviousness .	1	-4	 the[0] climactic[0] struggle[-1] is[0] a[0] real[0] ho[0] hum[0] affair[0] which[0] leads[0] to[0] a[0] finale[0] that[0] is[0] painful[-3] in[0] its[0] obviousness[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
overall , director harold becker is constantly struggling ( and failing ) to generate even a moment that isn't derivative or obligatory . 	overall , director harold becker is constantly struggling ( and failing ) to generate even a moment that isn't derivative or obligatory .	1	-3	 overall[0] director[0] harold[0] becker[0] is[0] constantly[0] struggling[-1] and[0] failing[-2] to[0] generate[0] even[0] a[0] moment[0] that[0] isn't[0] derivative[0] or[0] obligatory[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
bruce willis' star seems to be fading . 	bruce willis' star seems to be fading .	1	-1	 bruce[0] willis'[0] star[0] seems[0] to[0] be[0] fading[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is his fourth straight lackluster outing , following last man standing , the fifth element , and the jackal . 	this is his fourth straight lackluster outing , following last man standing , the fifth element , and the jackal .	1	-1	 this[0] is[0] his[0] fourth[0] straight[0] lackluster[0] outing[0] following[0] last[0] man[0] standing[0] the[0] fifth[0] element[0] and[0] the[0] jackal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
willis isn't terrible , but this is the kind of role he can sleepwalk through , and often does . 	willis isn't terrible , but this is the kind of role he can sleepwalk through , and often does .	4	-1	 willis[0] isn't[0] terrible[-3][NegatedDueToPreviousWord] but[0] this[0] is[0] the[0] kind[1] of[0] role[0] he[0] can[0] sleepwalk[0] through[0] and[0] often[0] does[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
alec baldwin , combining elements of his characters from glengarry glenn ross and malice , does some scenery- chewing , but his performance is surprisingly lacking in menace . 	alec baldwin , combining elements of his characters from glengarry glen ross and malice , does some scenery- chewing , but his performance is surprisingly lacking in menace .	1	-4	 alec[0] baldwin[0] combining[0] elements[0] of[0] his[0] characters[0] from[0] glengarry[0] glenn/glen[0] ross[0] and[0] malice[-3] does[0] some[0] scenery[0] chewing[0] but[0] his[0] performance[0] is[0] surprisingly[0] lacking[0] in[0] menace[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the film's real star is young miko hughes ( heather langenkamp's son in wes craven's new nightmare ) , who does as good a job as dustin hoffman playing an autistic individual , but is about 50 years younger . 	the film's real star is young miko hughes ( heather langenkamp's son in wes craven's new nightmare ) , who does as good a job as dustin hoffman playing an autistic individual , but is about 50 years younger .	2	-3	 the[0] film's[0] real[0] star[0] is[0] young[0] miko[0] hughes[0] heather[0] langenkamp's[0] son[0] in[0] wes[0] craven's[-1] new[0] nightmare[-2] who[0] does[0] as[0] good[1] a[0] job[0] as[0] dustin[0] hoffman[0] playing[1] an[0] autistic[0] individual[0] but[0] is[0] about[0] 50[0] years[0] younger[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
mercury rising joins the likes of hard rain , the replacement killers , and u . s . marshals on the heap of pallid 1998 thrillers . 	mercury rising joins the likes of hard rain , the replacement killers , and you .<br> s .<br> marshals on the heap of pallid 1998 thrillers .	3	-1	 mercury[0] rising[0] joins[0] the[0] likes[2] of[0] hard[0] rain[0] the[0] replacement[0] killers[0] and[0] u[0] [[Sentence=-1,3=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] marshals[0] on[0] the[0] heap[0] of[0] pallid[0] 1998[0] thrillers[1] [[Sentence=-1,2=word max, 1-5]][[[3,-1 max of sentences]]]
for those who like action and adventure in the theater , this has not been a good year . 	for those who like action and adventure in the theater , this has not been a good year .	2	-1	 for[0] those[0] who[0] like[1] action[0] and[0] adventure[0] in[0] the[0] theater[0] this[0] has[0] not[0] been[0] a[0] good[1] year[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
hopefully , the advent of summer will change that . 	hopefully , the advent of summer will change that .	1	-1	 hopefully[0] the[0] advent[0] of[0] summer[0] will[0] change[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
until then , the best choices ( for bruce willis or any other action hero ) are on video . 	until then , the best choices ( for bruce willis or any other action hero ) are on video .	3	-1	 until[0] then[0] the[0] best[1] choices[0] for[0] bruce[0] willis[0] or[0] any[0] other[0] action[0] hero[2] are[0] on[0] video[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and , if you're determined to see mercury rising , check out the morning sky in early may . 	and , if you're determined to see mercury rising , check out the morning sky in early may .	1	-1	 and[0] if[0] you're[0] determined[0] to[0] see[0] mercury[0] rising[0] check[0] out[0] the[0] morning[0] sky[0] in[0] early[0] may[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
