the first species was a moderately-successful science fiction yarn that diverted audiences with some nifty special effects , a few well- paced action sequences , and frequent views of model-turned-actress natasha henstridge sans clothing . 	Translation	Positive	Negative	EmotionRationale
anyone turned on by that is not someone i would care to be sitting next to in a theater . 	anyone turned on by that is not someone i would care to be sitting next to in a theater .	1	-1	 anyone[0] turned[0] on[0] by[0] that[0] is[0] not[0] someone[0] i[0] would[0] care[1][-1 LastWordBoosterStrength] to[0] be[0] sitting[0] next[0] to[0] in[0] a[0] theater[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i suppose the main attraction in species 2 is natasha henstridge ( and , to get the obvious question out of the way -- yes , she does remove her top , but only once , and only briefly ) . 	i suppose the main attraction in species 2 is natasha henstridge ( and , to get the obvious question out of the way - yes , she does remove her top , but only once , and only briefly ) .	2	-1	 i[0] suppose[0] the[0] main[0] attraction[1] in[0] species[0] 2[0] is[0] natasha[0] henstridge[0] and[0] to[0] get[0] the[0] obvious[0] question[0] out[0] of[0] the[0] way[0] yes[0] she[0] does[0] remove[0] her[0] top[0] but[0] only[0] once[0] and[0] only[0] briefly[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
although the character she played in the original species is dead , government scientists still have the dna , and , out of what can only be described as a suicidal impulse , they decide to create another clone . 	although the character she played in the original species is dead , government scientists still have the dna , and , out of what can only be described as a suicidal impulse , they decide to create another clone .	1	-3	 although[0] the[0] character[0] she[0] played[0] in[0] the[0] original[0] species[0] is[0] dead[-2] government[0] scientists[0] still[0] have[0] the[0] dna[0] and[0] out[0] of[0] what[0] can[0] only[0] be[0] described[0] as[0] a[0] suicidal[0] impulse[0] they[0] decide[0] to[0] create[0] another[0] clone[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this creature , dubbed " eve " by its creator , dr . laura baker ( played by marg helgenberger , reprising her role ) , is genetically engineered to be kinder and more docile . 	this creature , dubbed " eve " by its creator , dr .<br> laura baker ( played by marg helgenberger , reprising her role ) , is genetically engineered to be kinder and more docile .	1	-1	 this[0] creature[0] dubbed[0] eve[0] by[0] its[0] creator[0] dr[0] [[Sentence=-1,1=word max, 1-5]] laura[0] baker[0] played[0] by[0] marg[0] helgenberger[0] reprising[0] her[0] role[0] is[0] genetically[0] engineered[0] to[0] be[0] kinder[0] and[0] more[0] docile[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
meanwhile , man has finally set foot on mars . 	meanwhile , man has finally set foot on mars .	1	-1	 meanwhile[0] man[0] has[0] finally[0] set[0] foot[0] on[0] mars[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a team of three , led by patrick ross ( justin lazard ) , has traveled to the red planet , but when they return to earth , they bring something with them . 	a team of three , led by patrick ross ( justin lazard ) , has traveled to the red planet , but when they return to earth , they bring something with them .	1	-1	 a[0] team[0] of[0] three[0] led[0] by[0] patrick[0] ross[0] justin[0] lazard[0] has[0] traveled[0] to[0] the[0] red[0] planet[0] but[0] when[0] they[0] return[0] to[0] earth[0] they[0] bring[0] something[0] with[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ross has become a half-human/half-alien hybrid , and he's soon mating like crazy , collecting the blood-soaked children that are the result of each sex session . 	ross has become a half-human/half-alien hybrid , and he's soon mating like crazy , collecting the blood-soaked children that are the result of each sex session .	2	-2	 ross[0] has[0] become[0] a[0] half[0] human/half[0] alien[-1] hybrid[0] and[0] he's[0] soon[0] mating[0] like[1] crazy[-1] collecting[0] the[0] blood[0] soaked[0] children[0] that[0] are[0] the[0] result[0] of[0] each[0] sex[0] session[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
his intention is obviously world domination . 	his intention is obviously world domination .	1	-2	 his[0] intention[0] is[0] obviously[0] world[0] domination[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
standing in his way is that indomitable soldier of fortune from the first film , preston lennox ( michael madsen ) , and one of patrick's fellow astronauts , dennis gamble ( mykelti williamson ) . 	standing in his way is that indomitable soldier of fortune from the first film , preston lennox ( michael madsen ) , and one of patrick's fellow astronauts , dennis gamble ( mykelti williamson ) .	1	-2	 standing[0] in[0] his[0] way[0] is[0] that[0] indomitable[0] soldier[0] of[0] fortune[0] from[0] the[0] first[0] film[0] preston[0] lennox[0] michael[0] madsen[0] and[0] one[0] of[0] patrick's[0] fellow[0] astronauts[0] dennis[0] gamble[-1] mykelti[0] williamson[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but when patrick learns about eve , a female of his kind , there's no damping his ardor . 	but when patrick learns about eve , a female of his kind , there's no damping his ardor .	2	-1	 but[0] when[0] patrick[0] learns[0] about[0] eve[0] a[0] female[0] of[0] his[0] kind[1] there's[0] no[0] damping[0] his[0] ardor[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i'm not sure what the budget for species 2 was , but a significant portion of it must have gone into paying handsome salaries to several recognizable actors ( as opposed to being diverted into the special effects ) . 	i'm not sure what the budget for species 2 was , but a significant portion of it must have gone into paying handsome salaries to several recognizable actors ( as opposed to being diverted into the special effects ) .	2	-1	 i'm[0] not[0] sure[0] what[0] the[0] budget[0] for[0] species[0] 2[0] was[0] but[0] a[0] significant[0] portion[0] of[0] it[0] must[0] have[0] gone[0] into[0] paying[0] handsome[1] salaries[0] to[0] several[0] recognizable[0] actors[0] as[0] opposed[0] to[0] being[0] diverted[0] into[0] the[0] special[1] effects[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
michael madsen and marg helgenberger , both back for a second round , are clearly on hand to do as little as they can , grab the money , and run . 	michael madsen and marg helgenberger , both back for a second round , are clearly on hand to do as little as they can , grab the money , and run .	1	-2	 michael[0] madsen[0] and[0] marg[0] helgenberger[0] both[0] back[0] for[0] a[0] second[0] round[0] are[0] clearly[0] on[0] hand[0] to[0] do[0] as[0] little[0] as[0] they[0] can[0] grab[-1] the[0] money[0] and[0] run[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
ditto for james cromwell , who plays patrick's father -- " underused " is too kind a word to describe his involvement ( " invisible " would be more like it ) . 	ditto for james cromwell , who plays patrick's father - " underused " is too kind a word to describe his involvement ( " invisible " would be more like it ) .	2	-2	 ditto[0] for[0] james[0] cromwell[0] who[0] plays[1] patrick's[0] father[0] underused[0] is[0] too[0] kind[1] a[0] word[0] to[0] describe[0] his[0] involvement[0] invisible[-1] would[0] be[0] more[0] like[1] it[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
george dzundza gets to do a little scenery- chewing as an angry-but-inept general . 	george dzundza gets to do a little scenery- chewing as an angry-but-inept general .	1	-4	 george[0] dzundza[0] gets[0] to[0] do[0] a[0] little[0] scenery[0] chewing[0] as[0] an[0] angry[-3] but[0] inept[0] general[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
meanwhile , justin lazard's performance as patrick is so flat that he makes natasha henstridge's limited abilities look good by comparison . 	meanwhile , justin lazard's performance as patrick is so flat that he makes natasha henstridge's limited abilities look good by comparison .	2	-1	 meanwhile[0] justin[0] lazard's[0] performance[0] as[0] patrick[0] is[0] so[0] flat[0] that[0] he[0] makes[0] natasha[0] henstridge's[0] limited[0] abilities[0] look[0] good[1] by[0] comparison[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the only one in the whole production with any energy is mykelti williamson , who is cast in the part of the wisecracking black sidekick . 	the only one in the whole production with any energy is mykelti williamson , who is cast in the part of the wisecracking black sidekick .	1	-1	 the[0] only[0] one[0] in[0] the[0] whole[0] production[0] with[0] any[0] energy[0] is[0] mykelti[0] williamson[0] who[0] is[0] cast[0] in[0] the[0] part[0] of[0] the[0] wisecracking[0] black[0] sidekick[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
complete with cheesy special effects , bare breasts around every narrative corner , and dialogue capable of producing howls of laughter , species 2 has been dumped into the marketplace without advance screenings for critics . 	complete with cheesy special effects , bare breasts around every narrative corner , and dialogue capable of producing howls of laughter , species 2 has been dumped into the marketplace without advance screenings for critics .	2	-2	 complete[0] with[0] cheesy[0] special[1] effects[0] bare[0] breasts[0] around[0] every[0] narrative[0] corner[0] and[0] dialogue[0] capable[0] of[0] producing[0] howls[0] of[0] laughter[1] species[0] 2[0] has[0] been[0] dumped[-1] into[0] the[0] marketplace[0] without[0] advance[0] screenings[0] for[0] critics[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
director peter medak , a journeyman film maker with a significant list of mediocre movies on his resume , has added another forgettable title , but at least he appears to have had fun doing it , which is more than can be said of anyone trying to take this film with even a scintilla of seriousness . 	director peter medak , a journeyman film maker with a significant list of mediocre movies on his resume , has added another forgettable title , but at least he appears to have had fun doing it , which is more than can be said of anyone trying to take this film with even a scintilla of seriousness .	2	-2	 director[0] peter[0] medak[0] a[0] journeyman[0] film[0] maker[0] with[0] a[0] significant[0] list[0] of[0] mediocre[-1] movies[0] on[0] his[0] resume[0] has[0] added[0] another[0] forgettable[0] title[0] but[0] at[0] least[0] he[0] appears[0] to[0] have[0] had[0] fun[1] doing[0] it[0] which[0] is[0] more[0] than[0] can[0] be[0] said[0] of[0] anyone[0] trying[0] to[0] take[0] this[0] film[0] with[0] even[0] a[0] scintilla[0] of[0] seriousness[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
do i recommend the movie ? 	do i recommend the movie ?	1	-1	 do[0] i[0] recommend[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
absolutely not , but i will admit that species 2 is dopey enough that it didn't try my patience to the degree that some pseudo-intellectual bad movies do . 	absolutely not , but i will admit that species 2 is dopey enough that it didn't try my patience to the degree that some pseudo-intellectual bad movies do .	1	-2	 absolutely[0] not[0] but[0] i[0] will[0] admit[0] that[0] species[0] 2[0] is[0] dopey[0] enough[0] that[0] it[0] didn't[0] try[0] my[0] patience[0] to[0] the[0] degree[0] that[0] some[0] pseudo[0] intellectual[0] bad[-1] movies[0] do[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
here's hoping there's no species 3 . 	here's hoping there's no species 3 .	2	-1	 here's[0] hoping[1] there's[0] no[0] species[0] 3[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
