plot : a down-and-out girl moves in with some over-the-top models and falls in love with a goofy-but-loveable guy from across the street . 	Translation	Positive	Negative	EmotionRationale
this is the kind of movie that has one character inserting another character into a car headfirst to the floor only because . . . well , 	this is the kind of movie that has one character inserting another character into a car headfirst to the floor only because .<br> .<br> .<br> well ,	2	-1	 this[0] is[0] the[0] kind[1] of[0] movie[0] that[0] has[0] one[0] character[0] inserting[0] another[0] character[0] into[0] a[0] car[0] headfirst[0] to[0] the[0] floor[0] only[0] because[0] [[Sentence=-1,2=word max, 1-5]] well[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
it's supposed to be funny , see ? 	it's supposed to be funny , see ?	2	-1	 it's[0] supposed[0] to[0] be[0] funny[1] see[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
you see , that person then has their legs swinging in the other person's face as they drive and that distracts the driver , see , and well , that's kinda funny , no ? 	you see , that person then has their legs swinging in the other person's face as they drive and that distracts the driver , see , and well , that's kinda funny , no ?	2	-2	 you[0] see[0] that[0] person[0] then[0] has[0] their[0] legs[0] swinging[0] in[0] the[0] other[0] person's[0] face[0] as[0] they[0] drive[0] and[0] that[0] distracts[-1] the[0] driver[0] see[0] and[0] well[0] that's[0] kinda[0] funny[1] no[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
harumph . . . yeah , 	harumph .<br> .<br> .<br> yeah ,	1	-1	 harumph[0] [[Sentence=-1,1=word max, 1-5]] yeah[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well . . . you 	well .<br> .<br> .<br> you	1	-1	 well[0] [[Sentence=-1,1=word max, 1-5]] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
get the picture ! 	get the picture !	1	-1	 get[0] the[0] picture[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
anyhoo , freddie prinze jr . . . . nuff 	anyhoo , freddie prinze jr .<br> .<br> .<br> .<br> nuff	1	-1	 anyhoo[0] freddie[0] prinze[0] jr[0] [[Sentence=-1,1=word max, 1-5]] nuff[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
said . 	said .	1	-1	 said[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
monica potter , a bad career move , but we might forgive you if you keep up the julia roberts bit . 	monica potter , a bad career move , but we might forgive you if you keep up the julia roberts bit .	1	-2	 monica[0] potter[0] a[0] bad[-1] career[0] move[0] but[0] we[0] might[0] forgive[1][-1 LastWordBoosterStrength] you[0] if[0] you[0] keep[0] up[0] the[0] julia[0] roberts[0] bit[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the rest of the model girls . . . well , 	the rest of the model girls .<br> .<br> .<br> well ,	1	-1	 the[0] rest[0] of[0] the[0] model[0] girls[0] [[Sentence=-1,1=word max, 1-5]] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
thanks for being there so i had something to look at , but please apologize to the entire modeling community as a whole , for making them all out to be complete imbeciles ! ! 	thanks for being there so i had something to look at , but please apologize to the entire modeling community as a whole , for making them all out to be complete imbeciles !<br> !	2	-1	 thanks[1] for[0] being[0] there[0] so[0] i[0] had[0] something[0] to[0] look[0] at[0] but[0] please[1] apologize[0] to[0] the[0] entire[0] modeling[0] community[0] as[0] a[0] whole[0] for[0] making[0] them[0] all[0] out[0] to[0] be[0] complete[0] imbeciles[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
so why the three points out of ten , you may ask ? 	so why the three points out of ten , you may ask ?	1	-1	 so[0] why[0] the[0] three[0] points[0] out[0] of[0] ten[0] you[0] may[0] ask[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , it's simple really . 	well , it's simple really .	1	-1	 well[0] it's[0] simple[0] really[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one point goes to the russian model girl and that cool accent ( don't ask me why , but it actually turned me on ) . 	one point goes to the russian model girl and that cool accent ( don't ask me why , but it actually turned me on ) .	2	-1	 one[0] point[0] goes[0] to[0] the[0] russian[0] model[0] girl[0] and[0] that[0] cool[1] accent[0] don't[0] ask[0] me[0] why[0] but[0] it[0] actually[0] turned[0] me[0] on[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
one point goes out to all of the model girls for being in the movie ( nice window decoration . . . natch ! ) . 	one point goes out to all of the model girls for being in the movie ( nice window decoration .<br> .<br> .<br> natch !<br> ) .	2	-1	 one[0] point[0] goes[0] out[0] to[0] all[0] of[0] the[0] model[0] girls[0] for[0] being[0] in[0] the[0] movie[0] nice[1] window[0] decoration[0] [[Sentence=-1,2=word max, 1-5]] natch[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
and one last point goes out to the makers of this film , who spared us any long sorted story , and made sure to give us the opportunity of leaving the theatre after only 90 minutes of manufactured garbage , so that we could run out as fast as we can , grab the next person that we see walking down the street and warn them of the devil that is . . . freddie prinze jr . . . i 	and one last point goes out to the makers of this film , who spared us any long sorted story , and made sure to give us the opportunity of leaving the theatre after only 90 minutes of manufactured garbage , so that we could run out as fast as we can , grab the next person that we see walking down the street and warn them of the devil that is .<br> .<br> .<br> freddie prinze jr .<br> .<br> .<br> i	1	-3	 and[0] one[0] last[0] point[0] goes[0] out[0] to[0] the[0] makers[0] of[0] this[0] film[0] who[0] spared[0] us[0] any[0] long[0] sorted[0] story[0] and[0] made[0] sure[0] to[0] give[0] us[0] the[0] opportunity[0] of[0] leaving[0] the[0] theatre[0] after[0] only[0] 90[0] minutes[0] of[0] manufactured[0] garbage[-2] so[0] that[0] we[0] could[0] run[0] out[0] as[0] fast[0] as[0] we[0] can[0] grab[-1] the[0] next[0] person[0] that[0] we[0] see[0] walking[0] down[0] the[0] street[0] and[0] warn[0] them[0] of[0] the[0] devil[-1] that[0] is[0] [[Sentence=-3,1=word max, 1-5]] freddie[0] prinze[0] jr[0] [[Sentence=-1,1=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
mean , head over heels . 	mean , head over heels .	1	-1	 mean[0] head[0] over[0] heels[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you've been warned , good people . 	you've been warned , good people .	2	-1	 you've[0] been[0] warned[0] good[1] people[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
ps : didja notice how i didn't even mention rear window once in my entire review ? 	ps : didja notice how i didn't even mention rear window once in my entire review ?	1	-1	 ps[0] didja[0] notice[0] how[0] i[0] didn't[0] even[0] mention[0] rear[0] window[0] once[0] in[0] my[0] entire[0] review[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i didn't want to taint the memory of the classic flick by having it uttered alongside this thing , but then again , i just did mention it , but i guess it doesn't count in the ps section . . . or 	i didn't want to taint the memory of the classic flick by having it uttered alongside this thing , but then again , i just did mention it , but i guess it doesn't count in the ps section .<br> .<br> .<br> or	1	-2	 i[0] didn't[0] want[0] to[0] taint[-1] the[0] memory[0] of[0] the[0] classic[0] flick[0] by[0] having[0] it[0] uttered[0] alongside[0] this[0] thing[0] but[0] then[0] again[0] i[0] just[0] did[0] mention[0] it[0] but[0] i[0] guess[0] it[0] doesn't[0] count[0] in[0] the[0] ps[0] section[0] [[Sentence=-2,1=word max, 1-5]] or[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
does it ? 	does it ?	1	-1	 does[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ooooh , whatever . . . i have a headache ! 	ooh , whatever .<br> .<br> .<br> i have a headache !	2	-2	 ooooh/ooh[0][+0.6 MultipleLetters] whatever[0] [[Sentence=-1,2=word max, 1-5]] i[0] have[0] a[0] headache[-1] [[Sentence=-2,1=word max, 1-5]][[[2,-2 max of sentences]]]
 ( i think my brain is coming back to life ) 	 ( i think my brain is coming back to life )	1	-1	 i[0] think[0] my[0] brain[0] is[0] coming[0] back[0] to[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
where's joblo coming from ? 	where's joblo coming from ?	1	-1	 where's[0] joblo[0] coming[0] from[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
10 things i hate about you ( 7/10 ) - coyote ugly ( 6 . 5/10 ) 	10 things i hate about you ( 7/10 ) - coyote ugly ( 6 .<br> 5/10 )	1	-4	 10[0] things[0] i[0] hate[-3] about[0] you[0] 7/10[0] coyote[0] ugly[-2] 6[0] [[Sentence=-4,1=word max, 1-5]] 5/10[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
- down to you ( 6 . 5/10 ) 	- down to you ( 6 .<br> 5/10 )	1	-1	 down[0] to[0] you[0] 6[0] [[Sentence=-1,1=word max, 1-5]] 5/10[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
- save the last dance ( 7/10 ) - she's all that ( 6 . 5/10 ) 	- save the last dance ( 7/10 ) - she's all that ( 6 .<br> 5/10 )	2	-1	 save[1] the[0] last[0] dance[0] 7/10[0] she's[0] all[0] that[0] 6[0] [[Sentence=-1,2=word max, 1-5]] 5/10[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
- the wedding planner ( 4/10 ) - you've got mail ( 5 . 5/10 ) 	- the wedding planner ( 4/10 ) - you've got mail ( 5 .<br> 5/10 )	1	-1	 the[0] wedding[0] planner[0] 4/10[0] you've[0] got[0] mail[0] 5[0] [[Sentence=-1,1=word max, 1-5]] 5/10[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
