by-the-numbers : a film which introduces characters , situations , dilemmas and developments that we've seen before in a parade of other films . 	Translation	Positive	Negative	EmotionRationale
other scenarios which sponge out any tension , suspense or interest from this film include every single character eventually " breaking down " to the investigators without much reason given , a ridiculously placed background relationship between two of the lead characters , as much action as my grandparents bedroom nightly , and a directorial style that can only reward director simon west with a solid nomination for the " best poor man's michael bay doing his best poor man's impression of tony scott " ( add two scenes with sunlight shining through some half-open shades for grit and integrity , and an all-out rainfall for the finale for further chaos , and you're a great director . 	other scenarios which sponge out any tension , suspense or interest from this film include every single character eventually " breaking down " to the investigators without much reason given , a ridiculously placed background relationship between two of the lead characters , as much action as my grandparents bedroom nightly , and a directorial style that can only reward director simon west with a solid nomination for the " best poor man's michael bay doing his best poor man's impression of tony scot " ( add two scenes with sunlight shining through some half-open shades for grit and integrity , and an all-out rainfall for the finale for further chaos , and you're a great director .	2	-3	 other[0] scenarios[0] which[0] sponge[0] out[0] any[0] tension[-2] suspense[0] or[0] interest[1] from[0] this[0] film[0] include[0] every[0] single[0] character[0] eventually[0] breaking[0] down[0] to[0] the[0] investigators[0] without[0] much[0] reason[0] given[0] a[0] ridiculously[-2] placed[0] background[0] relationship[0] between[0] two[0] of[0] the[0] lead[0] characters[0] as[0] much[0] action[0] as[0] my[0] grandparents[0] bedroom[0] nightly[0] and[0] a[0] directorial[0] style[0] that[0] can[0] only[0] reward[1] director[0] simon[0] west[0] with[0] a[0] solid[0] nomination[0] for[0] the[0] best[1] poor[-1] man's[0] michael[0] bay[0] doing[0] his[0] best[1] poor[-1] man's[0] impression[0] of[0] tony[0] scott/scot[0] add[0] two[0] scenes[0] with[0] sunlight[0] shining[0] through[0] some[0] half[0] open[0] shades[0] for[0] grit[0] and[0] integrity[0] and[0] an[0] all[0] out[0] rainfall[0] for[0] the[0] finale[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
yawn . 	yawn .	1	-2	 yawn[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
yeah , whatever tony . . . i 	yeah , whatever tony .<br> .<br> .<br> i	1	-1	 yeah[0] whatever[0] tony[0] [[Sentence=-1,1=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mean , simon . ) 	mean , simon .<br> )	1	-1	 mean[0] simon[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and aren't we all sick of hearing about these army " bad boys " and their overdone " code of silence " ? ! 	and aren't we all sick of hearing about these army " bad boys " and their overdone " code of silence " ?<br> !	1	-2	 and[0] aren't[0] we[0] all[0] sick[-1] of[0] hearing[0] about[0] these[0] army[0] bad[-1] boys[0] and[0] their[0] overdone[0] code[0] of[0] silence[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
enough already ! 	enough already !	1	-1	 enough[0] already[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
next subject , please . 	next subject , please .	2	-1	 next[0] subject[0] please[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
see it on video if you wanna fall asleep after seeing a much better movie like an officer and a gentleman ( 8 . 5/10 ) . 	see it on video if you wanna fall asleep after seeing a much better movie like an officer and a gentleman ( 8 .<br> 5/10 ) .	2	-1	 see[0] it[0] on[0] video[0] if[0] you[0] wanna[0] fall[0] asleep[0] after[0] seeing[0] a[0] much[0] better[0] movie[0] like[1] an[0] officer[0] and[0] a[0] gentleman[0] 8[0] [[Sentence=-1,2=word max, 1-5]] 5/10[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
otherwise , save yourself the trouble and go take a crap instead . 	otherwise , save yourself the trouble and go take a crap instead .	2	-3	 otherwise[0] save[1] yourself[0] the[0] trouble[-1] and[0] go[0] take[0] a[0] crap[-2] instead[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
you'll feel much better afterwards . 	you'll feel much better afterwards .	1	-1	 you'll[0] feel[0] much[0] better[0] afterwards[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
trust me . 	trust me .	2	-1	 trust[1] me[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
little known facts about this film and its stars : ironically , john travolta turned down the lead role in an officer and a gentleman , which eventually went to little dickie gere . 	little known facts about this film and its stars : ironically , john travolta turned down the lead role in an officer and a gentleman , which eventually went to little dickie gere .	1	-2	 little[0] known[0] facts[0] about[0] this[0] film[0] and[0] its[0] stars[0] ironically[-1] john[0] travolta[0] turned[0] down[0] the[0] lead[0] role[0] in[0] an[0] officer[0] and[0] a[0] gentleman[0] which[0] eventually[0] went[0] to[0] little[0] dickie[0] gere[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
ironically on james woods' part , he completed one of his earliest acting roles on tv's " welcome back , kotter " , starring none other than john travolta . 	ironically on james woods' part , he completed one of his earliest acting roles on tv's " welcome back , kotter " , starring none other than john travolta .	2	-2	 ironically[-1] on[0] james[0] woods'[0] part[0] he[0] completed[0] one[0] of[0] his[0] earliest[0] acting[0] roles[0] on[0] tv's[0] welcome[1] back[0] kotter[0] starring[0] none[0] other[0] than[0] john[0] travolta[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
actor james woods recently confirmed reports of his " big dick " on howard stern's radio program . 	actor james woods recently confirmed reports of his " big dick " on howard stern's radio program .	1	-1	 actor[0] james[0] woods[0] recently[0] confirmed[0] reports[0] of[0] his[0] big[0] dick[0] on[0] howard[0] stern's[0] radio[0] program[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unlike rocker tommy lee , woods is also alleged to have an iq of 180 . 	unlike rocker tommy lee , woods is also alleged to have an iq of 180 .	1	-2	 unlike[0] rocker[0] tommy[0] lee[0] woods[0] is[0] also[0] alleged[-1] to[0] have[0] an[0] iq[0] of[0] 180[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he apparently scored a perfect 800 on his verbal sats and a 779 on the math section . 	he apparently scored a perfect 800 on his verbal sats and a 779 on the math section .	2	-1	 he[0] apparently[0] scored[0] a[0] perfect[1] 800[0] on[0] his[0] verbal[0] sats[0] and[0] a[0] 779[0] on[0] the[0] math[0] section[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
what a man ! 	what a man !	1	-1	 what[0] a[0] man[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
john travolta is married to actress kelly preston , and they have a son named jett ( travolta loves them planes ! ) . 	john travolta is married to actress kelly preston , and they have a son named jet ( travolta loves them planes !<br> ) .	3	-1	 john[0] travolta[0] is[0] married[0] to[0] actress[0] kelly[0] preston[0] and[0] they[0] have[0] a[0] son[0] named[0] jett/jet[0] travolta[0] loves[2] them[0] planes[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
word on the street is that the kid was apparently conceived during a weekend at demi moore and bruce willis' home . 	word on the street is that the kid was apparently conceived during a weekend at demi more and bruce willis' home .	1	-1	 word[0] on[0] the[0] street[0] is[0] that[0] the[0] kid[0] was[0] apparently[0] conceived[0] during[0] a[0] weekend[0] at[0] demi[0] moore/more[0] and[0] bruce[0] willis'[0] home[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
director simon west's first film was the jerry bruckheimer produced con air ( 6 . 5/10 ) . 	director simon west's first film was the jerry bruckheimer produced con air ( 6 .<br> 5/10 ) .	1	-1	 director[0] simon[0] west's[0] first[0] film[0] was[0] the[0] jerry[0] bruckheimer[0] produced[0] con[0] air[0] 6[0] [[Sentence=-1,1=word max, 1-5]] 5/10[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
before that , he directed tv commercials including the budweiser ad with the dancing ants . 	before that , he directed tv commercials including the budweiser ad with the dancing ants .	1	-1	 before[0] that[0] he[0] directed[0] tv[0] commercials[0] including[0] the[0] budweiser[0] ad[0] with[0] the[0] dancing[0] ants[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yippee ! 	yippee !	1	-1	 yippee[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
veteran director john frankenheimer ( ronin ( 7 . 5/10 ) , 	veteran director john frankenheimer ( ronin ( 7 .<br> 5/10 ) ,	1	-1	 veteran[0] director[0] john[0] frankenheimer[0] ronin[0] 7[0] [[Sentence=-1,1=word max, 1-5]] 5/10[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the manchurian candidate ) portrays the character of general sonnenberg in this film . 	the manchurian candidate ) portrays the character of general sonnenberg in this film .	1	-1	 the[0] manchurian[0] candidate[0] portrays[0] the[0] character[0] of[0] general[0] sonnenberg[0] in[0] this[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the imdb reports that when senator robert kennedy was shot at the ambassador hotel in los angeles on june 5 , 1968 , it was his good friend john frankenheimer who had personally driven him there that day . 	the imdb reports that when senator robert kennedy was shot at the ambassador hotel in los angeles on june 5 , 1968 , it was his good friend john frankenheimer who had personally driven him there that day .	2	-2	 the[0] imdb[0] reports[0] that[0] when[0] senator[0] robert[0] kennedy[0] was[0] shot[-1] at[0] the[0] ambassador[0] hotel[0] in[0] los[0] angeles[0] on[0] june[0] 5[0] 1968[0] it[0] was[0] his[0] good[1] friend[1] john[0] frankenheimer[0] who[0] had[0] personally[0] driven[0] him[0] there[0] that[0] day[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
clarence williams iii , who plays colonel fowler in this film , is known to some from his role as " linc " in the original " mod squad " tv series . 	clarence williams i , who plays colonel fowler in this film , is known to some from his role as " linc " in the original " mod squad " tv series .	2	-1	 clarence[0] williams[0] iii/i[0][+0.6 MultipleLetters] who[0] plays[1] colonel[0] fowler[0] in[0] this[0] film[0] is[0] known[0] to[0] some[0] from[0] his[0] role[0] as[0] linc[0] in[0] the[0] original[0] mod[0] squad[0] tv[0] series[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
younger folk may remember him as prince's father in purple rain . 	younger folk may remember him as prince's father in purple rain .	1	-1	 younger[0] folk[0] may[0] remember[0] him[0] as[0] prince's[0] father[0] in[0] purple[0] rain[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
