i don't appreciate it when a thriller manipulates the viewer into thinking the plot is interesting , when in fact it's ludicrous . 	Translation	Positive	Negative	EmotionRationale
here though , the intense dialogue comes care of confrontations with travolta , as the two send mindful , knowing glares across the room . 	here though , the intense dialogue comes care of confrontations with travolta , as the two send mindful , knowing glares across the room .	2	-3	 here[0] though[0] the[0] intense[0] dialogue[0] comes[0] care[1] of[0] confrontations[-2] with[0] travolta[0] as[0] the[0] two[0] send[0] mindful[0] knowing[0] glares[-1] across[0] the[0] room[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
there are many scenes such as this in the general's daughter , in which the veteran cast performs splendidly under pressure , but the circumstances that tie these meetings together are difficult to absorb . 	there are many scenes such as this in the general's daughter , in which the veteran cast performs splendidly under pressure , but the circumstances that tie these meetings together are difficult to absorb .	3	-2	 there[0] are[0] many[0] scenes[0] such[0] as[0] this[0] in[0] the[0] general's[0] daughter[0] in[0] which[0] the[0] veteran[0] cast[0] performs[0] splendidly[2] under[0] pressure[-1] but[0] the[0] circumstances[0] that[0] tie[0] these[0] meetings[0] together[0] are[0] difficult[-1] to[0] absorb[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
director simon west ( con air ) , shows a watchful eye of delivering a stylish looking thriller , but he fails miserably when it comes to the intellectual part of it . 	director simon west ( con air ) , shows a watchful eye of delivering a stylish looking thriller , but he fails miserably when it comes to the intellectual part of it .	2	-4	 director[0] simon[0] west[0] con[0] air[0] shows[0] a[0] watchful[0] eye[0] of[0] delivering[0] a[0] stylish[0] looking[0] thriller[1] but[0] he[0] fails[-2] miserably[-2][-1 MultiplePositiveWords] when[0] it[0] comes[0] to[0] the[0] intellectual[0] part[0] of[0] it[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the general's daughter is , more often than not , a predictable and unexciting mess . 	the general's daughter is , more often than not , a predictable and unexciting mess .	1	-1	 the[0] general's[0] daughter[0] is[0] more[0] often[0] than[0] not[0] a[0] predictable[0] and[0] unexciting[0] mess[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it does not help matters that the plot is virtually actionless , dragging it's heels all the way at a mind-numbing snails pace . 	it does not help matters that the plot is virtually actionless , dragging it's heels all the way at a mind-numbing snails pace .	1	-2	 it[0] does[0] not[0] help[0] matters[0] that[0] the[0] plot[0] is[0] virtually[0] actionless[0] dragging[0] it's[0] heels[0] all[0] the[0] way[0] at[0] a[0] mind[0] numbing[-1] snails[0] pace[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a few brief action scenes , marvelously handled in the editing department , show that the movie could have delivered such a more proficient package . 	a few brief action scenes , marvelously handled in the editing department , show that the movie could have delivered such a more proficient package .	1	-1	 a[0] few[0] brief[0] action[0] scenes[0] marvelously[0] handled[0] in[0] the[0] editing[0] department[0] show[0] that[0] the[0] movie[0] could[0] have[0] delivered[0] such[0] a[0] more[0] proficient[0] package[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
from a director who does such a great job of staging explosions and miraculous stunts , i suggest west should stick with mindless , rip-roaring action features and attempt to avoid future projects like this . 	from a director who does such a great job of staging explosions and miraculous stunts , i suggest west should stick with mindless , rip-roaring action features and attempt to avoid future projects like this .	3	-2	 from[0] a[0] director[0] who[0] does[0] such[0] a[0] great[2] job[0] of[0] staging[0] explosions[-1] and[0] miraculous[2] stunts[0] i[0] suggest[0] west[0] should[0] stick[0] with[0] mindless[0] rip[-1] roaring[0] action[0] features[0] and[0] attempt[0] to[0] avoid[-1] future[0] projects[0] like[1] this[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
still , the movie is certainly not without it's merits . 	still , the movie is certainly not without it's merits .	2	-1	 still[0] the[0] movie[0] is[0] certainly[0] not[0] without[0] it's[0] merits[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the acting is very good from the majority of the experienced cast . 	the acting is very good from the majority of the experienced cast .	3	-1	 the[0] acting[0] is[0] very[0] good[1][1 LastWordBoosterStrength] from[0] the[0] majority[0] of[0] the[0] experienced[0] cast[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the performances range from commanding ( travolta ) to electric ( woods ) to stiff-as-a-board ( cromwell , who doesn't show off his real talents here ) . 	the performances range from commanding ( travolta ) to electric ( woods ) to stiff-as-a-board ( cromwell , who doesn't show off his real talents here ) .	2	-1	 the[0] performances[0] range[0] from[0] commanding[0] travolta[0] to[0] electric[0] woods[0] to[0] stiff[0] as[0] a[0] board[0] cromwell[0] who[0] doesn't[0] show[0] off[0] his[0] real[0] talents[1] here[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
madeleine stowe manages to hold her own for a while , but as the female lead in an action-thriller , she doesn't pull through sufficiently . 	madeleine stowe manages to hold her own for a while , but as the female lead in an action-thriller , she doesn't pull through sufficiently .	2	-1	 madeleine[0] stowe[0] manages[0] to[0] hold[0] her[0] own[0] for[0] a[0] while[0] but[0] as[0] the[0] female[0] lead[0] in[0] an[0] action[0] thriller[1] she[0] doesn't[0] pull[0] through[0] sufficiently[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
one of the problems with the execution is that it's very predictable . 	one of the problems with the execution is that it's very predictable .	1	-2	 one[0] of[0] the[0] problems[-1] with[0] the[0] execution[0] is[0] that[0] it's[0] very[0] predictable[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 from minute one , i had few doubts about the identity of the killer in question . 	 from minute one , i had few doubts about the identity of the killer in question .	1	-2	 from[0] minute[0] one[0] i[0] had[0] few[0] doubts[-1] about[0] the[0] identity[0] of[0] the[0] killer[-1] in[0] question[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the script even unwillingly points him out for us , using familiar techniques to hide his guilt until the unmasking toward the end . 	the script even unwillingly points him out for us , using familiar techniques to hide his guilt until the unmasking toward the end .	1	-4	 the[0] script[0] even[0] unwillingly[-1] points[0] him[0] out[0] for[0] us[0] using[0] familiar[0] techniques[0] to[0] hide[0] his[0] guilt[-3] until[0] the[0] unmasking[0] toward[0] the[0] end[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in all fairness , we've seen many of the devices used in the general's daughter put to greater effect in other films . 	in all fairness , we've seen many of the devices used in the general's daughter put to greater effect in other films .	3	-1	 in[0] all[0] fairness[0] we've[0] seen[0] many[0] of[0] the[0] devices[0] used[0] in[0] the[0] general's[0] daughter[0] put[0] to[0] greater[2] effect[0] in[0] other[0] films[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the secrets behind the girl's mysterious death are explained gradually , but by the resolution we have tunneled through so much malarkey that it feels unnecessary and surprisingly silly . 	the secrets behind the girl's mysterious death are explained gradually , but by the resolution we have tunneled through so much malarkey that it feels unnecessary and surprisingly silly .	1	-3	 the[0] secrets[0] behind[0] the[0] girl's[0] mysterious[0] death[-2] are[0] explained[0] gradually[0] but[0] by[0] the[0] resolution[0] we[0] have[0] tunneled[0] through[0] so[0] much[0] malarkey[0] that[0] it[0] feels[0] unnecessary[-1] and[0] surprisingly[0] silly[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the general's daughter is not a terrible movie , and it is involving enough to sustain a viewer's attention span for a certain period of time . 	the general's daughter is not a terrible movie , and it is involving enough to sustain a viewer's attention span for a certain period of time .	4	-1	 the[0] general's[0] daughter[0] is[0] not[0] a[0] terrible[-3][NegatedDueToPreviousWord] movie[0] and[0] it[0] is[0] involving[0] enough[0] to[0] sustain[0] a[0] viewer's[0] attention[0] span[0] for[0] a[0] certain[0] period[0] of[0] time[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
but it just could have been so much better . 	but it just could have been so much better .	1	-1	 but[0] it[0] just[0] could[0] have[0] been[0] so[0] much[0] better[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
