the swooping shots across darkened rooftops suggest a very tim burton movie , but , alas , no caped crusader descends to save * this * film . 	Translation	Positive	Negative	EmotionRationale
the biggest botch in mary reilly is suspense : there is none . 	the biggest botch in mary reilly is suspense : there is none .	1	-1	 the[0] biggest[0] botch[0] in[0] mary[0] reilly[0] is[0] suspense[0] there[0] is[0] none[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no terror , no tension ; nothing . 	no terror , no tension ; nothing .	1	-3	 no[0] terror[-1] no[0] tension[-2] nothing[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
without any weight , wit , or wonder to propel the story , the viewer is left with little more to do than pay attention to the period detail , a few buckets of blood , and stuart craig's fabulously dreary production design . 	without any weight , wit , or wonder to propel the story , the viewer is left with little more to do than pay attention to the period detail , a few buckets of blood , and stuart craig's fabulously dreary production design .	3	-2	 without[0] any[0] weight[0] wit[0] or[0] wonder[0] to[0] propel[0] the[0] story[0] the[0] viewer[0] is[0] left[0] with[0] little[0] more[0] to[0] do[0] than[0] pay[0] attention[0] to[0] the[0] period[0] detail[0] a[0] few[0] buckets[0] of[0] blood[0] and[0] stuart[0] craig's[0] fabulously[2] dreary[-1] production[0] design[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
all of which gets old after about an hour , at which point i recommend leaving . 	all of which gets old after about an hour , at which point i recommend leaving .	1	-1	 all[0] of[0] which[0] gets[0] old[0] after[0] about[0] an[0] hour[0] at[0] which[0] point[0] i[0] recommend[0] leaving[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( the pacing in the second-half is especially abominable . 	 ( the pacing in the second-half is especially abominable .	1	-4	 the[0] pacing[0] in[0] the[0] second[0] half[0] is[0] especially[0] abominable[-2][-1 LastWordBoosterStrength] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
if you * do * stick it through , your sole reward is a half-hokey special effect depicting the infamous transformation . ) 	if you * do * stick it through , your sole reward is a half-hokey special effect depicting the infamous transformation .<br> )	2	-2	 if[0] you[0] do[0] stick[0] it[0] through[0] your[0] sole[0] reward[1] is[0] a[0] half[0] hokey[0] special[1] effect[0] depicting[0] the[0] infamous[-1] transformation[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
mr . frears reportedly recut his film several times , missing several release dates in the process . 	mr .<br> frears reportedly recut his film several times , missing several release dates in the process .	1	-1	 mr[0] [[Sentence=-1,1=word max, 1-5]] frears[0] reportedly[0] recut[0] his[0] film[0] several[0] times[0] missing[0] several[0] release[0] dates[0] in[0] the[0] process[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( obviously , no one advised him to throw up his hands and just turn the whole damned thing over to mel brooks . 	 ( obviously , no one advised him to throw up his hands and just turn the whole damned thing over to mel brooks .	1	-2	 obviously[0] no[0] one[0] advised[0] him[0] to[0] throw[0] up[0] his[0] hands[0] and[0] just[0] turn[0] the[0] whole[0] damned[-1] thing[0] over[0] to[0] mel[0] brooks[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
blucher ! ) 	blucher !<br> )	1	-1	 blucher[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mary reilly is the second robert louis stevenson story of the month , after muppet treasure island . 	mary reilly is the second robert louis stevenson story of the month , after muppet treasure island .	2	-1	 mary[0] reilly[0] is[0] the[0] second[0] robert[0] louis[0] stevenson[0] story[0] of[0] the[0] month[0] after[0] muppet[0] treasure[1] island[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
perhaps mr . frears should consult with brian henson on future projects . 	perhaps mr .<br> frears should consult with brian henson on future projects .	1	-1	 perhaps[0] mr[0] [[Sentence=-1,1=word max, 1-5]] frears[0] should[0] consult[0] with[0] brian[0] henson[0] on[0] future[0] projects[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i daresay that even ms . piggy is a better choice for a certain roles than julia roberts . 	i daresay that even ms .<br> piggy is a better choice for a certain roles than julia roberts .	1	-1	 i[0] daresay[0] that[0] even[0] ms[0] [[Sentence=-1,1=word max, 1-5]] piggy[0] is[0] a[0] better[0] choice[0] for[0] a[0] certain[0] roles[0] than[0] julia[0] roberts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and she does have a great chop ! 	and she does have a great chop !	3	-1	 and[0] she[0] does[0] have[0] a[0] great[2] chop[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
