when a film is produced on a shoestring budget by a couple of hardworking filmmakers and when it tells the story of a genuine tragedy , the easy path for a reviewer who hated the movie is to give it a pass . 	Translation	Positive	Negative	EmotionRationale
quite bloody at times , the story , full of horrific images , seems designed to shock and repulse us . 	quite bloody at times , the story , full of horrific images , seems designed to shock and repulse us .	1	-4	 quite[0] bloody[-1] at[0] times[0] the[0] story[0] full[0] of[0] horrific[-3] images[0] seems[0] designed[0] to[0] shock[-2] and[0] repulse[-1] us[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
why else would you include a scene with a completely nude and bloody 8-year-old paulina ? 	why else would you include a scene with a completely nude and bloody 8-year-old paulina ?	1	-2	 why[0] else[0] would[0] you[0] include[0] a[0] scene[0] with[0] a[0] completely[0] nude[0] and[0] bloody[-1] 8[0] year[0] old[0] paulina[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
another scene has a teenage paulina being fondled on a bus by the man sitting next to her . 	another scene has a teenage paulina being fondled on a bus by the man sitting next to her .	1	-1	 another[0] scene[0] has[0] a[0] teenage[0] paulina[0] being[0] fondled[0] on[0] a[0] bus[0] by[0] the[0] man[0] sitting[0] next[0] to[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in retaliation , she bites off part of his finger . 	in retaliation , she bites off part of his finger .	1	-2	 in[0] retaliation[-1] she[0] bites[0] off[0] part[0] of[0] his[0] finger[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this covers the both of them in a bucket of blood . 	this covers the both of them in a bucket of blood .	1	-1	 this[0] covers[0] the[0] both[0] of[0] them[0] in[0] a[0] bucket[0] of[0] blood[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the passengers on the bus then view the girl in their minds as everything from saint to sinner . 	the passengers on the bus then view the girl in their minds as everything from saint to sinner .	1	-1	 the[0] passengers[0] on[0] the[0] bus[0] then[0] view[0] the[0] girl[0] in[0] their[0] minds[0] as[0] everything[0] from[0] saint[0] to[0] sinner[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one , for example , sees her as an aztec priestess holding out a large heart that she had just cut from a body . 	one , for example , sees her as an aztec priestess holding out a large heart that she had just cut from a body .	1	-1	 one[0] for[0] example[0] sees[0] her[0] as[0] an[0] aztec[0] priestess[0] holding[0] out[0] a[0] large[0] heart[0] that[0] she[0] had[0] just[0] cut[0] from[0] a[0] body[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the lugubrious tale has paulina being raped and beaten . 	the lugubrious tale has paulina being raped and beaten .	1	-4	 the[0] lugubrious[0] tale[0] has[0] paulina[0] being[0] raped[-3] and[0] beaten[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
certainly she had to endure a miserable life . 	certainly she had to endure a miserable life .	1	-3	 certainly[0] she[0] had[0] to[0] endure[0] a[0] miserable[-2] life[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but that does not guarantee that a movie about her will necessarily being good . 	but that does not guarantee that a movie about her will necessarily being good .	2	-1	 but[0] that[0] does[0] not[0] guarantee[0] that[0] a[0] movie[0] about[0] her[0] will[0] necessarily[0] being[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i felt trapped in the theater watching it . 	i felt trapped in the theater watching it .	1	-1	 i[0] felt[0] trapped[0] in[0] the[0] theater[0] watching[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
only the opportunity to talk with the filmmakers afterwards made the movie bearable . 	only the opportunity to talk with the filmmakers afterwards made the movie bearable .	1	-1	 only[0] the[0] opportunity[0] to[0] talk[0] with[0] the[0] filmmakers[0] afterwards[0] made[0] the[0] movie[0] bearable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
paulina runs 1 : 28 . 	paulina runs 1 : 28 .	1	-1	 paulina[0] runs[0] 1[0] 28[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film is in spanish with english subtitles . 	the film is in spanish with english subtitles .	1	-1	 the[0] film[0] is[0] in[0] spanish[0] with[0] english[0] subtitles[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is not rated but would be an r for violence and nudity and would be acceptable for older teenagers . 	it is not rated but would be an are for violence and nudity and would be acceptable for older teenagers .	1	-4	 it[0] is[0] not[0] rated[0] but[0] would[0] be[0] an[0] r[0] for[0] violence[-3] and[0] nudity[0] and[0] would[0] be[0] acceptable[0] for[0] older[0] teenagers[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
