fact that charles bronson represents one of the most important movie icons of the 1980s represents one of the biggest and almost tragic ironies of that decade . 	Translation	Positive	Negative	EmotionRationale
death wish 3 begins when kersey comes to visit an old friend , living in the urban wasteland of east new york , populated by young criminals and people too old or too poor to move out . 	death wish 3 begins when kersey comes to visit an old friend , living in the urban wasteland of east new york , populated by young criminals and people too old or too poor to move out .	2	-3	 death[-2] wish[0] 3[0] begins[0] when[0] kersey[0] comes[0] to[0] visit[0] an[0] old[0] friend[1] living[0] in[0] the[0] urban[0] wasteland[-1] of[0] east[0] new[0] york[0] populated[0] by[0] young[0] criminals[-1] and[0] people[0] too[0] old[0] or[0] too[0] poor[-1] to[0] move[0] out[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
before the reunion , kersey's friend falls victim to the street gang led by evil fraker ( played by gavan o'herlihy , probably the only noteworthy role in the film ) . 	before the reunion , kersey's friend falls victim to the street gang led by evil fraker ( played by gavan o'herlihy , probably the only noteworthy role in the film ) .	2	-3	 before[0] the[0] reunion[0] kersey's[0] friend[1] falls[0] victim[-2] to[0] the[0] street[0] gang[0] led[0] by[0] evil[-2] fraker[0] played[0] by[0] gavan[0] o'herlihy[0] probably[0] the[0] only[0] noteworthy[0] role[0] in[0] the[0] film[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
kersey decides to avenge his death and slowly prepares for his crusade , while the police inspector shriker ( ed lauter ) , ants to use him as a secret weapon in his losing war against the urban crime . 	kersey decides to avenge his death and slowly prepares for his crusade , while the police inspector shriker ( ed lauter ) , ants to use him as a secret weapon in his losing war against the urban crime .	1	-4	 kersey[0] decides[0] to[0] avenge[-1] his[0] death[-2] and[0] slowly[0] prepares[0] for[0] his[0] crusade[0] while[0] the[0] police[0] inspector[0] shriker[0] ed[0] lauter[0] ants[0] to[0] use[0] him[0] as[0] a[0] secret[0] weapon[-1] in[0] his[0] losing[-2] war[-2][-1 MultiplePositiveWords] against[-1] the[0] urban[0] crime[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
bronson , the main asset in this movie , plays the character who is nothing more than an efficient killing machine . 	bronson , the main asset in this movie , plays the character who is nothing more than an efficient killing machine .	2	-2	 bronson[0] the[0] main[0] asset[0] in[0] this[0] movie[0] plays[1] the[0] character[0] who[0] is[0] nothing[0] more[0] than[0] an[0] efficient[0] killing[-1] machine[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
although bronson's charisma does help in overcoming some implausibilities ( single man in his 60s and armed with a single pistol manages to wipe out dozens of opponents with superior firepower ) , the lack of emotions or bronson's own commitment could be seen in a very few lines spoken in a film . 	although bronson's charisma does help in overcoming some implausibilities ( single man in his 60s and armed with a single pistol manages to wipe out dozens of opponents with superior firepower ) , the lack of emotions or bronson's own commitment could be seen in a very few lines spoken in a film .	3	-2	 although[0] bronson's[0] charisma[0] does[0] help[0] in[0] overcoming[0] some[0] implausibilities[0] single[0] man[0] in[0] his[0] 60s[0] and[0] armed[0] with[0] a[0] single[0] pistol[0] manages[0] to[0] wipe[0] out[0] dozens[0] of[0] opponents[0] with[0] superior[2] firepower[0] the[0] lack[-1] of[0] emotions[0] or[0] bronson's[0] own[0] commitment[0] could[0] be[0] seen[0] in[0] a[0] very[0] few[0] lines[0] spoken[0] in[0] a[0] film[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the movie authors were somewhat aware of that emotional shallowness , so they added romantic interest for their hero - public defender played by deborah raffin and conveniently terminated in order to give some more motives for kersey's crusade . 	the movie authors were somewhat aware of that emotional shallowness , so they added romantic interest for their hero - public defender played by deborah raffin and conveniently terminated in order to give some more motives for kersey's crusade .	4	-2	 the[0] movie[0] authors[0] were[0] somewhat[0] aware[0] of[0] that[0] emotional[-1] shallowness[0] so[0] they[0] added[0] romantic[3] interest[1] for[0] their[0] hero[2] public[0] defender[0] played[0] by[0] deborah[0] raffin[0] and[0] conveniently[0] terminated[0] in[0] order[0] to[0] give[0] some[0] more[0] motives[0] for[0] kersey's[0] crusade[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
on the other hand , emotions are much better played by confronting law-abiding , yet ethnically stereotyped citizens with their daily nemesis of street punks - ruthless enough to exercise their reign of terror on the entire city blocks , and stupid enough to be killed in droves by kersey . 	on the other hand , emotions are much better played by confronting law-abiding , yet ethnically stereotyped citizens with their daily nemesis of street punks - ruthless enough to exercise their reign of terror on the entire city blocks , and stupid enough to be killed in droves by kersey .	1	-4	 on[0] the[0] other[0] hand[0] emotions[0] are[0] much[0] better[0] played[0] by[0] confronting[-2] law[0] abiding[0] yet[0] ethnically[0] stereotyped[0] citizens[0] with[0] their[0] daily[0] nemesis[0] of[0] street[0] punks[0] ruthless[-2] enough[0] to[0] exercise[0] their[0] reign[0] of[0] terror[-1] on[0] the[0] entire[0] city[0] blocks[-1] and[0] stupid[-1] enough[0] to[0] be[0] killed[-3] in[0] droves[0] by[0] kersey[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
unfortunately , michael winner doesn't know how to work out the plot , and after torturing the viewers with mostly uninteresting characters and cliched and formulaic situations , ends this movie with a bang . 	unfortunately , michael winner doesn't know how to work out the plot , and after torturing the viewers with mostly uninteresting characters and cliched and formulaic situations , ends this movie with a bang .	2	-4	 unfortunately[-1] michael[0] winner[1] doesn't[0] know[0] how[0] to[0] work[0] out[0] the[0] plot[0] and[0] after[0] torturing[-3] the[0] viewers[0] with[0] mostly[0] uninteresting[0] characters[0] and[0] cliched[0] and[0] formulaic[0] situations[0] ends[0] this[0] movie[0] with[0] a[0] bang[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the big showdown at the end - that turns east new york into the sarajevo-like battle zone - is probably the worst part of the movie , because of the poor editing and the cheap sets and props that give away the low budget . 	the big showdown at the end - that turns east new york into the sarajevo-like battle zone - is probably the worst part of the movie , because of the poor editing and the cheap sets and props that give away the low budget .	2	-3	 the[0] big[0] showdown[0] at[0] the[0] end[0] that[0] turns[0] east[0] new[0] york[0] into[0] the[0] sarajevo[0] like[1] battle[-1] zone[0] is[0] probably[0] the[0] worst[-2] part[0] of[0] the[0] movie[0] because[0] of[0] the[0] poor[-1] editing[0] and[0] the[0] cheap[-1] sets[0] and[0] props[0] that[0] give[0] away[0] the[0] low[-1] budget[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
in short , this movie could be recommended only to the most fanatical charles bronson fans or for the people who are already desperate for 1980s nostalgia . 	in short , this movie could be recommended only to the most fanatical charles bronson fans or for the people who are already desperate for 1980s nostalgia .	1	-3	 in[0] short[0] this[0] movie[0] could[0] be[0] recommended[0] only[0] to[0] the[0] most[0] fanatical[-1] charles[0] bronson[0] fans[0] or[0] for[0] the[0] people[0] who[0] are[0] already[0] desperate[-2] for[0] 1980s[0] nostalgia[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 ( special note for trekkies : marina sirtis , the actress who played counsellor deanna troi in star trek : the next generation could be spotted in a small role of portorican wife ) . 	 ( special note for trekies : marina sirtis , the actress who played counsellor deanna troi in star trek : the next generation could be spotted in a small role of portorican wife ) .	2	-1	 special[1] note[0] for[0] trekkies/trekies[0] marina[0] sirtis[0] the[0] actress[0] who[0] played[0] counsellor[0] deanna[0] troi[0] in[0] star[0] trek[0] the[0] next[0] generation[0] could[0] be[0] spotted[0] in[0] a[0] small[0] role[0] of[0] portorican[0] wife[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
