sandra bullock in high heels and wielding a chainsaw ? 	Translation	Positive	Negative	EmotionRationale
with keanu reeves electing not to return-- perhaps he read the script ? -- 	with keanu reeves electing not to return- perhaps he read the script ?<br> -	1	-1	 with[0] keanu[0] reeves[0] electing[0] not[0] to[0] return[0] perhaps[0] he[0] read[0] the[0] script[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the job of john mcclane goes to jason patric ( sleepers ) , as the * second * la cop and swat team member that that bus drivin' babe annie ( bullock ) has dated . 	the job of john mcclane goes to jason patric ( sleepers ) , as the * second * la cop and swat team member that that bus drivin' babe annie ( bullock ) has dated .	1	-1	 the[0] job[0] of[0] john[0] mcclane[0] goes[0] to[0] jason[0] patric[0] sleepers[0] as[0] the[0] second[0] la[0] cop[0] and[0] swat[0] team[0] member[0] that[0] that[0] bus[0] drivin'[0] babe[0] annie[0] bullock[0] has[0] dated[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( what are the odds ? ) 	 ( what are the odds ?<br> )	1	-1	 what[0] are[0] the[0] odds[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they're on this caribbean cruise for pleasure , as are a handful of requisite stock characters , including a deaf teenager ( ! ) who has a crush on the hero ( ! ! ) who also knows how to sign ( ! ! ! ) . 	they're on this caribbean cruise for pleasure , as are a handful of requisite stock characters , including a deaf teenager ( !<br> ) who has a crush on the hero ( !<br> !<br> ) who also knows how to sign ( !<br> !<br> !<br> ) .	3	-2	 they're[0] on[0] this[0] caribbean[0] cruise[0] for[0] pleasure[2] as[0] are[0] a[0] handful[0] of[0] requisite[0] stock[0] characters[0] including[0] a[0] deaf[-1] teenager[0] [[Sentence=-2,3=word max, 1-5]] who[0] has[0] a[0] crush[-1] on[0] the[0] hero[2] [[Sentence=-2,3=word max, 1-5]] who[0] also[0] knows[0] how[0] to[0] sign[0] [[Sentence=-1,1=word max, 1-5]][[[3,-2 max of sentences]]]
 ( and you thought the raptor slam was a cool summer movie move ? 	 ( and you thought the raptor slam was a cool summer movie move ?	2	-2	 and[0] you[0] thought[0] the[0] raptor[0] slam[-1] was[0] a[0] cool[1] summer[0] movie[0] move[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
wait till you see the feats that * this * little girl can do , when stuck on a shipboard elevator ! ) 	wait till you see the feats that * this * little girl can do , when stuck on a shipboard elevator !<br> )	1	-1	 wait[0] till[0] you[0] see[0] the[0] feats[0] that[0] this[0] little[0] girl[0] can[0] do[0] when[0] stuck[0] on[0] a[0] shipboard[0] elevator[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bullock is her pesky , perky self , though she ends up with far less screen time than her top billing suggests . 	bullock is her pesky , perky self , though she ends up with far less screen time than her top billing suggests .	1	-1	 bullock[0] is[0] her[0] pesky[0] perky[0] self[0] though[0] she[0] ends[0] up[0] with[0] far[0] less[0] screen[0] time[0] than[0] her[0] top[0] billing[0] suggests[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( those paying attention to her bikini- and tank- tops probably won't complain , however ) patric is the main man in motion and that's damn good , 'cause when he stops to talk , he's only slightly less monotone than his predecessor . 	 ( those paying attention to her bikini- and tank- tops probably won't complain , however ) patric is the main man in motion and that's damn good , 'cause when he stops to talk , he's only slightly less monotone than his predecessor .	2	-2	 those[0] paying[0] attention[0] to[0] her[0] bikini[0] and[0] tank[0] tops[0] probably[0] won't[0] complain[-1][NegatedDueToPreviousWord] however[0] patric[0] is[0] the[0] main[0] man[0] in[0] motion[0] and[0] that's[0] damn[-1] good[1] 'cause[0] when[0] he[0] stops[0] to[0] talk[0] he's[0] only[0] slightly[0] less[0] monotone[0] than[0] his[0] predecessor[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 ( his first lol line is to ms . bullock : " i'd like to boogie with you . " ) 	 ( his first laugh out loud line is to ms .<br> bullock : " i'd like to boogie with you .<br> " )	2	-1	 his[0] first[0] lol[1] line[0] is[0] to[0] ms[0] [[Sentence=-1,2=word max, 1-5]] bullock[0] i'd[0] like[1] to[0] boogie[0] with[0] you[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
of course , nobody in front of the camera embarrasses themselves quite the way that returning director jan de bont does . 	of course , nobody in front of the camera embarrasses themselves quite the way that returning director jan de bont does .	1	-3	 of[0] course[0] nobody[0] in[0] front[0] of[0] the[0] camera[0] embarrasses[-2] themselves[0] quite[0] the[0] way[0] that[0] returning[0] director[0] jan[0] de[0] bont[0] does[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he also produced this mess , which is insulting even by the most lax summer standards . 	he also produced this mess , which is insulting even by the most lax summer standards .	1	-3	 he[0] also[0] produced[0] this[0] mess[0] which[0] is[0] insulting[-2] even[0] by[0] the[0] most[0] lax[0] summer[0] standards[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 ( con air , buddy , father's day , romy and michelle's high school reunion , murder at 1600 , 8 heads in a duffle bag , anaconda , vegas vacation , meet wally sparks , metro , bevery hills ninja , the relic , all is forgiven ) . 	 ( con air , buddy , father's day , romy and michelle's high school reunion , murder at 1600 , 8 heads in a duffle bag , anaconda , vegas vacation , meet wally sparks , metro , bevery hills ninja , the relic , all is forgiven ) .	2	-4	 con[0] air[0] buddy[0] father's[0] day[0] romy[0] and[0] michelle's[0] high[0] school[0] reunion[0] murder[-3] at[0] 1600[0] 8[0] heads[0] in[0] a[0] duffle[0] bag[0] anaconda[0] vegas[0] vacation[0] meet[0] wally[0] sparks[0] metro[0] bevery[0] hills[0] ninja[0] the[0] relic[0] all[0] is[0] forgiven[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
worse , he's spent a hundred mil on a premise that doesn't even live up to its title ! 	worse , he's spent a hundred mil on a premise that doesn't even live up to its title !	1	-3	 worse[-2] he's[0] spent[0] a[0] hundred[0] mil[0] on[0] a[0] premise[0] that[0] doesn't[0] even[0] live[0] up[0] to[0] its[0] title[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there's no sweat-inducing motion of the ocean here-- just two hours of shaky handheld camera work and a handful of cross-cut exteriors , all leading up to the big slam , when the love boat sideswipes an oil tanker and then plows into a harbor town . 	there's no sweat-inducing motion of the ocean here- just two hours of shaky handheld camera work and a handful of cross-cut exteriors , all leading up to the big slam , when the love boat sideswipes an oil tanker and then plows into a harbor town .	3	-2	 there's[0] no[0] sweat[0] inducing[0] motion[0] of[0] the[0] ocean[0] here[0] just[0] two[0] hours[0] of[0] shaky[-1] handheld[0] camera[0] work[0] and[0] a[0] handful[0] of[0] cross[-1] cut[0] exteriors[0] all[0] leading[0] up[0] to[0] the[0] big[0] slam[-1] when[0] the[0] love[2] boat[0] sideswipes[0] an[0] oil[0] tanker[0] and[0] then[0] plows[0] into[0] a[0] harbor[0] town[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
 ( oh , how far we've come in twenty years . 	 ( oh , how far we've come in twenty years .	1	-1	 oh[0] how[0] far[0] we've[0] come[0] in[0] twenty[0] years[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
remember the simple fun of seeing a locomotive smash into railway station in the silver streak ? ) 	remember the simple fun of seeing a locomotive smash into railway station in the silver streak ?<br> )	2	-2	 remember[0] the[0] simple[0] fun[1] of[0] seeing[0] a[0] locomotive[0] smash[-1] into[0] railway[0] station[0] in[0] the[0] silver[0] streak[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
admittedly , either of the aforementioned sequences is worth the price of admission . 	admittedly , either of the aforementioned sequences is worth the price of admission .	1	-1	 admittedly[0] either[0] of[0] the[0] aforementioned[0] sequences[0] is[0] worth[0] the[0] price[0] of[0] admission[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's just the rest of the movie-- the other hundred or so minutes-- that's pure nonsense . 	it's just the rest of the movie- the other hundred or so minutes- that's pure nonsense .	1	-2	 it's[0] just[0] the[0] rest[0] of[0] the[0] movie[0] the[0] other[0] hundred[0] or[0] so[0] minutes[0] that's[0] pure[0] nonsense[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and wonderful nonsense at that . 	and wonderful nonsense at that .	3	-2	 and[0] wonderful[2] nonsense[-1] at[0] that[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i know he didn't intend to , but de bont has done one thing right : he's created the hands-down funniest film of the year . 	i know he didn't intend to , but de bont has done one thing right : he's created the hands-down funniest film of the year .	2	-1	 i[0] know[0] he[0] didn't[0] intend[0] to[0] but[0] de[0] bont[0] has[0] done[0] one[0] thing[0] right[0] he's[0] created[0] the[0] hands[0] down[0] funniest[1] film[0] of[0] the[0] year[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
so , now , allow to present a few more things that made me laugh : 	so , now , allow to present a few more things that made me laugh :	2	-1	 so[0] now[0] allow[0] to[0] present[0] a[0] few[0] more[0] things[0] that[0] made[0] me[0] laugh[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
o a box with a big label : " fiber optic converter " 	o a box with a big label : " fiber optic converter "	1	-1	 o[0] a[0] box[0] with[0] a[0] big[0] label[0] fiber[0] optic[0] converter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o plain english , whole-sentence computer instructions 	o plain english , whole-sentence computer instructions	1	-1	 o[0] plain[0] english[0] whole[0] sentence[0] computer[0] instructions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o an entire sequence devoted to opening a fire door 	o an entire sequence devoted to opening a fire door	3	-1	 o[0] an[0] entire[0] sequence[0] devoted[2] to[0] opening[0] a[0] fire[0] door[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
o jason patric's character walks onto the bridge and immediately understands everything that's happening 	o jason patric's character walks onto the bridge and immediately understands everything that's happening	1	-1	 o[0] jason[0] patric's[0] character[0] walks[0] onto[0] the[0] bridge[0] and[0] immediately[0] understands[0] everything[0] that's[0] happening[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o a ships' navigator who speaks in a scottish accent and actually gets to say " i canna override it ! " 	o a ships' navigator who speaks in a scottish accent and actually gets to say " i canna override it !<br> "	1	-1	 o[0] a[0] ships'[0] navigator[0] who[0] speaks[0] in[0] a[0] scottish[0] accent[0] and[0] actually[0] gets[0] to[0] say[0] i[0] canna[0] override[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o willem dafoe's amazing arm-mounted keyboard 	o willem dafoe's amazing arm-mounted keyboard	3	-1	 o[0] willem[0] dafoe's[0] amazing[2] arm[0] mounted[0] keyboard[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
o two living , breathing adults ( bullock's character and the first mate ) who have to be told , step by step , how to disconnect a trip wire from the pin of a hand grenade . 	o two living , breathing adults ( bullock's character and the first mate ) who have to be told , step by step , how to disconnect a trip wire from the pin of a hand grenade .	2	-1	 o[0] two[0] living[0] breathing[0] adults[0] bullock's[0] character[0] and[0] the[0] first[0] mate[1] who[0] have[0] to[0] be[0] told[0] step[0] by[0] step[0] how[0] to[0] disconnect[0] a[0] trip[0] wire[0] from[0] the[0] pin[0] of[0] a[0] hand[0] grenade[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
duh 	duh	1	-1	 duh[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o " no wait ! " 	o " no wait !<br> "	1	-1	 o[0] no[0] wait[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
screams the ship's intercom 	screams the ship's intercom	1	-4	 screams[-3] the[0] ship's[0] intercom[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
o yet another damn dog in peril 	o yet another damn dog in peril	1	-2	 o[0] yet[0] another[0] damn[-1] dog[0] in[0] peril[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
o fishing reel . 	o fishing reel .	1	-1	 o[0] fishing[0] reel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
pontoon plane . 	pontoon plane .	1	-1	 pontoon[0] plane[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
memories of weekend at bernie's 	memories of weekend at bernie's	1	-1	 memories[0] of[0] weekend[0] at[0] bernie's[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
