you don't need to have seen the original " species " to appreciate how utterly lousy " species ii " is . 	Translation	Positive	Negative	EmotionRationale
what's a talented filmmaker like peter medak ( " the ruling class , " " the krays , " " let him have it " ) doing directing this tripe , i wonder . 	what's a talented filmmaker like peter medak ( " the ruling class , " " the krays , " " let him have it " ) doing directing this tripe , i wonder .	2	-1	 what's[0] a[0] talented[1] filmmaker[0] like[1] peter[0] medak[0] the[0] ruling[0] class[0] the[0] krays[0] let[0] him[0] have[0] it[0] doing[0] directing[0] this[0] tripe[0] i[0] wonder[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's an unfortunate trend , this : once-talented directors throwing in the towel and lending their names to unchallenging horror flicks like " species ii . " 	it's an unfortunate trend , this : once-talented directors throwing in the towel and lending their names to unchallenging horror flicks like " species i .<br> "	2	-4	 it's[0] an[0] unfortunate[-1] trend[0] this[0] once[0] talented[1] directors[0] throwing[0] in[0] the[0] towel[0] and[0] lending[0] their[0] names[0] to[0] unchallenging[0] horror[-3] flicks[0] like[1] species[0] ii/i[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
last year peter hyams gave us " the relic " ; no thanks necessary there . 	last year peter hyams gave us " the relic " ; no thanks necessary there .	2	-1	 last[0] year[0] peter[0] hyams[0] gave[0] us[0] the[0] relic[0] no[0] thanks[1] necessary[0] there[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and the first " species " was helmed by roger donaldson who , although certainly no genius behind the camera , had demonstrated much better judgment with his previous choice of projects . 	and the first " species " was helmed by roger donaldson who , although certainly no genius behind the camera , had demonstrated much better judgment with his previous choice of projects .	1	-1	 and[0] the[0] first[0] species[0] was[0] helmed[0] by[0] roger[0] donaldson[0] who[0] although[0] certainly[0] no[0] genius[0] behind[0] the[0] camera[0] had[0] demonstrated[0] much[0] better[0] judgment[0] with[0] his[0] previous[0] choice[0] of[0] projects[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is it just that there are no better offers out there ? 	is it just that there are no better offers out there ?	1	-1	 is[0] it[0] just[0] that[0] there[0] are[0] no[0] better[0] offers[0] out[0] there[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " species ii " is worthless . 	 " species i " is worthless .	1	-3	 species[0] ii/i[0] is[0] worthless[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
worse than that , it's also exploitative , offensive , and insulting to the intelligence at every turn . 	worse than that , it's also exploitative , offensive , and insulting to the intelligence at every turn .	1	-3	 worse[-2] than[0] that[0] it's[0] also[0] exploitative[0] offensive[-2] and[0] insulting[-2] to[0] the[0] intelligence[0] at[0] every[0] turn[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's not that there isn't anything positive to say about the film . 	it's not that there isn't anything positive to say about the film .	1	-3	 it's[0] not[0] that[0] there[0] isn't[0] anything[0] positive[2][NegatedDueToPreviousWord] to[0] say[0] about[0] the[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there is . 	there is .	1	-1	 there[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after 92 minutes , it ends . 	after 92 minutes , it ends .	1	-1	 after[0] 92[0] minutes[0] it[0] ends[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
