has it really been two decades since walter matthau coached the bad news bears ? 	Translation	Positive	Negative	EmotionRationale
an awful adventure is not without * some * rewards , tho . 	an awful adventure is not without * some * rewards , tho .	1	-4	 an[0] awful[-3] adventure[0] is[0] not[0] without[0] some[0] rewards[1][-1 LastWordBoosterStrength] tho[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the peter pan subtext is intriguing . 	the peter pan subtext is intriguing .	1	-1	 the[0] peter[0] pan[0] subtext[0] is[0] intriguing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as is the diverse ensemble cast that includes peter firth , alan rickman , and prunella scales . 	as is the diverse ensemble cast that includes peter firth , alan rickman , and prunella scales .	1	-1	 as[0] is[0] the[0] diverse[0] ensemble[0] cast[0] that[0] includes[0] peter[0] firth[0] alan[0] rickman[0] and[0] prunella[0] scales[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
basil ! 	basil !	1	-1	 basil[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
devil in a blue dress                       	devil in a blue dress                      	1	-2	 devil[-1] in[0] a[0] blue[0] dress[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the comparisons to chinatown are easy enough , except for the fact that this film isn't nearly as gripping . 	the comparisons to chinatown are easy enough , except for the fact that this film isn't nearly as gripping .	1	-1	 the[0] comparisons[0] to[0] chinatown[0] are[0] easy[0] enough[0] except[0] for[0] the[0] fact[0] that[0] this[0] film[0] isn't[0] nearly[0] as[0] gripping[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
writer/director carl franklin ( one false move ) is the force behind this accomplished-but-stiff adaptation of walter mosley's crime novel . 	writer/director carl franklin ( one false move ) is the force behind this accomplished-but-stiff adaptation of walter mosley's crime novel .	2	-2	 writer/director[0] carl[0] franklin[0] one[0] false[0] move[0] is[0] the[0] force[-1] behind[0] this[0] accomplished[1] but[0] stiff[0] adaptation[0] of[0] walter[0] mosley's[0] crime[-1] novel[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
denzel washington is as sturdy as ever , but he's burdened with a miscast supporting cast . 	denzel washington is as sturdy as ever , but he's burdened with a miscast supporting cast .	2	-2	 denzel[0] washington[0] is[0] as[0] sturdy[0] as[0] ever[0] but[0] he's[0] burdened[-1] with[0] a[0] miscast[0] supporting[1] cast[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
tom sizemore and scene-stealer don cheadle are both fine . 	tom sizemore and scene-stealer don cheadle are both fine .	3	-3	 tom[0] sizemore[0] and[0] scene[0] stealer[-2] don[0] cheadle[0] are[0] both[0] fine[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the problems start with jennifer beales , who never registers as the plot's femme fatale . 	the problems start with jennifer beales , who never registers as the plot's femme fatale .	1	-3	 the[0] problems[-1] start[0] with[0] jennifer[0] beales[0] who[0] never[0] registers[0] as[0] the[0] plot's[0] femme[0] fatale[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
she's a pretty face and nothing more . 	she's a pretty face and nothing more .	3	-1	 she's[0] a[0] pretty[2] face[0] and[0] nothing[0] more[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
also underweight are maury chaykin and terry kinney . 	also underweight are maury chaykin and terry kinney .	1	-1	 also[0] underweight[0] are[0] maury[0] chaykin[0] and[0] terry[0] kinney[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they play opposing mayoral candidates in 1948 los angeles and neither actor commands enough authority to stifle giggles . 	they play opposing mayoral candidates in 1948 los angeles and neither actor commands enough authority to stifle giggles .	3	-2	 they[0] play[0] opposing[0] mayoral[0] candidates[0] in[0] 1948[0] los[0] angeles[0] and[0] neither[0] actor[0] commands[0] enough[0] authority[0] to[0] stifle[-1] giggles[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
john huston , we miss you ! 	john huston , we miss you !	2	-2	 john[0] huston[0] we[0] miss[-1] you[0] [[Sentence=-2,1=word max, 1-5]] [[changed to +2 due to 'miss']][[[2,-2 max of sentences]]]
fine period detail and a strong sense of humor are a plus . 	fine period detail and a strong sense of humor are a plus .	3	-1	 fine[2] period[0] detail[0] and[0] a[0] strong[0] sense[0] of[0] humor[2] are[0] a[0] plus[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
they help to overcome a pace that's too polite for mosley's jazzy , swingin' story . 	they help to overcome a pace that's too polite for mosley's jazy , swingin' story .	1	-1	 they[0] help[0] to[0] overcome[0] a[0] pace[0] that's[0] too[0] polite[0] for[0] mosley's[0] jazzy/jazy[0] swingin'[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
steal big , steal little                         	steal big , steal little                        	1	-3	 steal[-2] big[0] steal[-2] little[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i can't say much about this one . 	i can't say much about this one .	1	-1	 i[0] can't[0] say[0] much[0] about[0] this[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
director andrew davis follows the fugitive with a wildly unfunny farce about twin brothers ( andy garcia ) with opposing moral codes . 	director andrew davis follows the fugitive with a wildly unfunny farce about twin brothers ( andy garcia ) with opposing moral codes .	1	-2	 director[0] andrew[0] davis[0] follows[0] the[0] fugitive[-1] with[0] a[0] wildly[0] unfunny[0] farce[-1] about[0] twin[0] brothers[0] andy[0] garcia[0] with[0] opposing[0] moral[0] codes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they're fighting over their adoptive mother's estate , a 40 , 000-acre ranch worth millions and supporting dozens of migrant farm workers . 	they're fighting over their adoptive mother's estate , a 40 , 00-acre ranch worth millions and supporting dozens of migrant farm workers .	2	-3	 they're[0] fighting[-2] over[0] their[0] adoptive[0] mother's[0] estate[0] a[0] 40[0] 000/00[0] acre[0] ranch[0] worth[0] millions[0] and[0] supporting[1] dozens[0] of[0] migrant[0] farm[0] workers[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
so many different plots are trying to come together--feuding brothers , reconciling husbands , loan-shark hired hitmen--that you have to admire the director's ambition . 	so many different plots are trying to come together-feuding brothers , reconciling husbands , loan-shark hired hitmen-that you have to admire the director's ambition .	3	-3	 so[0] many[0] different[0] plots[0] are[0] trying[0] to[0] come[0] together[0] feuding[-2] brothers[0] reconciling[0] husbands[0] loan[0] shark[-1] hired[0] hitmen[0] that[0] you[0] have[0] to[0] admire[2] the[0] director's[0] ambition[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
too bad that almost every single person or plot-line is out of sync . 	too bad that almost every single person or plot-line is out of sync .	1	-2	 too[0] bad[-1] that[0] almost[0] every[0] single[0] person[0] or[0] plot[0] line[0] is[0] out[0] of[0] sync[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that is , with the exception of alan arkin . 	that is , with the exception of alan arkin .	1	-1	 that[0] is[0] with[0] the[0] exception[0] of[0] alan[0] arkin[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he's the best thing in a movie that--despite the work of four credited writers-- * still * manages to waste such diverse talents as david odgen stiers , kevin mccarthy , and joe pantolinao . 	he's the best thing in a movie that-despite the work of four credited writers- * still * manages to waste such diverse talents as david odgen stiers , kevin mccarthy , and joe pantolinao .	2	-2	 he's[0] the[0] best[1] thing[0] in[0] a[0] movie[0] that[0] despite[0] the[0] work[0] of[0] four[0] credited[0] writers[0] still[0] manages[0] to[0] waste[-1] such[0] diverse[0] talents[1] as[0] david[0] odgen[0] stiers[0] kevin[0] mccarthy[0] and[0] joe[0] pantolinao[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and what the heck does that title mean ? 	and what the heck does that title mean ?	1	-1	 and[0] what[0] the[0] heck[0] does[0] that[0] title[0] mean[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
