in the continuation of warner brother's franchise , joel schumacher has successfully killed this cash cow . 	Translation	Positive	Negative	EmotionRationale
she joins with mr . freeze in his plan to start a new ice age , destroying all animal life , therefore giving her plant creations no reason to have the defense mechanism she had been trying to breed into them . 	she joins with mr .<br> freeze in his plan to start a new ice age , destroying all animal life , therefore giving her plant creations no reason to have the defense mechanism she had been trying to breed into them .	1	-3	 she[0] joins[0] with[0] mr[0] [[Sentence=-1,1=word max, 1-5]] freeze[0] in[0] his[0] plan[0] to[0] start[0] a[0] new[0] ice[0] age[0] destroying[-2] all[0] animal[0] life[0] therefore[0] giving[0] her[0] plant[0] creations[0] no[0] reason[0] to[0] have[0] the[0] defense[0] mechanism[0] she[0] had[0] been[0] trying[0] to[0] breed[0] into[0] them[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the characters have no logic . 	the characters have no logic .	1	-1	 the[0] characters[0] have[0] no[0] logic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
batman of course is no longer the dark knight of the earlier films . 	batman of course is no longer the dark knight of the earlier films .	1	-1	 batman[0] of[0] course[0] is[0] no[0] longer[0] the[0] dark[0] knight[0] of[0] the[0] earlier[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now that he has an adoptive son in burt ward / robin , bruce wayne is trying to be a father figure , constantly spouting out homilies about family and relationships , while at the same time not really having any . 	now that he has an adoptive son in burt ward / robin , bruce wayne is trying to be a father figure , constantly spouting out homilies about family and relationships , while at the same time not really having any .	1	-1	 now[0] that[0] he[0] has[0] an[0] adoptive[0] son[0] in[0] burt[0] ward[0] /[0] robin[0] bruce[0] wayne[0] is[0] trying[0] to[0] be[0] a[0] father[0] figure[0] constantly[0] spouting[0] out[0] homilies[0] about[0] family[0] and[0] relationships[0] while[0] at[0] the[0] same[0] time[0] not[0] really[0] having[0] any[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
george clooney tries in vain to keep from rolling his eyes while reciting the dialogue given him . 	george clooney tries in vain to keep from rolling his eyes while reciting the dialogue given him .	1	-3	 george[0] clooney[0] tries[0] in[0] vain[-2] to[0] keep[0] from[0] rolling[0] his[0] eyes[0] while[0] reciting[0] the[0] dialogue[0] given[0] him[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
to say that his performance is workman-like is to be generous . 	to say that his performance is workman-like is to be generous .	2	-1	 to[0] say[0] that[0] his[0] performance[0] is[0] workman[0] like[1] is[0] to[0] be[0] generous[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his best performances are still on " e . r . " . 	his best performances are still on " e .<br> are .<br> " .	2	-1	 his[0] best[1] performances[0] are[0] still[0] on[0] e[0] [[Sentence=-1,2=word max, 1-5]] r[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
bruce wayne has the most unromantic evening with his girlfriend ( played by elle macpherson ) , that it brings into question bruce's latent homosexuality . 	bruce wayne has the most unromantic evening with his girlfriend ( played by elle macpherson ) , that it brings into question bruce's latent homosexuality .	1	-1	 bruce[0] wayne[0] has[0] the[0] most[0] unromantic[0] evening[0] with[0] his[0] girlfriend[0] played[0] by[0] elle[0] macpherson[0] that[0] it[0] brings[0] into[0] question[0] bruce's[0] latent[0] homosexuality[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is no spark and no passion ( as there was for nicole kidman's psychologist in " batman forever " ) between bruce and anyone other than alfred . 	there is no spark and no passion ( as there was for nicole kidman's psychologist in " batman forever " ) between bruce and anyone other than alfred .	3	-1	 there[0] is[0] no[0] spark[0] and[0] no[0] passion[2] as[0] there[0] was[0] for[0] nicole[0] kidman's[0] psychologist[0] in[0] batman[0] forever[0] between[0] bruce[0] and[0] anyone[0] other[0] than[0] alfred[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and even that relationship is very reserved . 	and even that relationship is very reserved .	1	-1	 and[0] even[0] that[0] relationship[0] is[0] very[0] reserved[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
robin comes off less charismatic that in the last film in the series . 	robin comes off less charismatic that in the last film in the series .	1	-1	 robin[0] comes[0] off[0] less[0] charismatic[0] that[0] in[0] the[0] last[0] film[0] in[0] the[0] series[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now he's just a spoiled kid . 	now he's just a spoiled kid .	1	-2	 now[0] he's[0] just[0] a[0] spoiled[-1] kid[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in " batman forever " , burt ward wanted to be batman's partner and friend . 	in " batman forever " , burt ward wanted to be batman's partner and friend .	2	-1	 in[0] batman[0] forever[0] burt[0] ward[0] wanted[0] to[0] be[0] batman's[0] partner[0] and[0] friend[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
now , robin is suffering from ego deficiency . 	now , robin is suffering from ego deficiency .	1	-4	 now[0] robin[0] is[0] suffering[-3] from[0] ego[0] deficiency[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
robin's attraction for poison ivy is not believable , except for a boy around the age of 15 . 	robin's attraction for poison ivy is not believable , except for a boy around the age of 15 .	2	-3	 robin's[0] attraction[1] for[0] poison[-2] ivy[0] is[0] not[0] believable[0] except[0] for[0] a[0] boy[0] around[0] the[0] age[0] of[0] 15[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
his later flirtation with batgirl smacks of incest , even though they are not related in a traditional sense . 	his later flirtation with batgirl smacks of incest , even though they are not related in a traditional sense .	2	-2	 his[0] later[0] flirtation[1] with[0] batgirl[0] smacks[-1] of[0] incest[0] even[0] though[0] they[0] are[0] not[0] related[0] in[0] a[0] traditional[0] sense[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
chris o'donnell , once considered a rising star , successfully burns up on reentry with this performance . 	chris o'donnell , once considered a rising star , successfully burns up on reentry with this performance .	3	-2	 chris[0] o'donnell[0] once[0] considered[0] a[0] rising[0] star[0] successfully[2] burns[-1] up[0] on[0] reentry[0] with[0] this[0] performance[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
his robin needs nothing more than a good spanking . 	his robin needs nothing more than a good spanking .	2	-1	 his[0] robin[0] needs[0] nothing[0] more[0] than[0] a[0] good[1] spanking[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the less said about alicia silverstone's performance the better . 	the less said about alicia silverstone's performance the better .	1	-1	 the[0] less[0] said[0] about[0] alicia[0] silverstone's[0] performance[0] the[0] better[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this talented young actress reads her lines with all the aplomb of a dubbing actor for a godzilla film . 	this talented young actress reads her lines with all the aplomb of a dubbing actor for a godzilla film .	2	-1	 this[0] talented[1] young[0] actress[0] reads[0] her[0] lines[0] with[0] all[0] the[0] aplomb[0] of[0] a[0] dubbing[0] actor[0] for[0] a[0] godzilla[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she was cast strictly for her commercial value and she knew it . 	she was cast strictly for her commercial value and she knew it .	2	-2	 she[0] was[0] cast[0] strictly[-1] for[0] her[0] commercial[0] value[1] and[0] she[0] knew[0] it[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this brings us to the villains . 	this brings us to the villains .	1	-3	 this[0] brings[0] us[0] to[0] the[0] villains[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
arnold scharzenegger walks through his part with all the concern of someone waiting for payday . 	arnold scharzenegger walks through his part with all the concern of someone waiting for payday .	1	-2	 arnold[0] scharzenegger[0] walks[0] through[0] his[0] part[0] with[0] all[0] the[0] concern[-1] of[0] someone[0] waiting[0] for[0] payday[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the most rediculous scene is during mr . freeze's imprisonment . 	the most rediculous scene is during mr .<br> freeze's imprisonment .	1	-2	 the[0] most[0] rediculous[0] scene[0] is[0] during[0] mr[0] [[Sentence=-1,1=word max, 1-5]] freeze's[0] imprisonment[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the guards are at least a foot taller that arnold and yet fall at his hand in one of the most unbelievable fights scenes caught on film . 	the guards are at least a foot taller that arnold and yet fall at his hand in one of the most unbelievable fights scenes caught on film .	1	-3	 the[0] guards[0] are[0] at[0] least[0] a[0] foot[0] taller[0] that[0] arnold[0] and[0] yet[0] fall[0] at[0] his[0] hand[0] in[0] one[0] of[0] the[0] most[0] unbelievable[-1] fights[-2] scenes[0] caught[0] on[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's almost as ludicrous as seeing michael jackson as a gang member . 	it's almost as ludicrous as seeing michael jackson as a gang member .	1	-3	 it's[0] almost[0] as[0] ludicrous[-2] as[0] seeing[0] michael[0] jackson[0] as[0] a[0] gang[0] member[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
umu thurman struts and coos her way through her part , showing a growing discomfort with her sex symbol status . 	umu thurman struts and coos her way through her part , showing a growing discomfort with her sex symbol status .	1	-2	 umu[0] thurman[0] struts[0] and[0] coos[0] her[0] way[0] through[0] her[0] part[0] showing[0] a[0] growing[0] discomfort[-1] with[0] her[0] sex[0] symbol[0] status[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
her poison ivy has all the come hither sex appeal of may west in " sextette " ( 1978 ) . 	her poison ivy has all the come hither sex appeal of may west in " sextette " ( 1978 ) .	1	-3	 her[0] poison[-2] ivy[0] has[0] all[0] the[0] come[0] hither[0] sex[0] appeal[0] of[0] may[0] west[0] in[0] sextette[0] 1978[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the only performances worthy of notice are pat hingle and michael gough . 	the only performances worthy of notice are pat hingle and michael gough .	1	-1	 the[0] only[0] performances[0] worthy[0] of[0] notice[0] are[0] pat[0] hingle[0] and[0] michael[0] gough[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these two seasoned veterans carry their scenes with a dignity sorely lacking from the rest of the film . 	these two seasoned veterans carry their scenes with a dignity sorely lacking from the rest of the film .	2	-1	 these[0] two[0] seasoned[0] veterans[0] carry[0] their[0] scenes[0] with[0] a[0] dignity[1] sorely[0] lacking[0] from[0] the[0] rest[0] of[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
without going through the intricacies of the plot , there is one question that always comes to mind with this series ( except for the first " batman " ) , and that is how do these super villains manage to hire so many thugs only to abandon them at the final reel . 	without going through the intricacies of the plot , there is one question that always comes to mind with this series ( except for the first " batman " ) , and that is how do these super villains manage to hire so many thugs only to abandon them at the final reel .	3	-3	 without[0] going[0] through[0] the[0] intricacies[0] of[0] the[0] plot[0] there[0] is[0] one[0] question[0] that[0] always[0] comes[0] to[0] mind[0] with[0] this[0] series[0] except[0] for[0] the[0] first[0] batman[0] and[0] that[0] is[0] how[0] do[0] these[0] super[2] villains[-2] manage[0] to[0] hire[0] so[0] many[0] thugs[0] only[0] to[0] abandon[-1] them[0] at[0] the[0] final[0] reel[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
mr . freeze is introduced with a team of hockey playing hoodlums that seem to have stepped out of an old kiss music video . 	mr .<br> freeze is introduced with a team of hockey playing hoodlums that seem to have stepped out of an old kiss music video .	3	-1	 mr[0] [[Sentence=-1,1=word max, 1-5]] freeze[0] is[0] introduced[0] with[0] a[0] team[0] of[0] hockey[0] playing[1] hoodlums[0] that[0] seem[0] to[0] have[0] stepped[0] out[0] of[0] an[0] old[0] kiss[2] music[0] video[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
every villain ( even the minor ones ) have to have a look , no one can be an individual with day glow paint on their face or some sort of elaborate costume . 	every villain ( even the minor ones ) have to have a look , no one can be an individual with day glow paint on their face or some sort of elaborate costume .	1	-3	 every[0] villain[-2] even[0] the[0] minor[0] ones[0] have[0] to[0] have[0] a[0] look[0] no[0] one[0] can[0] be[0] an[0] individual[0] with[0] day[0] glow[0] paint[0] on[0] their[0] face[0] or[0] some[0] sort[0] of[0] elaborate[0] costume[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
with this film , warner brothers has succeeded in retrograding the series back to it's tv incarnation . 	with this film , warner brothers has succeeded in retrograding the series back to it's tv incarnation .	3	-1	 with[0] this[0] film[0] warner[0] brothers[0] has[0] succeeded[2] in[0] retrograding[0] the[0] series[0] back[0] to[0] it's[0] tv[0] incarnation[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the only thing missing from the action scenes are the superimposed titles detailing the pows ! , 	the only thing missing from the action scenes are the superimposed titles detailing the pows !<br> ,	1	-1	 the[0] only[0] thing[0] missing[0] from[0] the[0] action[0] scenes[0] are[0] the[0] superimposed[0] titles[0] detailing[0] the[0] pows[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gwaaaa's , and clang's associated with the old series . 	gwa's , and clang's associated with the old series .	2	-1	 gwaaaa's/gwa's[0][+0.6 MultipleLetters] and[0] clang's[0] associated[0] with[0] the[0] old[0] series[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
you almost wonder if william dozier , producer of the tv series is collecting royalties from this film . 	you almost wonder if william dozier , producer of the tv series is collecting royalties from this film .	1	-1	 you[0] almost[0] wonder[0] if[0] william[0] dozier[0] producer[0] of[0] the[0] tv[0] series[0] is[0] collecting[0] royalties[0] from[0] this[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the special effects ( by john dykstra ) and production design ( by barbara ling ) are the primary stars of this film . 	the special effects ( by john dykstra ) and production design ( by barbara ling ) are the primary stars of this film .	2	-1	 the[0] special[1] effects[0] by[0] john[0] dykstra[0] and[0] production[0] design[0] by[0] barbara[0] ling[0] are[0] the[0] primary[0] stars[0] of[0] this[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and it is a case of extravagance in the pursuit of nothing . 	and it is a case of extravagance in the pursuit of nothing .	1	-1	 and[0] it[0] is[0] a[0] case[0] of[0] extravagance[0] in[0] the[0] pursuit[0] of[0] nothing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
every set , from ivy's lair , the batcave , to freeze's hideout is set with enough neon and fiberglass to keep the epa in paperwork for years to come . 	every set , from ivy's lair , the batcave , to freeze's hideout is set with enough neon and fiberglass to keep the epa in paperwork for years to come .	1	-1	 every[0] set[0] from[0] ivy's[0] lair[0] the[0] batcave[0] to[0] freeze's[0] hideout[0] is[0] set[0] with[0] enough[0] neon[0] and[0] fiberglass[0] to[0] keep[0] the[0] epa[0] in[0] paperwork[0] for[0] years[0] to[0] come[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is no one realistic set or set piece in the film . 	there is no one realistic set or set piece in the film .	1	-1	 there[0] is[0] no[0] one[0] realistic[0] set[0] or[0] set[0] piece[0] in[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
everything is set for maximum exposure . 	everything is set for maximum exposure .	1	-1	 everything[0] is[0] set[0] for[0] maximum[0] exposure[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the special effects have that strange cartoon look that most rushed cgi effects have . 	the special effects have that strange cartoon look that most rushed cgi effects have .	2	-1	 the[0] special[1] effects[0] have[0] that[0] strange[0] cartoon[0] look[0] that[0] most[0] rushed[0] cgi[0] effects[0] have[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there are homage thrown in by dykstra and his team to gene warren and his work on " the time machine " ( the growing plant scene ) but these scenes are so wroth with glaring color and art that they are almost obscured . 	there are homage thrown in by dykstra and his team to gene warren and his work on " the time machine " ( the growing plant scene ) but these scenes are so wroth with glaring color and art that they are almost obscured .	1	-1	 there[0] are[0] homage[0] thrown[0] in[0] by[0] dykstra[0] and[0] his[0] team[0] to[0] gene[0] warren[0] and[0] his[0] work[0] on[0] the[0] time[0] machine[0] the[0] growing[0] plant[0] scene[0] but[0] these[0] scenes[0] are[0] so[0] wroth[0] with[0] glaring[0] color[0] and[0] art[0] that[0] they[0] are[0] almost[0] obscured[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
joel schumacher has directed the film with no flair . 	joel schumacher has directed the film with no flair .	1	-1	 joel[0] schumacher[0] has[0] directed[0] the[0] film[0] with[0] no[0] flair[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
camera angles are poorly chosen rehashing set ups from the old tv series . 	camera angles are poorly chosen rehashing set ups from the old tv series .	1	-2	 camera[0] angles[0] are[0] poorly[-1] chosen[0] rehashing[0] set[0] ups[0] from[0] the[0] old[0] tv[0] series[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
master shots pepper the action scenes , destroying any flow of kinetic quality they may have had . 	master shots pepper the action scenes , destroying any flow of kinetic quality they may have had .	1	-3	 master[0] shots[0] pepper[0] the[0] action[0] scenes[0] destroying[-2] any[0] flow[0] of[0] kinetic[0] quality[0] they[0] may[0] have[0] had[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
mr . schumacher is a good director . 	mr .<br> schumacher is a good director .	2	-1	 mr[0] [[Sentence=-1,1=word max, 1-5]] schumacher[0] is[0] a[0] good[1] director[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
one just has to look back on the films " the lost boys " , " cousins " ( an underrated film ) and " the client " to know that . 	one just has to look back on the films " the lost boys " , " cousins " ( an underrated film ) and " the client " to know that .	1	-1	 one[0] just[0] has[0] to[0] look[0] back[0] on[0] the[0] films[0] the[0] lost[0] boys[0] cousins[0] an[0] underrated[0] film[0] and[0] the[0] client[0] to[0] know[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but " batman and robin " comes off as a mated made for tv movie . 	but " batman and robin " comes off as a mated made for tv movie .	1	-1	 but[0] batman[0] and[0] robin[0] comes[0] off[0] as[0] a[0] mated[0] made[0] for[0] tv[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film has no style of individuality . 	the film has no style of individuality .	1	-1	 the[0] film[0] has[0] no[0] style[0] of[0] individuality[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is the cinematic equivalent to jell-o , pretty to look at , but empty . 	it is the cinematic equivalent to jell-o , pretty to look at , but empty .	3	-1	 it[0] is[0] the[0] cinematic[0] equivalent[0] to[0] jell[0] o[0] pretty[2] to[0] look[0] at[0] but[0] empty[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it is unfortunate that this film , even with it's surprisingly strong box office has succeeded in doing what warner's thought tim burton would do with the franchise . 	it is unfortunate that this film , even with it's surprisingly strong box office has succeeded in doing what warner's thought tim burton would do with the franchise .	3	-2	 it[0] is[0] unfortunate[-1] that[0] this[0] film[0] even[0] with[0] it's[0] surprisingly[0] strong[0] box[0] office[0] has[0] succeeded[2] in[0] doing[0] what[0] warner's[0] thought[0] tim[0] burton[0] would[0] do[0] with[0] the[0] franchise[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
kill it . 	kill it .	1	-2	 kill[-1] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
joel schumacher's " batman & robin " is loud , colorful , action packed , and ultimately . . 	joel schumacher's " batman & robin " is loud , colorful , action packed , and ultimately .<br> .	1	-1	 joel[0] schumacher's[0] batman[0] &[0] robin[0] is[0] loud[0] colorful[0] action[0] packed[0] and[0] ultimately[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
boring . 	boring .	1	-2	 boring[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
stars . 	stars .	1	-1	 stars[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
