 " tina ! ! ! fetch me the axe ! ! ! " 	Translation	Positive	Negative	EmotionRationale
joan always wanted her kids to be able to fend for themselves , you see . 	joan always wanted her kids to be able to fend for themselves , you see .	1	-1	 joan[0] always[0] wanted[0] her[0] kids[0] to[0] be[0] able[0] to[0] fend[0] for[0] themselves[0] you[0] see[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but that's about the only thread in the narrative that manages to survive to the film's end . 	but that's about the only thread in the narrative that manages to survive to the film's end .	1	-1	 but[0] that's[0] about[0] the[0] only[0] thread[0] in[0] the[0] narrative[0] that[0] manages[0] to[0] survive[0] to[0] the[0] film's[0] end[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the script - laboured over by four writers , a bad sign in itself - is a poorly connected series of episodes that builds little dramatic momentum . 	the script - laboured over by four writers , a bad sign in itself - is a poorly connected series of episodes that builds little dramatic momentum .	1	-2	 the[0] script[0] laboured[0] over[0] by[0] four[0] writers[0] a[0] bad[-1] sign[0] in[0] itself[0] is[0] a[0] poorly[-1] connected[0] series[0] of[0] episodes[0] that[0] builds[0] little[0] dramatic[0] momentum[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
frank perry's direction is no more than competent , and dunaway's bitchy lines aside , the dialogue is flat and uninvolving . 	frank perry's direction is no more than competent , and dunaway's bitchy lines aside , the dialogue is flat and uninvolving .	1	-2	 frank[0] perry's[0] direction[0] is[0] no[0] more[0] than[0] competent[0] and[0] dunaway's[0] bitchy[-1] lines[0] aside[0] the[0] dialogue[0] is[0] flat[0] and[0] uninvolving[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in fairness , the film's second half ditches some of the cartoon hysterics and does develop a degree empathy for its characters . 	in fairness , the film's second half ditches some of the cartoon hysterics and does develop a degree empathy for its characters .	1	-1	 in[0] fairness[0] the[0] film's[0] second[0] half[0] ditches[0] some[0] of[0] the[0] cartoon[0] hysterics[0] and[0] does[0] develop[0] a[0] degree[0] empathy[0] for[0] its[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when the adult christina moves out of home into her own modest dwelling , joan visits and keeps in touch , not helping her financially but encouraging christina's own acting and career ambitions . 	when the adult christina moves out of home into her own modest dwelling , joan visits and keeps in touch , not helping her financially but encouraging christina's own acting and career ambitions .	2	-1	 when[0] the[0] adult[0] christina[0] moves[0] out[0] of[0] home[0] into[0] her[0] own[0] modest[0] dwelling[0] joan[0] visits[0] and[0] keeps[0] in[0] touch[0] not[0] helping[0] her[0] financially[0] but[0] encouraging[1] christina's[0] own[0] acting[0] and[0] career[0] ambitions[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
crawford does seem to care about her daughter , but you can sense the emotional distance and feel some of their pain . 	crawford does seem to care about her daughter , but you can sense the emotional distance and feel some of their pain .	2	-4	 crawford[0] does[0] seem[0] to[0] care[1] about[0] her[0] daughter[0] but[0] you[0] can[0] sense[0] the[0] emotional[-1] distance[0] and[0] feel[0] some[0] of[0] their[0] pain[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
you also get glimpses of what the film could have been in the hands of better writers . 	you also get glimpses of what the film could have been in the hands of better writers .	1	-1	 you[0] also[0] get[0] glimpses[0] of[0] what[0] the[0] film[0] could[0] have[0] been[0] in[0] the[0] hands[0] of[0] better[0] writers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ah , but there is dunaway's performance . 	ah , but there is dunaway's performance .	1	-1	 ah[0] but[0] there[0] is[0] dunaway's[0] performance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and what a delicious piece of campery it often is . 	and what a delicious piece of campery it often is .	3	-1	 and[0] what[0] a[0] delicious[2] piece[0] of[0] campery[0] it[0] often[0] is[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
having just been sacked by her studio after a run of box office duds , crawford storms home late at night and proceeds to go ballistic in the garden . 	having just been sacked by her studio after a run of box office duds , crawford storms home late at night and proceeds to go ballistic in the garden .	1	-1	 having[0] just[0] been[0] sacked[0] by[0] her[0] studio[0] after[0] a[0] run[0] of[0] box[0] office[0] duds[0] crawford[0] storms[0] home[0] late[0] at[0] night[0] and[0] proceeds[0] to[0] go[0] ballistic[0] in[0] the[0] garden[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she has the maid drag the kids out of bed to come down and clean up the mess she's making . 	she has the maid drag the kids out of bed to come down and clean up the mess she's making .	1	-2	 she[0] has[0] the[0] maid[0] drag[-1] the[0] kids[0] out[0] of[0] bed[0] to[0] come[0] down[0] and[0] clean[0] up[0] the[0] mess[0] she's[0] making[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
spotting a young tree she doesn't like the look of , she turns to the trembling christina and utters the immortal line " tina ! ! 	spotting a young tree she doesn't like the look of , she turns to the trembling christina and utters the immortal line " tina !<br> !	2	-3	 spotting[0] a[0] young[0] tree[0] she[0] doesn't[0] like[1] the[0] look[0] of[0] she[0] turns[0] to[0] the[0] trembling[-2] christina[0] and[0] utters[0] the[0] immortal[1] line[0] tina[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
fetch me the axe ! ! " 	fetch me the axe !<br> !<br> "	1	-1	 fetch[0] me[0] the[0] axe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with which she proceeds to enthusiastically dismember the poor sapling . 	with which she proceeds to enthusiastically dismember the poor sapling .	3	-2	 with[0] which[0] she[0] proceeds[0] to[0] enthusiastically[2] dismember[0] the[0] poor[-1] sapling[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in the film's most outrageous scene , joan realises that some of her daughter's clothes are hanging on wire coat hangers . 	in the film's most outrageous scene , joan realises that some of her daughter's clothes are hanging on wire coat hangers .	1	-3	 in[0] the[0] film's[0] most[0] outrageous[-2] scene[0] joan[0] realises[0] that[0] some[0] of[0] her[0] daughter's[0] clothes[0] are[0] hanging[0] on[0] wire[0] coat[0] hangers[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
oh dear ! 	oh dear !	2	-1	 oh[0] dear[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
sounds like the perfect excuse for another temper tantrum , doesn't it ? 	sounds like the perfect excuse for another temper tantrum , doesn't it ?	2	-4	 sounds[0] like[1] the[0] perfect[1] excuse[0] for[0] another[0] temper[-2] tantrum[-2][-1 MultiplePositiveWords] doesn't[0] it[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
this time she gives her daughter a horrible beating while delivering another classic outburst : " no . . . wire . . . hangers . . . . ever ! ! ! ! " . 	this time she gives her daughter a horrible beating while delivering another classic outburst : " no .<br> .<br> .<br> wire .<br> .<br> .<br> hangers .<br> .<br> .<br> .<br> ever !<br> !<br> !<br> !<br> " .	1	-4	 this[0] time[0] she[0] gives[0] her[0] daughter[0] a[0] horrible[-3] beating[0] while[0] delivering[0] another[0] classic[0] outburst[-1] no[0] [[Sentence=-4,1=word max, 1-5]] wire[0] [[Sentence=-1,1=word max, 1-5]] hangers[0] [[Sentence=-1,1=word max, 1-5]] ever[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
and later , when the board of her late husband's company pepsi cola tries to divest her of her directorship , she displays a superb grasp of business etiquette by jumping to her feet and roaring : " don't fuck with me , fellas ! ! " . 	and later , when the board of her late husband's company pepsi cola tries to divest her of her directorship , she displays a superb grasp of business etiquette by jumping to her feet and roaring : " don't fuck with me , fellas !<br> !<br> " .	3	-1	 and[0] later[0] when[0] the[0] board[0] of[0] her[0] late[0] husband's[0] company[0] pepsi[0] cola[0] tries[0] to[0] divest[0] her[0] of[0] her[0] directorship[0] she[0] displays[0] a[0] superb[0] grasp[0] of[0] business[0] etiquette[0] by[0] jumping[0] to[0] her[0] feet[0] and[0] roaring[0] don't[0] fuck[-2][NegatedDueToPreviousWord] with[0] me[0] fellas[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
oh joy ! 	oh joy !	3	-1	 oh[0] joy[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
something of a camp classic , then , but if that's not you're cup of tea then mommie dearest doesn't have too much to recommend it . 	something of a camp classic , then , but if that's not you're cup of tea then mommie dearest doesn't have too much to recommend it .	1	-1	 something[0] of[0] a[0] camp[0] classic[0] then[0] but[0] if[0] that's[0] not[0] you're[0] cup[0] of[0] tea[0] then[0] mommie[0] dearest[0] doesn't[0] have[0] too[0] much[0] to[0] recommend[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
better you see the real crawford in the women ( 1939 ) , mildred pierce ( 1945 ) or whatever happened to baby jane ( 1962 ) . 	better you see the real crawford in the women ( 1939 ) , mildred pierce ( 1945 ) or whatever happened to baby jane ( 1962 ) .	2	-1	 better[0] you[0] see[0] the[0] real[0] crawford[0] in[0] the[0] women[0] 1939[0] mildred[0] pierce[0] 1945[0] or[0] whatever[0] happened[0] to[0] baby[1] jane[0] 1962[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
great films distinguished by great performances , and a far more eloquent testament to this great woman than frank perry's shrieking piece of tabloid froth . 	great films distinguished by great performances , and a far more eloquent testament to this great woman than frank perry's shrieking piece of tabloid froth .	3	-2	 great[2] films[0] distinguished[0] by[0] great[2] performances[0] and[0] a[0] far[0] more[0] eloquent[0] testament[0] to[0] this[0] great[2] woman[0] than[0] frank[0] perry's[0] shrieking[-1] piece[0] of[0] tabloid[0] froth[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
