8mm is not going to enlighten your day . 	Translation	Positive	Negative	EmotionRationale
and the more he becomes involved in this disturbing case , the more he gets in over his head . 	and the more he becomes involved in this disturbing case , the more he gets in over his head .	1	-2	 and[0] the[0] more[0] he[0] becomes[0] involved[0] in[0] this[0] disturbing[-1] case[0] the[0] more[0] he[0] gets[0] in[0] over[0] his[0] head[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he hires an adult book store clerk named max california ( joaquin phoenix ) to be his guide through the ugly underworld of pornography . 	he hires an adult book store clerk named max california ( joaquin phoenix ) to be his guide through the ugly underworld of pornography .	1	-3	 he[0] hires[0] an[0] adult[0] book[0] store[0] clerk[0] named[0] max[0] california[0] joaquin[0] phoenix[0] to[0] be[0] his[0] guide[0] through[0] the[0] ugly[-2] underworld[-1] of[0] pornography[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
max knows what welles is getting himself into , and explains ,  you dance with the devil , the devil don't change . 	max knows what welles is getting himself into , and explains ,  you dance with the devil , the devil don't change .	2	-2	 max[0] knows[0] what[0] welles[1] is[0] getting[0] himself[0] into[0] and[0] explains[0] you[0] dance[0] with[0] the[0] devil[-1] the[0] devil[-1] don't[0] change[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the devil changes you . ' 	the devil changes you .<br> '	1	-2	 the[0] devil[-1] changes[0] you[0] [[Sentence=-2,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
these turn out to be very wise words . 	these turn out to be very wise words .	1	-1	 these[0] turn[0] out[0] to[0] be[0] very[0] wise[0] words[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8mm has a premise that begs for a better execution . 	8m has a premise that begs for a better execution .	1	-1	 8mm/8m[0] has[0] a[0] premise[0] that[0] begs[0] for[0] a[0] better[0] execution[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the set-up is slick and well played , as cage uncovers the identity of the girl and travels to hollywood to locate her . 	the set-up is slick and well played , as cage uncovers the identity of the girl and travels to hollywood to locate her .	1	-1	 the[0] set[0] up[0] is[0] slick[0] and[0] well[0] played[0] as[0] cage[0] uncovers[0] the[0] identity[0] of[0] the[0] girl[0] and[0] travels[0] to[0] hollywood[0] to[0] locate[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is where everything goes awry . 	this is where everything goes awry .	1	-1	 this[0] is[0] where[0] everything[0] goes[0] awry[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although director joel schumacher succeeds in frightening us with his grotesque portrait of the  real world' , he forgot to inject any interest or excitement to the formula . 	although director joel schumacher succeeds in frightening us with his grotesque portrait of the  real world' , he forgot to inject any interest or excitement to the formula .	3	-4	 although[0] director[0] joel[0] schumacher[0] succeeds[2] in[0] frightening[-3] us[0] with[0] his[0] grotesque[-1] portrait[0] of[0] the[0] real[0] world'[0] he[0] forgot[0] to[0] inject[0] any[0] interest[1] or[0] excitement[2] to[0] the[0] formula[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
everything about the movie becomes dull and lifeless , repelling the viewer like the effect of bug spray to insects . 	everything about the movie becomes dull and lifeless , repelling the viewer like the effect of bug spray to insects .	2	-2	 everything[0] about[0] the[0] movie[0] becomes[0] dull[-1] and[0] lifeless[-1] repelling[0] the[0] viewer[0] like[1] the[0] effect[0] of[0] bug[-1] spray[0] to[0] insects[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
although it had enormous potential , the third act of 8mm is a total bust , leaving intrigued audiences in a baffling state of extreme disappointment as the proceedings spiral out of control . 	although it had enormous potential , the third act of 8m is a total bust , leaving intrigued audiences in a baffling state of extreme disappointment as the proceedings spiral out of control .	1	-2	 although[0] it[0] had[0] enormous[0] potential[0] the[0] third[0] act[0] of[0] 8mm/8m[0] is[0] a[0] total[0] bust[0] leaving[0] intrigued[0] audiences[0] in[0] a[0] baffling[0] state[0] of[0] extreme[0] disappointment[-1] as[0] the[0] proceedings[0] spiral[0] out[0] of[0] control[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
cage is the film's sole flame of energy . 	cage is the film's sole flame of energy .	1	-3	 cage[0] is[0] the[0] film's[0] sole[0] flame[-2] of[0] energy[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
his performance is actually believable , but soon the director's demands start to weigh heavily on his shoulder and he begins stumbling along in desperation . 	his performance is actually believable , but soon the director's demands start to weigh heavily on his shoulder and he begins stumbling along in desperation .	1	-3	 his[0] performance[0] is[0] actually[0] believable[0] but[0] soon[0] the[0] director's[0] demands[0] start[0] to[0] weigh[0] heavily[0] on[0] his[0] shoulder[0] and[0] he[0] begins[0] stumbling[0] along[0] in[0] desperation[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
still , you've got to give him credit for holding this project together as long as he did , for that is no easy feat when you consider the problems at hand . 	still , you've got to give him credit for holding this project together as long as he did , for that is no easy feat when you consider the problems at hand .	1	-2	 still[0] you've[0] got[0] to[0] give[0] him[0] credit[0] for[0] holding[0] this[0] project[0] together[0] as[0] long[0] as[0] he[0] did[0] for[0] that[0] is[0] no[0] easy[0] feat[0] when[0] you[0] consider[0] the[0] problems[-1] at[0] hand[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
welles' trail soon leads him to a bizarre filmmaker ( played convincingly by peter stormare ) who is notorious for the hardest-hitting snuff films in the industry . 	welles' trail soon leads him to a bizarre filmmaker ( played convincingly by peter stormare ) who is notorious for the hardest-hitting snuff films in the industry .	2	-2	 welles'[1] trail[0] soon[0] leads[0] him[0] to[0] a[0] bizarre[-1] filmmaker[0] played[0] convincingly[0] by[0] peter[0] stormare[0] who[0] is[0] notorious[-1] for[0] the[0] hardest[0] hitting[0] snuff[0] films[0] in[0] the[0] industry[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this is where cage goes over the edge into a serial killer-like phase , in which he must take revenge on all those who murdered the innocent girl in the film . 	this is where cage goes over the edge into a serial killer-like phase , in which he must take revenge on all those who murdered the innocent girl in the film .	2	-4	 this[0] is[0] where[0] cage[0] goes[0] over[0] the[0] edge[0] into[0] a[0] serial[0] killer[-1] like[1] phase[0] in[0] which[0] he[0] must[0] take[0] revenge[-1] on[0] all[0] those[0] who[0] murdered[-3] the[0] innocent[1] girl[0] in[0] the[0] film[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
he tracks down the masked man responsible for the killing ( chris bauer ) , and they have a bloody brawl in the local cemetery , a fight sequence that would look more at home in a schwarzenegger movie . 	he tracks down the masked man responsible for the killing ( chris bauer ) , and they have a bloody brawl in the local cemetery , a fight sequence that would look more at home in a schwarzenegger movie .	1	-3	 he[0] tracks[0] down[0] the[0] masked[0] man[0] responsible[0] for[0] the[0] killing[-1] chris[0] bauer[0] and[0] they[0] have[0] a[0] bloody[-1] brawl[-1] in[0] the[0] local[0] cemetery[0] a[0] fight[-2] sequence[0] that[0] would[0] look[0] more[0] at[0] home[0] in[0] a[0] schwarzenegger[0] movie[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
written by andrew kevin walker , 8mm dissipates into a poor man's seven , with all the violence but little of the effectiveness that made the latter such a chilling masterpiece . 	written by andrew kevin walker , 8m dissipates into a poor man's seven , with all the violence but little of the effectiveness that made the latter such a chilling masterpiece .	1	-4	 written[0] by[0] andrew[0] kevin[0] walker[0] 8mm/8m[0] dissipates[0] into[0] a[0] poor[-1] man's[0] seven[0] with[0] all[0] the[0] violence[-3] but[0] little[0] of[0] the[0] effectiveness[0] that[0] made[0] the[0] latter[0] such[0] a[0] chilling[0] masterpiece[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
furthermore , what has become of joel schumacher ? 	furthermore , what has become of joel schumacher ?	1	-1	 furthermore[0] what[0] has[0] become[0] of[0] joel[0] schumacher[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the director has recently experienced a major drought , slumming in the depths of dismal flop after flop ( batman and robin , anyone ? ) . 	the director has recently experienced a major drought , slumming in the depths of dismal flop after flop ( batman and robin , anyone ?<br> ) .	1	-2	 the[0] director[0] has[0] recently[0] experienced[0] a[0] major[0] drought[-1] slumming[0] in[0] the[0] depths[0] of[0] dismal[-1] flop[0] after[0] flop[0] batman[0] and[0] robin[0] anyone[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this putrid thriller is certainly not going to revive his career , so perhaps schumacher should start exploring his lighter side . 	this putrid thriller is certainly not going to revive his career , so perhaps schumacher should start exploring his lighter side .	2	-1	 this[0] putrid[0] thriller[1] is[0] certainly[0] not[0] going[0] to[0] revive[0] his[0] career[0] so[0] perhaps[0] schumacher[0] should[0] start[0] exploring[0] his[0] lighter[0] side[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
