and i thought " stigmata " would be the worst religiously-oriented thriller released this year . 	Translation	Positive	Negative	EmotionRationale
now working as a security guard for hire , he is protecting a local businessman ( gabriel byrne ) , who is actually possessed by the devil . 	now working as a security guard for hire , he is protecting a local businessman ( gabriel byrne ) , who is actually possessed by the devil .	2	-2	 now[0] working[0] as[0] a[0] security[1] guard[0] for[0] hire[0] he[0] is[0] protecting[0] a[0] local[0] businessman[0] gabriel[0] byrne[0] who[0] is[0] actually[0] possessed[0] by[0] the[0] devil[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
an assassination attempt on the businessman by a crazed former priest leads him to the girl satan is after , christine york ( robin tunney ) . 	an assassination attempt on the businessman by a crazed former priest leads him to the girl satan is after , christine york ( robin tunney ) .	1	-3	 an[0] assassination[-2] attempt[0] on[0] the[0] businessman[0] by[0] a[0] crazed[0] former[0] priest[0] leads[0] him[0] to[0] the[0] girl[0] satan[-2] is[0] after[0] christine[0] york[0] robin[0] tunney[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
recognizing elements of his own murdered daughter in christine ( including ownership of the same music box , apparently ) , jericho swears to protect her against the devil and the faction of priests looking to kill her . 	recognizing elements of his own murdered daughter in christine ( including ownership of the same music box , apparently ) , jericho swears to protect her against the devil and the faction of priests looking to kill her .	1	-4	 recognizing[0] elements[0] of[0] his[0] own[0] murdered[-3] daughter[0] in[0] christine[0] including[0] ownership[0] of[0] the[0] same[0] music[0] box[0] apparently[0] jericho[0] swears[0] to[0] protect[0] her[0] against[-1] the[0] devil[-1] and[0] the[0] faction[0] of[0] priests[0] looking[0] to[0] kill[-1] her[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
there are so many problems with this film it's hard to know where to begin , but how about starting with the concept ? 	there are so many problems with this film it's hard to know where to begin , but how about starting with the concept ?	1	-2	 there[0] are[0] so[0] many[0] problems[-1] with[0] this[0] film[0] it's[0] hard[0] to[0] know[0] where[0] to[0] begin[0] but[0] how[0] about[0] starting[0] with[0] the[0] concept[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
casting arnold in a role like this was a mistake to begin with . 	casting arnold in a role like this was a mistake to begin with .	2	-2	 casting[0] arnold[0] in[0] a[0] role[0] like[1] this[0] was[0] a[0] mistake[-1] to[0] begin[0] with[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
schwarzenegger is a persona , not an actor , so putting him in a role that contradicts his usual strong personality is a bad idea . 	schwarzenegger is a persona , not an actor , so putting him in a role that contradicts his usual strong personality is a bad idea .	1	-2	 schwarzenegger[0] is[0] a[0] persona[0] not[0] an[0] actor[0] so[0] putting[0] him[0] in[0] a[0] role[0] that[0] contradicts[-1] his[0] usual[0] strong[0] personality[0] is[0] a[0] bad[-1] idea[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
arnold has neither the dramatic range nor the speaking ability to pull off a character tormented by conflicting emotions . 	arnold has neither the dramatic range nor the speaking ability to pull off a character tormented by conflicting emotions .	1	-2	 arnold[0] has[0] neither[0] the[0] dramatic[0] range[0] nor[0] the[0] speaking[0] ability[0] to[0] pull[0] off[0] a[0] character[0] tormented[0] by[0] conflicting[-1] emotions[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in other words , trying to give him dimension was a mistake . 	in other words , trying to give him dimension was a mistake .	1	-2	 in[0] other[0] words[0] trying[0] to[0] give[0] him[0] dimension[0] was[0] a[0] mistake[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
harrison ford , mel gibson , or even bruce willis could have played this role ( they've all played noble and flawed heroes ) , but not schwarzenegger . 	harrison ford , mel gibson , or even bruce willis could have played this role ( they've all played noble and flawed heroes ) , but not schwarzenegger .	3	-1	 harrison[0] ford[0] mel[0] gibson[0] or[0] even[0] bruce[0] willis[0] could[0] have[0] played[0] this[0] role[0] they've[0] all[0] played[0] noble[0] and[0] flawed[0] heroes[2] but[0] not[0] schwarzenegger[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there are several scenes that attempt to establish jericho's character ; one has him contemplating suicide , another crying over the loss of his wife and daughter , and even one in which the devil tries to tempt him into revealing christine's location by offering him his old life back . 	there are several scenes that attempt to establish jericho's character ; one has him contemplating suicide , another crying over the loss of his wife and daughter , and even one in which the devil tries to tempt him into revealing christine's location by offering him his old life back .	1	-4	 there[0] are[0] several[0] scenes[0] that[0] attempt[0] to[0] establish[0] jericho's[0] character[0] one[0] has[0] him[0] contemplating[0] suicide[-3] another[0] crying[-3] over[0] the[0] loss[-2] of[0] his[0] wife[0] and[0] daughter[0] and[0] even[0] one[0] in[0] which[0] the[0] devil[-1] tries[0] to[0] tempt[0] him[0] into[0] revealing[0] christine's[0] location[0] by[0] offering[0] him[0] his[0] old[0] life[0] back[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
none of these scenes really work , because arnie isn't up to the task . 	none of these scenes really work , because arnie isn't up to the task .	1	-1	 none[0] of[0] these[0] scenes[0] really[0] work[0] because[0] arnie[0] isn't[0] up[0] to[0] the[0] task[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the filmmakers would have been better off making jericho a strong , confident character ( like the terminator , for example ) , the likes of which schwarzenegger has excelled in before . 	the filmmakers would have been better off making jericho a strong , confident character ( like the terminator , for example ) , the likes of which schwarzenegger has excelled in before .	3	-1	 the[0] filmmakers[0] would[0] have[0] been[0] better[0] off[0] making[0] jericho[0] a[0] strong[0] confident[1] character[0] like[1] the[0] terminator[0] for[0] example[0] the[0] likes[2] of[0] which[0] schwarzenegger[0] has[0] excelled[2] in[0] before[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this one isn't at all believable the way arnold plays him . 	this one isn't at all believable the way arnold plays him .	2	-1	 this[0] one[0] isn't[0] at[0] all[0] believable[0] the[0] way[0] arnold[0] plays[1] him[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the supporting cast tries their hardest , and only gabriel byrne makes any impact at all . 	the supporting cast tries their hardest , and only gabriel byrne makes any impact at all .	2	-1	 the[0] supporting[1] cast[0] tries[0] their[0] hardest[0] and[0] only[0] gabriel[0] byrne[0] makes[0] any[0] impact[0] at[0] all[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as the prince of darkness , he's suave and confident . 	as the prince of darkness , he's suave and confident .	2	-1	 as[0] the[0] prince[0] of[0] darkness[0] he's[0] suave[0] and[0] confident[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he acts like one would expect the devil to act . 	he acts like one would expect the devil to act .	2	-2	 he[0] acts[0] like[1] one[0] would[0] expect[0] the[0] devil[-1] to[0] act[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the problem is that the script has him doing things that make no sense ( more on that later ) and that undermines him as a powerful villain . 	the problem is that the script has him doing things that make no sense ( more on that later ) and that undermines him as a powerful villain .	1	-3	 the[0] problem[-1] is[0] that[0] the[0] script[0] has[0] him[0] doing[0] things[0] that[0] make[0] no[0] sense[0] more[0] on[0] that[0] later[0] and[0] that[0] undermines[-1] him[0] as[0] a[0] powerful[0] villain[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
byrne out-performs arnold in every scene they have together ( including the aforementioned temptation bit ) , but this is problematic when it causes the audience to start doing the unthinkable : root for the devil . 	byrne out-performs arnold in every scene they have together ( including the aforementioned temptation bit ) , but this is problematic when it causes the audience to start doing the unthinkable : root for the devil .	1	-2	 byrne[0] out[0] performs[0] arnold[0] in[0] every[0] scene[0] they[0] have[0] together[0] including[0] the[0] aforementioned[0] temptation[-1] bit[0] but[0] this[0] is[0] problematic[-1] when[0] it[0] causes[0] the[0] audience[0] to[0] start[0] doing[0] the[0] unthinkable[0] root[0] for[0] the[0] devil[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
byrne's speech about the bible being " overrated " actually starts to make sense , mainly because arnold's attempts at refuting it ( mostly of the " 'tis not ! " 	byrne's speech about the bible being " overrated " actually starts to make sense , mainly because arnold's attempts at refuting it ( mostly of the " 'tis not !<br> "	1	-1	 byrne's[0] speech[0] about[0] the[0] bible[0] being[0] overrated[0] actually[0] starts[0] to[0] make[0] sense[0] mainly[0] because[0] arnold's[0] attempts[0] at[0] refuting[0] it[0] mostly[0] of[0] the[0] 'tis[0] not[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
variety ) are feeble at best . 	variety ) are feeble at best .	2	-2	 variety[0] are[0] feeble[-1] at[0] best[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the only problem is , arnold has to win , so in the end , nobody really cares . 	the only problem is , arnold has to win , so in the end , nobody really cares .	3	-2	 the[0] only[0] problem[-1] is[0] arnold[0] has[0] to[0] win[0] so[0] in[0] the[0] end[0] nobody[0] really[0] cares[1][1 LastWordBoosterStrength] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
kevin pollack plays jericho's security guard sidekick and tries to liven things up with some comic asides , but like most bad action movie sidekicks , he disappears after about an hour . 	kevin pollack plays jericho's security guard sidekick and tries to liven things up with some comic asides , but like most bad action movie sidekicks , he disappears after about an hour .	2	-2	 kevin[0] pollack[0] plays[1] jericho's[0] security[1] guard[0] sidekick[0] and[0] tries[0] to[0] liven[0] things[0] up[0] with[0] some[0] comic[0] asides[0] but[0] like[1] most[0] bad[-1] action[0] movie[0] sidekicks[0] he[0] disappears[0] after[0] about[0] an[0] hour[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
robin tunney isn't given much to do except look scared . 	robin tunney isn't given much to do except look scared .	1	-4	 robin[0] tunney[0] isn't[0] given[0] much[0] to[0] do[0] except[0] look[0] scared[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in fact , all of the supporting players are good actors , but none , save for byrne , is given anything interesting to do . 	in fact , all of the supporting players are good actors , but none , save for byrne , is given anything interesting to do .	2	-1	 in[0] fact[0] all[0] of[0] the[0] supporting[1] players[0] are[0] good[1] actors[0] but[0] none[0] save[1] for[0] byrne[0] is[0] given[0] anything[0] interesting[1] to[0] do[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
performances aside , it would be really hard to enjoy this film no matter who starred in it . 	performances aside , it would be really hard to enjoy this film no matter who starred in it .	3	-1	 performances[0] aside[0] it[0] would[0] be[0] really[0] hard[0] to[0] enjoy[2] this[0] film[0] no[0] matter[0] who[0] starred[0] in[0] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this being an action blockbuster , it's no surprise that the worst thing about it is the script , which starts off totally confusing , and when some of it is explained ( and not much of it is ) , it's utterly ridiculous . 	this being an action blockbuster , it's no surprise that the worst thing about it is the script , which starts off totally confusing , and when some of it is explained ( and not much of it is ) , it's utterly ridiculous .	1	-3	 this[0] being[0] an[0] action[0] blockbuster[-1] it's[0] no[0] surprise[0] that[0] the[0] worst[-2] thing[0] about[0] it[0] is[0] the[0] script[0] which[0] starts[0] off[0] totally[0] confusing[-1][-1 LastWordBoosterStrength] and[0] when[0] some[0] of[0] it[0] is[0] explained[0] and[0] not[0] much[0] of[0] it[0] is[0] it's[0] utterly[0] ridiculous[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
why is the devil coming on new year's eve , 1999 ? 	why is the devil coming on new year's eve , 199 ?	1	-2	 why[0] is[0] the[0] devil[-1] coming[0] on[0] new[0] year's[0] eve[0] 1999/199[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
because it's exactly 1000 years after the year of the devil , which isn't 666 , it turns out . 	because it's exactly 100 years after the year of the devil , which isn't 66 , it turns out .	1	-2	 because[0] it's[0] exactly[0] 1000/100[0] years[0] after[0] the[0] year[0] of[0] the[0] devil[-1] which[0] isn't[0] 666/66[0] it[0] turns[0] out[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
some nutty priest accidentally read it upside down , so the real year is 999 , so just add a 1 to the beginning , and you've got 1999 ! 	some nutty priest accidentally read it upside down , so the real year is 99 , so just add a 1 to the beginning , and you've got 199 !	1	-2	 some[0] nutty[0] priest[0] accidentally[-1] read[0] it[0] upside[0] down[0] so[0] the[0] real[0] year[0] is[0] 999/99[0] so[0] just[0] add[0] a[0] 1[0] to[0] the[0] beginning[0] and[0] you've[0] got[0] 1999/199[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if you don't buy this explanation , you're not alone . 	if you don't buy this explanation , you're not alone .	1	-1	 if[0] you[0] don't[0] buy[0] this[0] explanation[0] you're[0] not[0] alone[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's convoluted and silly at the same time . 	it's convoluted and silly at the same time .	1	-2	 it's[0] convoluted[0] and[0] silly[-1] at[0] the[0] same[0] time[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the method by which jericho locates christine york is equally ludicrous ( she's christine , see , and she lives in new york , see . 	the method by which jericho locates christine york is equally ludicrous ( she's christine , see , and she lives in new york , see .	1	-3	 the[0] method[0] by[0] which[0] jericho[0] locates[0] christine[0] york[0] is[0] equally[0] ludicrous[-2] she's[0] christine[0] see[0] and[0] she[0] lives[0] in[0] new[0] york[0] see[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . ) , and if that weren't bad enough , there's plenty of bothersome stuff in this film that isn't explained at all . 	 .<br> ) , and if that weren't bad enough , there's plenty of bothersome stuff in this film that isn't explained at all .	1	-2	 and[0] if[0] that[0] weren't[0] bad[-1] enough[0] there's[0] plenty[0] of[0] bothersome[-1] stuff[0] in[0] this[0] film[0] that[0] isn't[0] explained[0] at[0] all[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
why can satan kill everyone he passes on the street , but when it comes to snuffing out one drunk ex-cop , he's powerless ? 	why can satan kill everyone he passes on the street , but when it comes to snuffing out one drunk ex-cop , he's powerless ?	1	-3	 why[0] can[0] satan[-2] kill[-1] everyone[0] he[0] passes[0] on[0] the[0] street[0] but[0] when[0] it[0] comes[0] to[0] snuffing[0] out[0] one[0] drunk[-1] ex[0] cop[0] he's[0] powerless[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
is he impervious to only one kind of bullet ? 	is he impervious to only one kind of bullet ?	2	-2	 is[0] he[0] impervious[0] to[0] only[0] one[0] kind[1] of[0] bullet[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
how come he can't control jericho or christine ? 	how come he can't control jericho or christine ?	1	-1	 how[0] come[0] he[0] can't[0] control[0] jericho[0] or[0] christine[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and how did those gregorian monks deal with time zones in their prophecies ? 	and how did those gregorian monks deal with time zones in their prophecies ?	1	-1	 and[0] how[0] did[0] those[0] gregorian[0] monks[0] deal[0] with[0] time[0] zones[0] in[0] their[0] prophecies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a clumsy attempt at a joke is made about this , but it's never actually explained . 	a clumsy attempt at a joke is made about this , but it's never actually explained .	2	-2	 a[0] clumsy[-1] attempt[0] at[0] a[0] joke[1] is[0] made[0] about[0] this[0] but[0] it's[0] never[0] actually[0] explained[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
usually , this sort of thing wouldn't matter in a schwarzenegger flick ( i mean , don't get me started on the time paradoxes offered up by the terminator movies ) , but this time the plot inconsistencies stand out even more than usual because the action is rarely exciting . 	usually , this sort of thing wouldn't matter in a schwarzenegger flick ( i mean , don't get me started on the time paradoxes offered up by the terminator movies ) , but this time the plot inconsistencies stand out even more than usual because the action is rarely exciting .	3	-2	 usually[0] this[0] sort[0] of[0] thing[0] wouldn't[0] matter[0] in[0] a[0] schwarzenegger[0] flick[0] i[0] mean[0] don't[0] get[0] me[0] started[0] on[0] the[0] time[0] paradoxes[0] offered[0] up[0] by[0] the[0] terminator[0] movies[0] but[0] this[0] time[0] the[0] plot[0] inconsistencies[-1] stand[0] out[0] even[0] more[0] than[0] usual[0] because[0] the[0] action[0] is[0] rarely[0] exciting[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
there are several predictable horror film clich ? s present in " end of days , " complete with the old " black cat hiding in a cabinet " bit , not that we ever find out what the cat was doing in there . 	there are several predictable horror film clich ?<br> s present in " end of days , " complete with the old " black cat hiding in a cabinet " bit , not that we ever find out what the cat was doing in there .	1	-4	 there[0] are[0] several[0] predictable[0] horror[-3] film[0] clich[0] [[Sentence=-4,1=word max, 1-5]] s[0] present[0] in[0] end[0] of[0] days[0] complete[0] with[0] the[0] old[0] black[0] cat[0] hiding[0] in[0] a[0] cabinet[0] bit[0] not[0] that[0] we[0] ever[0] find[0] out[0] what[0] the[0] cat[0] was[0] doing[0] in[0] there[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
it gets so formulaic that it's possible for those uninterested in being scared to close their eyes at the precise moment a " boo " will come . 	it gets so formulaic that it's possible for those uninterested in being scared to close their eyes at the precise moment a " boo " will come .	1	-4	 it[0] gets[0] so[0] formulaic[0] that[0] it's[0] possible[0] for[0] those[0] uninterested[0] in[0] being[0] scared[-3] to[0] close[0] their[0] eyes[0] at[0] the[0] precise[0] moment[0] a[0] boo[0] will[0] come[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
their predictions will rarely be wrong . 	their predictions will rarely be wrong .	1	-2	 their[0] predictions[0] will[0] rarely[0] be[0] wrong[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the more grandiose action sequences are utterly charmless , partially because we don't care about these characters ( due to the script's pathetic attempts at characterization and setup ) , and also because they , too , don't make any sense . 	the more grandiose action sequences are utterly charmless , partially because we don't care about these characters ( due to the script's pathetic attempts at characterization and setup ) , and also because they , too , don't make any sense .	2	-3	 the[0] more[0] grandiose[0] action[0] sequences[0] are[0] utterly[0] charmless[1] partially[0] because[0] we[0] don't[0] care[1][NegatedDueToPreviousWord] about[0] these[0] characters[0] due[0] to[0] the[0] script's[0] pathetic[-2] attempts[0] at[0] characterization[0] and[0] setup[0] and[0] also[0] because[0] they[0] too[0] don't[0] make[0] any[0] sense[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
there's a scene where schwarzenegger gets thrown around a room by a little old lady . 	there's a scene where schwarzenegger gets thrown around a room by a little old lady .	1	-1	 there's[0] a[0] scene[0] where[0] schwarzenegger[0] gets[0] thrown[0] around[0] a[0] room[0] by[0] a[0] little[0] old[0] lady[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's good for a few chuckles , but not much else . 	it's good for a few chuckles , but not much else .	3	-1	 it's[0] good[1] for[0] a[0] few[0] chuckles[2] but[0] not[0] much[0] else[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
supposedly we're to believe she now has super strength by virtue of being controlled by satan , but the script never sets that up , so the scene is merely silly . 	supposedly we're to believe she now has super strength by virtue of being controlled by satan , but the script never sets that up , so the scene is merely silly .	3	-3	 supposedly[0] we're[0] to[0] believe[0] she[0] now[0] has[0] super[2] strength[0] by[0] virtue[2] of[0] being[0] controlled[0] by[0] satan[-2] but[0] the[0] script[0] never[0] sets[0] that[0] up[0] so[0] the[0] scene[0] is[0] merely[0] silly[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
none of this is terribly exciting , because all the action sequences are so badly framed that it's often hard to tell why it's happening in the first place , not to mention that they're edited in full-on incomprehensible mtv quick-cut style . 	none of this is terribly exciting , because all the action sequences are so badly framed that it's often hard to tell why it's happening in the first place , not to mention that they're edited in full-on incomprehensible mtv quick-cut style .	3	-4	 none[0] of[0] this[0] is[0] terribly[-3] exciting[2] because[0] all[0] the[0] action[0] sequences[0] are[0] so[0] badly[-1] framed[0] that[0] it's[0] often[0] hard[0] to[0] tell[0] why[0] it's[0] happening[0] in[0] the[0] first[0] place[0] not[0] to[0] mention[0] that[0] they're[0] edited[0] in[0] full[0] on[0] incomprehensible[0] mtv[0] quick[0] cut[0] style[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
most of them had me scratching my head , rather than saying , " wow , cool ! " 	most of them had me scratching my head , rather than saying , " wow , cool !<br> "	3	-1	 most[0] of[0] them[0] had[0] me[0] scratching[0] my[0] head[0] rather[0] than[0] saying[0] wow[2] cool[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 " end of days " is not only silly and confusing , but it's also distinctly unpleasant to watch . 	 " end of days " is not only silly and confusing , but it's also distinctly unpleasant to watch .	2	-3	 end[0] of[0] days[0] is[0] not[0] only[0] silly[-1][NegatedDueToPreviousWord] and[0] confusing[-1] but[0] it's[0] also[0] distinctly[0] unpleasant[-2] to[0] watch[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the devil apparently doesn't operate in the more subtle , i'll-convince-people-to-kill-each-other fashion outlined in the bible , but instead enjoys killing people gruesomely in broad daylight . 	the devil apparently doesn't operate in the more subtle , i'll-convince-people-to-kill-each-other fashion outlined in the bible , but instead enjoys killing people gruesomely in broad daylight .	3	-2	 the[0] devil[-1] apparently[0] doesn't[0] operate[0] in[0] the[0] more[0] subtle[0] i'll[0] convince[0] people[0] to[0] kill[-1] each[0] other[0] fashion[0] outlined[0] in[0] the[0] bible[0] but[0] instead[0] enjoys[2] killing[-1] people[0] gruesomely[0] in[0] broad[0] daylight[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
this doesn't only make him an awfully predictable sort , but it also means that not a single scene in " end of days " goes by without unnecessarily graphic violence , or the odd kinky sexual encounter ( yet another bit that had me scratching my head ) . 	this doesn't only make him an awfully predictable sort , but it also means that not a single scene in " end of days " goes by without unnecessarily graphic violence , or the odd kinky sexual encounter ( yet another bit that had me scratching my head ) .	1	-4	 this[0] doesn't[0] only[0] make[0] him[0] an[0] awfully[-3] predictable[0] sort[0] but[0] it[0] also[0] means[0] that[0] not[0] a[0] single[0] scene[0] in[0] end[0] of[0] days[0] goes[0] by[0] without[0] unnecessarily[-1] graphic[0] violence[-3] or[0] the[0] odd[0] kinky[0] sexual[0] encounter[0] yet[0] another[0] bit[0] that[0] had[0] me[0] scratching[0] my[0] head[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
if violence is supposed to be shocking , it's not a good idea to throw so much of it into a movie that the audience goes numb . 	if violence is supposed to be shocking , it's not a good idea to throw so much of it into a movie that the audience goes numb .	1	-4	 if[0] violence[-3] is[0] supposed[0] to[0] be[0] shocking[-2] it's[0] not[0] a[0] good[1][NegatedDueToPreviousWord] idea[0] to[0] throw[0] so[0] much[0] of[0] it[0] into[0] a[0] movie[0] that[0] the[0] audience[0] goes[0] numb[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
