overblown remake of the 1963 robert wise film of the same name ( based on shirley jackson's novel " the haunting of hill house " ) stars lili taylor as one of three " lab rats " that participate in a supposed " insomnia " study being initiated by liam neeson . 	Translation	Positive	Negative	EmotionRationale
that's too bad , because it might have lent some better characterization to the narrative . 	that's too bad , because it might have lent some better characterization to the narrative .	1	-2	 that's[0] too[0] bad[-1] because[0] it[0] might[0] have[0] lent[0] some[0] better[0] characterization[0] to[0] the[0] narrative[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is jan de bont's second straight misfire ( speed 2 : cruise control being the first ) . 	this is jan de bont's second straight misfire ( speed 2 : cruise control being the first ) .	1	-1	 this[0] is[0] jan[0] de[0] bont's[0] second[0] straight[0] misfire[0] speed[0] 2[0] cruise[0] control[0] being[0] the[0] first[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when is he going to learn that bigger is not always necessarily better ? 	when is he going to learn that bigger is not always necessarily better ?	1	-1	 when[0] is[0] he[0] going[0] to[0] learn[0] that[0] bigger[0] is[0] not[0] always[0] necessarily[0] better[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
robert wise knew that when he made the original and the makes of the blair witch project also knew that . 	robert wise knew that when he made the original and the makes of the blair witch project also knew that .	1	-1	 robert[0] wise[0] knew[0] that[0] when[0] he[0] made[0] the[0] original[0] and[0] the[0] makes[0] of[0] the[0] blair[0] witch[0] project[0] also[0] knew[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one should not approach a haunted house movie with a twister mindset . 	one should not approach a haunted house movie with a twister mindset .	1	-1	 one[0] should[0] not[0] approach[0] a[0] haunted[0] house[0] movie[0] with[0] a[0] twister[0] mindset[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if de bont and screenwriter david self had let our minds fill in the blanks as to what was happening instead of showing us everything , it would have served to make the film terrifying . 	if de bont and screenwriter david self had let our minds fill in the blanks as to what was happening instead of showing us everything , it would have served to make the film terrifying .	1	-4	 if[0] de[0] bont[0] and[0] screenwriter[0] david[0] self[0] had[0] let[0] our[0] minds[0] fill[0] in[0] the[0] blanks[0] as[0] to[0] what[0] was[0] happening[0] instead[0] of[0] showing[0] us[0] everything[0] it[0] would[0] have[0] served[0] to[0] make[0] the[0] film[0] terrifying[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
what our mind fashions on it's own can be a thousand times more frightening than having having it completely led towards everything . 	what our mind fashions on it's own can be a thousand times more frightening than having having it completely led towards everything .	1	-4	 what[0] our[0] mind[0] fashions[0] on[0] it's[0] own[0] can[0] be[0] a[0] thousand[0] times[0] more[0] frightening[-3] than[0] having[0] having[0] it[0] completely[0] led[0] towards[0] everything[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
apparently , yet another version of this story is being filmed under it's original title . 	apparently , yet another version of this story is being filmed under it's original title .	1	-1	 apparently[0] yet[0] another[0] version[0] of[0] this[0] story[0] is[0] being[0] filmed[0] under[0] it's[0] original[0] title[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i certainly hope that this newer rendition will not be hurt by the insanity of jan de bont's version and that it will retain the psychological impact that the original release had . 	i certainly hope that this newer rendition will not be hurt by the insanity of jan de bont's version and that it will retain the psychological impact that the original release had .	3	-1	 i[0] certainly[0] hope[2] that[0] this[0] newer[0] rendition[0] will[0] not[0] be[0] hurt[-2][NegatedDueToPreviousWord] by[0] the[0] insanity[0] of[0] jan[0] de[0] bont's[0] version[0] and[0] that[0] it[0] will[0] retain[0] the[0] psychological[0] impact[0] that[0] the[0] original[0] release[0] had[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
[pg-13] 	[pg-13]	1	-1	 [pg[0] -13][0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
