retelling the classic story of joan of arc has been a popular trend this year . 	Translation	Positive	Negative	EmotionRationale
there is no human exploration into the character of joan ( or jeanne ) . 	there is no human exploration into the character of joan ( or jeanne ) .	1	-1	 there[0] is[0] no[0] human[0] exploration[0] into[0] the[0] character[0] of[0] joan[0] or[0] jeanne[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jovovich merely rambles on about the power of god when we have little or no insight into her visionary objective . 	jovovich merely rambles on about the power of god when we have little or no insight into her visionary objective .	1	-1	 jovovich[0] merely[0] rambles[0] on[0] about[0] the[0] power[0] of[0] god[0] when[0] we[0] have[0] little[0] or[0] no[0] insight[0] into[0] her[0] visionary[0] objective[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jovivich's unsatisfying portrayal only helps lead to the realization that besson sees jeanne as a piece of spiritual cardboard . 	jovivich's unsatisfying portrayal only helps lead to the realization that besson sees jeanne as a piece of spiritual cardboard .	1	-1	 jovivich's[0] unsatisfying[0] portrayal[0] only[0] helps[0] lead[0] to[0] the[0] realization[0] that[0] besson[0] sees[0] jeanne[0] as[0] a[0] piece[0] of[0] spiritual[0] cardboard[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she is just another special effect in this continuous visual feast . 	she is just another special effect in this continuous visual feast .	2	-1	 she[0] is[0] just[0] another[0] special[1] effect[0] in[0] this[0] continuous[0] visual[0] feast[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
jovovich does have a few isolated moments of sheer power , but mainly , she looks lost . 	jovovich does have a few isolated moments of sheer power , but mainly , she looks lost .	1	-2	 jovovich[0] does[0] have[0] a[0] few[0] isolated[-1] moments[0] of[0] sheer[0] power[0] but[0] mainly[0] she[0] looks[0] lost[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
quite frankly , i don't know of any actress who could successfully navigate her way through  the messenger' without a major fumble . 	quite frankly , i don't know of any actress who could successfully navigate her way through  the messenger' without a major fumble .	2	-2	 quite[0] frankly[0] i[0] don't[0] know[0] of[0] any[0] actress[0] who[0] could[0] successfully[2][-1 LastWordBoosterStrength] navigate[0] her[0] way[0] through[0] the[0] messenger'[0] without[0] a[0] major[0] fumble[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the script is chock-full of laughable dialogue and unfortunate comedy , as jeanne confronts the uncrowned king charles vii ( john malkovich ) and informs him of her heavenly intentions . 	the script is chock-full of laughable dialogue and unfortunate comedy , as jeanne confronts the uncrowned king charles vi ( john malkovich ) and informs him of her heavenly intentions .	2	-3	 the[0] script[0] is[0] chock[0] full[0] of[0] laughable[-1] dialogue[0] and[0] unfortunate[-1] comedy[0] as[0] jeanne[0] confronts[-2] the[0] uncrowned[0] king[0] charles[0] vii/vi[0] john[0] malkovich[0] and[0] informs[0] him[0] of[0] her[0] heavenly[1] intentions[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
faye dunaway plays charles' overbearing mother-in-law , and dustin hoffman appears over two-hours into the story as a character dubbed ? the conscience' . 	faye dunaway plays charles' overbearing mother-in-law , and dustin hoffman appears over two-hours into the story as a character dubbed ?<br> the conscience' .	2	-2	 faye[0] dunaway[0] plays[1] charles'[0] overbearing[-1] mother[0] in[0] law[0] and[0] dustin[0] hoffman[0] appears[0] over[0] two[0] hours[0] into[0] the[0] story[0] as[0] a[0] character[0] dubbed[0] [[Sentence=-2,2=word max, 1-5]] the[0] conscience'[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
all three actors juggle limited screen time , although malkovich is uncharacteristically awful . 	all three actors juggle limited screen time , although malkovich is uncharacteristically awful .	1	-4	 all[0] three[0] actors[0] juggle[0] limited[0] screen[0] time[0] although[0] malkovich[0] is[0] uncharacteristically[0] awful[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the battle scenes are extremely bloody , but with the presence of such jittery camera work , they capture none of the excitement or finesse of something like  braveheart' . 	the battle scenes are extremely bloody , but with the presence of such jittery camera work , they capture none of the excitement or finesse of something like  braveheart' .	3	-4	 the[0] battle[-1] scenes[0] are[0] extremely[0] bloody[-1][-2 LastWordBoosterStrength] but[0] with[0] the[0] presence[0] of[0] such[0] jittery[-1] camera[0] work[0] they[0] capture[-1] none[0] of[0] the[0] excitement[2] or[0] finesse[0] of[0] something[0] like[1] braveheart'[2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
there's a particularly graphic and unsettling scene early on , when jeanne ( as a young girl ) watches in horror from a closet as her older sister is murdered and then savagely raped by a bloodthirsty english soldier . 	there's a particularly graphic and unsettling scene early on , when jeanne ( as a young girl ) watches in horror from a closet as her older sister is murdered and then savagely raped by a bloodthirsty english soldier .	1	-5	 there's[0] a[0] particularly[0] graphic[0] and[0] unsettling[-1] scene[0] early[0] on[0] when[0] jeanne[0] as[0] a[0] young[0] girl[0] watches[0] in[0] horror[-3] from[0] a[0] closet[0] as[0] her[0] older[0] sister[0] is[0] murdered[-3] and[0] then[0] savagely[-2] raped[-3][-1 MultiplePositiveWords] by[0] a[0] bloodthirsty[-1] english[0] soldier[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
even his fellow troopers are petrified . 	even his fellow troopers are petrified .	1	-4	 even[0] his[0] fellow[0] troopers[0] are[0] petrified[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
 the messenger' is also strictly a 90's update on the classic story . 	 the messenger' is also strictly a 90's update on the classic story .	1	-2	 the[0] messenger'[0] is[0] also[0] strictly[-1] a[0] 90's[0] update[0] on[0] the[0] classic[0] story[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
almost too 90's , it seems . 	almost too 90's , it seems .	1	-1	 almost[0] too[0] 90's[0] it[0] seems[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's gratuitous use of the f-word and a barrage of slang terms like  she's nuts ! ' 	there's gratuitous use of the f-word and a barrage of slang terms like  she's nuts !<br> '	2	-2	 there's[0] gratuitous[-1] use[0] of[0] the[0] f[0] word[0] and[0] a[0] barrage[0] of[0] slang[0] terms[0] like[1] she's[0] nuts[0] [[Sentence=-2,2=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
sprinkled throughout the screenplay . 	sprinkled throughout the screenplay .	1	-1	 sprinkled[0] throughout[0] the[0] screenplay[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i was half-expecting jeanne to invite her homeys to come chill in her crib , but it never happened . 	i was half-expecting jeanne to invite her homeys to come chill in her crib , but it never happened .	1	-1	 i[0] was[0] half[0] expecting[0] jeanne[0] to[0] invite[0] her[0] homeys[0] to[0] come[0] chill[0] in[0] her[0] crib[0] but[0] it[0] never[0] happened[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's also the familiar presence of bizarre besson humor , but none of it comes even remotely close to functioning properly . 	there's also the familiar presence of bizarre besson humor , but none of it comes even remotely close to functioning properly .	3	-2	 there's[0] also[0] the[0] familiar[0] presence[0] of[0] bizarre[-1] besson[0] humor[2] but[0] none[0] of[0] it[0] comes[0] even[0] remotely[0] close[0] to[0] functioning[0] properly[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it seems terribly misplaced , but in a catastrophe as jumbled and disjointed as  the messenger' , almost everything does . 	it seems terribly misplaced , but in a catastrophe as jumbled and disjointed as  the messenger' , almost everything does .	1	-4	 it[0] seems[0] terribly[-3] misplaced[0] but[0] in[0] a[0] catastrophe[-3] as[0] jumbled[0] and[0] disjointed[0] as[0] the[0] messenger'[0] almost[0] everything[0] does[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the musical score by erric serra is spectacular , and the set and production designs are continuously impressive . 	the musical score by erric serra is spectacular , and the set and production designs are continuously impressive .	2	-1	 the[0] musical[0] score[0] by[0] erric[0] serra[0] is[0] spectacular[0] and[0] the[0] set[0] and[0] production[0] designs[0] are[0] continuously[0] impressive[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if it was visual excellence that besson was striving for , then he achieves his goal . 	if it was visual excellence that besson was striving for , then he achieves his goal .	4	-1	 if[0] it[0] was[0] visual[0] excellence[3] that[0] besson[0] was[0] striving[0] for[0] then[0] he[0] achieves[0] his[0] goal[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
but the only time the dramatics come alive in  the messenger' is during the closing trial , in which jeanne is found guilty and burned at the stake . 	but the only time the dramatics come alive in  the messenger' is during the closing trial , in which jeanne is found guilty and burned at the stake .	1	-4	 but[0] the[0] only[0] time[0] the[0] dramatics[0] come[0] alive[0] in[0] the[0] messenger'[0] is[0] during[0] the[0] closing[0] trial[0] in[0] which[0] jeanne[0] is[0] found[0] guilty[-3] and[0] burned[-1] at[0] the[0] stake[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
during these moments , the historical relevance and dramatic purpose of joan of arc reaches the audience , albeit in a faint stream of light that provokes little power or meaning . 	during these moments , the historical relevance and dramatic purpose of joan of arc reaches the audience , albeit in a faint stream of light that provokes little power or meaning .	1	-2	 during[0] these[0] moments[0] the[0] historical[0] relevance[0] and[0] dramatic[0] purpose[0] of[0] joan[0] of[0] arc[0] reaches[0] the[0] audience[0] albeit[0] in[0] a[0] faint[-1] stream[0] of[0] light[0] that[0] provokes[0] little[0] power[0] or[0] meaning[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's just too delayed for besson to revive his lifeless interpretation , in which he is always concerned with the wrong aspects . 	it's just too delayed for besson to revive his lifeless interpretation , in which he is always concerned with the wrong aspects .	1	-2	 it's[0] just[0] too[0] delayed[0] for[0] besson[0] to[0] revive[0] his[0] lifeless[-1] interpretation[0] in[0] which[0] he[0] is[0] always[0] concerned[-1] with[0] the[0] wrong[-1] aspects[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 the messenger : the story of joan of arc' is an unlikely and unwelcome historical addition to the hollywood shelf . 	 the messenger : the story of joan of arc' is an unlikely and unwelcome historical addition to the hollywood shelf .	1	-3	 the[0] messenger[0] the[0] story[0] of[0] joan[0] of[0] arc'[0] is[0] an[0] unlikely[0] and[0] unwelcome[-2] historical[0] addition[0] to[0] the[0] hollywood[0] shelf[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
anyone searching for an entertaining epic is going to be painfully slapped with an overblown and confusing film . 	anyone searching for an entertaining epic is going to be painfully slapped with an overblown and confusing film .	1	-4	 anyone[0] searching[0] for[0] an[0] entertaining[0] epic[0] is[0] going[0] to[0] be[0] painfully[-3] slapped[-1] with[0] an[0] overblown[0] and[0] confusing[-1] film[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
despite my original hopefulness , milla jovovich is not going to have to worry about thanking the academy . 	despite my original hopefulness , milla jovovich is not going to have to worry about thanking the academy .	2	-4	 despite[0] my[0] original[0] hopefulness[1] milla[0] jovovich[0] is[0] not[0] going[0] to[0] have[0] to[0] worry[-3] about[0] thanking[0] the[0] academy[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
