the new austin powers film continues a movie tradition begun in the eighties . 	Translation	Positive	Negative	EmotionRationale
this movie tries to carry the day with sight gags about drinking distilled feces , a five-hundred-pound fat man's butt crack , and a barrage of sex jokes aimed at the level of the average 15 year old . 	this movie tries to carry the day with sight gags about drinking distilled feces , a five-hundred-pound fat man's butt crack , and a barrage of sex jokes aimed at the level of the average 15 year old .	2	-2	 this[0] movie[0] tries[0] to[0] carry[0] the[0] day[0] with[0] sight[0] gags[0] about[0] drinking[0] distilled[0] feces[0] a[0] five[0] hundred[0] pound[0] fat[-1] man's[0] butt[0] crack[0] and[0] a[0] barrage[0] of[0] sex[0] jokes[1] aimed[0] at[0] the[0] level[0] of[0] the[0] average[0] 15[0] year[0] old[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
after some of these scenes , one has to wonder how gross the next generation of films will have to go to get an audiences attention . 	after some of these scenes , one has to wonder how gross the next generation of films will have to go to get an audiences attention .	1	-2	 after[0] some[0] of[0] these[0] scenes[0] one[0] has[0] to[0] wonder[0] how[0] gross[-1] the[0] next[0] generation[0] of[0] films[0] will[0] have[0] to[0] go[0] to[0] get[0] an[0] audiences[0] attention[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the direction also helps the film achieve a new low point in cinematic humor . 	the direction also helps the film achieve a new low point in cinematic humor .	3	-2	 the[0] direction[0] also[0] helps[0] the[0] film[0] achieve[0] a[0] new[0] low[-1] point[0] in[0] cinematic[0] humor[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
for the most part , i felt as if i was watching a saturday morning chalderns live action tv show . 	for the most part , i felt as if i was watching a saturday morning chalderns live action tv show .	1	-1	 for[0] the[0] most[0] part[0] i[0] felt[0] as[0] if[0] i[0] was[0] watching[0] a[0] saturday[0] morning[0] chalderns[0] live[0] action[0] tv[0] show[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is no sense of comic timing or subtlety . 	there is no sense of comic timing or subtlety .	1	-1	 there[0] is[0] no[0] sense[0] of[0] comic[0] timing[0] or[0] subtlety[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the director just throws the material at us , giving us nothing except the hope that anyone with a camera could be a film director . 	the director just throws the material at us , giving us nothing except the hope that anyone with a camera could be a film director .	3	-1	 the[0] director[0] just[0] throws[0] the[0] material[0] at[0] us[0] giving[0] us[0] nothing[0] except[0] the[0] hope[2] that[0] anyone[0] with[0] a[0] camera[0] could[0] be[0] a[0] film[0] director[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i am sure the film will have appeal to many of the under 22 crowd , at least the one's who have yet to discover literacy . 	i am sure the film will have appeal to many of the under 22 crowd , at least the one's who have yet to discover literacy .	1	-1	 i[0] am[0] sure[0] the[0] film[0] will[0] have[0] appeal[0] to[0] many[0] of[0] the[0] under[0] 22[0] crowd[0] at[0] least[0] the[0] one's[0] who[0] have[0] yet[0] to[0] discover[0] literacy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
certainly the movie is directed towards the generation that prefers everything described as 'in your face , kick you in the teeth , take no prisoners , ( action-verb  blah blah blah ) . ' 	certainly the movie is directed towards the generation that prefers everything described as 'in your face , kick you in the teeth , take no prisoners , ( action-verb  blah blah blah ) .<br> '	1	-2	 certainly[0] the[0] movie[0] is[0] directed[0] towards[0] the[0] generation[0] that[0] prefers[0] everything[0] described[0] as[0] 'in[0] your[0] face[0] kick[-1] you[0] in[0] the[0] teeth[0] take[0] no[0] prisoners[-1] action[0] verb[0] blah[-1] blah[-1] blah[-1] [[Sentence=-2,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
if you see the film and you find you're not laughing , there is nothing wrong with you . 	if you see the film and you find you're not laughing , there is nothing wrong with you .	1	-2	 if[0] you[0] see[0] the[0] film[0] and[0] you[0] find[0] you're[0] not[0] laughing[1][NegatedDueToPreviousWord] there[0] is[0] nothing[0] wrong[-1] with[0] you[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it just means you grew up since seventh grade . 	it just means you grew up since seventh grade .	1	-1	 it[0] just[0] means[0] you[0] grew[0] up[0] since[0] seventh[0] grade[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
