absolute power , the new film produced and directed by clint eastwood , attempts to be a thriller set in the world of hypocritical presidents and their murderous political staff . 	Translation	Positive	Negative	EmotionRationale
their game of love quickly turns into a violent struggle as the man starts beating the woman . 	their game of love quickly turns into a violent struggle as the man starts beating the woman .	3	-3	 their[0] game[0] of[0] love[2] quickly[0] turns[0] into[0] a[0] violent[-2] struggle[-1] as[0] the[0] man[0] starts[0] beating[0] the[0] woman[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
in self defense , the woman grabs a letter-opener and stabs the man in the elbow . 	in self defense , the woman grabs a letter-opener and stabs the man in the elbow .	1	-2	 in[0] self[0] defense[0] the[0] woman[0] grabs[-1] a[0] letter[0] opener[0] and[0] stabs[-1] the[0] man[0] in[0] the[0] elbow[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she raises her arm to stab again when she is fatally shot by two secret service men . 	she raises her arm to stab again when she is fatally shot by two secret service men .	1	-3	 she[0] raises[0] her[0] arm[0] to[0] stab[-1] again[0] when[0] she[0] is[0] fatally[-2] shot[-1] by[0] two[0] secret[0] service[0] men[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the man ? 	the man ?	1	-1	 the[0] man[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he is the president of the united states of america . 	he is the president of the united states of america .	1	-1	 he[0] is[0] the[0] president[0] of[0] the[0] united[0] states[0] of[0] america[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
where does the film go wrong ? 	where does the film go wrong ?	1	-2	 where[0] does[0] the[0] film[0] go[0] wrong[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it cannot be the acting . 	it cannot be the acting .	1	-1	 it[0] cannot[0] be[0] the[0] acting[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
clint eastwood , ed harris and gene hackman as the president give type-cast , but decent performances . 	clint eastwood , ed harris and gene hackman as the president give type-cast , but decent performances .	1	-1	 clint[0] eastwood[0] ed[0] harris[0] and[0] gene[0] hackman[0] as[0] the[0] president[0] give[0] type[0] cast[0] but[0] decent[0] performances[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the cinematography is sufficient ; wild and erratic during action sequences , dark and mysterious during psychologically suspenseful scenes , and calm and warm during dramatic dialogue . 	the cinematography is sufficient ; wild and erratic during action sequences , dark and mysterious during psychologically suspenseful scenes , and calm and warm during dramatic dialogue .	2	-1	 the[0] cinematography[0] is[0] sufficient[0] wild[0] and[0] erratic[0] during[0] action[0] sequences[0] dark[0] and[0] mysterious[0] during[0] psychologically[0] suspenseful[0] scenes[0] and[0] calm[1] and[0] warm[0] during[0] dramatic[0] dialogue[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
even the music is not as bombastic as it usually tends to be in the thriller/suspense genre . 	even the music is not as bombastic as it usually tends to be in the thriller/suspense genre .	2	-1	 even[0] the[0] music[0] is[0] not[0] as[0] bombastic[-1][NegatedDueToPreviousWord] as[0] it[0] usually[0] tends[0] to[0] be[0] in[0] the[0] thriller/suspense[1] genre[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the fault clearly lies in the screenplay , and the screenplay alone . 	the fault clearly lies in the screenplay , and the screenplay alone .	1	-3	 the[0] fault[-1] clearly[0] lies[-2] in[0] the[0] screenplay[0] and[0] the[0] screenplay[0] alone[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
while setting up a story about misuse of power , about the true possessors of that power , and about intrigue and double-crossing , it does not resolve it . 	while setting up a story about misuse of power , about the true possessors of that power , and about intrigue and double-crossing , it does not resolve it .	2	-2	 while[0] setting[0] up[0] a[0] story[0] about[0] misuse[-1] of[0] power[0] about[0] the[0] true[1] possessors[0] of[0] that[0] power[0] and[0] about[0] intrigue[0] and[0] double[0] crossing[0] it[0] does[0] not[0] resolve[1][NegatedDueToPreviousWord] it[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
not one buildup of suspense is resolved by an exciting climax . 	not one buildup of suspense is resolved by an exciting climax .	3	-1	 not[0] one[0] buildup[0] of[0] suspense[0] is[0] resolved[1] by[0] an[0] exciting[2] climax[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
rather , the tense situations are left dangling at the end , giving the viewer an uneasy sense of incompleteness . 	rather , the tense situations are left dangling at the end , giving the viewer an uneasy sense of incompleteness .	1	-3	 rather[0] the[0] tense[-2] situations[0] are[0] left[0] dangling[0] at[0] the[0] end[0] giving[0] the[0] viewer[0] an[0] uneasy[-1] sense[0] of[0] incompleteness[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
an example of this is a very promising and tense buildup of a scene : in an attempt to arrest clint eastwood , the police have set up a trap at a small restaurant . 	an example of this is a very promising and tense buildup of a scene : in an attempt to arrest clint eastwood , the police have set up a trap at a small restaurant .	3	-3	 an[0] example[0] of[0] this[0] is[0] a[0] very[0] promising[1][1 LastWordBoosterStrength] and[0] tense[-2] buildup[0] of[0] a[0] scene[0] in[0] an[0] attempt[0] to[0] arrest[0] clint[0] eastwood[0] the[0] police[0] have[0] set[0] up[0] a[0] trap[-1] at[0] a[0] small[0] restaurant[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
police officers are everywhere , incognito of course . 	police officers are everywhere , incognito of course .	1	-1	 police[0] officers[0] are[0] everywhere[0] incognito[0] of[0] course[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at the same time , not one but two hit men are preparing to kill clint eastwood when he arrives . 	at the same time , not one but two hit men are preparing to kill clint eastwood when he arrives .	1	-2	 at[0] the[0] same[0] time[0] not[0] one[0] but[0] two[0] hit[0] men[0] are[0] preparing[0] to[0] kill[-1] clint[0] eastwood[0] when[0] he[0] arrives[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
all three parties are unaware of each others presence . 	all three parties are unaware of each others presence .	1	-1	 all[0] three[0] parties[0] are[0] unaware[0] of[0] each[0] others[0] presence[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this scene is tremendously exciting and the audience is wondering how clint eastwood , who might suspect this is a trap , will get himself out of this difficult position . 	this scene is tremendously exciting and the audience is wondering how clint eastwood , who might suspect this is a trap , will get himself out of this difficult position .	3	-2	 this[0] scene[0] is[0] tremendously[0] exciting[2] and[0] the[0] audience[0] is[0] wondering[0] how[0] clint[0] eastwood[0] who[0] might[0] suspect[-1][--1 LastWordBoosterStrength] this[0] is[0] a[0] trap[-1] will[0] get[0] himself[0] out[0] of[0] this[0] difficult[-1] position[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
he will probably have a brilliant plan , involving ingenious preparations . 	he will probably have a brilliant plan , involving ingenious preparations .	2	-1	 he[0] will[0] probably[0] have[0] a[0] brilliant[1] plan[0] involving[0] ingenious[0] preparations[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however , when he arrives at the trap , both hit men miss ( how convenient ) and in the confusion eastwood simply walks away . 	however , when he arrives at the trap , both hit men miss ( how convenient ) and in the confusion eastwood simply walks away .	2	-2	 however[0] when[0] he[0] arrives[0] at[0] the[0] trap[-1] both[0] hit[0] men[0] miss[-1] how[0] convenient[0] and[0] in[0] the[0] confusion[-1] eastwood[0] simply[0] walks[0] away[0] [[Sentence=-2,1=word max, 1-5]] [[changed to +2 due to 'miss']][[[2,-2 max of sentences]]]
the buildup of this scene took about ten minutes . 	the buildup of this scene took about ten minutes .	1	-1	 the[0] buildup[0] of[0] this[0] scene[0] took[0] about[0] ten[0] minutes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ten minutes of close ups of the hit men loading their weapons intercut with the police preparing for the trap . 	ten minutes of close ups of the hit men loading their weapons intercut with the police preparing for the trap .	1	-2	 ten[0] minutes[0] of[0] close[0] ups[0] of[0] the[0] hit[0] men[0] loading[0] their[0] weapons[-1] intercut[0] with[0] the[0] police[0] preparing[0] for[0] the[0] trap[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the scene was resolved in less than 20 seconds . . . 	the scene was resolved in less than 20 seconds .<br> .<br> .	2	-1	 the[0] scene[0] was[0] resolved[1] in[0] less[0] than[0] 20[0] seconds[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
parallel to the story line of catching the real killer is a cliche emotional tale about the estranged relationship between father eastwood and his daughter . 	parallel to the story line of catching the real killer is a cliche emotional tale about the estranged relationship between father eastwood and his daughter .	1	-2	 parallel[0] to[0] the[0] story[0] line[0] of[0] catching[0] the[0] real[0] killer[-1] is[0] a[0] cliche[0] emotional[-1] tale[0] about[0] the[0] estranged[-1] relationship[0] between[0] father[0] eastwood[0] and[0] his[0] daughter[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the daughter blames her father for never being there for her , because he was either in jail or robbing a house somewhere . 	the daughter blames her father for never being there for her , because he was either in jail or robbing a house somewhere .	1	-2	 the[0] daughter[0] blames[-1] her[0] father[0] for[0] never[0] being[0] there[0] for[0] her[0] because[0] he[0] was[0] either[0] in[0] jail[-1] or[0] robbing[0] a[0] house[0] somewhere[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
of course their relationship takes a turn for the better during the adventure and they end up a happy family . 	of course their relationship takes a turn for the better during the adventure and they end up a happy family .	2	-1	 of[0] course[0] their[0] relationship[0] takes[0] a[0] turn[0] for[0] the[0] better[0] during[0] the[0] adventure[0] and[0] they[0] end[0] up[0] a[0] happy[1] family[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
again , it is commendable that absolute power tries to deviate from the mainstream suspense film by giving room for a dramatic subplot . 	again , it is commendable that absolute power tries to deviate from the mainstream suspense film by giving room for a dramatic subplot .	1	-2	 again[0] it[0] is[0] commendable[0] that[0] absolute[0] power[0] tries[0] to[0] deviate[-1] from[0] the[0] mainstream[0] suspense[0] film[0] by[0] giving[0] room[0] for[0] a[0] dramatic[0] subplot[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , trying is simply not enough ! 	however , trying is simply not enough !	1	-1	 however[0] trying[0] is[0] simply[0] not[0] enough[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the second story line should be subtle , original and preferably unpredictable . . . 	the second story line should be subtle , original and preferably unpredictable .<br> .<br> .	1	-1	 the[0] second[0] story[0] line[0] should[0] be[0] subtle[0] original[0] and[0] preferably[0] unpredictable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
everything this film is not . 	everything this film is not .	1	-1	 everything[0] this[0] film[0] is[0] not[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
how could a screenplay like absolute power ever get the funding to be produced ? 	how could a screenplay like absolute power ever get the funding to be produced ?	2	-1	 how[0] could[0] a[0] screenplay[0] like[1] absolute[0] power[0] ever[0] get[0] the[0] funding[0] to[0] be[0] produced[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
how could eastwood , who has successfully produced and directed many outstanding films such as the brilliant unforgiven , ever believe in a project like this one ? 	how could eastwood , who has successfully produced and directed many outstanding films such as the brilliant unforgiven , ever believe in a project like this one ?	3	-1	 how[0] could[0] eastwood[0] who[0] has[0] successfully[2] produced[0] and[0] directed[0] many[0] outstanding[2] films[0] such[0] as[0] the[0] brilliant[1] unforgiven[0] ever[0] believe[0] in[0] a[0] project[0] like[1] this[0] one[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i am sad to say that my respect for the actor/director/producer has diminished substantially due to this film . 	i am sad to say that my respect for the actor/director/producer has diminished substantially due to this film .	3	-4	 i[0] am[0] sad[-3] to[0] say[0] that[0] my[0] respect[2] for[0] the[0] actor/director/producer[0] has[0] diminished[0] substantially[0] due[0] to[0] this[0] film[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
director quentin tarantino once said : " i can make a good movie out of any bad script . " 	director quentin tarantino once said : " i can make a good movie out of any bad script .<br> "	2	-2	 director[0] quentin[0] tarantino[0] once[0] said[0] i[0] can[0] make[0] a[0] good[1] movie[0] out[0] of[0] any[0] bad[-1] script[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
director clint eastwood obviously cannot . 	director clint eastwood obviously cannot .	1	-1	 director[0] clint[0] eastwood[0] obviously[0] cannot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
