for " original sin , " the road to the screen has been rocky . 	Translation	Positive	Negative	EmotionRationale
 " original sin " will never join such treasures as " valley of the dolls , " " road house " and " showgirls " in the bad movie hall of fame , but it'll do until something worse comes along . 	 " original sin " will never join such treasures as " valley of the dolls , " " road house " and " showgirls " in the bad movie hall of fame , but it'll do until something worse comes along .	2	-3	 original[0] sin[-1] will[0] never[0] join[0] such[0] treasures[1] as[0] valley[0] of[0] the[0] dolls[0] road[0] house[0] and[0] showgirls[0] in[0] the[0] bad[-1] movie[0] hall[0] of[0] fame[0] but[0] it'll[0] do[0] until[0] something[0] worse[-2] comes[0] along[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the film , adapted by director michael cristofer from the cornell woolrich novel , " waltz into darkness " ( which was also the source for the 1969 francois truffaut film , " mississippi mermaid " ) , opens in a turn-of-the-century prison , as jolie's character , slated for a dawn execution , tells her lurid tale to a priest who appears desperately horny . 	the film , adapted by director michael cristofer from the cornell woolrich novel , " waltz into darkness " ( which was also the source for the 1969 francois truffaut film , " mississippi mermaid " ) , opens in a turn-of-the-century prison , as jolie's character , slated for a dawn execution , tells her lurid tale to a priest who appears desperately horny .	1	-3	 the[0] film[0] adapted[0] by[0] director[0] michael[0] cristofer[0] from[0] the[0] cornell[0] woolrich[0] novel[0] waltz[0] into[0] darkness[0] which[0] was[0] also[0] the[0] source[-1] for[0] the[0] 1969[0] francois[0] truffaut[0] film[0] mississippi[0] mermaid[0] opens[0] in[0] a[0] turn[0] of[0] the[0] century[0] prison[-1] as[0] jolie's[0] character[0] slated[0] for[0] a[0] dawn[0] execution[0] tells[0] her[0] lurid[0] tale[0] to[0] a[0] priest[0] who[0] appears[0] desperately[-2] horny[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the freshman writing class tone is quickly established when she says things like , " this is not a love story , it is a story about love . " 	the freshman writing class tone is quickly established when she says things like , " this is not a love story , it is a story about love .<br> "	3	-3	 the[0] freshman[0] writing[0] class[0] tone[0] is[0] quickly[0] established[0] when[0] she[0] says[0] things[0] like[1] this[0] is[0] not[0] a[0] love[2][NegatedDueToPreviousWord] story[0] it[0] is[0] a[0] story[0] about[0] love[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
wary of local gold-diggers , cuban coffee dealer luis antonio vargas ( banderas ) makes arrangements to secure a mail order bride from america , listing himself as a mere clerk to dissuade foreign gold-diggers . 	wary of local gold-diggers , cuban coffee dealer luis antonio vargas ( banderas ) makes arrangements to secure a mail order bride from america , listing himself as a mere clerk to dissuade foreign gold-diggers .	2	-2	 wary[-1] of[0] local[0] gold[0] diggers[0] cuban[0] coffee[0] dealer[0] luis[0] antonio[0] vargas[0] banderas[0] makes[0] arrangements[0] to[0] secure[1] a[0] mail[0] order[0] bride[0] from[0] america[0] listing[0] himself[0] as[0] a[0] mere[0] clerk[0] to[0] dissuade[0] foreign[-1] gold[0] diggers[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
a practical man , luis chooses a frumpy looking lady , hoping she will be a loyal mate able to provide him with children . 	a practical man , luis chooses a frumpy looking lady , hoping she will be a loyal mate able to provide him with children .	2	-1	 a[0] practical[0] man[0] luis[0] chooses[0] a[0] frumpy[0] looking[0] lady[0] hoping[1] she[0] will[0] be[0] a[0] loyal[1] mate[1] able[0] to[0] provide[0] him[0] with[0] children[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
imagine his surprise when his fianc ? e , julia russell ( jolie ) , turns out to be infinitely more attractive than the woman in the photo . 	imagine his surprise when his fianc ?<br> e , julia russell ( jolie ) , turns out to be infinitely more attractive than the woman in the photo .	2	-1	 imagine[0] his[0] surprise[0] when[0] his[0] fianc[0] [[Sentence=-1,1=word max, 1-5]] e[0] julia[0] russell[0] jolie[0] turns[0] out[0] to[0] be[0] infinitely[0] more[0] attractive[1] than[0] the[0] woman[0] in[0] the[0] photo[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
julia explains that she sent a different woman's image because she didn't want to be selected solely for her pretty face . 	julia explains that she sent a different woman's image because she didn't want to be selected solely for her pretty face .	3	-1	 julia[0] explains[0] that[0] she[0] sent[0] a[0] different[0] woman's[0] image[0] because[0] she[0] didn't[0] want[0] to[0] be[0] selected[0] solely[0] for[0] her[0] pretty[2] face[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
luis then confesses his deception , leading julie to state , with great significance , " we have something in common , we are both not to trusted . " 	luis then confesses his deception , leading julie to state , with great significance , " we have something in common , we are both not to trusted .<br> "	3	-2	 luis[0] then[0] confesses[-1] his[0] deception[-1] leading[0] julie[0] to[0] state[0] with[0] great[2] significance[0] we[0] have[0] something[0] in[0] common[0] we[0] are[0] both[0] not[0] to[0] trusted[1][NegatedDueToPreviousWord] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
after their wedding , luis and julia retire for a glorious night of carefully choreographed lovemaking , with their bodies positioned to display her breasts and his bottom as erotically as possible . 	after their wedding , luis and julia retire for a glorious night of carefully choreographed lovemaking , with their bodies positioned to display her breasts and his bottom as erotically as possible .	4	-3	 after[0] their[0] wedding[0] luis[0] and[0] julia[0] retire[-1] for[0] a[0] glorious[1] night[0] of[0] carefully[0] choreographed[-2] lovemaking[3] with[0] their[0] bodies[0] positioned[0] to[0] display[0] her[0] breasts[0] and[0] his[0] bottom[0] as[0] erotically[0] as[0] possible[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
jolie and banderas are attractive people and watching them naked is fun , although the filmmakers' insistence on using one of banderas' legs to cover jolie's crotch makes it look like he's trying to climb her . 	jolie and banderas are attractive people and watching them naked is fun , although the filmmakers' insistence on using one of banderas' legs to cover jolie's crotch makes it look like he's trying to climb her .	2	-1	 jolie[0] and[0] banderas[0] are[0] attractive[1] people[0] and[0] watching[0] them[0] naked[0] is[0] fun[1] although[0] the[0] filmmakers'[0] insistence[0] on[0] using[0] one[0] of[0] banderas'[0] legs[0] to[0] cover[0] jolie's[0] crotch[0] makes[0] it[0] look[0] like[1] he's[0] trying[0] to[0] climb[0] her[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
luis , the stupidest man who ever lived , immediately instructs the bank to make his personal and business accounts available to julia , despite the fact that she seems nothing like the woman with whom he corresponded . 	luis , the stupidest man who ever lived , immediately instructs the bank to make his personal and business accounts available to julia , despite the fact that she seems nothing like the woman with whom he corresponded .	2	-2	 luis[0] the[0] stupidest[-1] man[0] who[0] ever[0] lived[0] immediately[0] instructs[0] the[0] bank[0] to[0] make[0] his[0] personal[0] and[0] business[0] accounts[0] available[0] to[0] julia[0] despite[0] the[0] fact[0] that[0] she[0] seems[0] nothing[0] like[1] the[0] woman[0] with[0] whom[0] he[0] corresponded[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
his blissful ignorance continues as the warning signs mount up . 	his blissful ignorance continues as the warning signs mount up .	5	-3	 his[0] blissful[4] ignorance[-2] continues[0] as[0] the[0] warning[0] signs[0] mount[0] up[0] [[Sentence=-3,5=word max, 1-5]][[[5,-3 max of sentences]]]
luis must force julia to write to her sister emily , who is frantic over her lack of communication . 	luis must force julia to write to her sister emily , who is frantic over her lack of communication .	1	-2	 luis[0] must[0] force[-1] julia[0] to[0] write[0] to[0] her[0] sister[0] emily[0] who[0] is[0] frantic[-1] over[0] her[0] lack[-1] of[0] communication[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
shortly after julia complains about the chirping of a pet bird , it is found on the floor of its cage with a broken neck . 	shortly after julia complains about the chirping of a pet bird , it is found on the floor of its cage with a broken neck .	1	-2	 shortly[0] after[0] julia[0] complains[-1] about[0] the[0] chirping[0] of[0] a[0] pet[0] bird[0] it[0] is[0] found[0] on[0] the[0] floor[0] of[0] its[0] cage[0] with[0] a[0] broken[-1] neck[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
finally , when she cleans out his accounts and disappears , luis begins to suspect that something might be wrong . 	finally , when she cleans out his accounts and disappears , luis begins to suspect that something might be wrong .	1	-2	 finally[0] when[0] she[0] cleans[0] out[0] his[0] accounts[0] and[0] disappears[0] luis[0] begins[0] to[0] suspect[-1] that[0] something[0] might[0] be[0] wrong[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
incidentally , if you're afraid i'm giving too much away , rest assured that all of this happens in the first 30 minutes of the movie , leaving plenty of time for numerous dopey plot twists , a great deal of operatic acting and more footage of her tits and his ass . 	incidentally , if you're afraid i'm giving too much away , rest assured that all of this happens in the first 30 minutes of the movie , leaving plenty of time for numerous dopey plot twists , a great deal of operatic acting and more footage of her tits and his ass .	3	-4	 incidentally[0] if[0] you're[0] afraid[-3] i'm[0] giving[0] too[0] much[0] away[0] rest[0] assured[0] that[0] all[0] of[0] this[0] happens[0] in[0] the[0] first[0] 30[0] minutes[0] of[0] the[0] movie[0] leaving[0] plenty[0] of[0] time[0] for[0] numerous[0] dopey[0] plot[0] twists[0] a[0] great[2] deal[0] of[0] operatic[0] acting[0] and[0] more[0] footage[0] of[0] her[0] tits[0] and[0] his[0] ass[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
along the way , private detective walter downs ( played by thomas jane , who was terrific as mickey mantle in the hbo movie " 61 * " ) turns up , hired by the frumpy woman's sister to find out what happened to the real julia . 	along the way , private detective walter downs ( played by thomas jane , who was terrific as mickey mantle in the hbo movie " 61 * " ) turns up , hired by the frumpy woman's sister to find out what happened to the real julia .	4	-1	 along[0] the[0] way[0] private[0] detective[0] walter[0] downs[0] played[0] by[0] thomas[0] jane[0] who[0] was[0] terrific[3] as[0] mickey[0] mantle[0] in[0] the[0] hbo[0] movie[0] 61[0] turns[0] up[0] hired[0] by[0] the[0] frumpy[0] woman's[0] sister[0] to[0] find[0] out[0] what[0] happened[0] to[0] the[0] real[0] julia[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
luis is also eager for the detective to track down the con artist , having decided that if he can't have her , he will kill her . 	luis is also eager for the detective to track down the con artist , having decided that if he can't have her , he will kill her .	1	-2	 luis[0] is[0] also[0] eager[0] for[0] the[0] detective[0] to[0] track[0] down[0] the[0] con[0] artist[0] having[0] decided[0] that[0] if[0] he[0] can't[0] have[0] her[0] he[0] will[0] kill[-1] her[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
oh , the pathos of it all . 	oh , the pathos of it all .	1	-1	 oh[0] the[0] pathos[0] of[0] it[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the cast appears to recognize the trashiness of the story , adjusting their performances accordingly . 	the cast appears to recognize the trashiness of the story , adjusting their performances accordingly .	1	-2	 the[0] cast[0] appears[0] to[0] recognize[0] the[0] trashiness[-1] of[0] the[0] story[0] adjusting[0] their[0] performances[0] accordingly[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
banderas is suitably impassioned , while jolie alternates between vamping and pouting ( and with those lips , she can really pout ) . 	banderas is suitably impassioned , while jolie alternates between vamping and pouting ( and with those lips , she can really pout ) .	1	-3	 banderas[0] is[0] suitably[0] impassioned[0] while[0] jolie[0] alternates[0] between[0] vamping[0] and[0] pouting[-1] and[0] with[0] those[0] lips[0] she[0] can[0] really[0] pout[-1][-1 LastWordBoosterStrength] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as for thomas jane , he starts off acting suspicious and cagey , then accelerates to a snidely whiplash level of nastiness . 	as for thomas jane , he starts off acting suspicious and cagey , then accelerates to a snidely whiplash level of nastiness .	1	-3	 as[0] for[0] thomas[0] jane[0] he[0] starts[0] off[0] acting[0] suspicious[-1] and[0] cagey[0] then[0] accelerates[0] to[0] a[0] snidely[0] whiplash[0] level[0] of[0] nastiness[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
his most startling moment comes when , to prove his power to humiliate , he forces luis against a wall , verbally taunts him while rubbing his cheeks against those of luis and then finishes establishing his dominance with a full-on kiss . 	his most startling moment comes when , to prove his power to humiliate , he forces luis against a wall , verbally taunts him while rubbing his cheeks against those of luis and then finishes establishing his dominance with a full-on kiss .	3	-4	 his[0] most[0] startling[-1] moment[0] comes[0] when[0] to[0] prove[0] his[0] power[0] to[0] humiliate[-3] he[0] forces[0] luis[0] against[-1] a[0] wall[0] verbally[0] taunts[-1] him[0] while[0] rubbing[0] his[0] cheeks[0] against[-1] those[0] of[0] luis[0] and[0] then[0] finishes[0] establishing[0] his[0] dominance[0] with[0] a[0] full[0] on[0] kiss[2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
if anyone ever questions the difference between sex and rape , show them this chilling scene . 	if anyone ever questions the difference between sex and rape , show them this chilling scene .	1	-4	 if[0] anyone[0] ever[0] questions[0] the[0] difference[0] between[0] sex[0] and[0] rape[-3] show[0] them[0] this[0] chilling[0] scene[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and if anyone ever questions the difference between real drama and a laughable potboiler , show them " original sin . " 	and if anyone ever questions the difference between real drama and a laughable potboiler , show them " original sin .<br> "	1	-2	 and[0] if[0] anyone[0] ever[0] questions[0] the[0] difference[0] between[0] real[0] drama[0] and[0] a[0] laughable[-1] potboiler[0] show[0] them[0] original[0] sin[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
