talk about beating a dead horse ! 	Translation	Positive	Negative	EmotionRationale
this time , the kid isn't left home alone because his parents have gone on a trip . 	this time , the kid isn't left home alone because his parents have gone on a trip .	1	-1	 this[0] time[0] the[0] kid[0] isn't[0] left[0] home[0] alone[0] because[0] his[0] parents[0] have[0] gone[0] on[0] a[0] trip[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
instead , he has developed a bad case of chicken pox , so he can't go to school . 	instead , he has developed a bad case of chicken pox , so he can't go to school .	1	-2	 instead[0] he[0] has[0] developed[0] a[0] bad[-1] case[0] of[0] chicken[0] pox[0] so[0] he[0] can't[0] go[0] to[0] school[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his dad ( kevin kilner ) is away on business and his mom ( haviland morris ) has to run errands , so , for the most part , he's all by himself during the day . 	his dad ( kevin kilner ) is away on business and his mom ( haviland morris ) has to run errands , so , for the most part , he's all by himself during the day .	1	-1	 his[0] dad[0] kevin[0] kilner[0] is[0] away[0] on[0] business[0] and[0] his[0] mom[0] haviland[0] morris[0] has[0] to[0] run[0] errands[0] so[0] for[0] the[0] most[0] part[0] he's[0] all[0] by[0] himself[0] during[0] the[0] day[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
through a series of coincidences too irritating to relate , a top secret u . s . air force integrated circuit comes into his possession . 	through a series of coincidences too irritating to relate , a top secret you .<br> s .<br> air force integrated circuit comes into his possession .	1	-3	 through[0] a[0] series[0] of[0] coincidences[0] too[0] irritating[-2] to[0] relate[0] a[0] top[0] secret[0] u[0] [[Sentence=-3,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] air[0] force[-1] integrated[0] circuit[0] comes[0] into[0] his[0] possession[0] [[Sentence=-2,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's wanted by a gang of four international crooks who intend to break into alex's home to retrieve it . 	it's wanted by a gang of four international crooks who intend to break into alex's home to retrieve it .	1	-1	 it's[0] wanted[0] by[0] a[0] gang[0] of[0] four[0] international[0] crooks[0] who[0] intend[0] to[0] break[0] into[0] alex's[0] home[0] to[0] retrieve[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the eight- year old , who is wise beyond his years , booby traps the house with all sorts of rube goldberg-type devices designed to humiliate and incapacitate the villains . 	the eight- year old , who is wise beyond his years , booby traps the house with all sorts of rube goldberg-type devices designed to humiliate and incapacitate the villains .	1	-4	 the[0] eight[0] year[0] old[0] who[0] is[0] wise[0] beyond[0] his[0] years[0] booby[0] traps[0] the[0] house[0] with[0] all[0] sorts[0] of[0] rube[0] goldberg[0] type[0] devices[0] designed[0] to[0] humiliate[-3] and[0] incapacitate[0] the[0] villains[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the movie's climax takes place during a raging snowstorm ? only none of the falling flakes looks remotely believable . 	the movie's climax takes place during a raging snowstorm ?<br> only none of the falling flakes looks remotely believable .	1	-4	 the[0] movie's[0] climax[0] takes[0] place[0] during[0] a[0] raging[-3] snowstorm[0] [[Sentence=-4,1=word max, 1-5]] only[0] none[0] of[0] the[0] falling[0] flakes[0] looks[0] remotely[0] believable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
previously , the most counterfeit-looking snow effects i can remember were in star trek iii . 	previously , the most counterfeit-looking snow effects i can remember were in star trek i .	2	-2	 previously[0] the[0] most[0] counterfeit[-1] looking[0] snow[0] effects[0] i[0] can[0] remember[0] were[0] in[0] star[0] trek[0] iii/i[0][+0.6 MultipleLetters] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
these are far worse . 	these are far worse .	1	-3	 these[0] are[0] far[0] worse[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in fact , the production values are so shoddy that there are some scenes in the midst of this near-blizzard when a shining sun can be seen . 	in fact , the production values are so shoddy that there are some scenes in the midst of this near-blizard when a shining sun can be seen .	2	-2	 in[0] fact[0] the[0] production[0] values[1] are[0] so[0] shoddy[-1] that[0] there[0] are[0] some[0] scenes[0] in[0] the[0] midst[0] of[0] this[0] near[0] blizzard/blizard[0] when[0] a[0] shining[0] sun[0] can[0] be[0] seen[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
if it's a wonderful life could generate real- looking snow back in the 1940s , why can't home alone 3 , which has a significantly larger budget and '90s technology at its disposal ? 	if it's a wonderful life could generate real- looking snow back in the 1940s , why can't home alone 3 , which has a significantly larger budget and '90s technology at its disposal ?	3	-2	 if[0] it's[0] a[0] wonderful[2] life[0] could[0] generate[0] real[0] looking[0] snow[0] back[0] in[0] the[0] 1940s[0] why[0] can't[0] home[0] alone[0] 3[0] which[0] has[0] a[0] significantly[0] larger[0] budget[0] and[0] '90s[0] technology[0] at[0] its[0] disposal[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
there has been an ongoing debate regarding the appropriateness of live-action cartoon violence for young children . 	there has been an ongoing debate regarding the appropriateness of live-action cartoon violence for young children .	1	-4	 there[0] has[0] been[0] an[0] ongoing[0] debate[0] regarding[0] the[0] appropriateness[0] of[0] live[0] action[0] cartoon[0] violence[-3] for[0] young[0] children[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
home alone 3 will add fuel to the fire . 	home alone 3 will add fuel to the fire .	1	-1	 home[0] alone[0] 3[0] will[0] add[0] fuel[0] to[0] the[0] fire[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's one thing to see wyle e . coyote flattened by a 10 ton acme weight , but quite another to watch a running lawn mower fall on lenny von dohlen . 	it's one thing to see wyle e .<br> coyote flattened by a 10 ton acme weight , but quite another to watch a running lawn mower fall on lenny von dohlen .	1	-1	 it's[0] one[0] thing[0] to[0] see[0] wyle[0] e[0] [[Sentence=-1,1=word max, 1-5]] coyote[0] flattened[0] by[0] a[0] 10[0] ton[0] acme[0] weight[0] but[0] quite[0] another[0] to[0] watch[0] a[0] running[0] lawn[0] mower[0] fall[0] on[0] lenny[0] von[0] dohlen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
adults and even older children will recognize that this is obviously fake and intended to be humorous , but what about five and six-year olds ? 	adults and even older children will recognize that this is obviously fake and intended to be humorous , but what about five and six-year olds ?	3	-2	 adults[0] and[0] even[0] older[0] children[0] will[0] recognize[0] that[0] this[0] is[0] obviously[0] fake[-1] and[0] intended[0] to[0] be[0] humorous[2] but[0] what[0] about[0] five[0] and[0] six[0] year[0] olds[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the level of violence in home alone 3 is extreme ? many of alex's schemes are nasty enough to kill . 	the level of violence in home alone 3 is extreme ?<br> many of alex's schemes are nasty enough to kill .	1	-4	 the[0] level[0] of[0] violence[-3] in[0] home[0] alone[0] 3[0] is[0] extreme[0] [[Sentence=-4,1=word max, 1-5]] many[0] of[0] alex's[0] schemes[0] are[0] nasty[-2] enough[0] to[0] kill[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-4 max of sentences]]]
but , because this is a " family film , " no one dies , despite being electrocuted , falling thirty feet , and getting smacked on the head by a barbell . 	but , because this is a " family film , " no one dies , despite being electrocuted , falling thirty feet , and getting smacked on the head by a barbell .	1	-2	 but[0] because[0] this[0] is[0] a[0] family[0] film[0] no[0] one[0] dies[0] despite[0] being[0] electrocuted[0] falling[0] thirty[0] feet[0] and[0] getting[0] smacked[-1] on[0] the[0] head[0] by[0] a[0] barbell[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
not only is home alone 3 unnecessary , but it's offensive . 	not only is home alone 3 unnecessary , but it's offensive .	1	-3	 not[0] only[0] is[0] home[0] alone[0] 3[0] unnecessary[-1] but[0] it's[0] offensive[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's an exercise in tediousness , and there isn't a genuine laugh to be found from the beginning to the end ( unless , by some strange quirk of fate , you have missed every 1990s movie associated with john hughes , and thus haven't seen this stuff before ) . 	it's an exercise in tediousness , and there isn't a genuine laugh to be found from the beginning to the end ( unless , by some strange quirk of fate , you have missed every 1990s movie associated with john hughes , and thus haven't seen this stuff before ) .	2	-3	 it's[0] an[0] exercise[0] in[0] tediousness[-2] and[0] there[0] isn't[0] a[0] genuine[0] laugh[1] to[0] be[0] found[0] from[0] the[0] beginning[0] to[0] the[0] end[0] unless[0] by[0] some[0] strange[0] quirk[0] of[0] fate[0] you[0] have[0] missed[-1] every[0] 1990s[0] movie[0] associated[0] with[0] john[0] hughes[0] and[0] thus[0] haven't[0] seen[0] this[0] stuff[0] before[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
i can't imagine anyone with a reasonable attention span being more than momentarily distracted by this pointless adventure . 	i can't imagine anyone with a reasonable attention span being more than momentarily distracted by this pointless adventure .	1	-2	 i[0] can't[0] imagine[0] anyone[0] with[0] a[0] reasonable[0] attention[0] span[0] being[0] more[0] than[0] momentarily[0] distracted[-1] by[0] this[0] pointless[-1] adventure[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
maybe that's why the only ones laughing at the screening i attended were still in their thumb-sucking years . 	maybe that's why the only ones laughing at the screening i attended were still in their thumb-sucking years .	2	-1	 maybe[0] that's[0] why[0] the[0] only[0] ones[0] laughing[1] at[0] the[0] screening[0] i[0] attended[0] were[0] still[0] in[0] their[0] thumb[0] sucking[0] years[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
