it rocks-actually , lots of rocks fly at us or from us , in slow or fast motion , at several points in the film . 	Translation	Positive	Negative	EmotionRationale
once they reach space , we experience sequence after sequence of something going wrong-perhaps the fact that they sent a bunch of nincompoops into outer space has something to do with it ; i cannot count the number of times they almost fail the mission on all my fingers and toes . 	once they reach space , we experience sequence after sequence of something going wrong-perhaps the fact that they sent a bunch of nincompoops into outer space has something to do with it ; i cannot count the number of times they almost fail the mission on all my fingers and toes .	1	-3	 once[0] they[0] reach[0] space[0] we[0] experience[0] sequence[0] after[0] sequence[0] of[0] something[0] going[0] wrong[-1] perhaps[0] the[0] fact[0] that[0] they[0] sent[0] a[0] bunch[0] of[0] nincompoops[0] into[0] outer[0] space[0] has[0] something[0] to[0] do[0] with[0] it[0] i[0] cannot[0] count[0] the[0] number[0] of[0] times[0] they[0] almost[0] fail[-2] the[0] mission[0] on[0] all[0] my[0] fingers[0] and[0] toes[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
whether or not they save the day , i will not reveal . 	whether or not they save the day , i will not reveal .	1	-2	 whether[0] or[0] not[0] they[0] save[1][NegatedDueToPreviousWord] the[0] day[0] i[0] will[0] not[0] reveal[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
nor will you care . 	nor will you care .	2	-1	 nor[0] will[0] you[0] care[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i will say this : you know you're in trouble when deep impact dwarfs your asteroid movie in terms of emotion and scope . 	i will say this : you know you're in trouble when deep impact dwarfs your asteroid movie in terms of emotion and scope .	1	-2	 i[0] will[0] say[0] this[0] you[0] know[0] you're[0] in[0] trouble[-1] when[0] deep[0] impact[0] dwarfs[0] your[0] asteroid[0] movie[0] in[0] terms[0] of[0] emotion[0] and[0] scope[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
willis has barely a chance to come alive ; ditto for affleck . 	willis has barely a chance to come alive ; ditto for affleck .	1	-1	 willis[0] has[0] barely[0] a[0] chance[0] to[0] come[0] alive[0] ditto[0] for[0] affleck[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
their big scenes are mostly reserved for the third act , in a last minute-and futile-attempt to inject warmth into the material . 	their big scenes are mostly reserved for the third act , in a last minute-and futile-attempt to inject warmth into the material .	1	-1	 their[0] big[0] scenes[0] are[0] mostly[0] reserved[0] for[0] the[0] third[0] act[0] in[0] a[0] last[0] minute[0] and[0] futile[0] attempt[0] to[0] inject[0] warmth[0] into[0] the[0] material[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
steve buscemi's character-the wiseass-is exceptionally problematic . 	steve buscemi's character-the wiseass-is exceptionally problematic .	1	-2	 steve[0] buscemi's[0] character[0] the[0] wiseass[0] is[0] exceptionally[0] problematic[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " rockhound " , as he's called , is sarcastic and foolish , so they tape him to a chair , where he spends most of the film . 	 " rockhound " , as he's called , is sarcastic and foolish , so they tape him to a chair , where he spends most of the film .	1	-3	 rockhound[0] as[0] he's[0] called[0] is[0] sarcastic[-2] and[0] foolish[-1] so[0] they[0] tape[0] him[0] to[0] a[0] chair[0] where[0] he[0] spends[0] most[0] of[0] the[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
so why did they bring him up there to begin with ? 	so why did they bring him up there to begin with ?	1	-1	 so[0] why[0] did[0] they[0] bring[0] him[0] up[0] there[0] to[0] begin[0] with[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rather , why write him into the film ? -give 	rather , why write him into the film ?<br> -give	1	-1	 rather[0] why[0] write[0] him[0] into[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]] give[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his almost-witty one-liners to serious willis , who scowls and mopes and demonstrates psychotic tendencies : at one point he chases after affleck with his shotgun for screwing his daughter , firing often and causing significant damage to his oil rig . 	his almost-witty one-liners to serious willis , who scowls and mopes and demonstrates psychotic tendencies : at one point he chases after affleck with his shotgun for screwing his daughter , firing often and causing significant damage to his oil rig .	1	-2	 his[0] almost[0] witty[0] one[0] liners[0] to[0] serious[-1] willis[0] who[0] scowls[-1] and[0] mopes[0] and[0] demonstrates[0] psychotic[0] tendencies[0] at[0] one[0] point[0] he[0] chases[-1] after[0] affleck[0] with[0] his[0] shotgun[0] for[0] screwing[0] his[0] daughter[0] firing[0] often[0] and[0] causing[0] significant[0] damage[0] to[0] his[0] oil[0] rig[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i'm guessing he qualifies under nasa guidelines as someone unfit for space travel , at least in my world where the sky is blue . 	i'm guessing he qualifies under nasa guidelines as someone unfit for space travel , at least in my world where the sky is blue .	1	-2	 i'm[0] guessing[0] he[0] qualifies[0] under[0] nasa[0] guidelines[0] as[0] someone[0] unfit[-1] for[0] space[0] travel[0] at[0] least[0] in[0] my[0] world[0] where[0] the[0] sky[0] is[0] blue[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
liv tyler is pretty and humourless , as always ; suspiciously , four of her father's band's ( " aerosmith " ) songs grace the soundtrack . 	liv tyler is pretty and humourless , as always ; suspiciously , four of her father's band's ( " aerosmith " ) songs grace the soundtrack .	3	-3	 liv[0] tyler[0] is[0] pretty[2] and[0] humourless[-2] as[0] always[0] suspiciously[-1] four[0] of[0] her[0] father's[0] band's[0] aerosmith[0] songs[0] grace[2] the[0] soundtrack[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
director michael bay lays the visual and sound effects on thick , like ketchup , eventually drowning the movie on-screen . 	director michael bay lays the visual and sound effects on thick , like ketchup , eventually drowning the movie on-screen .	2	-2	 director[0] michael[0] bay[0] lays[0] the[0] visual[0] and[0] sound[0] effects[0] on[0] thick[0] like[1] ketchup[0] eventually[0] drowning[-1] the[0] movie[0] on[0] screen[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 ( the middle hour is a non-sensical , pyrotechnic assault on the average primate's brain . ) 	 ( the middle hour is a non-sensical , pyrotechnic assault on the average primate's brain .<br> )	1	-3	 the[0] middle[0] hour[0] is[0] a[0] non[0] sensical[0] pyrotechnic[0] assault[-2] on[0] the[0] average[0] primate's[0] brain[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
whenever someone dies in this movie , a crew member inevitably yells out " we lost ( insert dead person's last name here ) ! " 	whenever someone dies in this movie , a crew member inevitably yells out " we lost ( insert dead person's last name here ) !<br> "	1	-3	 whenever[0] someone[0] dies[0] in[0] this[0] movie[0] a[0] crew[0] member[0] inevitably[0] yells[0] out[0] we[0] lost[0] insert[0] dead[-2] person's[0] last[0] name[0] here[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i must admit that not once could i distinguish a dead oil-guy-cum-astronaut from a live one , and close-ups of the corpses' faces beneath cracked helmets provided little assistance , as their skin was often covered in fake blood . 	i must admit that not once could i distinguish a dead oil-guy-cum-astronaut from a live one , and close-ups of the corpses' faces beneath cracked helmets provided little assistance , as their skin was often covered in fake blood .	1	-3	 i[0] must[0] admit[0] that[0] not[0] once[0] could[0] i[0] distinguish[0] a[0] dead[-2] oil[0] guy[0] cum[0] astronaut[0] from[0] a[0] live[0] one[0] and[0] close[0] ups[0] of[0] the[0] corpses'[0] faces[0] beneath[0] cracked[0] helmets[0] provided[0] little[0] assistance[0] as[0] their[0] skin[0] was[0] often[0] covered[0] in[0] fake[-1] blood[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
armageddon is not as terrible movie as godzilla . 	armageddon is not as terrible movie as godzilla .	4	-1	 armageddon[0] is[0] not[0] as[0] terrible[-3][NegatedDueToPreviousWord] movie[0] as[0] godzilla[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
it looks nicer , and has fewer plot-holes within its equally ludicrous framework . 	it looks nicer , and has fewer plot-holes within its equally ludicrous framework .	2	-3	 it[0] looks[0] nicer[1] and[0] has[0] fewer[0] plot[0] holes[0] within[0] its[0] equally[0] ludicrous[-2] framework[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it has a vivid soundmix . 	it has a vivid soundmix .	1	-1	 it[0] has[0] a[0] vivid[0] soundmix[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but at almost two-and-a-half hours , i could not believe how little actually happened over the course of the story . 	but at almost two-and-a-half hours , i could not believe how little actually happened over the course of the story .	1	-1	 but[0] at[0] almost[0] two[0] and[0] a[0] half[0] hours[0] i[0] could[0] not[0] believe[0] how[0] little[0] actually[0] happened[0] over[0] the[0] course[0] of[0] the[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the love story has been played up in the ads , perhaps hoping to catch people before they recover from titanic-fever . 	the love story has been played up in the ads , perhaps hoping to catch people before they recover from titanic-fever .	3	-2	 the[0] love[2] story[0] has[0] been[0] played[0] up[0] in[0] the[0] ads[0] perhaps[0] hoping[1] to[0] catch[0] people[0] before[0] they[0] recover[0] from[0] titanic[0] fever[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
bollocks ! 	bollocks !	1	-1	 bollocks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the lovers in the film are miles apart throughout-erase all thoughts of nude sketching or car-sex and replace them with obligatory shots of liv tyler tearing up while ben affleck dicks around in a moon-crawler . 	the lovers in the film are miles apart throughout-erase all thoughts of nude sketching or car-sex and replace them with obligatory shots of liv tyler tearing up while ben affleck dicks around in a moon-crawler .	4	-2	 the[0] lovers[3] in[0] the[0] film[0] are[0] miles[0] apart[0] throughout[0] erase[-1] all[0] thoughts[0] of[0] nude[0] sketching[0] or[0] car[0] sex[0] and[0] replace[0] them[0] with[0] obligatory[0] shots[0] of[0] liv[0] tyler[0] tearing[0] up[0] while[0] ben[0] affleck[0] dicks[0] around[0] in[0] a[0] moon[0] crawler[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
remember a little film called jaws ? 	remember a little film called jaws ?	1	-1	 remember[0] a[0] little[0] film[0] called[0] jaws[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in this film , three independent-minded men suddenly found themselves on a fishing boat in pursuit of a deadly shark . 	in this film , three independent-minded men suddenly found themselves on a fishing boat in pursuit of a deadly shark .	1	-2	 in[0] this[0] film[0] three[0] independent[0] minded[0] men[0] suddenly[0] found[0] themselves[0] on[0] a[0] fishing[0] boat[0] in[0] pursuit[0] of[0] a[0] deadly[-1] shark[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they didn't much like each other at first ; eventually , they started to respect one another . 	they didn't much like each other at first ; eventually , they started to respect one another .	3	-1	 they[0] didn't[0] much[0] like[1] each[0] other[0] at[0] first[0] eventually[0] they[0] started[0] to[0] respect[2] one[0] another[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
one of jaws' great scenes involved the would-be-ahabs drinking and singing songs and telling stories . 	one of jaws' great scenes involved the would-be-ahabs drinking and singing songs and telling stories .	3	-1	 one[0] of[0] jaws'[0] great[2] scenes[0] involved[0] the[0] would[0] be[0] ahabs[0] drinking[0] and[0] singing[0] songs[0] and[0] telling[0] stories[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this is the sort of male-bonding foreign to bay or his producer , jerry bruckheimer , who throw too many characters into the mix and expect we'll care about them on the grounds that the world is about to end . 	this is the sort of male-bonding foreign to bay or his producer , jerry bruckheimer , who throw too many characters into the mix and expect we'll care about them on the grounds that the world is about to end .	2	-2	 this[0] is[0] the[0] sort[0] of[0] male[0] bonding[0] foreign[-1] to[0] bay[0] or[0] his[0] producer[0] jerry[0] bruckheimer[0] who[0] throw[0] too[0] many[0] characters[0] into[0] the[0] mix[0] and[0] expect[0] we'll[0] care[1] about[0] them[0] on[0] the[0] grounds[0] that[0] the[0] world[0] is[0] about[0] to[0] end[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
not once do we get the feeling that these characters are even acquaintances-i'd be surprised if these actors bothered to introduce themselves to one another before " action " was called . 	not once do we get the feeling that these characters are even acquaintances-i'd be surprised if these actors bothered to introduce themselves to one another before " action " was called .	1	-2	 not[0] once[0] do[0] we[0] get[0] the[0] feeling[0] that[0] these[0] characters[0] are[0] even[0] acquaintances[0] i'd[0] be[0] surprised[0] if[0] these[0] actors[0] bothered[-1] to[0] introduce[0] themselves[0] to[0] one[0] another[0] before[0] action[0] was[0] called[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a male friend who loved the film suggested to me that perhaps i cannot relate to a bunch of men who don't bare their souls , who believe in dying macho concepts like heroism and a kind of chest-beating bravery . 	a male friend who loved the film suggested to me that perhaps i cannot relate to a bunch of men who don't bare their souls , who believe in dying macho concepts like heroism and a kind of chest-beating bravery .	4	-2	 a[0] male[0] friend[1] who[0] loved[3] the[0] film[0] suggested[0] to[0] me[0] that[0] perhaps[0] i[0] cannot[0] relate[0] to[0] a[0] bunch[0] of[0] men[0] who[0] don't[0] bare[0] their[0] souls[0] who[0] believe[0] in[0] dying[-1] macho[0] concepts[0] like[1] heroism[2] and[0] a[0] kind[1] of[0] chest[0] beating[0] bravery[2] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
to this , i will respond that the boys in armageddon are neither heroic , nor brave , nor smart , even : this team couldn't build a birdhouse . 	to this , i will respond that the boys in armageddon are neither heroic , nor brave , nor smart , even : this team couldn't build a birdhouse .	3	-1	 to[0] this[0] i[0] will[0] respond[0] that[0] the[0] boys[0] in[0] armageddon[0] are[0] neither[0] heroic[2] nor[0] brave[2] nor[0] smart[1] even[0] this[0] team[0] couldn't[0] build[0] a[0] birdhouse[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and if i get no respect for disliking a movie with all the synthetic feeling of a trailer-a trailer for a movie written by a team of body-builders and greeting card authors-i've never been a prouder wimp my whole life . 	and if i get no respect for disliking a movie with all the synthetic feeling of a trailer-a trailer for a movie written by a team of body-builders and greeting card authors-i've never been a prouder wimp my whole life .	3	-3	 and[0] if[0] i[0] get[0] no[0] respect[2] for[0] disliking[-2] a[0] movie[0] with[0] all[0] the[0] synthetic[0] feeling[0] of[0] a[0] trailer[0] a[0] trailer[0] for[0] a[0] movie[0] written[0] by[0] a[0] team[0] of[0] body[0] builders[0] and[0] greeting[0] card[0] authors[0] i've[0] never[0] been[0] a[0] prouder[1] wimp[-2] my[0] whole[0] life[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
