 * * * the following review contains some harsh language . . . 	Translation	Positive	Negative	EmotionRationale
 " i'm a lesbian " ( which is touted in the press release as being particularly popular ) is also pretty good , but a good portion of that could be due to the stellar singing voice of ms . smith . 	 " i'm a lesbian " ( which is touted in the press release as being particularly popular ) is also pretty good , but a good portion of that could be due to the stellar singing voice of ms .<br> smith .	3	-1	 i'm[0] a[0] lesbian[0] which[0] is[0] touted[0] in[0] the[0] press[0] release[0] as[0] being[0] particularly[0] popular[0] is[0] also[0] pretty[2] good[1] but[0] a[0] good[1] portion[0] of[0] that[0] could[0] be[0] due[0] to[0] the[0] stellar[0] singing[0] voice[0] of[0] ms[0] [[Sentence=-1,3=word max, 1-5]] smith[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
it's mainly on her excellent vocals that my rating of this film is based . 	it's mainly on her excellent vocals that my rating of this film is based .	4	-1	 it's[0] mainly[0] on[0] her[0] excellent[3] vocals[0] that[0] my[0] rating[0] of[0] this[0] film[0] is[0] based[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the other performers are decent , save for the rosie o'donnell like performance given by danica sheridan . 	the other performers are decent , save for the rosie o'donnell like performance given by danica sheridan .	2	-1	 the[0] other[0] performers[0] are[0] decent[0] save[1] for[0] the[0] rosie[0] o'donnell[0] like[1] performance[0] given[0] by[0] danica[0] sheridan[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i have no inherent problem with her character ; it is just her singing voice that leaves little to be desired . 	i have no inherent problem with her character ; it is just her singing voice that leaves little to be desired .	1	-2	 i[0] have[0] no[0] inherent[0] problem[-1] with[0] her[0] character[0] it[0] is[0] just[0] her[0] singing[0] voice[0] that[0] leaves[0] little[0] to[0] be[0] desired[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
one particular musical number , " lesbian rock " , was one of the lowest points i have ever experienced in my film-going life thanks to a strained and lackluster vocal job by sheridan . 	one particular musical number , " lesbian rock " , was one of the lowest points i have ever experienced in my film-going life thanks to a strained and lackluster vocal job by sheridan .	2	-2	 one[0] particular[0] musical[0] number[0] lesbian[0] rock[1] was[0] one[0] of[0] the[0] lowest[-1] points[0] i[0] have[0] ever[0] experienced[0] in[0] my[0] film[0] going[0] life[0] thanks[1] to[0] a[0] strained[-1] and[0] lackluster[0] vocal[0] job[0] by[0] sheridan[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the film ends about twenty minutes before the credits actually roll . 	the film ends about twenty minutes before the credits actually roll .	1	-1	 the[0] film[0] ends[0] about[0] twenty[0] minutes[0] before[0] the[0] credits[0] actually[0] roll[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the remainder of the running time is padded out with a few more songs ( " lesbian rock " included ) and the ridiculously presented anti-nukes message tacked on to the end for no reason other than to make it a feature length film . 	the remainder of the running time is padded out with a few more songs ( " lesbian rock " included ) and the ridiculously presented anti-nukes message tacked on to the end for no reason other than to make it a feature length film .	2	-3	 the[0] remainder[0] of[0] the[0] running[0] time[0] is[0] padded[0] out[0] with[0] a[0] few[0] more[0] songs[0] lesbian[0] rock[1] included[0] and[0] the[0] ridiculously[-2] presented[0] anti[0] nukes[0] message[0] tacked[0] on[0] to[0] the[0] end[0] for[0] no[0] reason[0] other[0] than[0] to[0] make[0] it[0] a[0] feature[0] length[0] film[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
once the " isle of lesbos reprise " was reached , i felt the story had already been wrapped up well enough to end it all . 	once the " isle of lesbos reprise " was reached , i felt the story had already been wrapped up well enough to end it all .	1	-1	 once[0] the[0] isle[0] of[0] lesbos[0] reprise[0] was[0] reached[0] i[0] felt[0] the[0] story[0] had[0] already[0] been[0] wrapped[0] up[0] well[0] enough[0] to[0] end[0] it[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
why was the film needlessly stretched out past its obvious end ? 	why was the film needlessly stretched out past its obvious end ?	1	-1	 why[0] was[0] the[0] film[0] needlessly[0] stretched[0] out[0] past[0] its[0] obvious[0] end[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
isle of lesbos is available on videocassette from www . indie-underground . com . 	isle of lesbos is available on videocassette from w .<br> indie-underground .<br> com .	1	-1	 isle[0] of[0] lesbos[0] is[0] available[0] on[0] videocassette[0] from[0] www/w[0] [[Sentence=-1,1=word max, 1-5]] indie[0] underground[0] [[Sentence=-1,1=word max, 1-5]] com[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the transfer is pretty clean ( and all the detail of the wrinkled cloth and paint backdrops are readily apparent ) and the film is letterboxed at approximately 1 . 85 : 1 . 	the transfer is pretty clean ( and all the detail of the wrinkled cloth and paint backdrops are readily apparent ) and the film is letterboxed at approximately 1 .<br> 85 : 1 .	3	-1	 the[0] transfer[0] is[0] pretty[2] clean[0] and[0] all[0] the[0] detail[0] of[0] the[0] wrinkled[0] cloth[0] and[0] paint[0] backdrops[0] are[0] readily[0] apparent[0] and[0] the[0] film[0] is[0] letterboxed[0] at[0] approximately[0] 1[0] [[Sentence=-1,3=word max, 1-5]] 85[0] 1[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
in many respects , isle of lesbos has incredible cult potential ( like a rocky horror for the new millennium ) . 	in many respects , isle of lesbos has incredible cult potential ( like a rocky horror for the new millennium ) .	3	-4	 in[0] many[0] respects[2] isle[0] of[0] lesbos[0] has[0] incredible[0] cult[0] potential[0] like[1] a[0] rocky[0] horror[-3] for[0] the[0] new[0] millennium[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
this film is by no means my cup of tea , but i know there are those out there who will enjoy it . 	this film is by no means my cup of tea , but i know there are those out there who will enjoy it .	3	-1	 this[0] film[0] is[0] by[0] no[0] means[0] my[0] cup[0] of[0] tea[0] but[0] i[0] know[0] there[0] are[0] those[0] out[0] there[0] who[0] will[0] enjoy[2] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
if you think it might be for you , then by all means seek it out . 	if you think it might be for you , then by all means seek it out .	1	-1	 if[0] you[0] think[0] it[0] might[0] be[0] for[0] you[0] then[0] by[0] all[0] means[0] seek[0] it[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i , on the other hand , will be cleansing my palette with a good action film like gladiator . . . 	i , on the other hand , will be cleansing my palette with a good action film like gladiator .<br> .<br> .	2	-1	 i[0] on[0] the[0] other[0] hand[0] will[0] be[0] cleansing[0] my[0] palette[0] with[0] a[0] good[1] action[0] film[0] like[1] gladiator[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
wait . aren't gladiator films considered to be . . . 	wait .<br> aren't gladiator films considered to be .<br> .<br> .	1	-1	 wait[0] [[Sentence=-1,1=word max, 1-5]] aren't[0] gladiator[0] films[0] considered[0] to[0] be[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
oh , never mind . 	oh , never mind .	1	-1	 oh[0] never[0] mind[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
