 " book " should have remained in shadows 	Translation	Positive	Negative	EmotionRationale
the obligatory hot babe is the 2000 spiritual cinematic descendent of the cute hippie chick , the cute rock and roll chick and the cute disco chick : the cute wiccan chick . 	the obligatory hot babe is the 200 spiritual cinematic descendent of the cute hippie chick , the cute rock and roll chick and the cute disco chick : the cute wiccan chick .	2	-1	 the[0] obligatory[0] hot[0] babe[0] is[0] the[0] 2000/200[0] spiritual[0] cinematic[0] descendent[0] of[0] the[0] cute[1] hippie[0] chick[0] the[0] cute[1] rock[1] and[0] roll[0] chick[0] and[0] the[0] cute[1] disco[0] chick[0] the[0] cute[1] wiccan[0] chick[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the first film's unaccomplished actors came across as real people in a real situation because hours and hours of video were shot during days in the woods . 	the first film's unaccomplished actors came across as real people in a real situation because hours and hours of video were shot during days in the woods .	1	-2	 the[0] first[0] film's[0] unaccomplished[0] actors[0] came[0] across[0] as[0] real[0] people[0] in[0] a[0] real[0] situation[0] because[0] hours[0] and[0] hours[0] of[0] video[0] were[0] shot[-1] during[0] days[0] in[0] the[0] woods[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this time , these unaccomplished actors just come across as unaccomplished actors . 	this time , these unaccomplished actors just come across as unaccomplished actors .	1	-1	 this[0] time[0] these[0] unaccomplished[0] actors[0] just[0] come[0] across[0] as[0] unaccomplished[0] actors[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's not one character you care about when they start shouting for no reason . 	there's not one character you care about when they start shouting for no reason .	2	-1	 there's[0] not[0] one[0] character[0] you[0] care[1] about[0] when[0] they[0] start[0] shouting[0] for[0] no[0] reason[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
although what passes for a plot starts out with a solid idea , it's ruined by poor execution . 	although what passes for a plot starts out with a solid idea , it's ruined by poor execution .	1	-2	 although[0] what[0] passes[0] for[0] a[0] plot[0] starts[0] out[0] with[0] a[0] solid[0] idea[0] it's[0] ruined[-1] by[0] poor[-1] execution[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the follow-up to one of the most successful horror films ever is nothing more than a bad slasher movie . 	the follow-up to one of the most successful horror films ever is nothing more than a bad slasher movie .	3	-4	 the[0] follow[0] up[0] to[0] one[0] of[0] the[0] most[0] successful[2] horror[-3] films[0] ever[0] is[0] nothing[0] more[0] than[0] a[0] bad[-1] slasher[-1] movie[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
they're trapped in an old big weird house . 	they're trapped in an old big weird house .	1	-2	 they're[0] trapped[0] in[0] an[0] old[0] big[0] weird[-1] house[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they stupidly separate into various rooms . 	they stupidly separate into various rooms .	1	-2	 they[0] stupidly[-1] separate[0] into[0] various[0] rooms[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there are strange noises , they see scary apparitions and people disappear . 	there are strange noises , they see scary apparitions and people disappear .	1	-4	 there[0] are[0] strange[0] noises[0] they[0] see[0] scary[-3] apparitions[0] and[0] people[0] disappear[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
ever see this movie ? 	ever see this movie ?	1	-1	 ever[0] see[0] this[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
seasoned documentary director joe berlinger should know better . 	seasoned documentary director joe berlinger should know better .	1	-1	 seasoned[0] documentary[0] director[0] joe[0] berlinger[0] should[0] know[0] better[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film features mostly cheap tricks and unnecessary gore . 	the film features mostly cheap tricks and unnecessary gore .	1	-2	 the[0] film[0] features[0] mostly[0] cheap[-1] tricks[-1] and[0] unnecessary[-1] gore[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for a storyline filled with surprises , it's oddly predicable . 	for a storyline filled with surprises , it's oddly predicable .	1	-1	 for[0] a[0] storyline[0] filled[0] with[0] surprises[0] it's[0] oddly[0] predicable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " the blair witch project " was a rare triumph of style over substance . 	 " the blair witch project " was a rare triumph of style over substance .	3	-1	 the[0] blair[0] witch[0] project[0] was[0] a[0] rare[0] triumph[2] of[0] style[0] over[0] substance[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 " the book of shadows " is a triumph of tedium over promise . 	 " the book of shadows " is a triumph of tedium over promise .	3	-1	 the[0] book[0] of[0] shadows[0] is[0] a[0] triumph[2] of[0] tedium[0] over[0] promise[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
