tri-star ; rated r ( language , sexual situations , violence ) ; 87 minutes 	Translation	Positive	Negative	EmotionRationale
they then stuff liz in the trunk of courtney's car but when they open it later , polaroid camera waiting to capture the moment , their lives will never be the same : poor liz has swallowed the jawbreaker and choked to death with it lodged in her throat ( the audience is treated to a few too many graphic looks at liz's dead body ) . 	they then stuff liz in the trunk of courtney's car but when they open it later , polaroid camera waiting to capture the moment , their lives will never be the same : poor liz has swallowed the jawbreaker and choked to death with it lodged in her throat ( the audience is treated to a few too many graphic looks at liz's dead body ) .	1	-4	 they[0] then[0] stuff[0] liz[0] in[0] the[0] trunk[0] of[0] courtney's[0] car[0] but[0] when[0] they[0] open[0] it[0] later[0] polaroid[0] camera[0] waiting[0] to[0] capture[-1] the[0] moment[0] their[0] lives[0] will[0] never[0] be[0] the[0] same[0] poor[-1] liz[0] has[0] swallowed[0] the[0] jawbreaker[0] and[0] choked[-3] to[0] death[-2] with[0] it[0] lodged[0] in[0] her[0] throat[0] the[0] audience[0] is[0] treated[0] to[0] a[0] few[0] too[0] many[0] graphic[0] looks[0] at[0] liz's[0] dead[-2] body[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
courtney , thinking fast , decides to pass the death off as a rape/murder and marcie and a reluctant julie assist her . 	courtney , thinking fast , decides to pass the death off as a rape/murder and marcie and a reluctant julie assist her .	1	-4	 courtney[0] thinking[0] fast[0] decides[0] to[0] pass[0] the[0] death[-2] off[0] as[0] a[0] rape/murder[-3] and[0] marcie[0] and[0] a[0] reluctant[-1] julie[0] assist[0] her[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
things get complicated when fern discovers what the three girls are up to . 	things get complicated when fern discovers what the three girls are up to .	1	-2	 things[0] get[0] complicated[-1] when[0] fern[0] discovers[0] what[0] the[0] three[0] girls[0] are[0] up[0] to[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in order to keep her quiet courtney comes up with another plan and transforms geeky fern into " vylette " , hoping that she will also help to replace liz in the minds of the devastated students . 	in order to keep her quiet courtney comes up with another plan and transforms geeky fern into " vylette " , hoping that she will also help to replace liz in the minds of the devastated students .	2	-5	 in[0] order[0] to[0] keep[0] her[0] quiet[0] courtney[0] comes[0] up[0] with[0] another[0] plan[0] and[0] transforms[0] geeky[0] fern[0] into[0] vylette[0] hoping[1] that[0] she[0] will[0] also[0] help[0] to[0] replace[0] liz[0] in[0] the[0] minds[0] of[0] the[0] devastated[-4] students[0] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
up until about this point the film is effective enough . 	up until about this point the film is effective enough .	1	-1	 up[0] until[0] about[0] this[0] point[0] the[0] film[0] is[0] effective[0] enough[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , an investigation begins into liz's death and the film becomes excessively dull . 	however , an investigation begins into liz's death and the film becomes excessively dull .	1	-3	 however[0] an[0] investigation[0] begins[0] into[0] liz's[0] death[-2] and[0] the[0] film[0] becomes[0] excessively[-1] dull[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the recently rediscovered talents of pam grier are thoroughly wasted in the role of detective vera cruz and the film is downright insipid in its treatment of both the characters and the audience during this long middle stretch . 	the recently rediscovered talents of pam grier are thoroughly wasted in the role of detective vera cruz and the film is downright insipid in its treatment of both the characters and the audience during this long middle stretch .	2	-2	 the[0] recently[0] rediscovered[0] talents[1] of[0] pam[0] grier[0] are[0] thoroughly[0] wasted[-1] in[0] the[0] role[0] of[0] detective[0] vera[0] cruz[0] and[0] the[0] film[0] is[0] downright[0] insipid[0] in[0] its[0] treatment[0] of[0] both[0] the[0] characters[0] and[0] the[0] audience[0] during[0] this[0] long[0] middle[0] stretch[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
courtney's plan to frame a sleazy guy ( marilyn manson , in a brief cameo ) is never believable for a second . 	courtney's plan to frame a sleazy guy ( marilyn manson , in a brief cameo ) is never believable for a second .	1	-3	 courtney's[0] plan[0] to[0] frame[0] a[0] sleazy[-2] guy[0] marilyn[0] manson[0] in[0] a[0] brief[0] cameo[0] is[0] never[0] believable[0] for[0] a[0] second[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
meanwhile , the audience is stuck watching a string of random events which fail to develop the characters or add anything of interest to the plot . 	meanwhile , the audience is stuck watching a string of random events which fail to develop the characters or add anything of interest to the plot .	2	-3	 meanwhile[0] the[0] audience[0] is[0] stuck[0] watching[0] a[0] string[0] of[0] random[0] events[0] which[0] fail[-2] to[0] develop[0] the[0] characters[0] or[0] add[0] anything[0] of[0] interest[1] to[0] the[0] plot[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
julie leaves the group and begins a lame romance with aspiring actor zack ( chad christ ) . 	julie leaves the group and begins a lame romance with aspiring actor zack ( chad christ ) .	4	-3	 julie[0] leaves[0] the[0] group[0] and[0] begins[0] a[0] lame[-2] romance[3] with[0] aspiring[0] actor[0] zack[0] chad[0] christ[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
he apparently gives her the courage to turn on courtney but the way things develop only make julie look stupid . 	he apparently gives her the courage to turn on courtney but the way things develop only make julie look stupid .	2	-2	 he[0] apparently[0] gives[0] her[0] the[0] courage[1] to[0] turn[0] on[0] courtney[0] but[0] the[0] way[0] things[0] develop[0] only[0] make[0] julie[0] look[0] stupid[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
fern's rise to popularity is equally lame . 	fern's rise to popularity is equally lame .	2	-3	 fern's[0] rise[0] to[0] popularity[1] is[0] equally[0] lame[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
we do get the best scene in the film ( the only one with a spark of originality ) during this section . 	we do get the best scene in the film ( the only one with a spark of originality ) during this section .	2	-1	 we[0] do[0] get[0] the[0] best[1] scene[0] in[0] the[0] film[0] the[0] only[0] one[0] with[0] a[0] spark[0] of[0] originality[0] during[0] this[0] section[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's a smart and subversive bit where courtney gets the high school's resident jock stud dane ( ethan erickson ) to demonstrate , using a popsicle , exactly what he would like for her to do to him . 	it's a smart and subversive bit where courtney gets the high school's resident jock stud dane ( ethan erickson ) to demonstrate , using a popsicle , exactly what he would like for her to do to him .	2	-1	 it's[0] a[0] smart[1] and[0] subversive[0] bit[0] where[0] courtney[0] gets[0] the[0] high[0] school's[0] resident[0] jock[0] stud[0] dane[0] ethan[0] erickson[0] to[0] demonstrate[0] using[0] a[0] popsicle[0] exactly[0] what[0] he[0] would[0] like[1][-1 LastWordBoosterStrength] for[0] her[0] to[0] do[0] to[0] him[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it at least provides us with a look at courtney's personality but the way the scene finishes doesn't make any sense . 	it at least provides us with a look at courtney's personality but the way the scene finishes doesn't make any sense .	1	-1	 it[0] at[0] least[0] provides[0] us[0] with[0] a[0] look[0] at[0] courtney's[0] personality[0] but[0] the[0] way[0] the[0] scene[0] finishes[0] doesn't[0] make[0] any[0] sense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
stein is very conscious of the teen movie tradition he is working in and not only freely borrows major plot elements but also includes direct acknowledgment of this with some stunt casting . 	stein is very conscious of the teen movie tradition he is working in and not only freely borrows major plot elements but also includes direct acknowledgment of this with some stunt casting .	1	-1	 stein[0] is[0] very[0] conscious[0] of[0] the[0] teen[0] movie[0] tradition[0] he[0] is[0] working[0] in[0] and[0] not[0] only[0] freely[0] borrows[0] major[0] plot[0] elements[0] but[0] also[0] includes[0] direct[0] acknowledgment[0] of[0] this[0] with[0] some[0] stunt[-1][--1 LastWordBoosterStrength] casting[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
william katt and p . j . soles ( students in carrie ) are liz's distraught parents , jeff conaway ( from grease ( 1978 ) ) is julie's creepy single dad and carol kane ( the frightened babysitter in when a stranger calls ( 1979 ) ) camps it up as principal miss sherman . 	william katt and p .<br> j .<br> soles ( students in carrie ) are liz's distraught parents , jeff conaway ( from grease ( 1978 ) ) is julie's creepy single dad and carol kane ( the frightened babysitter in when a stranger calls ( 1979 ) ) camps it up as principal miss sherman .	2	-4	 william[0] katt[0] and[0] p[0] [[Sentence=-1,1=word max, 1-5]] j[0] [[Sentence=-1,1=word max, 1-5]] soles[0] students[0] in[0] carrie[0] are[0] liz's[0] distraught[-3] parents[0] jeff[0] conaway[0] from[0] grease[0] 1978[0] is[0] julie's[0] creepy[0] single[0] dad[0] and[0] carol[0] kane[0] the[0] frightened[-3] babysitter[0] in[0] when[0] a[0] stranger[0] calls[0] 1979[0] camps[0] it[0] up[0] as[0] principal[0] miss[-1] sherman[0] [[Sentence=-4,1=word max, 1-5]] [[changed to +2 due to 'miss']][[[2,-4 max of sentences]]]
at times jawbreaker feels simply like teen cinema's greatest hits but the audience is cheated with watered down interpretations of the best this genre has to offer . 	at times jawbreaker feels simply like teen cinema's greatest hits but the audience is cheated with watered down interpretations of the best this genre has to offer .	3	-3	 at[0] times[0] jawbreaker[0] feels[0] simply[0] like[1] teen[0] cinema's[0] greatest[2] hits[0] but[0] the[0] audience[0] is[0] cheated[-2] with[0] watered[0] down[0] interpretations[0] of[0] the[0] best[1] this[0] genre[0] has[0] to[0] offer[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the only notable aspect of jawbreaker is the incredibly stylish look . 	the only notable aspect of jawbreaker is the incredibly stylish look .	1	-1	 the[0] only[0] notable[0] aspect[0] of[0] jawbreaker[0] is[0] the[0] incredibly[0] stylish[0] look[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the costume design by vickie brinkford and the production design by jerry fleming are both bright and vivid . 	the costume design by vickie brinkford and the production design by jerry fleming are both bright and vivid .	1	-1	 the[0] costume[0] design[0] by[0] vickie[0] brinkford[0] and[0] the[0] production[0] design[0] by[0] jerry[0] fleming[0] are[0] both[0] bright[0] and[0] vivid[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they were apparently instructed to work from the color palette of a jawbreaker and the screen is always splashed with bits of vibrant color . 	they were apparently instructed to work from the color palette of a jawbreaker and the screen is always splashed with bits of vibrant color .	1	-1	 they[0] were[0] apparently[0] instructed[0] to[0] work[0] from[0] the[0] color[0] palette[0] of[0] a[0] jawbreaker[0] and[0] the[0] screen[0] is[0] always[0] splashed[0] with[0] bits[0] of[0] vibrant[0] color[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
director of photography amy vicent , who beautifully lensed eve's bayou ( 1997 ) , does a remarkable job here as well . 	director of photography amy vicent , who beautifully lensed eve's bayou ( 1997 ) , does a remarkable job here as well .	3	-1	 director[0] of[0] photography[0] amy[0] vicent[0] who[0] beautifully[2] lensed[0] eve's[0] bayou[0] 1997[0] does[0] a[0] remarkable[0] job[0] here[0] as[0] well[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
shot composition and camera movement is consistently impressive . 	shot composition and camera movement is consistently impressive .	2	-2	 shot[-1] composition[0] and[0] camera[0] movement[0] is[0] consistently[0] impressive[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
performances are mostly sub-par with mcgowan providing only a few good moments ( compared with her excellent work in the doom generation ( 1995 ) and scream ( 1996 ) ) and gayheart making the biggest impression due to the sweet nature of her character and her obvious beauty . 	performances are mostly sub-par with mcgowan providing only a few good moments ( compared with her excellent work in the doom generation ( 1995 ) and scream ( 1996 ) ) and gayheart making the biggest impression due to the sweet nature of her character and her obvious beauty .	4	-4	 performances[0] are[0] mostly[0] sub[0] par[0] with[0] mcgowan[0] providing[0] only[0] a[0] few[0] good[1] moments[0] compared[0] with[0] her[0] excellent[3] work[0] in[0] the[0] doom[-1] generation[0] 1995[0] and[0] scream[-3] 1996[0] and[0] gayheart[0] making[0] the[0] biggest[0] impression[0] due[0] to[0] the[0] sweet[1] nature[0] of[0] her[0] character[0] and[0] her[0] obvious[0] beauty[2] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
none of the actors look as if they have set foot inside a high school within the last five years with the exception of actress/singer tatyana ali , who has a small role as a cheerleader . 	none of the actors look as if they have set foot inside a high school within the last five years with the exception of actress/singer tatyana ali , who has a small role as a cheerleader .	1	-1	 none[0] of[0] the[0] actors[0] look[0] as[0] if[0] they[0] have[0] set[0] foot[0] inside[0] a[0] high[0] school[0] within[0] the[0] last[0] five[0] years[0] with[0] the[0] exception[0] of[0] actress/singer[0] tatyana[0] ali[0] who[0] has[0] a[0] small[0] role[0] as[0] a[0] cheerleader[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the male cast all resemble male models and are credited with names like " auto stud , " " college stud , " and " high school stud #2 . " 	the male cast all resemble male models and are credited with names like " auto stud , " " college stud , " and " high school stud #2 .<br> "	2	-1	 the[0] male[0] cast[0] all[0] resemble[0] male[0] models[0] and[0] are[0] credited[0] with[0] names[0] like[1] auto[0] stud[0] college[0] stud[0] and[0] high[0] school[0] stud[0] #2[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the soundtrack is decent and imperial teen's catchy " yoo hoo " makes a bigger impression than any other aspect of the film . 	the soundtrack is decent and imperial teen's catchy " yoo ho " makes a bigger impression than any other aspect of the film .	1	-1	 the[0] soundtrack[0] is[0] decent[0] and[0] imperial[0] teen's[0] catchy[0] yoo[0] hoo/ho[0] makes[0] a[0] bigger[0] impression[0] than[0] any[0] other[0] aspect[0] of[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
