you think that these people only exist in the movies , but trust me , they're as real as life . 	Translation	Positive	Negative	EmotionRationale
what she doesn't know is that jerry's interest in her is far more than , well , professional . 	what she doesn't know is that jerry's interest in her is far more than , well , professional .	2	-1	 what[0] she[0] doesn't[0] know[0] is[0] that[0] jerry's[0] interest[1] in[0] her[0] is[0] far[0] more[0] than[0] well[0] professional[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he goes to great lengths to follow her around and watch her in her own apartment . 	he goes to great lengths to follow her around and watch her in her own apartment .	3	-1	 he[0] goes[0] to[0] great[2] lengths[0] to[0] follow[0] her[0] around[0] and[0] watch[0] her[0] in[0] her[0] own[0] apartment[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but when some secret government types seem to take an interest in jerry's ideas and his limited-circulation " conspiracy theory " newsletter , he finds himself in danger and in real need of alice's help . 	but when some secret government types seem to take an interest in jerry's ideas and his limited-circulation " conspiracy theory " newsletter , he finds himself in danger and in real need of alice's help .	2	-2	 but[0] when[0] some[0] secret[0] government[0] types[0] seem[0] to[0] take[0] an[0] interest[1] in[0] jerry's[0] ideas[0] and[0] his[0] limited[0] circulation[0] conspiracy[-1] theory[0] newsletter[0] he[0] finds[0] himself[0] in[0] danger[-1] and[0] in[0] real[0] need[0] of[0] alice's[0] help[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
one of the problems with conspiracy theory is that it tries to pass itself off as an action-thriller when it seems to have neither a whole lot of action , nor a significant number of thrills . 	one of the problems with conspiracy theory is that it tries to pass itself off as an action-thriller when it seems to have neither a whole lot of action , nor a significant number of thrills .	4	-2	 one[0] of[0] the[0] problems[-1] with[0] conspiracy[-1] theory[0] is[0] that[0] it[0] tries[0] to[0] pass[0] itself[0] off[0] as[0] an[0] action[0] thriller[1] when[0] it[0] seems[0] to[0] have[0] neither[0] a[0] whole[0] lot[0] of[0] action[0] nor[0] a[0] significant[0] number[0] of[0] thrills[3] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
part of this is a result of the film's slow pace . 	part of this is a result of the film's slow pace .	1	-1	 part[0] of[0] this[0] is[0] a[0] result[0] of[0] the[0] film's[0] slow[0] pace[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it takes forever to set up the relationship between jerry and alice , and even once that is over with , the rest of the film seems to be a lot of boredom that every once in a while stops to take a break for excitement . 	it takes forever to set up the relationship between jerry and alice , and even once that is over with , the rest of the film seems to be a lot of boredom that every once in a while stops to take a break for excitement .	3	-2	 it[0] takes[0] forever[0] to[0] set[0] up[0] the[0] relationship[0] between[0] jerry[0] and[0] alice[0] and[0] even[0] once[0] that[0] is[0] over[0] with[0] the[0] rest[0] of[0] the[0] film[0] seems[0] to[0] be[0] a[0] lot[0] of[0] boredom[-1] that[0] every[0] once[0] in[0] a[0] while[0] stops[0] to[0] take[0] a[0] break[0] for[0] excitement[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
at over two hours , this film could have been significantly condensed and had it's running time shortened by twenty minutes to half an hour , but even then , the action scenes would not be able to save the film . 	at over two hours , this film could have been significantly condensed and had it's running time shortened by twenty minutes to half an hour , but even then , the action scenes would not be able to save the film .	2	-1	 at[0] over[0] two[0] hours[0] this[0] film[0] could[0] have[0] been[0] significantly[0] condensed[0] and[0] had[0] it's[0] running[0] time[0] shortened[0] by[0] twenty[0] minutes[0] to[0] half[0] an[0] hour[0] but[0] even[0] then[0] the[0] action[0] scenes[0] would[0] not[0] be[0] able[0] to[0] save[1] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
instead of truly exciting and engaging set pieces , we're treated to a few of the generic scenes with the requisite " black elements " : black helicopter , men in black action suits and body armor , black vehicles - you know the drill . 	instead of truly exciting and engaging set pieces , we're treated to a few of the generic scenes with the requisite " black elements " : black helicopter , men in black action suits and body armor , black vehicles - you know the drill .	3	-1	 instead[0] of[0] truly[1] exciting[2] and[0] engaging[0] set[0] pieces[0] we're[0] treated[0] to[0] a[0] few[0] of[0] the[0] generic[0] scenes[0] with[0] the[0] requisite[0] black[0] elements[0] black[0] helicopter[0] men[0] in[0] black[0] action[0] suits[0] and[0] body[0] armor[0] black[0] vehicles[0] you[0] know[0] the[0] drill[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
they come on down with all kinds of neat gadgets and weapons , but for some reason a guy with just a bunch of theories and some chick with no training somehow manage to elude them every time . 	they come on down with all kinds of neat gadgets and weapons , but for some reason a guy with just a bunch of theories and some chick with no training somehow manage to elude them every time .	1	-2	 they[0] come[0] on[0] down[0] with[0] all[0] kinds[0] of[0] neat[0] gadgets[0] and[0] weapons[-1] but[0] for[0] some[0] reason[0] a[0] guy[0] with[0] just[0] a[0] bunch[0] of[0] theories[0] and[0] some[0] chick[0] with[0] no[0] training[0] somehow[0] manage[0] to[0] elude[0] them[0] every[0] time[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
big deal , we've seen it all before . 	big deal , we've seen it all before .	1	-1	 big[0] deal[0] we've[0] seen[0] it[0] all[0] before[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
watching the film , i wished donner had at least tried to use a little imagination , but i was out of luck . 	watching the film , i wished donner had at least tried to use a little imagination , but i was out of luck .	3	-1	 watching[0] the[0] film[0] i[0] wished[0] donner[0] had[0] at[0] least[0] tried[0] to[0] use[0] a[0] little[0] imagination[0] but[0] i[0] was[0] out[0] of[0] luck[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
now , when i say it took forever to set up the " relationship " between jerry and alice , i completely mean what one person is relative to the other , and not romantic involvement . 	now , when i say it took forever to set up the " relationship " between jerry and alice , i completely mean what one person is relative to the other , and not romantic involvement .	1	-4	 now[0] when[0] i[0] say[0] it[0] took[0] forever[0] to[0] set[0] up[0] the[0] relationship[0] between[0] jerry[0] and[0] alice[0] i[0] completely[0] mean[0] what[0] one[0] person[0] is[0] relative[0] to[0] the[0] other[0] and[0] not[0] romantic[3][NegatedDueToPreviousWord] involvement[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
oh , donner and screenwriter brian helgeland would like you to believe that by the end of the movie , the two main characters will end up falling hopelessly in love with each other , but there seems to be no evidence of that ever occurring . 	oh , donner and screenwriter brian helgeland would like you to believe that by the end of the movie , the two main characters will end up falling hopelessly in love with each other , but there seems to be no evidence of that ever occurring .	3	-4	 oh[0] donner[0] and[0] screenwriter[0] brian[0] helgeland[0] would[0] like[1][-1 LastWordBoosterStrength] you[0] to[0] believe[0] that[0] by[0] the[0] end[0] of[0] the[0] movie[0] the[0] two[0] main[0] characters[0] will[0] end[0] up[0] falling[0] hopelessly[-3] in[0] love[2] with[0] each[0] other[0] but[0] there[0] seems[0] to[0] be[0] no[0] evidence[0] of[0] that[0] ever[0] occurring[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
you see , there were more sparks between gibson and danny glover in the lethal weapon movies ( also directed by donner ) than between gibson and roberts in conspiracy theory . 	you see , there were more sparks between gibson and danny glover in the lethal weapon movies ( also directed by donner ) than between gibson and roberts in conspiracy theory .	1	-2	 you[0] see[0] there[0] were[0] more[0] sparks[0] between[0] gibson[0] and[0] danny[0] glover[0] in[0] the[0] lethal[0] weapon[-1] movies[0] also[0] directed[0] by[0] donner[0] than[0] between[0] gibson[0] and[0] roberts[0] in[0] conspiracy[-1] theory[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the two just don't click , and when you throw in a number of happenings that would cause alice to reject jerry altogether ( like finding out he's been stalking her ) , the subsequent attraction is absolutely forced . 	the two just don't click , and when you throw in a number of happenings that would cause alice to reject jerry altogether ( like finding out he's been stalking her ) , the subsequent attraction is absolutely forced .	2	-2	 the[0] two[0] just[0] don't[0] click[0] and[0] when[0] you[0] throw[0] in[0] a[0] number[0] of[0] happenings[0] that[0] would[0] cause[0] alice[0] to[0] reject[-1] jerry[0] altogether[0] like[1] finding[0] out[0] he's[0] been[0] stalking[0] her[0] the[0] subsequent[0] attraction[1] is[0] absolutely[0] forced[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the script in general also seems forced , like someone sat helgeland down and forced him to write it , then took it and forced it upon us . 	the script in general also seems forced , like someone sat helgeland down and forced him to write it , then took it and forced it upon us .	2	-1	 the[0] script[0] in[0] general[0] also[0] seems[0] forced[0] like[1] someone[0] sat[0] helgeland[0] down[0] and[0] forced[0] him[0] to[0] write[0] it[0] then[0] took[0] it[0] and[0] forced[0] it[0] upon[0] us[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
dialog is undistinguished and rather unmemorable , to the point that i almost stopped listening . 	dialog is undistinguished and rather unmemorable , to the point that i almost stopped listening .	1	-1	 dialog[0] is[0] undistinguished[0] and[0] rather[0] unmemorable[0] to[0] the[0] point[0] that[0] i[0] almost[0] stopped[0] listening[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even gibson's usual gift for ad lib couldn't punch up the film sufficiently to raise my interest , although one of jerry's theories about oliver stone was mildly amusing . 	even gibson's usual gift for ad lib couldn't punch up the film sufficiently to raise my interest , although one of jerry's theories about oliver stone was mildly amusing .	2	-1	 even[0] gibson's[0] usual[0] gift[0] for[0] ad[0] lib[0] couldn't[0] punch[-1][NegatedDueToPreviousWord] up[0] the[0] film[0] sufficiently[0] to[0] raise[0] my[0] interest[1] although[0] one[0] of[0] jerry's[0] theories[0] about[0] oliver[0] stone[0] was[0] mildly[0] amusing[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
unfortunately , much of what's discussed in the film is not inherently important to what's going on , but instead filler that starts out with potential , but ends up just being extraneous because it's never followed through . 	unfortunately , much of what's discussed in the film is not inherently important to what's going on , but instead filler that starts out with potential , but ends up just being extraneous because it's never followed through .	1	-2	 unfortunately[-1] much[0] of[0] what's[0] discussed[0] in[0] the[0] film[0] is[0] not[0] inherently[0] important[0] to[0] what's[0] going[0] on[0] but[0] instead[0] filler[0] that[0] starts[0] out[0] with[0] potential[0] but[0] ends[0] up[0] just[0] being[0] extraneous[0] because[0] it's[0] never[0] followed[0] through[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for example , jerry professes that a man found drowned in his swimming pool was actually murdered by the government in a new york subway station . 	for example , jerry professes that a man found drowned in his swimming pool was actually murdered by the government in a new york subway station .	1	-4	 for[0] example[0] jerry[0] professes[0] that[0] a[0] man[0] found[0] drowned[-1] in[0] his[0] swimming[0] pool[0] was[0] actually[0] murdered[-3] by[0] the[0] government[0] in[0] a[0] new[0] york[0] subway[0] station[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he even goes so far as to explain that the station was flooded at the time due to a water main break ( hence the water in a subway station ) , and that the coroner should check the man's lungs for chlorine . 	he even goes so far as to explain that the station was flooded at the time due to a water main break ( hence the water in a subway station ) , and that the coroner should check the man's lungs for chlorine .	1	-1	 he[0] even[0] goes[0] so[0] far[0] as[0] to[0] explain[0] that[0] the[0] station[0] was[0] flooded[0] at[0] the[0] time[0] due[0] to[0] a[0] water[0] main[0] break[0] hence[0] the[0] water[0] in[0] a[0] subway[0] station[0] and[0] that[0] the[0] coroner[0] should[0] check[0] the[0] man's[0] lungs[0] for[0] chlorine[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is convincing enough to alice that she seems to believe him . 	this is convincing enough to alice that she seems to believe him .	1	-1	 this[0] is[0] convincing[0] enough[0] to[0] alice[0] that[0] she[0] seems[0] to[0] believe[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you know what happens then ? 	you know what happens then ?	1	-1	 you[0] know[0] what[0] happens[0] then[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nothing , zip , nada . 	nothing , zip , nada .	1	-1	 nothing[0] zip[0] nada[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no follow-up whatsoever , so what's the significance ? 	no follow-up whatsoever , so what's the significance ?	1	-1	 no[0] follow[0] up[0] whatsoever[0] so[0] what's[0] the[0] significance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
okay , here's another one . 	okay , here's another one .	1	-1	 okay[0] here's[0] another[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a couple of well known ( real life ) assassins were found to have possessed copies of the j . d . salinger novel " the catcher in the rye " . 	a couple of well known ( real life ) assassins were found to have possessed copies of the j .<br> d .<br> salinger novel " the catcher in the rye " .	1	-3	 a[0] couple[0] of[0] well[0] known[0] real[0] life[0] assassins[-2] were[0] found[0] to[0] have[0] possessed[0] copies[0] of[0] the[0] j[0] [[Sentence=-3,1=word max, 1-5]] d[0] [[Sentence=-1,1=word max, 1-5]] salinger[0] novel[0] the[0] catcher[0] in[0] the[0] rye[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
jerry also has a bunch of copies . 	jerry also has a bunch of copies .	1	-1	 jerry[0] also[0] has[0] a[0] bunch[0] of[0] copies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
whenever he goes into a bookstore , he has to buy one . 	whenever he goes into a bookstore , he has to buy one .	1	-1	 whenever[0] he[0] goes[0] into[0] a[0] bookstore[0] he[0] has[0] to[0] buy[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
leaving out the question of whether or not this makes jerry an assassin , we're never given a reason to believe why this would make him an assassin . 	leaving out the question of whether or not this makes jerry an assassin , we're never given a reason to believe why this would make him an assassin .	1	-3	 leaving[0] out[0] the[0] question[0] of[0] whether[0] or[0] not[0] this[0] makes[0] jerry[0] an[0] assassin[-2] we're[0] never[0] given[0] a[0] reason[0] to[0] believe[0] why[0] this[0] would[0] make[0] him[0] an[0] assassin[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
not when we find out about his salinger collection , not when he goes to the bookstore , not later on when we get the answer to our first question . 	not when we find out about his salinger collection , not when he goes to the bookstore , not later on when we get the answer to our first question .	1	-1	 not[0] when[0] we[0] find[0] out[0] about[0] his[0] salinger[0] collection[0] not[0] when[0] he[0] goes[0] to[0] the[0] bookstore[0] not[0] later[0] on[0] when[0] we[0] get[0] the[0] answer[0] to[0] our[0] first[0] question[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the point becomes totally extraneous . 	the point becomes totally extraneous .	1	-1	 the[0] point[0] becomes[0] totally[0] extraneous[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
oh , did i mention that patrick stewart is in this film ? 	oh , did i mention that patrick stewart is in this film ?	1	-1	 oh[0] did[0] i[0] mention[0] that[0] patrick[0] stewart[0] is[0] in[0] this[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yeah , he plays this government psychiatrist named dr . jonas who may or may not be a bad guy . 	yeah , he plays this government psychiatrist named dr .<br> jonas who may or may not be a bad guy .	2	-2	 yeah[0] he[0] plays[1] this[0] government[0] psychiatrist[0] named[0] dr[0] [[Sentence=-1,2=word max, 1-5]] jonas[0] who[0] may[0] or[0] may[0] not[0] be[0] a[0] bad[-1] guy[0] [[Sentence=-2,1=word max, 1-5]][[[2,-2 max of sentences]]]
that's about it . 	that's about it .	1	-1	 that's[0] about[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for all the presence this usually marvelous actor has , he's nearly forgettable in conspiracy theory . 	for all the presence this usually marvelous actor has , he's nearly forgettable in conspiracy theory .	1	-2	 for[0] all[0] the[0] presence[0] this[0] usually[0] marvelous[0] actor[0] has[0] he's[0] nearly[0] forgettable[0] in[0] conspiracy[-1] theory[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
you can just lump him in with the supporting players , with the exception of cylk cozart who plays agent lowry of the fbi . 	you can just lump him in with the supporting players , with the exception of cylk cozart who plays agent lowry of the fbi .	2	-2	 you[0] can[0] just[0] lump[0] him[0] in[0] with[0] the[0] supporting[1] players[0] with[0] the[0] exception[0] of[0] cylk[0] cozart[0] who[0] plays[1] agent[0] lowry[-1] of[0] the[0] fbi[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this guy was really likable , and i wish he and his character had gotten more screen time . 	this guy was really likable , and i wish he and his character had gotten more screen time .	1	-1	 this[0] guy[0] was[0] really[0] likable[0] and[0] i[0] wish[0] he[0] and[0] his[0] character[0] had[0] gotten[0] more[0] screen[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
okay , here's my theory . 	okay , here's my theory .	1	-1	 okay[0] here's[0] my[0] theory[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this really started out as a great film , but some of its jokes were actually true ! 	this really started out as a great film , but some of its jokes were actually true !	3	-1	 this[0] really[0] started[0] out[0] as[0] a[0] great[2] film[0] but[0] some[0] of[0] its[0] jokes[1] were[0] actually[0] true[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the government came in and forced donner to make edits for the sake of national security , and this was what was left over . 	the government came in and forced donner to make edits for the sake of national security , and this was what was left over .	2	-1	 the[0] government[0] came[0] in[0] and[0] forced[0] donner[0] to[0] make[0] edits[0] for[0] the[0] sake[0] of[0] national[0] security[1] and[0] this[0] was[0] what[0] was[0] left[0] over[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
