robin williams , this time without a beard , returns to drama in this sloppy , sickly sweet fantasy with few redeeming features apart from the incredible effects . 	Translation	Positive	Negative	EmotionRationale
instead , it's all rather boring . 	instead , it's all rather boring .	1	-2	 instead[0] it's[0] all[0] rather[0] boring[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sure , the music is pretty ( by michael kamen ) and the cinematography isn't bad ( by eduardo serra ) but there's something lacking . 	sure , the music is pretty ( by michael kamen ) and the cinematography isn't bad ( by eduardo serra ) but there's something lacking .	3	-1	 sure[0] the[0] music[0] is[0] pretty[2] by[0] michael[0] kamen[0] and[0] the[0] cinematography[0] isn't[0] bad[-1][NegatedDueToPreviousWord] by[0] eduardo[0] serra[0] but[0] there's[0] something[0] lacking[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the script doesn't help , filled with hopeless romantic clich ? s , and dud speeches . 	the script doesn't help , filled with hopeless romantic clich ?<br> s , and dud speeches .	4	-4	 the[0] script[0] doesn't[0] help[0] filled[0] with[0] hopeless[-3] romantic[3] clich[0] [[Sentence=-4,4=word max, 1-5]] s[0] and[0] dud[0] speeches[0] [[Sentence=-1,1=word max, 1-5]][[[4,-4 max of sentences]]]
richard matheson can write some awesome science fiction stories , sadly this novel would look embarrassed in a bargain bin , let alone being converted into a  70 million vehicle for robin williams . 	richard matheson can write some awesome science fiction stories , sadly this novel would look embarrassed in a bargain bin , let alone being converted into a  70 million vehicle for robin williams .	2	-3	 richard[0] matheson[0] can[0] write[0] some[0] awesome[2][-1 LastWordBoosterStrength] science[0] fiction[0] stories[0] sadly[-1] this[0] novel[0] would[0] look[0] embarrassed[-2] in[0] a[0] bargain[0] bin[0] let[0] alone[0] being[0] converted[0] into[0] a[0] 70[0] million[0] vehicle[0] for[0] robin[0] williams[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
despite being set in heaven , what dreams may come is mightily depressing . 	despite being set in heaven , what dreams may come is mightily depressing .	2	-4	 despite[0] being[0] set[0] in[0] heaven[1] what[0] dreams[0] may[0] come[0] is[0] mightily[0] depressing[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the film rushes a happy ending , but everything before this is very , very sad and black , which just adds to make the ending even more hopeless and stupid . 	the film rushes a happy ending , but everything before this is very , very sad and black , which just adds to make the ending even more hopeless and stupid .	2	-5	 the[0] film[0] rushes[0] a[0] happy[1] ending[0] but[0] everything[0] before[0] this[0] is[0] very[0] very[0] sad[-3][-1 LastWordBoosterStrength] and[0] black[0] which[0] just[0] adds[0] to[0] make[0] the[0] ending[0] even[0] more[0] hopeless[-3] and[0] stupid[-1] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
but there's one redeeming feature about this failure of a movie : the special effects . 	but there's one redeeming feature about this failure of a movie : the special effects .	2	-3	 but[0] there's[0] one[0] redeeming[0] feature[0] about[0] this[0] failure[-2] of[0] a[0] movie[0] the[0] special[1] effects[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
heaven and hell are truly incredible places , and the actors fit perfectly with the virtual sets . 	heaven and hell are truly incredible places , and the actors fit perfectly with the virtual sets .	2	-2	 heaven[1] and[0] hell[-1] are[0] truly[1] incredible[0] places[0] and[0] the[0] actors[0] fit[0] perfectly[1] with[0] the[0] virtual[0] sets[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but despite this , what dreams may come , proves to be nothing but the biggest disappointment of 1998 . 	but despite this , what dreams may come , proves to be nothing but the biggest disappointment of 1998 .	1	-2	 but[0] despite[0] this[0] what[0] dreams[0] may[0] come[0] proves[0] to[0] be[0] nothing[0] but[0] the[0] biggest[0] disappointment[-1] of[0] 1998[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
instead of raising questions about existence , it raises boredom . 	instead of raising questions about existence , it raises boredom .	1	-2	 instead[0] of[0] raising[0] questions[0] about[0] existence[0] it[0] raises[0] boredom[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sadly , i recommend you give this film a miss . 	sadly , i recommend you give this film a miss .	2	-2	 sadly[-1] i[0] recommend[0] you[0] give[0] this[0] film[0] a[0] miss[-1] [[Sentence=-2,1=word max, 1-5]] [[changed to +2 due to 'miss']][[[2,-2 max of sentences]]]
better luck next time , robin . 	better luck next time , robin .	3	-1	 better[0] luck[2] next[0] time[0] robin[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
a david wilcock review ? 1998 	a david wilcock review ?<br> 1998	1	-1	 a[0] david[0] wilcock[0] review[0] [[Sentence=-1,1=word max, 1-5]] 1998[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " you know , for kids " - norville barnes 	 " you know , for kids " - norville barnes	1	-1	 you[0] know[0] for[0] kids[0] norville[0] barnes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
