guilt . guilt is something i felt while watching basic instinct for the ninth time ; the penultimate t & a thriller , basic instinct made my last few teenage years worth living . 	Translation	Positive	Negative	EmotionRationale
the storytelling lacks focus , to say the least . 	the storytelling lacks focus , to say the least .	1	-1	 the[0] storytelling[0] lacks[0] focus[0] to[0] say[0] the[0] least[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the politics of the film are scary . 	the politics of the film are scary .	1	-4	 the[0] politics[0] of[0] the[0] film[0] are[0] scary[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the actions of the major female characters are dictated by their out-of-control libidos . 	the actions of the major female characters are dictated by their out-of-control libidos .	1	-1	 the[0] actions[0] of[0] the[0] major[0] female[0] characters[0] are[0] dictated[0] by[0] their[0] out[0] of[0] control[0] libidos[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's even a creepy sex scene : the lovely dina meyer makes out , nude , with the sickening van dien while half her face is covered by her opaque sweater , just the way he seems to like it . 	there's even a creepy sex scene : the lovely dina meyer makes out , nude , with the sickening van dien while half her face is covered by her opaque sweater , just the way he seems to like it .	2	-4	 there's[0] even[0] a[0] creepy[0] sex[0] scene[0] the[0] lovely[1] dina[0] meyer[0] makes[0] out[0] nude[0] with[0] the[0] sickening[-3] van[0] dien[0] while[0] half[0] her[0] face[0] is[0] covered[0] by[0] her[0] opaque[0] sweater[0] just[0] the[0] way[0] he[0] seems[0] to[0] like[1] it[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
i use the term sickening because van dien is the least appealing actor i've encountered in a big budget picture ; all chiseled features and machismo , he even barks a eulogy at a funeral like military orders . 	i use the term sickening because van dien is the least appealing actor i've encountered in a big budget picture ; all chiseled features and machismo , he even barks a eulogy at a funeral like military orders .	2	-4	 i[0] use[0] the[0] term[0] sickening[-3] because[0] van[0] dien[0] is[0] the[0] least[0] appealing[0] actor[0] i've[0] encountered[0] in[0] a[0] big[0] budget[0] picture[0] all[0] chiseled[0] features[0] and[0] machismo[0] he[0] even[0] barks[0] a[0] eulogy[0] at[0] a[0] funeral[0] like[1] military[0] orders[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
of course , verhoeven's probably the one to blame , and perhaps i'm jealous because i'm so disgusting . 	of course , verhoeven's probably the one to blame , and perhaps i'm jealous because i'm so disgusting .	1	-4	 of[0] course[0] verhoeven's[0] probably[0] the[0] one[0] to[0] blame[-1] and[0] perhaps[0] i'm[0] jealous[-2] because[0] i'm[0] so[0] disgusting[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
at any rate , a movie called starship troopers shouldn't be about sex . 	at any rate , a movie called starship troopers shouldn't be about sex .	1	-1	 at[0] any[0] rate[0] a[0] movie[0] called[0] starship[0] troopers[0] shouldn't[0] be[0] about[0] sex[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
exactly ten years ago , verhoeven made robocop , which was about nothing but skillfully made and oddly moving . 	exactly ten years ago , verhoeven made robocop , which was about nothing but skilfully made and oddly moving .	1	-1	 exactly[0] ten[0] years[0] ago[0] verhoeven[0] made[0] robocop[0] which[0] was[0] about[0] nothing[0] but[0] skillfully/skilfully[0] made[0] and[0] oddly[0] moving[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and r-rated , despite its goofy premise . 	and are-rated , despite its goofy premise .	1	-1	 and[0] r[0] rated[0] despite[0] its[0] goofy[0] premise[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
maybe it's asking too much for verhoeven to make a pg-movie , then-he's a master of insipid violence . 	maybe it's asking too much for verhoeven to make a pg-movie , then-he's a master of insipid violence .	1	-4	 maybe[0] it's[0] asking[0] too[0] much[0] for[0] verhoeven[0] to[0] make[0] a[0] pg[0] movie[0] then[0] he's[0] a[0] master[0] of[0] insipid[0] violence[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
however , ten year old boys would adore starship troopers if they could see it . 	however , ten year old boys would adore starship troopers if they could see it .	3	-1	 however[0] ten[0] year[0] old[0] boys[0] would[0] adore[3][-1 LastWordBoosterStrength] starship[0] troopers[0] if[0] they[0] could[0] see[0] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
