there should be a requirement that a potential viewer be under a certain film iq in order to see " mission to mars . " 	Translation	Positive	Negative	EmotionRationale
luke graham ( don cheadle ) leads the team , jointly formed of americans and russians . 	luke graham ( don cheadle ) leads the team , jointly formed of americans and russians .	1	-1	 luke[0] graham[0] don[0] cheadle[0] leads[0] the[0] team[0] jointly[0] formed[0] of[0] americans[0] and[0] russians[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the team encounters a mysterious monolith that emits a strange pulse ( this being nothing like the pulse-emitting monolith in " 2001 " -- that one was on the * moon * ) , but when they try to study it , a giant sand tornado comes out of the top and swallows them ( all except luke , who survives long enough to send a garbled message back to the rotating space station , which looks strangely like the rotating space station in " 2001 " ) . 	the team encounters a mysterious monolith that emits a strange pulse ( this being nothing like the pulse-emitting monolith in " 2001 " - that one was on the * moon * ) , but when they try to study it , a giant sand tornado comes out of the top and swallows them ( all except luke , who survives long enough to send a garbled message back to the rotating space station , which looks strangely like the rotating space station in " 2001 " ) .	2	-1	 the[0] team[0] encounters[0] a[0] mysterious[0] monolith[0] that[0] emits[0] a[0] strange[0] pulse[0] this[0] being[0] nothing[0] like[1] the[0] pulse[0] emitting[0] monolith[0] in[0] 2001[0] that[0] one[0] was[0] on[0] the[0] moon[0] but[0] when[0] they[0] try[0] to[0] study[0] it[0] a[0] giant[0] sand[0] tornado[0] comes[0] out[0] of[0] the[0] top[0] and[0] swallows[0] them[0] all[0] except[0] luke[0] who[0] survives[0] long[0] enough[0] to[0] send[0] a[0] garbled[0] message[0] back[0] to[0] the[0] rotating[0] space[0] station[0] which[0] looks[0] strangely[0] like[1] the[0] rotating[0] space[0] station[0] in[0] 2001[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a rescue mission is planned with husband & wife team woody blake ( tim robbins ) and terri fisher ( connie nielsen ) , obligatory pilot with a troubled past jim mcconnell ( gary sinise ) , and extra crew member phil ohlmyer ( jerry o'connell ) along for the ride . 	a rescue mission is planned with husband & wife team woody blake ( tim robins ) and terri fisher ( connie nielsen ) , obligatory pilot with a troubled past jim mcconnell ( gary sinise ) , and extra crew member phil ohlmyer ( jerry o'connell ) along for the ride .	1	-2	 a[0] rescue[0] mission[0] is[0] planned[0] with[0] husband[0] &[0] wife[0] team[0] woody[0] blake[0] tim[0] robbins/robins[0] and[0] terri[0] fisher[0] connie[0] nielsen[0] obligatory[0] pilot[0] with[0] a[0] troubled[-1] past[0] jim[0] mcconnell[0] gary[0] sinise[0] and[0] extra[0] crew[0] member[0] phil[0] ohlmyer[0] jerry[0] o'connell[0] along[0] for[0] the[0] ride[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after some zero-gravity dancing , they run into problems when one of their engines is blown , forcing them to attempt a desperate landing aboard a supply vessel . 	after some zero-gravity dancing , they run into problems when one of their engines is blown , forcing them to attempt a desperate landing aboard a supply vessel .	1	-3	 after[0] some[0] zero[0] gravity[0] dancing[0] they[0] run[0] into[0] problems[-1] when[0] one[0] of[0] their[0] engines[0] is[0] blown[0] forcing[0] them[0] to[0] attempt[0] a[0] desperate[-2] landing[0] aboard[0] a[0] supply[0] vessel[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
now stranded on mars with minimal supplies , the team must decide whether or not it can risk entering the monolith or if they should return home . 	now stranded on mars with minimal supplies , the team must decide whether or not it can risk entering the monolith or if they should return home .	1	-2	 now[0] stranded[0] on[0] mars[0] with[0] minimal[0] supplies[0] the[0] team[0] must[0] decide[0] whether[0] or[0] not[0] it[0] can[0] risk[-1] entering[0] the[0] monolith[0] or[0] if[0] they[0] should[0] return[0] home[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after all , that monolith just might contain information about how life originated on earth . 	after all , that monolith just might contain information about how life originated on earth .	1	-1	 after[0] all[0] that[0] monolith[0] just[0] might[0] contain[0] information[0] about[0] how[0] life[0] originated[0] on[0] earth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " mission to mars " is one of those films that makes a critic wonder where to start when talking about all the things that are wrong with it , so let's start with one of the things that does work : director brian de palma manages to create some eerie tension in a few scenes during the middle of the film . 	 " mission to mars " is one of those films that makes a critic wonder where to start when talking about all the things that are wrong with it , so let's start with one of the things that does work : director brian de palma manages to create some eerie tension in a few scenes during the middle of the film .	1	-3	 mission[0] to[0] mars[0] is[0] one[0] of[0] those[0] films[0] that[0] makes[0] a[0] critic[-1] wonder[0] where[0] to[0] start[0] when[0] talking[0] about[0] all[0] the[0] things[0] that[0] are[0] wrong[-1] with[0] it[0] so[0] let's[0] start[0] with[0] one[0] of[0] the[0] things[0] that[0] does[0] work[0] director[0] brian[0] de[0] palma[0] manages[0] to[0] create[0] some[0] eerie[0] tension[-2] in[0] a[0] few[0] scenes[0] during[0] the[0] middle[0] of[0] the[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
that's it . 	that's it .	1	-1	 that's[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
everything else fails . 	everything else fails .	1	-3	 everything[0] else[0] fails[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the failure isn't de palma's fault ; he's working from an atrocious script . 	the failure isn't de palma's fault ; he's working from an atrocious script .	1	-4	 the[0] failure[-2] isn't[0] de[0] palma's[0] fault[-1] he's[0] working[0] from[0] an[0] atrocious[-3] script[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
only during the sequence aboard the ship ( looking an awful lot like the jupiter vessel in " 2001 " ) where the rescue team's air begins running out and they must frantically search for the hole and patch it up does " mission to mars " come to life . 	only during the sequence aboard the ship ( looking an awful lot like the jupiter vessel in " 2001 " ) where the rescue team's air begins running out and they must frantically search for the hole and patch it up does " mission to mars " come to life .	2	-4	 only[0] during[0] the[0] sequence[0] aboard[0] the[0] ship[0] looking[0] an[0] awful[-3] lot[0] like[1] the[0] jupiter[0] vessel[0] in[0] 2001[0] where[0] the[0] rescue[0] team's[0] air[0] begins[0] running[0] out[0] and[0] they[0] must[0] frantically[-1] search[0] for[0] the[0] hole[0] and[0] patch[0] it[0] up[0] does[0] mission[0] to[0] mars[0] come[0] to[0] life[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
a scene where they attempt to save a comrade floating away into space also provides some tension , until you realize that the entire danger/more danger/attempted rescue sequence has absolutely nothing to do with the rest of the film ; it's just a contrived way to generate thrilling scenes . 	a scene where they attempt to save a comrade floating away into space also provides some tension , until you realize that the entire danger/more danger/attempted rescue sequence has absolutely nothing to do with the rest of the film ; it's just a contrived way to generate thrilling scenes .	4	-2	 a[0] scene[0] where[0] they[0] attempt[0] to[0] save[1] a[0] comrade[0] floating[0] away[0] into[0] space[0] also[0] provides[0] some[0] tension[-2][--1 LastWordBoosterStrength] until[0] you[0] realize[0] that[0] the[0] entire[0] danger/more[-1] danger/attempted[-1] rescue[0] sequence[0] has[0] absolutely[0] nothing[0] to[0] do[0] with[0] the[0] rest[0] of[0] the[0] film[0] it's[0] just[0] a[0] contrived[0] way[0] to[0] generate[0] thrilling[3] scenes[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
take it out , and the plot isn't affected in any way . 	take it out , and the plot isn't affected in any way .	1	-1	 take[0] it[0] out[0] and[0] the[0] plot[0] isn't[0] affected[0] in[0] any[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the sequence also suffers from a few plot holes ( as does the rest of the film ) : why is the ship's computer ( which sounds strangely like hal from , uh , " 2001 " ) able to detect a hole in the main chamber but not one in the engine ? 	the sequence also suffers from a few plot holes ( as does the rest of the film ) : why is the ship's computer ( which sounds strangely like hal from , uh , " 2001 " ) able to detect a hole in the main chamber but not one in the engine ?	2	-4	 the[0] sequence[0] also[0] suffers[-3] from[0] a[0] few[0] plot[0] holes[0] as[0] does[0] the[0] rest[0] of[0] the[0] film[0] why[0] is[0] the[0] ship's[0] computer[0] which[0] sounds[0] strangely[0] like[1] hal[0] from[0] uh[0] 2001[0] able[0] to[0] detect[0] a[0] hole[0] in[0] the[0] main[0] chamber[0] but[0] not[0] one[0] in[0] the[0] engine[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
why did tim robbins' character have to go outside the ship when the solution easily presented itself from inside ? 	why did tim robbins' character have to go outside the ship when the solution easily presented itself from inside ?	1	-1	 why[0] did[0] tim[0] robbins'[0] character[0] have[0] to[0] go[0] outside[0] the[0] ship[0] when[0] the[0] solution[0] easily[0] presented[0] itself[0] from[0] inside[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
shouldn't the astronauts be better trained to deal with a hull breach ? 	shouldn't the astronauts be better trained to deal with a hull breach ?	1	-2	 shouldn't[0] the[0] astronauts[0] be[0] better[0] trained[0] to[0] deal[0] with[0] a[0] hull[0] breach[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
why are the characters such idiots ? 	why are the characters such idiots ?	1	-3	 why[0] are[0] the[0] characters[0] such[0] idiots[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
because the script makes little attempt to properly develop them . 	because the script makes little attempt to properly develop them .	1	-1	 because[0] the[0] script[0] makes[0] little[0] attempt[0] to[0] properly[0] develop[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all the " conflict " is clumsily delivered in excruciatingly obvious exposition in the opening scene ( which rips off orson welles and robert altman by utilizing a long opening tracking shot ) during which the characters repeatedly tell each other about things all of them should already know : " jim , it's too bad you can't go on this mission because you were determined 'psychologically inadequate' because your wife died right before you were to go on the mission together " -- does anyone really talk like this ? 	all the " conflict " is clumsily delivered in excruciatingly obvious exposition in the opening scene ( which rips off orson welles and robert altman by utilizing a long opening tracking shot ) during which the characters repeatedly tell each other about things all of them should already know : " jim , it's too bad you can't go on this mission because you were determined 'psychologically inadequate' because your wife died right before you were to go on the mission together " - does anyone really talk like this ?	2	-5	 all[0] the[0] conflict[-1] is[0] clumsily[0] delivered[0] in[0] excruciatingly[-4] obvious[0] exposition[0] in[0] the[0] opening[0] scene[0] which[0] rips[0] off[0] orson[0] welles[1] and[0] robert[0] altman[0] by[0] utilizing[0] a[0] long[0] opening[0] tracking[0] shot[-1] during[0] which[0] the[0] characters[0] repeatedly[0] tell[0] each[0] other[0] about[0] things[0] all[0] of[0] them[0] should[0] already[0] know[0] jim[0] it's[0] too[0] bad[-1] you[0] can't[0] go[0] on[0] this[0] mission[0] because[0] you[0] were[0] determined[0] 'psychologically[0] inadequate'[-1] because[0] your[0] wife[0] died[0] right[0] before[0] you[0] were[0] to[0] go[0] on[0] the[0] mission[0] together[0] does[0] anyone[0] really[0] talk[0] like[1] this[0] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
can't we find out these things in a less grating matter , like maybe in a flashback ? 	can't we find out these things in a less grating matter , like maybe in a flashback ?	2	-1	 can't[0] we[0] find[0] out[0] these[0] things[0] in[0] a[0] less[0] grating[1] matter[0] like[1] maybe[0] in[0] a[0] flashback[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the whole film is like that . 	the whole film is like that .	2	-1	 the[0] whole[0] film[0] is[0] like[1] that[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the filmmakers are not content to merely show us something and assume we know what's going on ; they must * tell * us exactly what we're looking at * every * time . 	the filmmakers are not content to merely show us something and assume we know what's going on ; they must * tell * us exactly what we're looking at * every * time .	1	-1	 the[0] filmmakers[0] are[0] not[0] content[0] to[0] merely[0] show[0] us[0] something[0] and[0] assume[0] we[0] know[0] what's[0] going[0] on[0] they[0] must[0] tell[0] us[0] exactly[0] what[0] we're[0] looking[0] at[0] every[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sample dialogue from the film : ( shot of mars ) astronaut a : " look , there's mars " astronaut b : " you sure that's mars ? " 	sample dialogue from the film : ( shot of mars ) astronaut a : " look , there's mars " astronaut b : " you sure that's mars ?<br> "	1	-2	 sample[0] dialogue[0] from[0] the[0] film[0] shot[-1] of[0] mars[0] astronaut[0] a[0] look[0] there's[0] mars[0] astronaut[0] b[0] you[0] sure[0] that's[0] mars[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
astronaut a : " yeah , that's mars all right . " 	astronaut a : " yeah , that's mars all right .<br> "	1	-1	 astronaut[0] a[0] yeah[0] that's[0] mars[0] all[0] right[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
astronaut c : " hey , are you guys looking at mars ? " 	astronaut c : " hey , are you guys looking at mars ?<br> "	2	-1	 astronaut[0] c[0] hey[1] are[0] you[0] guys[0] looking[0] at[0] mars[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that exchange isn't actually in " mission to mars , " but i wouldn't be surprised if it were . 	that exchange isn't actually in " mission to mars , " but i wouldn't be surprised if it were .	1	-1	 that[0] exchange[0] isn't[0] actually[0] in[0] mission[0] to[0] mars[0] but[0] i[0] wouldn't[0] be[0] surprised[0] if[0] it[0] were[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for all their cribbing from kubrick , spielberg , james cameron , and even ron howard , the makers of this film haven't learned to do something all those directors did very well : show and don't tell . 	for all their cribbing from kubrick , spielberg , james cameron , and even ron howard , the makers of this film haven't learned to do something all those directors did very well : show and don't tell .	1	-1	 for[0] all[0] their[0] cribbing[0] from[0] kubrick[0] spielberg[0] james[0] cameron[0] and[0] even[0] ron[0] howard[0] the[0] makers[0] of[0] this[0] film[0] haven't[0] learned[0] to[0] do[0] something[0] all[0] those[0] directors[0] did[0] very[0] well[0] show[0] and[0] don't[0] tell[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
de palma used to know how , but seems to have forgotten . 	de palma used to know how , but seems to have forgotten .	1	-1	 de[0] palma[0] used[0] to[0] know[0] how[0] but[0] seems[0] to[0] have[0] forgotten[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is mentally-challenged filmmaking ; they assume the audience won't get what's going on , so they explain everything five times over . 	this is mentally-challenged filmmaking ; they assume the audience won't get what's going on , so they explain everything five times over .	1	-2	 this[0] is[0] mentally[0] challenged[-1] filmmaking[0] they[0] assume[0] the[0] audience[0] won't[0] get[0] what's[0] going[0] on[0] so[0] they[0] explain[0] everything[0] five[0] times[0] over[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
fourth-graders may appreciate this , but more learned viewers will have their intelligence insulted . 	fourth-graders may appreciate this , but more learned viewers will have their intelligence insulted .	1	-3	 fourth[0] graders[0] may[0] appreciate[1][-1 LastWordBoosterStrength] this[0] but[0] more[0] learned[0] viewers[0] will[0] have[0] their[0] intelligence[0] insulted[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the principal actors sleepwalk their way through " mission to mars , " never managing to do away with an apparent " i'm just here to get a paycheck " attitude . 	the principal actors sleepwalk their way through " mission to mars , " never managing to do away with an apparent " i'm just here to get a paycheck " attitude .	1	-1	 the[0] principal[0] actors[0] sleepwalk[0] their[0] way[0] through[0] mission[0] to[0] mars[0] never[0] managing[0] to[0] do[0] away[0] with[0] an[0] apparent[0] i'm[0] just[0] here[0] to[0] get[0] a[0] paycheck[0] attitude[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cheadle stumbles over his awkward lines . 	cheadle stumbles over his awkward lines .	1	-2	 cheadle[0] stumbles[0] over[0] his[0] awkward[-1] lines[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
armin mueller-stahl manages to thoroughly embarrass himself in an unbilled cameo . 	armin mueller-stahl manages to thoroughly embarrass himself in an unbilled cameo .	1	-3	 armin[0] mueller[0] stahl[0] manages[0] to[0] thoroughly[0] embarrass[-2] himself[0] in[0] an[0] unbilled[0] cameo[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
robbins puts his game face on and phones in his standard " decent guy " performance . 	robins puts his game face on and phones in his standard " decent guy " performance .	1	-1	 robbins/robins[0] puts[0] his[0] game[0] face[0] on[0] and[0] phones[0] in[0] his[0] standard[0] decent[0] guy[0] performance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and sinise hams it up with " wistful " facial expressions while watching tapes of his dead wife ( played by kim delaney , who only has one scene during which she still manages to deliver some ridiculous dialogue in a heavy-handed monologue about the meaning of life ) , and especially during the stolen-from-no-less-than-three-movies ( a lollipop to whoever names them ) conclusion , which combines endless , obvious explanation and sub-par cgi effects with gagging sentimentality and is sure to alienate any viewers who had been enjoying the show up until then . 	and sinise hams it up with " wistful " facial expressions while watching tapes of his dead wife ( played by kim delaney , who only has one scene during which she still manages to deliver some ridiculous dialogue in a heavy-handed monologue about the meaning of life ) , and especially during the stolen-from-no-less-than-three-movies ( a lollipop to whoever names them ) conclusion , which combines endless , obvious explanation and sub-par cgi effects with gagging sentimentality and is sure to alienate any viewers who had been enjoying the show up until then .	3	-3	 and[0] sinise[0] hams[0] it[0] up[0] with[0] wistful[0] facial[0] expressions[0] while[0] watching[0] tapes[0] of[0] his[0] dead[-2] wife[0] played[0] by[0] kim[0] delaney[0] who[0] only[0] has[0] one[0] scene[0] during[0] which[0] she[0] still[0] manages[0] to[0] deliver[0] some[0] ridiculous[-2][--1 LastWordBoosterStrength] dialogue[0] in[0] a[0] heavy[0] handed[0] monologue[0] about[0] the[0] meaning[0] of[0] life[0] and[0] especially[0] during[0] the[0] stolen[-1] from[0] no[0] less[0] than[0] three[0] movies[0] a[0] lollipop[0] to[0] whoever[0] names[0] them[0] conclusion[0] which[0] combines[0] endless[0] obvious[0] explanation[0] and[0] sub[0] par[0] cgi[0] effects[0] with[0] gagging[0] sentimentality[2] and[0] is[0] sure[0] to[0] alienate[-1] any[0] viewers[0] who[0] had[0] been[0] enjoying[2] the[0] show[0] up[0] until[0] then[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
and of course , these aliens from mars who facilitated the evolution of life on earth are entirely different from the aliens in " 2001 " who facilitated the evolution of life on earth ; those aliens were from an * unknown * world . 	and of course , these aliens from mars who facilitated the evolution of life on earth are entirely different from the aliens in " 2001 " who facilitated the evolution of life on earth ; those aliens were from an * unknown * world .	1	-1	 and[0] of[0] course[0] these[0] aliens[0] from[0] mars[0] who[0] facilitated[0] the[0] evolution[0] of[0] life[0] on[0] earth[0] are[0] entirely[0] different[0] from[0] the[0] aliens[0] in[0] 2001[0] who[0] facilitated[0] the[0] evolution[0] of[0] life[0] on[0] earth[0] those[0] aliens[0] were[0] from[0] an[0] unknown[0] world[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it could be said that fans of brainless action films might enjoy " mission to mars , " but such a comment ignores the fact that the film is also incredibly slow-going . 	it could be said that fans of brainless action films might enjoy " mission to mars , " but such a comment ignores the fact that the film is also incredibly slow-going .	2	-1	 it[0] could[0] be[0] said[0] that[0] fans[0] of[0] brainless[0] action[0] films[0] might[0] enjoy[2][-1 LastWordBoosterStrength] mission[0] to[0] mars[0] but[0] such[0] a[0] comment[0] ignores[0] the[0] fact[0] that[0] the[0] film[0] is[0] also[0] incredibly[0] slow[0] going[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
leisurely pacing might have helped a film with a little more substance to it , but all of the substance of " mission to mars " has been stolen from other films , and those other films dealt with their ideas in a much more thoughtful fashion and generally contained more engaging characters . 	leisurely pacing might have helped a film with a little more substance to it , but all of the substance of " mission to mars " has been stolen from other films , and those other films dealt with their ideas in a much more thoughtful fashion and generally contained more engaging characters .	2	-2	 leisurely[0] pacing[0] might[0] have[0] helped[0] a[0] film[0] with[0] a[0] little[0] more[0] substance[0] to[0] it[0] but[0] all[0] of[0] the[0] substance[0] of[0] mission[0] to[0] mars[0] has[0] been[0] stolen[-1] from[0] other[0] films[0] and[0] those[0] other[0] films[0] dealt[0] with[0] their[0] ideas[0] in[0] a[0] much[0] more[0] thoughtful[1] fashion[0] and[0] generally[0] contained[0] more[0] engaging[0] characters[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
supposedly we're intended to choke up when one character decides not to return home at the end of this one ( totally different from the one-character-decides-not-to-return ending of " armageddon " ) , but i suspect most people will either be laughing or groaning . 	supposedly we're intended to choke up when one character decides not to return home at the end of this one ( totally different from the one-character-decides-not-to-return ending of " armageddon " ) , but i suspect most people will either be laughing or groaning .	2	-4	 supposedly[0] we're[0] intended[0] to[0] choke[-3] up[0] when[0] one[0] character[0] decides[0] not[0] to[0] return[0] home[0] at[0] the[0] end[0] of[0] this[0] one[0] totally[0] different[0] from[0] the[0] one[0] character[0] decides[0] not[0] to[0] return[0] ending[0] of[0] armageddon[0] but[0] i[0] suspect[-1] most[0] people[0] will[0] either[0] be[0] laughing[1] or[0] groaning[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
me , i alternated between the two . 	me , i alternated between the two .	1	-1	 me[0] i[0] alternated[0] between[0] the[0] two[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is only one good thing about the way " mission to mars " finally ends : the fact that the movie is over . 	there is only one good thing about the way " mission to mars " finally ends : the fact that the movie is over .	2	-1	 there[0] is[0] only[0] one[0] good[1] thing[0] about[0] the[0] way[0] mission[0] to[0] mars[0] finally[0] ends[0] the[0] fact[0] that[0] the[0] movie[0] is[0] over[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
