 " from the director of " the nightmare before christmas " it said in the previews , which i'm guessing was said to get people to go see the movie , obviously it hasn't worked since the $75 million dollar movie has yet to break $5 million . 	Translation	Positive	Negative	EmotionRationale
rather complex ( in fact more than it needs to be ) " monkey bone " had potential in the script and even the story . 	rather complex ( in fact more than it needs to be ) " monkey bone " had potential in the script and even the story .	1	-1	 rather[0] complex[0] in[0] fact[0] more[0] than[0] it[0] needs[0] to[0] be[0] monkey[0] bone[0] had[0] potential[0] in[0] the[0] script[0] and[0] even[0] the[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what is considerably noticeable is the gaping plot holes , and lack of character development . 	what is considerably noticeable is the gaping plot holes , and lack of character development .	1	-2	 what[0] is[0] considerably[0] noticeable[0] is[0] the[0] gaping[0] plot[0] holes[0] and[0] lack[-1] of[0] character[0] development[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for instance we really don't get to know who stu or julie are , so why should we even care ? 	for instance we really don't get to know who stu or julie are , so why should we even care ?	2	-1	 for[0] instance[0] we[0] really[0] don't[0] get[0] to[0] know[0] who[0] stu[0] or[0] julie[0] are[0] so[0] why[0] should[0] we[0] even[0] care[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
kitty played well by rose mcgowan ha a story behind her , but we are not given a chance to know her . 	kitty played well by rose mcgowan ha a story behind her , but we are not given a chance to know her .	2	-1	 kitty[0] played[0] well[0] by[0] rose[0] mcgowan[0] ha[1] a[0] story[0] behind[0] her[0] but[0] we[0] are[0] not[0] given[0] a[0] chance[0] to[0] know[0] her[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the cast is decent however , brendan fraser seems to be enjoying himself in the role as stu miley , but becomes awfully annoying when monkey bone takes over his body . 	the cast is decent however , brendan fraser seems to be enjoying himself in the role as stu miley , but becomes awfully annoying when monkey bone takes over his body .	3	-4	 the[0] cast[0] is[0] decent[0] however[0] brendan[0] fraser[0] seems[0] to[0] be[0] enjoying[2] himself[0] in[0] the[0] role[0] as[0] stu[0] miley[0] but[0] becomes[0] awfully[-3] annoying[-2][-1 MultiplePositiveWords] when[0] monkey[0] bone[0] takes[0] over[0] his[0] body[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
bridget fonda is dreary and seems to bring the film to a screeching halt , her performance is bad and she seems miscast . 	bridget fonda is dreary and seems to bring the film to a screeching halt , her performance is bad and she seems miscast .	1	-2	 bridget[0] fonda[0] is[0] dreary[-1] and[0] seems[0] to[0] bring[0] the[0] film[0] to[0] a[0] screeching[0] halt[0] her[0] performance[0] is[0] bad[-1] and[0] she[0] seems[0] miscast[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
dave foley isn't given enough to do , as well as " will & grace's " megan mullally who can be funny . 	dave foley isn't given enough to do , as well as " will & grace's " megan mullally who can be funny .	2	-1	 dave[0] foley[0] isn't[0] given[0] enough[0] to[0] do[0] as[0] well[0] as[0] will[0] &[0] grace's[0] megan[0] mullally[0] who[0] can[0] be[0] funny[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the standout performance is the voice of nick turturro as monkey bone himself , he is very funny and entertaining and really keeps the film from being a total bust . 	the standout performance is the voice of nick turturro as monkey bone himself , he is very funny and entertaining and really keeps the film from being a total bust .	3	-1	 the[0] standout[0] performance[0] is[0] the[0] voice[0] of[0] nick[0] turturro[0] as[0] monkey[0] bone[0] himself[0] he[0] is[0] very[0] funny[1][1 LastWordBoosterStrength] and[0] entertaining[0] and[0] really[0] keeps[0] the[0] film[0] from[0] being[0] a[0] total[0] bust[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the special effects of " monkey bone " is what might really bring in some curious viewers , these special effects are highly effective , and nice to look at with the eyes . 	the special effects of " monkey bone " is what might really bring in some curious viewers , these special effects are highly effective , and nice to look at with the eyes .	2	-1	 the[0] special[1] effects[0] of[0] monkey[0] bone[0] is[0] what[0] might[0] really[0] bring[0] in[0] some[0] curious[0] viewers[0] these[0] special[1] effects[0] are[0] highly[0] effective[0] and[0] nice[1] to[0] look[0] at[0] with[0] the[0] eyes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
some of them are believable and some unbelievable . . . for 	some of them are believable and some unbelievable .<br> .<br> .<br> for	1	-1	 some[0] of[0] them[0] are[0] believable[0] and[0] some[0] unbelievable[-1][--1 LastWordBoosterStrength] [[Sentence=-1,1=word max, 1-5]] for[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
monkey bone he seems to be like stuart little , you really don't realize that he is animated . . . but 	monkey bone he seems to be like stuart little , you really don't realize that he is animated .<br> .<br> .<br> but	2	-1	 monkey[0] bone[0] he[0] seems[0] to[0] be[0] like[1] stuart[0] little[0] you[0] really[0] don't[0] realize[0] that[0] he[0] is[0] animated[0] [[Sentence=-1,2=word max, 1-5]] but[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
on occasion it sneaks up on you . 	on occasion it sneaks up on you .	1	-2	 on[0] occasion[0] it[0] sneaks[-1] up[0] on[0] you[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the direction by henry selick is good , but at times he doesn't know what kind of film he wants to make , and the ending climax falls off the cliff . 	the direction by henry selick is good , but at times he doesn't know what kind of film he wants to make , and the ending climax falls off the cliff .	2	-1	 the[0] direction[0] by[0] henry[0] selick[0] is[0] good[1] but[0] at[0] times[0] he[0] doesn't[0] know[0] what[0] kind[1] of[0] film[0] he[0] wants[0] to[0] make[0] and[0] the[0] ending[0] climax[0] falls[0] off[0] the[0] cliff[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's too bad really , " monkey bone " could have been a real good movie , but with it's heavily done hack job , and lack of character development it just sinks when the end credits role . 	it's too bad really , " monkey bone " could have been a real good movie , but with it's heavily done hack job , and lack of character development it just sinks when the end credits role .	2	-2	 it's[0] too[0] bad[-1] really[0] monkey[0] bone[0] could[0] have[0] been[0] a[0] real[0] good[1] movie[0] but[0] with[0] it's[0] heavily[0] done[0] hack[-1] job[0] and[0] lack[-1] of[0] character[0] development[0] it[0] just[0] sinks[0] when[0] the[0] end[0] credits[0] role[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
for those curious however , it might be worth the rental , but other than that avoid this one . 	for those curious however , it might be worth the rental , but other than that avoid this one .	1	-2	 for[0] those[0] curious[0] however[0] it[0] might[0] be[0] worth[0] the[0] rental[0] but[0] other[0] than[0] that[0] avoid[-1] this[0] one[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
