synopsis : an aging master art thief , his supplier , and a young , buxom security consultant are all not who they first appear to be ( or are they ? ) in this convoluted mess involving a risky heist during the millennium . 	Translation	Positive	Negative	EmotionRationale
sean connery is given such mind-numbing lines as " never trust a naked woman . " 	sean connery is given such mind-numbing lines as " never trust a naked woman .<br> "	1	-2	 sean[0] connery[0] is[0] given[0] such[0] mind[0] numbing[-1] lines[0] as[0] never[0] trust[1][NegatedDueToPreviousWord] a[0] naked[0] woman[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
ving rhames' character seems like an afterthought ; he's not developed at all . 	ving rhames' character seems like an afterthought ; he's not developed at all .	2	-1	 ving[0] rhames'[0] character[0] seems[0] like[1] an[0] afterthought[0] he's[0] not[0] developed[0] at[0] all[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the camera zooms in frequently and leeringly at catherine zeta-jones's tight wardrobe . 	the camera zooms in frequently and leeringly at catherine zeta-jones's tight wardrobe .	1	-1	 the[0] camera[0] zooms[0] in[0] frequently[0] and[0] leeringly[0] at[0] catherine[0] zeta[0] jones's[0] tight[0] wardrobe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this , in and of itself , is not bad , but , after a while , it has a juvenile feel to it . 	this , in and of itself , is not bad , but , after a while , it has a juvenile feel to it .	2	-1	 this[0] in[0] and[0] of[0] itself[0] is[0] not[0] bad[-1][NegatedDueToPreviousWord] but[0] after[0] a[0] while[0] it[0] has[0] a[0] juvenile[0] feel[0] to[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
at least the species movies hold no bones about the fact that they're exploiting the female body . 	at least the species movies hold no bones about the fact that they're exploiting the female body .	1	-1	 at[0] least[0] the[0] species[0] movies[0] hold[0] no[0] bones[0] about[0] the[0] fact[0] that[0] they're[0] exploiting[0] the[0] female[0] body[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
entrapment does the same under the thin disguise of plot development ( sean connery supposedly falls in love with the girl while watching her , in tights , arc and pivot around laser beams ) . 	entrapment does the same under the thin disguise of plot development ( sean connery supposedly falls in love with the girl while watching her , in tights , arc and pivot around laser beams ) .	3	-2	 entrapment[0] does[0] the[0] same[0] under[0] the[0] thin[0] disguise[-1] of[0] plot[0] development[0] sean[0] connery[0] supposedly[0] falls[0] in[0] love[2] with[0] the[0] girl[0] while[0] watching[0] her[0] in[0] tights[0] arc[0] and[0] pivot[0] around[0] laser[0] beams[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the tagline for this movie reads " the trap is set . " 	the tagline for this movie reads " the trap is set .<br> "	1	-2	 the[0] tagline[0] for[0] this[0] movie[0] reads[0] the[0] trap[-1] is[0] set[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it sure is , on those who spent money to see this movie . 	it sure is , on those who spent money to see this movie .	1	-1	 it[0] sure[0] is[0] on[0] those[0] who[0] spent[0] money[0] to[0] see[0] this[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
entrapment really isn't that bad ; it is watchable . 	entrapment really isn't that bad ; it is watchable .	2	-1	 entrapment[0] really[0] isn't[0] that[0] bad[-1][NegatedDueToPreviousWord] it[0] is[0] watchable[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i would suggest , however , one waits until this is on cable or television to see it . 	i would suggest , however , one waits until this is on cable or television to see it .	1	-1	 i[0] would[0] suggest[0] however[0] one[0] waits[0] until[0] this[0] is[0] on[0] cable[0] or[0] television[0] to[0] see[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
