there is a scene in patch adams in which patch is in the center of a courtroom , surrounded by people who are giving him a lively standing ovation because of his strong-worded attack on a group of stoic doctors . 	Translation	Positive	Negative	EmotionRationale
while there , he notices that the doctors don't care about the patients , and that the best way to get through to the patients is to treat them like human beings . 	while there , he notices that the doctors don't care about the patients , and that the best way to get through to the patients is to treat them like human beings .	2	-2	 while[0] there[0] he[0] notices[0] that[0] the[0] doctors[0] don't[0] care[1][NegatedDueToPreviousWord] about[0] the[0] patients[0] and[0] that[0] the[0] best[1] way[0] to[0] get[0] through[0] to[0] the[0] patients[0] is[0] to[0] treat[1] them[0] like[1] human[0] beings[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
so , patch goes on a crusade to be a great doctor who actually talks to his patients . 	so , patch goes on a crusade to be a great doctor who actually talks to his patients .	3	-1	 so[0] patch[0] goes[0] on[0] a[0] crusade[0] to[0] be[0] a[0] great[2] doctor[0] who[0] actually[0] talks[0] to[0] his[0] patients[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he goes to medical school , where he meets truman ( daniel london ) and convinces him that it's good to help people . 	he goes to medical school , where he meets truman ( daniel london ) and convinces him that it's good to help people .	2	-1	 he[0] goes[0] to[0] medical[0] school[0] where[0] he[0] meets[0] truman[0] daniel[0] london[0] and[0] convinces[0] him[0] that[0] it's[0] good[1] to[0] help[0] people[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he also meets carin fischer ( monica potters ) , the anti-male med student who just wants to go through the motions and be a successful doctor . 	he also meets carin fischer ( monica potters ) , the anti-male med student who just wants to go through the motions and be a successful doctor .	3	-1	 he[0] also[0] meets[0] carin[0] fischer[0] monica[0] potters[0] the[0] anti[0] male[0] med[0] student[0] who[0] just[0] wants[0] to[0] go[0] through[0] the[0] motions[0] and[0] be[0] a[0] successful[2] doctor[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
naturally , the dean of the medical school ( bob gunton ) hates patch , and wants to thwart his plans , even though patch gets the highest scores on all of his exams . 	naturally , the dean of the medical school ( bob gunton ) hates patch , and wants to thwart his plans , even though patch gets the highest scores on all of his exams .	1	-4	 naturally[0] the[0] dean[0] of[0] the[0] medical[0] school[0] bob[0] gunton[-1] hates[-3] patch[0] and[0] wants[0] to[0] thwart[-1] his[0] plans[0] even[0] though[0] patch[0] gets[0] the[0] highest[0] scores[0] on[0] all[0] of[0] his[0] exams[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
so patch decides that he's going to build a free clinic in the middle of nowhere to help people with any problem they may have . 	so patch decides that he's going to build a free clinic in the middle of nowhere to help people with any problem they may have .	1	-2	 so[0] patch[0] decides[0] that[0] he's[0] going[0] to[0] build[0] a[0] free[0] clinic[0] in[0] the[0] middle[0] of[0] nowhere[0] to[0] help[0] people[0] with[0] any[0] problem[-1] they[0] may[0] have[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and that , my friends , is the synopsis for what is easily the most abhorrent picture of 1998 . 	and that , my friends , is the synopsis for what is easily the most abhorrent picture of 1998 .	2	-4	 and[0] that[0] my[0] friends[1] is[0] the[0] synopsis[0] for[0] what[0] is[0] easily[0] the[0] most[0] abhorrent[-3] picture[0] of[0] 1998[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
on a superficial level , the film is not particularly bad : i wouldn't say the cinematography bothered me , and most of the performances seem to be exactly what shadyac was aiming for ( i actually liked potter's performance , even if she is wasted ) . 	on a superficial level , the film is not particularly bad : i wouldn't say the cinematography bothered me , and most of the performances seem to be exactly what shadyac was aiming for ( i actually liked potter's performance , even if she is wasted ) .	3	-2	 on[0] a[0] superficial[-1] level[0] the[0] film[0] is[0] not[0] particularly[0] bad[-1][NegatedDueToPreviousWord] i[0] wouldn't[0] say[0] the[0] cinematography[0] bothered[-1] me[0] and[0] most[0] of[0] the[0] performances[0] seem[0] to[0] be[0] exactly[0] what[0] shadyac[0] was[0] aiming[0] for[0] i[0] actually[0] liked[2] potter's[0] performance[0] even[0] if[0] she[0] is[0] wasted[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but the film fails fundamentally in execution . 	but the film fails fundamentally in execution .	1	-3	 but[0] the[0] film[0] fails[-2] fundamentally[0] in[0] execution[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
every scene swells with grand , " emotional " music , played at maximum volume just to get us all to cry real hard . 	every scene swells with grand , " emotional " music , played at maximum volume just to get us all to cry real hard .	2	-4	 every[0] scene[0] swells[0] with[0] grand[1] emotional[-1] music[0] played[0] at[0] maximum[0] volume[0] just[0] to[0] get[0] us[0] all[0] to[0] cry[-3] real[0] hard[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
take , for instance , the first scene , which shows patch sitting on a bus . 	take , for instance , the first scene , which shows patch sitting on a bus .	1	-1	 take[0] for[0] instance[0] the[0] first[0] scene[0] which[0] shows[0] patch[0] sitting[0] on[0] a[0] bus[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we don't know patch yet , but there's sad music , and it's supposed to make us really sad that he's sad . 	we don't know patch yet , but there's sad music , and it's supposed to make us really sad that he's sad .	1	-5	 we[0] don't[0] know[0] patch[0] yet[0] but[0] there's[0] sad[-3] music[0] and[0] it's[0] supposed[0] to[0] make[0] us[0] really[0] sad[-3][-1 LastWordBoosterStrength] that[0] he's[0] sad[-3] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
later on , patch makes a lot of progress : he helps a dying patient ( peter coyote ) to enjoy the last days of his life , and the music as patch is pushing the patient recklessly through the halls of the hospital is very lively . 	later on , patch makes a lot of progress : he helps a dying patient ( peter coyote ) to enjoy the last days of his life , and the music as patch is pushing the patient recklessly through the halls of the hospital is very lively .	3	-2	 later[0] on[0] patch[0] makes[0] a[0] lot[0] of[0] progress[0] he[0] helps[0] a[0] dying[-1] patient[0] peter[0] coyote[0] to[0] enjoy[2] the[0] last[0] days[0] of[0] his[0] life[0] and[0] the[0] music[0] as[0] patch[0] is[0] pushing[0] the[0] patient[0] recklessly[-1] through[0] the[0] halls[0] of[0] the[0] hospital[0] is[0] very[0] lively[1][1 LastWordBoosterStrength] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and when that patient finally dies ( spoiler alert ! ) , the music is very very sad . 	and when that patient finally dies ( spoiler alert !<br> ) , the music is very very sad .	1	-5	 and[0] when[0] that[0] patient[0] finally[0] dies[0] spoiler[-1] alert[0] [[Sentence=-2,1=word max, 1-5]] the[0] music[0] is[0] very[0] very[0] sad[-3][-1 LastWordBoosterStrength] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
but the problem with all of this is that the music should not be the center of the emotions . 	but the problem with all of this is that the music should not be the center of the emotions .	1	-2	 but[0] the[0] problem[-1] with[0] all[0] of[0] this[0] is[0] that[0] the[0] music[0] should[0] not[0] be[0] the[0] center[0] of[0] the[0] emotions[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
real drama is character-based . 	real drama is character-based .	1	-1	 real[0] drama[0] is[0] character[0] based[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you grow to like someone , and then something bad happens , and you feel it . 	you grow to like someone , and then something bad happens , and you feel it .	2	-2	 you[0] grow[0] to[0] like[1] someone[0] and[0] then[0] something[0] bad[-1] happens[0] and[0] you[0] feel[0] it[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
we don't ever grow to know the dying patient ; he's simply a vehicle for patch's greatness . 	we don't ever grow to know the dying patient ; he's simply a vehicle for patch's greatness .	3	-2	 we[0] don't[0] ever[0] grow[0] to[0] know[0] the[0] dying[-1] patient[0] he's[0] simply[0] a[0] vehicle[0] for[0] patch's[0] greatness[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
real drama doesn't seem forced , or present just to make the audience cry . 	real drama doesn't seem forced , or present just to make the audience cry .	1	-4	 real[0] drama[0] doesn't[0] seem[0] forced[0] or[0] present[0] just[0] to[0] make[0] the[0] audience[0] cry[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
that's why patch adams is not real drama . 	that's why patch adams is not real drama .	1	-1	 that's[0] why[0] patch[0] adams[0] is[0] not[0] real[0] drama[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it goes for every cheap tear imaginable , wringing tired and overbearing sentimentality out of every scene . 	it goes for every cheap tear imaginable , wringing tired and overbearing sentimentality out of every scene .	3	-2	 it[0] goes[0] for[0] every[0] cheap[-1] tear[-1] imaginable[0] wringing[0] tired[-1] and[0] overbearing[-1] sentimentality[2] out[0] of[0] every[0] scene[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
even scenes that have very little impact on the overall film are drowning in marc shaiman's sickening musical score . 	even scenes that have very little impact on the overall film are drowning in marc shaiman's sickening musical score .	1	-4	 even[0] scenes[0] that[0] have[0] very[0] little[0] impact[0] on[0] the[0] overall[0] film[0] are[0] drowning[-1] in[0] marc[0] shaiman's[0] sickening[-3] musical[0] score[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
sentimentality like this is indeed bad . 	sentimentality like this is indeed bad .	3	-2	 sentimentality[2] like[1] this[0] is[0] indeed[0] bad[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but it's not as bad as half-baked , simplistic themes . 	but it's not as bad as half-baked , simplistic themes .	2	-2	 but[0] it's[0] not[0] as[0] bad[-1][NegatedDueToPreviousWord] as[0] half[0] baked[0] simplistic[-1] themes[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
you see , patch is a really great student . 	you see , patch is a really great student .	4	-1	 you[0] see[0] patch[0] is[0] a[0] really[0] great[2][1 LastWordBoosterStrength] student[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
he aces his tests without studying , and does it so effectively that people think he's cheating . 	he aces his tests without studying , and does it so effectively that people think he's cheating .	1	-3	 he[0] aces[0] his[0] tests[0] without[0] studying[0] and[0] does[0] it[0] so[0] effectively[0] that[0] people[0] think[0] he's[0] cheating[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but patch doesn't think that memorizing facts is the way to become a good doctor . 	but patch doesn't think that memorizing facts is the way to become a good doctor .	2	-1	 but[0] patch[0] doesn't[0] think[0] that[0] memorizing[0] facts[0] is[0] the[0] way[0] to[0] become[0] a[0] good[1] doctor[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " why don't we see patients until the third year ? " he bursts out every three seconds . 	 " why don't we see patients until the third year ?<br> " he bursts out every three seconds .	1	-1	 why[0] don't[0] we[0] see[0] patients[0] until[0] the[0] third[0] year[0] [[Sentence=-1,1=word max, 1-5]] he[0] bursts[0] out[0] every[0] three[0] seconds[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , patch , that might have something to do with the fact that you need to learn something before you go treating patients . 	well , patch , that might have something to do with the fact that you need to learn something before you go treating patients .	1	-1	 well[0] patch[0] that[0] might[0] have[0] something[0] to[0] do[0] with[0] the[0] fact[0] that[0] you[0] need[0] to[0] learn[0] something[0] before[0] you[0] go[0] treating[0] patients[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not everyone has the capability of memorizing facts with no effort . 	not everyone has the capability of memorizing facts with no effort .	1	-1	 not[0] everyone[0] has[0] the[0] capability[0] of[0] memorizing[0] facts[0] with[0] no[0] effort[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
most of us have to study . 	most of us have to study .	1	-1	 most[0] of[0] us[0] have[0] to[0] study[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and a doctor who really wants to help , but doesn't know a toe from a finger , probably won't be too successful in preventing death . 	and a doctor who really wants to help , but doesn't know a toe from a finger , probably won't be too successful in preventing death .	3	-3	 and[0] a[0] doctor[0] who[0] really[0] wants[0] to[0] help[0] but[0] doesn't[0] know[0] a[0] toe[0] from[0] a[0] finger[0] probably[0] won't[0] be[0] too[0] successful[2] in[0] preventing[0] death[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
oh wait , i almost forgot : the point of doctors is not just to " prevent death , " but to " improve the quality of life ! " 	oh wait , i almost forgot : the point of doctors is not just to " prevent death , " but to " improve the quality of life !<br> "	2	-3	 oh[0] wait[0] i[0] almost[0] forgot[0] the[0] point[0] of[0] doctors[0] is[0] not[0] just[0] to[0] prevent[0] death[-2] but[0] to[0] improve[1] the[0] quality[0] of[0] life[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
yes ! 	yes !	1	-1	 yes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that is true ! 	that is true !	2	-1	 that[0] is[0] true[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and you can not do that without studying . 	and you can not do that without studying .	1	-1	 and[0] you[0] can[0] not[0] do[0] that[0] without[0] studying[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you can not do that without going to medical school . 	you can not do that without going to medical school .	1	-1	 you[0] can[0] not[0] do[0] that[0] without[0] going[0] to[0] medical[0] school[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what patch never seemed to understand was the possibility that maybe , just maybe , it is a good idea to study first and talk to patients later . 	what patch never seemed to understand was the possibility that maybe , just maybe , it is a good idea to study first and talk to patients later .	2	-1	 what[0] patch[0] never[0] seemed[0] to[0] understand[0] was[0] the[0] possibility[0] that[0] maybe[0] just[0] maybe[0] it[0] is[0] a[0] good[1] idea[0] to[0] study[0] first[0] and[0] talk[0] to[0] patients[0] later[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
follow the rules ? 	follow the rules ?	1	-1	 follow[0] the[0] rules[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bah ! 	bah !	1	-1	 bah[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
who needs the rules ! 	who needs the rules !	1	-1	 who[0] needs[0] the[0] rules[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
only uptight doctors follow the rules . 	only uptight doctors follow the rules .	1	-3	 only[0] uptight[-2] doctors[0] follow[0] the[0] rules[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the real saviors are the ones running around the hospitals with big red spheres on their faces and sporting baggy yellow pants . 	the real saviors are the ones running around the hospitals with big red spheres on their faces and sporting baggy yellow pants .	1	-1	 the[0] real[0] saviors[0] are[0] the[0] ones[0] running[0] around[0] the[0] hospitals[0] with[0] big[0] red[0] spheres[0] on[0] their[0] faces[0] and[0] sporting[0] baggy[0] yellow[0] pants[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and then there's the free clinic issue , which i find shockingly , frighteningly idealistic . 	and then there's the free clinic issue , which i find shockingly , frighteningly idealistic .	1	-5	 and[0] then[0] there's[0] the[0] free[0] clinic[0] issue[0] which[0] i[0] find[0] shockingly[-2] frighteningly[-3][-1 MultiplePositiveWords] idealistic[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
a free clinic . 	a free clinic .	1	-1	 a[0] free[0] clinic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the middle of the forest . 	in the middle of the forest .	1	-1	 in[0] the[0] middle[0] of[0] the[0] forest[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
where patients can be taken to be helped . 	where patients can be taken to be helped .	1	-1	 where[0] patients[0] can[0] be[0] taken[0] to[0] be[0] helped[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for free . 	for free .	1	-1	 for[0] free[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
how will patients be transported to the free clinic ? 	how will patients be transported to the free clinic ?	1	-1	 how[0] will[0] patients[0] be[0] transported[0] to[0] the[0] free[0] clinic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
will it have an emergency room ? 	will it have an emergency room ?	1	-2	 will[0] it[0] have[0] an[0] emergency[-1] room[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
or is it just for mental patients ? 	or is it just for mental patients ?	1	-1	 or[0] is[0] it[0] just[0] for[0] mental[0] patients[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and who , may i ask , will pay for it ? 	and who , may i ask , will pay for it ?	1	-1	 and[0] who[0] may[0] i[0] ask[0] will[0] pay[0] for[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film does give some token attempts to question patch's motives ( i think another character asks him how he's going to pay for it , in addition to a little bit of meaningless blather about hmos and medical insurance ) , but they certainly don't explore or challenge patch's ideas to any meaningful extent . 	the film does give some token attempts to question patch's motives ( i think another character asks him how he's going to pay for it , in addition to a little bit of meaningless blather about hmos and medical insurance ) , but they certainly don't explore or challenge patch's ideas to any meaningful extent .	1	-2	 the[0] film[0] does[0] give[0] some[0] token[0] attempts[0] to[0] question[0] patch's[0] motives[0] i[0] think[0] another[0] character[0] asks[0] him[0] how[0] he's[0] going[0] to[0] pay[0] for[0] it[0] in[0] addition[0] to[0] a[0] little[0] bit[0] of[0] meaningless[-1] blather[-1] about[0] hmos[0] and[0] medical[0] insurance[0] but[0] they[0] certainly[0] don't[0] explore[0] or[0] challenge[-1] patch's[0] ideas[0] to[0] any[0] meaningful[0] extent[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
reader , please understand this : i am not making any kind of judgment on the real patch adams . 	reader , please understand this : i am not making any kind of judgment on the real patch adams .	2	-1	 reader[0] please[1] understand[0] this[0] i[0] am[0] not[0] making[0] any[0] kind[1] of[0] judgment[0] on[0] the[0] real[0] patch[0] adams[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i know nothing about him . 	i know nothing about him .	1	-1	 i[0] know[0] nothing[0] about[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if his beliefs mirror those of this film character , then i might like to have an intelligent discussion with him about them . 	if his beliefs mirror those of this film character , then i might like to have an intelligent discussion with him about them .	2	-1	 if[0] his[0] beliefs[0] mirror[0] those[0] of[0] this[0] film[0] character[0] then[0] i[0] might[0] like[1][-1 LastWordBoosterStrength] to[0] have[0] an[0] intelligent[1] discussion[0] with[0] him[0] about[0] them[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but regardless of what the real patch adams believes , the themes put forth in this film are simplistic and phony . 	but regardless of what the real patch adams believes , the themes put forth in this film are simplistic and phony .	1	-2	 but[0] regardless[-1] of[0] what[0] the[0] real[0] patch[0] adams[0] believes[0] the[0] themes[0] put[0] forth[0] in[0] this[0] film[0] are[0] simplistic[-1] and[0] phony[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and in the last scene , the big , obligatory courtroom scene that forced my lunch halfway up my esophagus , patch does a lot of shouting . 	and in the last scene , the big , obligatory courtroom scene that forced my lunch halfway up my esophagus , patch does a lot of shouting .	1	-1	 and[0] in[0] the[0] last[0] scene[0] the[0] big[0] obligatory[0] courtroom[0] scene[0] that[0] forced[0] my[0] lunch[0] halfway[0] up[0] my[0] esophagus[0] patch[0] does[0] a[0] lot[0] of[0] shouting[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
actually , robin williams does a lot of shouting . 	actually , robin williams does a lot of shouting .	1	-1	 actually[0] robin[0] williams[0] does[0] a[0] lot[0] of[0] shouting[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he shouts a lot about helping people , and a lot of people cry because they are moved by his words . 	he shouts a lot about helping people , and a lot of people cry because they are moved by his words .	1	-4	 he[0] shouts[0] a[0] lot[0] about[0] helping[0] people[0] and[0] a[0] lot[0] of[0] people[0] cry[-3] because[0] they[0] are[0] moved[0] by[0] his[0] words[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i won't tell you that you can't be moved by his words , because i , too , was moved by his words . 	i won't tell you that you can't be moved by his words , because i , too , was moved by his words .	1	-1	 i[0] won't[0] tell[0] you[0] that[0] you[0] can't[0] be[0] moved[0] by[0] his[0] words[0] because[0] i[0] too[0] was[0] moved[0] by[0] his[0] words[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i was moved in such a profoundly negative way that i was reminded of how cheap and phony a cinematic experience can be . 	i was moved in such a profoundly negative way that i was reminded of how cheap and phony a cinematic experience can be .	1	-2	 i[0] was[0] moved[0] in[0] such[0] a[0] profoundly[0] negative[-1] way[0] that[0] i[0] was[0] reminded[0] of[0] how[0] cheap[-1] and[0] phony[0] a[0] cinematic[0] experience[0] can[0] be[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
patch adams is the cheapest of them all . 	patch adams is the cheapest of them all .	1	-2	 patch[0] adams[0] is[0] the[0] cheapest[-1] of[0] them[0] all[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
