synopsis : valerie , a high school junior who doesn't look a day under 22 , writes bad poetry , complains about how much she hates school , fantasizes about a young guy on trial for raping and murdering six women , chooses him as a pen pal , and plays hooky to see him in court . 	Translation	Positive	Negative	EmotionRationale
her scenes with valerie's mother , played by mary frann , are a joke . 	her scenes with valerie's mother , played by mary fran , are a joke .	2	-1	 her[0] scenes[0] with[0] valerie's[0] mother[0] played[0] by[0] mary[0] frann/fran[0] are[0] a[0] joke[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the two look as though they're a couple of coworkers going out to lunch together , rather than a daughter with her mother who just doesn't understand . 	the two look as though they're a couple of coworkers going out to lunch together , rather than a daughter with her mother who just doesn't understand .	1	-1	 the[0] two[0] look[0] as[0] though[0] they're[0] a[0] couple[0] of[0] coworkers[0] going[0] out[0] to[0] lunch[0] together[0] rather[0] than[0] a[0] daughter[0] with[0] her[0] mother[0] who[0] just[0] doesn't[0] understand[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
christopher atkins , a handsome enough actor who plays the killer , adam , looks like a clown in the second half of fatal charm . 	christopher atkins , a handsome enough actor who plays the killer , adam , looks like a clown in the second half of fatal charm .	2	-3	 christopher[0] atkins[0] a[0] handsome[1] enough[0] actor[0] who[0] plays[1] the[0] killer[-1] adam[0] looks[0] like[1] a[0] clown[0] in[0] the[0] second[0] half[0] of[0] fatal[-2] charm[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
trying to appear malicious and dangerous , he wears large sunglasses and a half-buttoned jacket . 	trying to appear malicious and dangerous , he wears large sunglasses and a half-buttoned jacket .	1	-4	 trying[0] to[0] appear[0] malicious[-3] and[0] dangerous[-1] he[0] wears[0] large[0] sunglasses[0] and[0] a[0] half[0] buttoned[0] jacket[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
if disney decided to do a zany comedy caper about the unabomber , atkins would probably be a perfect candidate for the lead , but he doesn't cut it here . 	if disney decided to do a zany comedy caper about the unabomber , atkins would probably be a perfect candidate for the lead , but he doesn't cut it here .	2	-1	 if[0] disney[0] decided[0] to[0] do[0] a[0] zany[0] comedy[0] caper[0] about[0] the[0] unabomber[0] atkins[0] would[0] probably[0] be[0] a[0] perfect[1] candidate[0] for[0] the[0] lead[0] but[0] he[0] doesn't[0] cut[0] it[0] here[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
early on in the movie , a number of scenes occurs in a courtroom . 	early on in the movie , a number of scenes occurs in a courtroom .	1	-1	 early[0] on[0] in[0] the[0] movie[0] a[0] number[0] of[0] scenes[0] occurs[0] in[0] a[0] courtroom[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
outside of the laughably poor performances given by the actors portraying lawyers , the people sitting in the benches provide the silliest effort at drama in the film . 	outside of the laughably poor performances given by the actors portraying lawyers , the people sitting in the benches provide the silliest effort at drama in the film .	2	-2	 outside[0] of[0] the[0] laughably[1] poor[-1] performances[0] given[0] by[0] the[0] actors[0] portraying[0] lawyers[0] the[0] people[0] sitting[0] in[0] the[0] benches[0] provide[0] the[0] silliest[1] effort[0] at[0] drama[0] in[0] the[0] film[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
they constantly shift and turn and arc their heads in mock interest in what has got to be one of the worst perfomances that a large group of people have given at one time ever . 	they constantly shift and turn and arc their heads in mock interest in what has got to be one of the worst perfomances that a large group of people have given at one time ever .	2	-3	 they[0] constantly[0] shift[0] and[0] turn[0] and[0] arc[0] their[0] heads[0] in[0] mock[-2] interest[1] in[0] what[0] has[0] got[0] to[0] be[0] one[0] of[0] the[0] worst[-2] perfomances[0] that[0] a[0] large[0] group[0] of[0] people[0] have[0] given[0] at[0] one[0] time[0] ever[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
fatal charm's storyline , such as it is , inspires more yawns than thrills . 	fatal charm's storyline , such as it is , inspires more yawns than thrills .	4	-3	 fatal[-2] charm's[1] storyline[0] such[0] as[0] it[0] is[0] inspires[2] more[0] yawns[0] than[0] thrills[3] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
the script belabors a red herring , early on , about a second suspect who may have committed the murders for which adam ( atkins ) is charged with . 	the script belabors a red herring , early on , about a second suspect who may have committed the murders for which adam ( atkins ) is charged with .	1	-4	 the[0] script[0] belabors[0] a[0] red[0] herring[0] early[0] on[0] about[0] a[0] second[0] suspect[-1] who[0] may[0] have[0] committed[0] the[0] murders[-3] for[0] which[0] adam[0] atkins[0] is[0] charged[-1] with[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this suspect , however , turns up strangled and drowned halfway through the film : an obvious plot fault . 	this suspect , however , turns up strangled and drowned halfway through the film : an obvious plot fault .	1	-3	 this[0] suspect[-1] however[0] turns[0] up[0] strangled[-2] and[0] drowned[-1] halfway[0] through[0] the[0] film[0] an[0] obvious[0] plot[0] fault[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
even for the idiots who didn't consider the movie's title as valerie and a blond newsreporter commented how innocent and charming the defendant seemed , it becomes quite obvious that adam is dangerous when the other suspect washes up . 	even for the idiots who didn't consider the movie's title as valerie and a blond newsreporter commented how innocent and charming the defendant seemed , it becomes quite obvious that adam is dangerous when the other suspect washes up .	2	-3	 even[0] for[0] the[0] idiots[-2] who[0] didn't[0] consider[0] the[0] movie's[0] title[0] as[0] valerie[0] and[0] a[0] blond[0] newsreporter[0] commented[0] how[0] innocent[1] and[0] charming[1] the[0] defendant[-1] seemed[0] it[0] becomes[0] quite[0] obvious[0] that[0] adam[0] is[0] dangerous[-1] when[0] the[0] other[0] suspect[-1] washes[0] up[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
so , the audience must wait ( if they haven't already stopped watching ) as the necessary details fall into place and the killer goes after the heroine in the drawn-out finale . 	so , the audience must wait ( if they haven't already stopped watching ) as the necessary details fall into place and the killer goes after the heroine in the drawn-out finale .	3	-2	 so[0] the[0] audience[0] must[0] wait[0] if[0] they[0] haven't[0] already[0] stopped[0] watching[0] as[0] the[0] necessary[0] details[0] fall[0] into[0] place[0] and[0] the[0] killer[-1] goes[0] after[0] the[0] heroine[2] in[0] the[0] drawn[0] out[0] finale[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the video box for this dud describes fatal charm as an " erotic thriller " . 	the video box for this dud describes fatal charm as an " erotic thriller " .	2	-3	 the[0] video[0] box[0] for[0] this[0] dud[0] describes[0] fatal[-2] charm[1] as[0] an[0] erotic[0] thriller[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
a thriller it isn't , and neither is it particularly erotic . 	a thriller it isn't , and neither is it particularly erotic .	2	-1	 a[0] thriller[1] it[0] isn't[0] and[0] neither[0] is[0] it[0] particularly[0] erotic[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i can't imagine , if someone were in the mood for something " erotic , " that he'd be happy after watching this fluff . 	i can't imagine , if someone were in the mood for something " erotic , " that he'd be happy after watching this fluff .	2	-1	 i[0] can't[0] imagine[0] if[0] someone[0] were[0] in[0] the[0] mood[0] for[0] something[0] erotic[0] that[0] he'd[0] be[0] happy[1] after[0] watching[0] this[0] fluff[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a few erotic moments occur in the film ; they take place in a van with little lighting and are filmed out of focus ( see , they're supposed to be valerie's fantasies -- how creative ) . 	a few erotic moments occur in the film ; they take place in a van with little lighting and are filmed out of focus ( see , they're supposed to be valerie's fantasies - how creative ) .	1	-1	 a[0] few[0] erotic[0] moments[0] occur[0] in[0] the[0] film[0] they[0] take[0] place[0] in[0] a[0] van[0] with[0] little[0] lighting[0] and[0] are[0] filmed[0] out[0] of[0] focus[0] see[0] they're[0] supposed[0] to[0] be[0] valerie's[0] fantasies[0] how[0] creative[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on a personal note , i was disturbed by the ludicrous english literature class shown in this film which valerie had to suffer through . 	on a personal note , i was disturbed by the ludicrous english literature class shown in this film which valerie had to suffer through .	1	-4	 on[0] a[0] personal[0] note[0] i[0] was[0] disturbed[-1] by[0] the[0] ludicrous[-2] english[0] literature[0] class[0] shown[0] in[0] this[0] film[0] which[0] valerie[0] had[0] to[0] suffer[-3] through[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it's no wonder why she hated high school so much . 	it's no wonder why she hated high school so much .	1	-4	 it's[0] no[0] wonder[0] why[0] she[0] hated[-3] high[0] school[0] so[0] much[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
as an instructor of english myself , i have a hard time accepting the fact that in a course emphasizing great literature , a teacher would stoop to reading a student's bad poetry ( of course , it's valerie's ) about boyfriends out loud and then embarassing its author in front of class with questions about the poem's inspiration . 	as an instructor of english myself , i have a hard time accepting the fact that in a course emphasizing great literature , a teacher would stoop to reading a student's bad poetry ( of course , it's valerie's ) about boyfriends out loud and then embarassing its author in front of class with questions about the poem's inspiration .	3	-2	 as[0] an[0] instructor[0] of[0] english[0] myself[0] i[0] have[0] a[0] hard[0] time[0] accepting[0] the[0] fact[0] that[0] in[0] a[0] course[0] emphasizing[0] great[2] literature[0] a[0] teacher[0] would[0] stoop[0] to[0] reading[0] a[0] student's[0] bad[-1] poetry[0] of[0] course[0] it's[0] valerie's[0] about[0] boyfriends[0] out[0] loud[0] and[0] then[0] embarassing[0] its[0] author[0] in[0] front[0] of[0] class[0] with[0] questions[0] about[0] the[0] poem's[0] inspiration[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i guess the public school system is still setting dubious standards for its students . 	i guess the public school system is still setting dubious standards for its students .	1	-2	 i[0] guess[0] the[0] public[0] school[0] system[0] is[0] still[0] setting[0] dubious[-1] standards[0] for[0] its[0] students[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
fatal charm won't charm anyone , unless there's someone that's charmed by boring , lifeless , insipid , suspenseless thrillers . 	fatal charm won't charm anyone , unless there's someone that's charmed by boring , lifeless , insipid , suspenseless thrillers .	2	-3	 fatal[-2] charm[1] won't[0] charm[1][NegatedDueToPreviousWord] anyone[0] unless[0] there's[0] someone[0] that's[0] charmed[1] by[0] boring[-1] lifeless[-1] insipid[0] suspenseless[0] thrillers[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
if you happen upon this turkey , just keep moving on . 	if you happen upon this turkey , just keep moving on .	1	-1	 if[0] you[0] happen[0] upon[0] this[0] turkey[0] just[0] keep[0] moving[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
