are you like me ? 	Translation	Positive	Negative	EmotionRationale
of course , the same christmas tune that's played in every ephron flick chimes out in the background , while characters continue to build " bonds " among one another by making reference to old , quaint movies or movie stars . 	of course , the same christmas tune that's played in every ephron flick chimes out in the background , while characters continue to build " bonds " among one another by making reference to old , quaint movies or movie stars .	1	-1	 of[0] course[0] the[0] same[0] christmas[0] tune[0] that's[0] played[0] in[0] every[0] ephron[0] flick[0] chimes[0] out[0] in[0] the[0] background[0] while[0] characters[0] continue[0] to[0] build[0] bonds[0] among[0] one[0] another[0] by[0] making[0] reference[0] to[0] old[0] quaint[0] movies[0] or[0] movie[0] stars[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
stop me . . . i'm 	stop me .<br> .<br> .<br> i'm	1	-1	 stop[0] me[0] [[Sentence=-1,1=word max, 1-5]] i'm[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gonna cry again ! 	gonna cry again !	1	-4	 gonna[0] cry[-3] again[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this film is a mess . 	this film is a mess .	1	-1	 this[0] film[0] is[0] a[0] mess[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the characters are boring and irritating to watch , the plot has something to do with three selfish sisters talking on the phone a whole lot , kind of liking their father ( but not really ) and then finally realizing the error of their ways , while sharing an " emotional " moment about movie stars from the 50s . 	the characters are boring and irritating to watch , the plot has something to do with three selfish sisters talking on the phone a whole lot , kind of liking their father ( but not really ) and then finally realizing the error of their ways , while sharing an " emotional " moment about movie stars from the 50s .	3	-4	 the[0] characters[0] are[0] boring[-1] and[0] irritating[-2] to[0] watch[0] the[0] plot[0] has[0] something[0] to[0] do[0] with[0] three[0] selfish[-3] sisters[0] talking[0] on[0] the[0] phone[0] a[0] whole[0] lot[0] kind[1] of[0] liking[2] their[0] father[0] but[0] not[0] really[0] and[0] then[0] finally[0] realizing[0] the[0] error[-1] of[0] their[0] ways[0] while[0] sharing[0] an[0] emotional[-1] moment[0] about[0] movie[0] stars[0] from[0] the[0] 50s[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
admittedly , i was not expecting much from a film whose television trailer features meg ryan screaming every two seconds and a big dog rolling its eyes , but even i was surprised at the level of ineptitude when it came to some of the acting efforts put forth in this film . 	admittedly , i was not expecting much from a film whose television trailer features meg ryan screaming every two seconds and a big dog rolling its eyes , but even i was surprised at the level of ineptitude when it came to some of the acting efforts put forth in this film .	1	-4	 admittedly[0] i[0] was[0] not[0] expecting[0] much[0] from[0] a[0] film[0] whose[0] television[0] trailer[0] features[0] meg[0] ryan[0] screaming[-3] every[0] two[0] seconds[0] and[0] a[0] big[0] dog[0] rolling[0] its[0] eyes[0] but[0] even[0] i[0] was[0] surprised[0] at[0] the[0] level[0] of[0] ineptitude[0] when[0] it[0] came[0] to[0] some[0] of[0] the[0] acting[0] efforts[0] put[0] forth[0] in[0] this[0] film[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
meg did fine as the sister who cries a lot , looking as adorable as ever , but someone please put lisa kudrow inside a permanent home of limited range , cause this woman basically is that very same character that she plays in every single movie/tv show that she's in . 	meg did fine as the sister who cries a lot , looking as adorable as ever , but someone please put lisa kudrow inside a permanent home of limited range , cause this woman basically is that very same character that she plays in every single movie/tv show that she's in .	4	-3	 meg[0] did[0] fine[2][-1 LastWordBoosterStrength] as[0] the[0] sister[0] who[0] cries[-2] a[0] lot[0] looking[0] as[0] adorable[3] as[0] ever[0] but[0] someone[0] please[1] put[0] lisa[0] kudrow[0] inside[0] a[0] permanent[0] home[0] of[0] limited[0] range[0] cause[0] this[0] woman[0] basically[0] is[0] that[0] very[0] same[0] character[0] that[0] she[0] plays[1] in[0] every[0] single[0] movie/tv[0] show[0] that[0] she's[0] in[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
enough already ! 	enough already !	1	-1	 enough[0] already[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and diane keaton must've spent more time thinking about her role behind the camera in this one , cause her acting was amateurish at best . 	and diane keaton must've spent more time thinking about her role behind the camera in this one , cause her acting was amateurish at best .	2	-1	 and[0] diane[0] keaton[0] must've[0] spent[0] more[0] time[0] thinking[0] about[0] her[0] role[0] behind[0] the[0] camera[0] in[0] this[0] one[0] cause[0] her[0] acting[0] was[0] amateurish[0] at[0] best[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
neither one convinced in " emotional " scenes . 	neither one convinced in " emotional " scenes .	1	-2	 neither[0] one[0] convinced[0] in[0] emotional[-1] scenes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
granted , they gave walter matthau the best lines in the film and that's probably where my rating of three points comes from . 	granted , they gave walter matthau the best lines in the film and that's probably where my rating of three points comes from .	2	-1	 granted[0] they[0] gave[0] walter[0] matthau[0] the[0] best[1] lines[0] in[0] the[0] film[0] and[0] that's[0] probably[0] where[0] my[0] rating[0] of[0] three[0] points[0] comes[0] from[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
all in all , this movie is not funny ( unless you're one to chuckle at train wrecks ) , provides zero drama ( unless you consider loud phone conversations moving ) , generates absolutely no emotion ( although i did tear up when meg hugged a coffee machine ) and ends on a perfectly pretentious note ( " oh no , please don't get any flour on my donna karan dress ! ) . 	all in all , this movie is not funny ( unless you're one to chuckle at train wrecks ) , provides zero drama ( unless you consider loud phone conversations moving ) , generates absolutely no emotion ( although i did tear up when meg hugged a coffee machine ) and ends on a perfectly pretentious note ( " oh no , please don't get any flour on my donna karan dress !<br> ) .	3	-2	 all[0] in[0] all[0] this[0] movie[0] is[0] not[0] funny[1][NegatedDueToPreviousWord] unless[0] you're[0] one[0] to[0] chuckle[2] at[0] train[0] wrecks[-1] provides[0] zero[0] drama[0] unless[0] you[0] consider[0] loud[0] phone[0] conversations[0] moving[0] generates[0] absolutely[0] no[0] emotion[0] although[0] i[0] did[0] tear[-1][--1 LastWordBoosterStrength] up[0] when[0] meg[0] hugged[2] a[0] coffee[0] machine[0] and[0] ends[0] on[0] a[0] perfectly[1] pretentious[-1] note[0] oh[0] no[0] please[1] don't[0] get[0] any[0] flour[0] on[0] my[0] donna[0] karan[0] dress[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
ugh . 	ugh .	1	-3	 ugh[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i suggest that all ladies take their husbands/boyfriends to see this movie if they are pissed off at them about something ! 	i suggest that all ladies take their husbands/boyfriends to see this movie if they are pissed off at them about something !	1	-3	 i[0] suggest[0] that[0] all[0] ladies[0] take[0] their[0] husbands/boyfriends[0] to[0] see[0] this[0] movie[0] if[0] they[0] are[0] pissed[-2] off[0] at[0] them[0] about[0] something[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
that'll teach 'em to mess with you ! 	that'll teach 'em to mess with you !	1	-1	 that'll[0] teach[0] 'em[0] to[0] mess[0] with[0] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
oh and incidentally , mrs . joblo also likened this movie to a piece of cow dung flailing in the wind , so there ! 	oh and incidentally , mrs .<br> joblo also likened this movie to a piece of cow dung flailing in the wind , so there !	1	-1	 oh[0] and[0] incidentally[0] mrs[0] [[Sentence=-1,1=word max, 1-5]] joblo[0] also[0] likened[0] this[0] movie[0] to[0] a[0] piece[0] of[0] cow[0] dung[0] flailing[0] in[0] the[0] wind[0] so[0] there[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then again . . . maybe 	then again .<br> .<br> .<br> maybe	1	-1	 then[0] again[0] [[Sentence=-1,1=word max, 1-5]] maybe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you'll like it . 	you'll like it .	2	-1	 you'll[0] like[1] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 : ) 	 : )	1	-1	[[[0,0 max of sentences]]]
