out of sight director steven sorderbergh baffles the hell out of us all in the limey , a cold , uninvolving , confusing new thriller . 	Translation	Positive	Negative	EmotionRationale
the plot is permeated with flashbacks , flash-forwards and what can only be described as random time-travel , without any evident purpose . 	the plot is permeated with flashbacks , flash-forwards and what can only be described as random time-travel , without any evident purpose .	1	-1	 the[0] plot[0] is[0] permeated[0] with[0] flashbacks[0] flash[0] forwards[0] and[0] what[0] can[0] only[0] be[0] described[0] as[0] random[0] time[0] travel[0] without[0] any[0] evident[0] purpose[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is no method to this movie's madness . 	there is no method to this movie's madness .	1	-2	 there[0] is[0] no[0] method[0] to[0] this[0] movie's[0] madness[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it uses a fancy way to tell a story that would be better off told more conventionally and more comprehendably . 	it uses a fancy way to tell a story that would be better off told more conventionally and more comprehendably .	1	-1	 it[0] uses[0] a[0] fancy[0] way[0] to[0] tell[0] a[0] story[0] that[0] would[0] be[0] better[0] off[0] told[0] more[0] conventionally[0] and[0] more[0] comprehendably[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the plot isn't particularly interesting in the first place : traditional , mildly hackneyed and not very involving . 	the plot isn't particularly interesting in the first place : traditional , mildly hackneyed and not very involving .	1	-2	 the[0] plot[0] isn't[0] particularly[0] interesting[1][NegatedDueToPreviousWord] in[0] the[0] first[0] place[0] traditional[0] mildly[0] hackneyed[0] and[0] not[0] very[0] involving[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is a sort of brooding film -- our protagonist doesn't speak much and the action sequences are done with an annoyingly perfunctory attitude . 	this is a sort of brooding film - our protagonist doesn't speak much and the action sequences are done with an annoyingly perfunctory attitude .	1	-3	 this[0] is[0] a[0] sort[0] of[0] brooding[-1] film[0] our[0] protagonist[0] doesn't[0] speak[0] much[0] and[0] the[0] action[0] sequences[0] are[0] done[0] with[0] an[0] annoyingly[-2] perfunctory[0] attitude[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i felt like the director wasn't very interested in the proceedings himself , almost like he made this film for a paycheck . 	i felt like the director wasn't very interested in the proceedings himself , almost like he made this film for a paycheck .	3	-1	 i[0] felt[0] like[1] the[0] director[0] wasn't[0] very[0] interested[1][1 LastWordBoosterStrength] in[0] the[0] proceedings[0] himself[0] almost[0] like[1] he[0] made[0] this[0] film[0] for[0] a[0] paycheck[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
ditto for the editing , which seems to be deliberately sloppy and unpleasant . 	ditto for the editing , which seems to be deliberately sloppy and unpleasant .	1	-3	 ditto[0] for[0] the[0] editing[0] which[0] seems[0] to[0] be[0] deliberately[0] sloppy[-1] and[0] unpleasant[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
sixties icon terrence stamp manages to at least be menacing as the aging criminal . 	sixties icon terrence stamp manages to at least be menacing as the aging criminal .	1	-2	 sixties[0] icon[0] terrence[0] stamp[0] manages[0] to[0] at[0] least[0] be[0] menacing[0] as[0] the[0] aging[0] criminal[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he's not much in the way of stature but he has a surprisingly imposing physical presence that works to his advantage here . 	he's not much in the way of stature but he has a surprisingly imposing physical presence that works to his advantage here .	1	-1	 he's[0] not[0] much[0] in[0] the[0] way[0] of[0] stature[0] but[0] he[0] has[0] a[0] surprisingly[0] imposing[0] physical[0] presence[0] that[0] works[0] to[0] his[0] advantage[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
peter fonda is an unbelievably underrated actor : he's shy , quiet but always effective . 	peter fonda is an unbelievably underrated actor : he's shy , quiet but always effective .	1	-3	 peter[0] fonda[0] is[0] an[0] unbelievably[-1] underrated[0] actor[0] he's[0] shy[-2] quiet[0] but[0] always[0] effective[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he's adept at conveying emotions through speech rather than expression : his feelings don't always show on his face by you can always tell what they are . 	he's adept at conveying emotions through speech rather than expression : his feelings don't always show on his face by you can always tell what they are .	1	-1	 he's[0] adept[0] at[0] conveying[0] emotions[0] through[0] speech[0] rather[0] than[0] expression[0] his[0] feelings[0] don't[0] always[0] show[0] on[0] his[0] face[0] by[0] you[0] can[0] always[0] tell[0] what[0] they[0] are[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is basically a conventional thriller told in a pretentiously bizarre fashion . 	this is basically a conventional thriller told in a pretentiously bizarre fashion .	2	-2	 this[0] is[0] basically[0] a[0] conventional[0] thriller[1] told[0] in[0] a[0] pretentiously[-1] bizarre[-1] fashion[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
why soderbergh couldn't just parrot down and tell a story , i don't know , but what he does do certainly doesn't work . 	why soderbergh couldn't just parrot down and tell a story , i don't know , but what he does do certainly doesn't work .	1	-1	 why[0] soderbergh[0] couldn't[0] just[0] parrot[0] down[0] and[0] tell[0] a[0] story[0] i[0] don't[0] know[0] but[0] what[0] he[0] does[0] do[0] certainly[0] doesn't[0] work[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the result is a wild cornucopia of images that amount to precisely nil -- even the action scenes don't work . 	the result is a wild cornucopia of images that amount to precisely nil - even the action scenes don't work .	1	-1	 the[0] result[0] is[0] a[0] wild[0] cornucopia[0] of[0] images[0] that[0] amount[0] to[0] precisely[0] nil[0] even[0] the[0] action[0] scenes[0] don't[0] work[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1999 may have signified the death of the traditional act one - act two - act three storyline , but obviously some movies have not yet transcended it . 	199 may have signified the death of the traditional act one - act two - act three storyline , but obviously some movies have not yet transcended it .	1	-3	 1999/199[0] may[0] have[0] signified[0] the[0] death[-2] of[0] the[0] traditional[0] act[0] one[0] act[0] two[0] act[0] three[0] storyline[0] but[0] obviously[0] some[0] movies[0] have[0] not[0] yet[0] transcended[0] it[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
shall we go back to basics ? 	shall we go back to basics ?	1	-1	 shall[0] we[0] go[0] back[0] to[0] basics[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
