how do you judge a film that is so bad , but intentionally so ? 	Translation	Positive	Negative	EmotionRationale
it's quite nice to see what good sports the girls are ( and not just the one dubbed sporty ) about poking fun at themselves . 	it's quite nice to see what good sports the girls are ( and not just the one dubbed sporty ) about poking fun at themselves .	2	-1	 it's[0] quite[0] nice[1] to[0] see[0] what[0] good[1] sports[0] the[0] girls[0] are[0] and[0] not[0] just[0] the[0] one[0] dubbed[0] sporty[0] about[0] poking[0] fun[1] at[0] themselves[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they don't take themselves too seriously , and that's probably the best thing about them . 	they don't take themselves too seriously , and that's probably the best thing about them .	2	-1	 they[0] don't[0] take[0] themselves[0] too[0] seriously[0] and[0] that's[0] probably[0] the[0] best[1] thing[0] about[0] them[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's also surprising how natural they seem in front of the camera * acting * , and not just singing and dancing . 	it's also surprising how natural they seem in front of the camera * acting * , and not just singing and dancing .	1	-1	 it's[0] also[0] surprising[0] how[0] natural[0] they[0] seem[0] in[0] front[0] of[0] the[0] camera[0] acting[0] and[0] not[0] just[0] singing[0] and[0] dancing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they're not flawless by any means , but for the most part , they deliver their lines without feeling staged , and , like them or not , we get the sense the five are very at home within their characters ( which seems reasonable since they portray themselves ) . 	they're not flawless by any means , but for the most part , they deliver their lines without feeling staged , and , like them or not , we get the sense the five are very at home within their characters ( which seems reasonable since they portray themselves ) .	2	-2	 they're[0] not[0] flawless[1][NegatedDueToPreviousWord] by[0] any[0] means[0] but[0] for[0] the[0] most[0] part[0] they[0] deliver[0] their[0] lines[0] without[0] feeling[0] staged[0] and[0] like[1] them[0] or[0] not[0] we[0] get[0] the[0] sense[0] the[0] five[0] are[0] very[0] at[0] home[0] within[0] their[0] characters[0] which[0] seems[0] reasonable[0] since[0] they[0] portray[0] themselves[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
what makes the film bad is that extreme fans of the spice girls won't get enough of their music , while the rest of us don't get enough of a movie . 	what makes the film bad is that extreme fans of the spice girls won't get enough of their music , while the rest of us don't get enough of a movie .	1	-2	 what[0] makes[0] the[0] film[0] bad[-1] is[0] that[0] extreme[0] fans[0] of[0] the[0] spice[0] girls[0] won't[0] get[0] enough[0] of[0] their[0] music[0] while[0] the[0] rest[0] of[0] us[0] don't[0] get[0] enough[0] of[0] a[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the real point of this is to look at the spice girls for over ninety straight minutes . 	the real point of this is to look at the spice girls for over ninety straight minutes .	1	-1	 the[0] real[0] point[0] of[0] this[0] is[0] to[0] look[0] at[0] the[0] spice[0] girls[0] for[0] over[0] ninety[0] straight[0] minutes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
most of the film is very blas ? , but several parts are downright boring , and then they have those sporadic moments that actually make us laugh out loud ! 	most of the film is very blas ?<br> , but several parts are downright boring , and then they have those sporadic moments that actually make us laugh out loud !	2	-2	 most[0] of[0] the[0] film[0] is[0] very[0] blas[0] [[Sentence=-1,1=word max, 1-5]] but[0] several[0] parts[0] are[0] downright[0] boring[-1] and[0] then[0] they[0] have[0] those[0] sporadic[0] moments[0] that[0] actually[0] make[0] us[0] laugh[1] out[0] loud[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
if you're a big fan of the group , you probably won't get enough of what you want , and if you're not a big fan , you get too much time devoted to nothing more than " look at us " moments . 	if you're a big fan of the group , you probably won't get enough of what you want , and if you're not a big fan , you get too much time devoted to nothing more than " look at us " moments .	3	-1	 if[0] you're[0] a[0] big[0] fan[0] of[0] the[0] group[0] you[0] probably[0] won't[0] get[0] enough[0] of[0] what[0] you[0] want[0] and[0] if[0] you're[0] not[0] a[0] big[0] fan[0] you[0] get[0] too[0] much[0] time[0] devoted[2] to[0] nothing[0] more[0] than[0] look[0] at[0] us[0] moments[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
for the right crowd , the " music video " sequences will be the highlights of the film , but for others , they will serve as three-minute lulls in a hectic-but-overall-uneventful storyline . 	for the right crowd , the " music video " sequences will be the highlights of the film , but for others , they will serve as three-minute lulls in a hectic-but-overall-uneventful storyline .	1	-2	 for[0] the[0] right[0] crowd[0] the[0] music[0] video[0] sequences[0] will[0] be[0] the[0] highlights[0] of[0] the[0] film[0] but[0] for[0] others[0] they[0] will[0] serve[0] as[0] three[0] minute[0] lulls[0] in[0] a[0] hectic[-1] but[0] overall[0] uneventful[0] storyline[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
other key actors include richard e . grant as clifford , the spice girls' manager , alan cumming as the film-maker piers cutherton-smyth who attempts to make a documentary of the group , george wendt as martin barnfield , a producer who constantly works on pitching a spice girls movie , and roger moore in a small , self-parodizing role . 	other key actors include richard e .<br> grant as clifford , the spice girls' manager , alan cumming as the film-maker piers cutherton-smyth who attempts to make a documentary of the group , george wendt as martin barnfield , a producer who constantly works on pitching a spice girls movie , and roger more in a small , self-parodizing role .	1	-1	 other[0] key[0] actors[0] include[0] richard[0] e[0] [[Sentence=-1,1=word max, 1-5]] grant[0] as[0] clifford[0] the[0] spice[0] girls'[0] manager[0] alan[0] cumming[0] as[0] the[0] film[0] maker[0] piers[0] cutherton[0] smyth[0] who[0] attempts[0] to[0] make[0] a[0] documentary[0] of[0] the[0] group[0] george[0] wendt[0] as[0] martin[0] barnfield[0] a[0] producer[0] who[0] constantly[0] works[0] on[0] pitching[0] a[0] spice[0] girls[0] movie[0] and[0] roger[0] moore/more[0] in[0] a[0] small[0] self[0] parodizing[0] role[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all provide relatively good performances , keeping in mind once again that this film wasn't meant to be acted seriously . 	all provide relatively good performances , keeping in mind once again that this film wasn't meant to be acted seriously .	2	-1	 all[0] provide[0] relatively[0] good[1] performances[0] keeping[0] in[0] mind[0] once[0] again[0] that[0] this[0] film[0] wasn't[0] meant[0] to[0] be[0] acted[0] seriously[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
even meat loaf shows up as dennis the bus driver and seems to have fun with it . 	even meat loaf shows up as dennis the bus driver and seems to have fun with it .	2	-1	 even[0] meat[0] loaf[0] shows[0] up[0] as[0] dennis[0] the[0] bus[0] driver[0] and[0] seems[0] to[0] have[0] fun[1] with[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
while this film is continuously compared to the beatles' a hard day's night , i think that is an unjust comparison . 	while this film is continuously compared to the beatles' a hard day's night , i think that is an unjust comparison .	1	-2	 while[0] this[0] film[0] is[0] continuously[0] compared[0] to[0] the[0] beatles'[0] a[0] hard[0] day's[0] night[0] i[0] think[0] that[0] is[0] an[0] unjust[-1] comparison[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is supposedly the movie studio that first mad the comparison by way of press kits , but i don't think drector bob spiers , nor the spice girls , intended it to be so . 	it is supposedly the movie studio that first mad the comparison by way of press kits , but i don't think drector bob spiers , nor the spice girls , intended it to be so .	1	-2	 it[0] is[0] supposedly[0] the[0] movie[0] studio[0] that[0] first[0] mad[-1] the[0] comparison[0] by[0] way[0] of[0] press[0] kits[0] but[0] i[0] don't[0] think[0] drector[0] bob[0] spiers[0] nor[0] the[0] spice[0] girls[0] intended[0] it[0] to[0] be[0] so[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i think the studios were just trying to boost hype and interest in the film , and have instead , come off rather pretentious . 	i think the studios were just trying to boost hype and interest in the film , and have instead , come off rather pretentious .	2	-2	 i[0] think[0] the[0] studios[0] were[0] just[0] trying[0] to[0] boost[0] hype[0] and[0] interest[1] in[0] the[0] film[0] and[0] have[0] instead[0] come[0] off[0] rather[0] pretentious[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i don't think this film is trying to be anything more than a fun , satirical look at a group that got so big , a movie seemed the next likely step . 	i don't think this film is trying to be anything more than a fun , satirical look at a group that got so big , a movie seemed the next likely step .	2	-1	 i[0] don't[0] think[0] this[0] film[0] is[0] trying[0] to[0] be[0] anything[0] more[0] than[0] a[0] fun[1] satirical[0] look[0] at[0] a[0] group[0] that[0] got[0] so[0] big[0] a[0] movie[0] seemed[0] the[0] next[0] likely[0] step[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and what could've been better than a self-indulged yet self- mocking approach ? 	and what could've been better than a self-indulged yet self- mocking approach ?	1	-3	 and[0] what[0] could've[0] been[0] better[0] than[0] a[0] self[0] indulged[0] yet[0] self[0] mocking[-2] approach[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
probably nothing , and so it is . 	probably nothing , and so it is .	1	-1	 probably[0] nothing[0] and[0] so[0] it[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
spiceworld is a movie i thought would be embarrassing to enjoy , but now instead , i find myself wanting to defend a movie i didn't even give a good review . 	spiceworld is a movie i thought would be embarrassing to enjoy , but now instead , i find myself wanting to defend a movie i didn't even give a good review .	3	-3	 spiceworld[0] is[0] a[0] movie[0] i[0] thought[0] would[0] be[0] embarrassing[-2] to[0] enjoy[2] but[0] now[0] instead[0] i[0] find[0] myself[0] wanting[0] to[0] defend[0] a[0] movie[0] i[0] didn't[0] even[0] give[0] a[0] good[1] review[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
it's bad , but it succeeds in every way it intended . 	it's bad , but it succeeds in every way it intended .	3	-2	 it's[0] bad[-1] but[0] it[0] succeeds[2] in[0] every[0] way[0] it[0] intended[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it gives the spice girls a chance to play while allowing all those obsessive fans out there to indulge in every brainless moment . 	it gives the spice girls a chance to play while allowing all those obsessive fans out there to indulge in every brainless moment .	1	-3	 it[0] gives[0] the[0] spice[0] girls[0] a[0] chance[0] to[0] play[0] while[0] allowing[0] all[0] those[0] obsessive[-2] fans[0] out[0] there[0] to[0] indulge[-1] in[0] every[0] brainless[0] moment[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
perhaps the group is nothing more than a gimmick . 	perhaps the group is nothing more than a gimmick .	1	-1	 perhaps[0] the[0] group[0] is[0] nothing[0] more[0] than[0] a[0] gimmick[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if that's the case , the movie's gimmick is that it * is * such a gimmick ! 	if that's the case , the movie's gimmick is that it * is * such a gimmick !	1	-1	 if[0] that's[0] the[0] case[0] the[0] movie's[0] gimmick[0] is[0] that[0] it[0] is[0] such[0] a[0] gimmick[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you might be saying , " a spice girls movie ? 	you might be saying , " a spice girls movie ?	1	-1	 you[0] might[0] be[0] saying[0] a[0] spice[0] girls[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
come on ! " , but when it comes down to it , i think that's the point . 	come on !<br> " , but when it comes down to it , i think that's the point .	1	-1	 come[0] on[0] [[Sentence=-1,1=word max, 1-5]] but[0] when[0] it[0] comes[0] down[0] to[0] it[0] i[0] think[0] that's[0] the[0] point[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
