one night , during a torrential downpour that flooded the streets , we went to see -- what else -- hard rain . 	Translation	Positive	Negative	EmotionRationale
the plot concerns an armored car that gets stuck in the raging water . 	the plot concerns an armored car that gets stuck in the raging water .	1	-4	 the[0] plot[0] concerns[-1] an[0] armored[0] car[0] that[0] gets[0] stuck[0] in[0] the[0] raging[-3] water[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
onboard are guards tom and his uncle charlie . 	onboard are guards tom and his uncle charlie .	1	-1	 onboard[0] are[0] guards[0] tom[0] and[0] his[0] uncle[0] charlie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
christian slater , who is much better in his tender roles as in untamed heart , plays tom . 	christian slater , who is much better in his tender roles as in untamed heart , plays tom .	3	-1	 christian[0] slater[0] who[0] is[0] much[0] better[0] in[0] his[0] tender[2] roles[0] as[0] in[0] untamed[0] heart[0] plays[1] tom[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
edward asner drops by briefly to take on the role of the soon to be dead charlie . 	edward asner drops by briefly to take on the role of the soon to be dead charlie .	1	-3	 edward[0] asner[0] drops[0] by[0] briefly[0] to[0] take[0] on[0] the[0] role[0] of[0] the[0] soon[0] to[0] be[0] dead[-2] charlie[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
coming to their " rescue " is a gang headed by jim , played on autopilot by the great actor morgan freeman . 	coming to their " rescue " is a gang headed by jim , played on autopilot by the great actor morgan freeman .	3	-1	 coming[0] to[0] their[0] rescue[0] is[0] a[0] gang[0] headed[0] by[0] jim[0] played[0] on[0] autopilot[0] by[0] the[0] great[2] actor[0] morgan[0] freeman[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he views the loot , three million dollars worth , as his retirement plan . 	he views the loot , three million dollars worth , as his retirement plan .	1	-2	 he[0] views[0] the[0] loot[0] three[0] million[0] dollars[0] worth[0] as[0] his[0] retirement[-1] plan[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the entire movie is one big watery chase with the sheriff and his posse tracking jim and his gang , who are in turn after tom . 	the entire movie is one big watery chase with the sheriff and his posse tracking jim and his gang , who are in turn after tom .	1	-2	 the[0] entire[0] movie[0] is[0] one[0] big[0] watery[0] chase[-1] with[0] the[0] sheriff[0] and[0] his[0] posse[0] tracking[0] jim[0] and[0] his[0] gang[0] who[0] are[0] in[0] turn[0] after[0] tom[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
along the way , tom picks up a love interest in the person of a crucifix-weapon wielding woman named karen , played in a totally wasted performance by minnie driver . 	along the way , tom picks up a love interest in the person of a crucifix-weapon wielding woman named karen , played in a totally wasted performance by minnie driver .	3	-3	 along[0] the[0] way[0] tom[0] picks[0] up[0] a[0] love[2] interest[1] in[0] the[0] person[0] of[0] a[0] crucifix[0] weapon[-1] wielding[0] woman[0] named[0] karen[0] played[0] in[0] a[0] totally[0] wasted[-1][-1 LastWordBoosterStrength] performance[0] by[0] minnie[0] driver[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the action sequences are repetitive and without much interest . 	the action sequences are repetitive and without much interest .	2	-1	 the[0] action[0] sequences[0] are[0] repetitive[0] and[0] without[0] much[0] interest[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they do feature lots of explosions and gunfire to keep you awake . 	they do feature lots of explosions and gunfire to keep you awake .	1	-2	 they[0] do[0] feature[0] lots[0] of[0] explosions[-1] and[0] gunfire[-1] to[0] keep[0] you[0] awake[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
christopher young's emotionless score for the film has a single trait , ear-shattering loudness . 	christopher young's emotionless score for the film has a single trait , ear-shattering loudness .	1	-1	 christopher[0] young's[0] emotionless[0] score[0] for[0] the[0] film[0] has[0] a[0] single[0] trait[0] ear[0] shattering[0] loudness[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the plot holes are as big as the ones in the dam that breaks , submerging the town . 	the plot holes are as big as the ones in the dam that breaks , submerging the town .	1	-1	 the[0] plot[0] holes[0] are[0] as[0] big[0] as[0] the[0] ones[0] in[0] the[0] dam[0] that[0] breaks[0] submerging[0] the[0] town[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the characters have an infinite number of bullets and rarely do they have to bother reloading their guns . 	the characters have an infinite number of bullets and rarely do they have to bother reloading their guns .	1	-2	 the[0] characters[0] have[0] an[0] infinite[0] number[0] of[0] bullets[-1] and[0] rarely[0] do[0] they[0] have[0] to[0] bother[-1] reloading[0] their[0] guns[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the weapons and the ammunition spend most of the time under water or being rained on but always fire perfectly . 	the weapons and the ammunition spend most of the time under water or being rained on but always fire perfectly .	2	-2	 the[0] weapons[-1] and[0] the[0] ammunition[0] spend[0] most[0] of[0] the[0] time[0] under[0] water[0] or[0] being[0] rained[0] on[0] but[0] always[0] fire[0] perfectly[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
when one of the bad guys drops a gun into the water , it stays in the same place until much later when tom swims to get it , even though the swift water is so strong it is uprooting large trees . 	when one of the bad guys drops a gun into the water , it stays in the same place until much later when tom swims to get it , even though the swift water is so strong it is uprooting large trees .	1	-2	 when[0] one[0] of[0] the[0] bad[-1] guys[0] drops[0] a[0] gun[-1] into[0] the[0] water[0] it[0] stays[0] in[0] the[0] same[0] place[0] until[0] much[0] later[0] when[0] tom[0] swims[0] to[0] get[0] it[0] even[0] though[0] the[0] swift[0] water[0] is[0] so[0] strong[0] it[0] is[0] uprooting[0] large[0] trees[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
counting these improbabilities is one of the more enjoyable ways to spend your time as you wait for the characters to kill each other . 	counting these improbabilities is one of the more enjoyable ways to spend your time as you wait for the characters to kill each other .	3	-2	 counting[0] these[0] improbabilities[0] is[0] one[0] of[0] the[0] more[0] enjoyable[2] ways[0] to[0] spend[0] your[0] time[0] as[0] you[0] wait[0] for[0] the[0] characters[0] to[0] kill[-1] each[0] other[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the show has a single , but unprintable , good line . 	the show has a single , but unprintable , good line .	2	-1	 the[0] show[0] has[0] a[0] single[0] but[0] unprintable[0] good[1] line[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
betty white plays an incessantly bossy wife , and , when her hen-pecked husband finally told her off , our audience roared with laughter . 	betty white plays an incessantly bossy wife , and , when her hen-pecked husband finally told her off , our audience roared with laughter .	2	-1	 betty[0] white[0] plays[1] an[0] incessantly[0] bossy[0] wife[0] and[0] when[0] her[0] hen[0] pecked[0] husband[0] finally[0] told[0] her[0] off[0] our[0] audience[0] roared[0] with[0] laughter[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the show concludes with a sickening set of twists . 	the show concludes with a sickening set of twists .	1	-4	 the[0] show[0] concludes[0] with[0] a[0] sickening[-3] set[0] of[0] twists[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the best that can be said of the picture is that it is merely stupefyingly awful as opposed to laughably bad . 	the best that can be said of the picture is that it is merely stupefyingly awful as opposed to laughably bad .	2	-4	 the[0] best[1] that[0] can[0] be[0] said[0] of[0] the[0] picture[0] is[0] that[0] it[0] is[0] merely[0] stupefyingly[0] awful[-3] as[0] opposed[0] to[0] laughably[1] bad[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
hard rain runs 1 : 37 . 	hard rain runs 1 : 37 .	1	-1	 hard[0] rain[0] runs[0] 1[0] 37[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is rated r for violence and would be fine for teenagers . 	it is rated are for violence and would be fine for teenagers .	3	-4	 it[0] is[0] rated[0] r[0] for[0] violence[-3] and[0] would[0] be[0] fine[2] for[0] teenagers[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
 ( the two families behind us shockingly had a half-dozen preschoolers among them . ) 	 ( the two families behind us shockingly had a half-dozen preschoolers among them .<br> )	1	-3	 the[0] two[0] families[0] behind[0] us[0] shockingly[-2] had[0] a[0] half[0] dozen[0] preschoolers[0] among[0] them[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
