the above is dialogue from this film , taken almost completely in context , and not jazzed up a bit to make it more inept than it is . 	Translation	Positive	Negative	EmotionRationale
- and by the way , do you get the symbolism ? 	- and by the way , do you get the symbolism ?	1	-1	 and[0] by[0] the[0] way[0] do[0] you[0] get[0] the[0] symbolism[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
red , white , and blue ? 	red , white , and blue ?	1	-1	 red[0] white[0] and[0] blue[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
huh ? 	huh ?	1	-1	 huh[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
huh ? ) , and go on a road trip where three things happen , in no order : 1 ) they have sex ; 2 ) they run into weird people ; 3 ) they kill them . 	huh ?<br> ) , and go on a road trip where three things happen , in no order : 1 ) they have sex ; 2 ) they run into weird people ; 3 ) they kill them .	1	-2	 huh[0] [[Sentence=-1,1=word max, 1-5]] and[0] go[0] on[0] a[0] road[0] trip[0] where[0] three[0] things[0] happen[0] in[0] no[0] order[0] 1[0] they[0] have[0] sex[0] 2[0] they[0] run[0] into[0] weird[-1] people[0] 3[0] they[0] kill[-1] them[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film is basically a remix of a bunch of other far superior films . 	the film is basically a remix of a bunch of other far superior films .	3	-1	 the[0] film[0] is[0] basically[0] a[0] remix[0] of[0] a[0] bunch[0] of[0] other[0] far[0] superior[2] films[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
gregg araki obviously has seen such films as " easy rider , " " natural born killers , " and " kalifornia , " and tries to borrow elements from all these films and make something which is like a pop culture reference guide . 	gregg araki obviously has seen such films as " easy rider , " " natural born killers , " and " kalifornia , " and tries to borrow elements from all these films and make something which is like a pop culture reference guide .	2	-1	 gregg[0] araki[0] obviously[0] has[0] seen[0] such[0] films[0] as[0] easy[0] rider[0] natural[0] born[0] killers[0] and[0] kalifornia[0] and[0] tries[0] to[0] borrow[0] elements[0] from[0] all[0] these[0] films[0] and[0] make[0] something[0] which[0] is[0] like[1] a[0] pop[0] culture[0] reference[0] guide[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but what he forgets is these films either represented something that this film does not , or that they dug deep into their subjects and brought something out of them to make them deeper . 	but what he forgets is these films either represented something that this film does not , or that they dug deep into their subjects and brought something out of them to make them deeper .	1	-1	 but[0] what[0] he[0] forgets[0] is[0] these[0] films[0] either[0] represented[0] something[0] that[0] this[0] film[0] does[0] not[0] or[0] that[0] they[0] dug[0] deep[0] into[0] their[0] subjects[0] and[0] brought[0] something[0] out[0] of[0] them[0] to[0] make[0] them[0] deeper[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " the doom generation " doesn't want to do this ; it just wants to show everything in a surreal manner for the sole reason that araki does not want to deal with them on any kind of real level . 	 " the doom generation " doesn't want to do this ; it just wants to show everything in a surreal manner for the sole reason that araki does not want to deal with them on any kind of real level .	2	-2	 the[0] doom[-1] generation[0] doesn't[0] want[0] to[0] do[0] this[0] it[0] just[0] wants[0] to[0] show[0] everything[0] in[0] a[0] surreal[0] manner[0] for[0] the[0] sole[0] reason[0] that[0] araki[0] does[0] not[0] want[0] to[0] deal[0] with[0] them[0] on[0] any[0] kind[1] of[0] real[0] level[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he wants to show everything in a weird manner , and forgets what the scenes are supposed to be about . 	he wants to show everything in a weird manner , and forgets what the scenes are supposed to be about .	1	-2	 he[0] wants[0] to[0] show[0] everything[0] in[0] a[0] weird[-1] manner[0] and[0] forgets[0] what[0] the[0] scenes[0] are[0] supposed[0] to[0] be[0] about[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
here's one scene , an earlier scene in the film : amy and jordan go into a quick-e mart type place to get food and other stuff . 	here's one scene , an earlier scene in the film : amy and jordan go into a quick-e mart type place to get food and other stuff .	1	-1	 here's[0] one[0] scene[0] an[0] earlier[0] scene[0] in[0] the[0] film[0] amy[0] and[0] jordan[0] go[0] into[0] a[0] quick[0] e[0] mart[0] type[0] place[0] to[0] get[0] food[0] and[0] other[0] stuff[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
amy is smoking , and the clerk , an asian man mind you ( i love how racist this film is , i really do ) , tells her to put it out . 	amy is smoking , and the clerk , an asian man mind you ( i love how racist this film is , i really do ) , tells her to put it out .	3	-2	 amy[0] is[0] smoking[0] and[0] the[0] clerk[0] an[0] asian[0] man[0] mind[0] you[0] i[0] love[2] how[0] racist[-1] this[0] film[0] is[0] i[0] really[0] do[0] tells[0] her[0] to[0] put[0] it[0] out[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
she tells him to fuck off or something to that note . 	she tells him to fuck off or something to that note .	1	-3	 she[0] tells[0] him[0] to[0] fuck[-2] off[0] or[0] something[0] to[0] that[0] note[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he points a shotgun at her , and she puts it out reluctantly . 	he points a shotgun at her , and she puts it out reluctantly .	1	-2	 he[0] points[0] a[0] shotgun[0] at[0] her[0] and[0] she[0] puts[0] it[0] out[0] reluctantly[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jordan makes two hot dogs , and takes them to the counter . 	jordan makes two hot dogs , and takes them to the counter .	1	-1	 jordan[0] makes[0] two[0] hot[0] dogs[0] and[0] takes[0] them[0] to[0] the[0] counter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the cash register rings up " 6 . 66 " 	the cash register rings up " 6 .<br> 66 "	1	-1	 the[0] cash[0] register[0] rings[0] up[0] 6[0] [[Sentence=-1,1=word max, 1-5]] 66[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( oh , and this symbolism doesn't stop here ) . 	 ( oh , and this symbolism doesn't stop here ) .	1	-1	 oh[0] and[0] this[0] symbolism[0] doesn't[0] stop[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jordan checks for his wallet but it's really in the car . 	jordan checks for his wallet but it's really in the car .	1	-1	 jordan[0] checks[0] for[0] his[0] wallet[0] but[0] it's[0] really[0] in[0] the[0] car[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he asks amy for it , but she left her wallet in the car as well . 	he asks amy for it , but she left her wallet in the car as well .	1	-1	 he[0] asks[0] amy[0] for[0] it[0] but[0] she[0] left[0] her[0] wallet[0] in[0] the[0] car[0] as[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the clerk brings out his shotgun again and asks for the money . 	the clerk brings out his shotgun again and asks for the money .	1	-1	 the[0] clerk[0] brings[0] out[0] his[0] shotgun[0] again[0] and[0] asks[0] for[0] the[0] money[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they say they don't have it . 	they say they don't have it .	1	-1	 they[0] say[0] they[0] don't[0] have[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he gets ready to kill them , but then xavier , who they ditched in the middle of nowhere a scene before , pops out of nowhere , fights with the clerk , and ends with him blowing the clerk's head clean off ( clean wound , mind you ) . 	he gets ready to kill them , but then xavier , who they ditched in the middle of nowhere a scene before , pops out of nowhere , fights with the clerk , and ends with him blowing the clerk's head clean off ( clean wound , mind you ) .	1	-3	 he[0] gets[0] ready[0] to[0] kill[-1] them[0] but[0] then[0] xavier[0] who[0] they[0] ditched[0] in[0] the[0] middle[0] of[0] nowhere[0] a[0] scene[0] before[0] pops[0] out[0] of[0] nowhere[0] fights[-2] with[0] the[0] clerk[0] and[0] ends[0] with[0] him[0] blowing[0] the[0] clerk's[0] head[0] clean[0] off[0] clean[0] wound[-1] mind[0] you[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the head is shown flying through the air , and lands in a fryer , where it begins to scream . 	the head is shown flying through the air , and lands in a fryer , where it begins to scream .	1	-4	 the[0] head[0] is[0] shown[0] flying[0] through[0] the[0] air[0] and[0] lands[0] in[0] a[0] fryer[0] where[0] it[0] begins[0] to[0] scream[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i don't really object to this kind of sick violence , but this scene is in the film for one reason and one reason only : to gross you out . 	i don't really object to this kind of sick violence , but this scene is in the film for one reason and one reason only : to gross you out .	2	-4	 i[0] don't[0] really[0] object[0] to[0] this[0] kind[1] of[0] sick[-1] violence[-3] but[0] this[0] scene[0] is[0] in[0] the[0] film[0] for[0] one[0] reason[0] and[0] one[0] reason[0] only[0] to[0] gross[-1] you[0] out[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
araki thinks that if he takes everything to the extreme , he'll make some kind of art . 	araki thinks that if he takes everything to the extreme , he'll make some kind of art .	1	-1	 araki[0] thinks[0] that[0] if[0] he[0] takes[0] everything[0] to[0] the[0] extreme[0] he'll[0] make[0] some[0] kind[1][-1 LastWordBoosterStrength] of[0] art[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wrong . 	wrong .	1	-2	 wrong[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it takes a kind of resistance to make gore art . 	it takes a kind of resistance to make gore art .	2	-1	 it[0] takes[0] a[0] kind[1] of[0] resistance[0] to[0] make[0] gore[0] art[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when george romero made " dawn of the dead , " a very gory flick even for today , he had control over everything and still was able to make everything sick . 	when george romero made " dawn of the dead , " a very gory flick even for today , he had control over everything and still was able to make everything sick .	1	-3	 when[0] george[0] romero[0] made[0] dawn[0] of[0] the[0] dead[-2] a[0] very[0] gory[0] flick[0] even[0] for[0] today[0] he[0] had[0] control[0] over[0] everything[0] and[0] still[0] was[0] able[0] to[0] make[0] everything[0] sick[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
same goes for peter jackson's disgustingly gory " dead alive , " which features a 30 minute long fest of blood , guts , dismemberments , flesh chewing , and other assorted stuff , all ending with a guy with a lawn mower strapped to his body , taking out all sorts of zombies . 	same goes for peter jackson's disgustingly gory " dead alive , " which features a 30 minute long fest of blood , guts , dismemberments , flesh chewing , and other assorted stuff , all ending with a guy with a lawn mower strapped to his body , taking out all sorts of zombies .	1	-4	 same[0] goes[0] for[0] peter[0] jackson's[0] disgustingly[-3] gory[0] dead[-2] alive[0] which[0] features[0] a[0] 30[0] minute[0] long[0] fest[0] of[0] blood[0] guts[0] dismemberments[0] flesh[0] chewing[0] and[0] other[0] assorted[0] stuff[0] all[0] ending[0] with[0] a[0] guy[0] with[0] a[0] lawn[0] mower[0] strapped[0] to[0] his[0] body[0] taking[0] out[0] all[0] sorts[0] of[0] zombies[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it was sick , but it was also satirical , and controled . 	it was sick , but it was also satirical , and controled .	1	-2	 it[0] was[0] sick[-1] but[0] it[0] was[0] also[0] satirical[0] and[0] controled[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a scene like this has no purpose in the film , and it sticks out from everything else that happens . 	a scene like this has no purpose in the film , and it sticks out from everything else that happens .	2	-1	 a[0] scene[0] like[1] this[0] has[0] no[0] purpose[0] in[0] the[0] film[0] and[0] it[0] sticks[0] out[0] from[0] everything[0] else[0] that[0] happens[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
here's a couple other scenes : jordan and amy have sex in a bath tub and xavier watches , masturbates , and then licks the semen from his hand ; xavier and amy have sex and jordan watches from the window , masturbates , and falls backwards ; a man attacks the trio , and is stabbed in the crotch by a giant sword ( put there just so this could happen ) ; a fast food employee stalks the trio , and his arm is shot off by xavier ; and various other annoyances . 	here's a couple other scenes : jordan and amy have sex in a bath tub and xavier watches , masturbates , and then licks the semen from his hand ; xavier and amy have sex and jordan watches from the window , masturbates , and falls backwards ; a man attacks the trio , and is stabbed in the crotch by a giant sword ( put there just so this could happen ) ; a fast food employee stalks the trio , and his arm is shot off by xavier ; and various other annoyances .	1	-3	 here's[0] a[0] couple[0] other[0] scenes[0] jordan[0] and[0] amy[0] have[0] sex[0] in[0] a[0] bath[0] tub[0] and[0] xavier[0] watches[0] masturbates[0] and[0] then[0] licks[0] the[0] semen[0] from[0] his[0] hand[0] xavier[0] and[0] amy[0] have[0] sex[0] and[0] jordan[0] watches[0] from[0] the[0] window[0] masturbates[0] and[0] falls[0] backwards[0] a[0] man[0] attacks[-2] the[0] trio[0] and[0] is[0] stabbed[-1] in[0] the[0] crotch[0] by[0] a[0] giant[0] sword[0] put[0] there[0] just[0] so[0] this[0] could[0] happen[0] a[0] fast[0] food[0] employee[0] stalks[0] the[0] trio[0] and[0] his[0] arm[0] is[0] shot[-1] off[0] by[0] xavier[0] and[0] various[0] other[0] annoyances[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
also , look for about a million camoes from a wide assortment of people , who probably didn't really know what they were getting into when they signed up to do it ( just like peter o'toole , helen mirren , malcolm macdowell , and john gielgud probably didn't when they signed to be in " caligula " ) . 	also , look for about a million camoes from a wide assortment of people , who probably didn't really know what they were getting into when they signed up to do it ( just like peter o'toole , helen mirren , malcolm macdowell , and john gielgud probably didn't when they signed to be in " caligula " ) .	1	-1	 also[0] look[0] for[0] about[0] a[0] million[0] camoes[0] from[0] a[0] wide[0] assortment[0] of[0] people[0] who[0] probably[0] didn't[0] really[0] know[0] what[0] they[0] were[0] getting[0] into[0] when[0] they[0] signed[0] up[0] to[0] do[0] it[0] just[0] like[1][-1 LastWordBoosterStrength] peter[0] o'toole[0] helen[0] mirren[0] malcolm[0] macdowell[0] and[0] john[0] gielgud[0] probably[0] didn't[0] when[0] they[0] signed[0] to[0] be[0] in[0] caligula[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
people such as indie actors parker posey and nicky katt , alternative rock stars skinny puppy and perry farrel , hollywood madam heidi fleiss , christopher " peter brady " mcknight , amanda bearse , and margaret cho all grace the screen for a matter of seconds , then disappear so that we can return to the annoying main plot line . 	people such as indie actors parker posey and nicky katt , alternative rock stars skinny puppy and perry farrel , hollywood madam heidi fleiss , christopher " peter brady " mcknight , amanda bearse , and margaret cho all grace the screen for a matter of seconds , then disappear so that we can return to the annoying main plot line .	3	-3	 people[0] such[0] as[0] indie[0] actors[0] parker[0] posey[0] and[0] nicky[0] katt[0] alternative[0] rock[1] stars[0] skinny[0] puppy[0] and[0] perry[0] farrel[0] hollywood[0] madam[0] heidi[0] fleiss[0] christopher[0] peter[0] brady[0] mcknight[0] amanda[0] bearse[0] and[0] margaret[0] cho[0] all[0] grace[2] the[0] screen[0] for[0] a[0] matter[0] of[0] seconds[0] then[0] disappear[0] so[0] that[0] we[0] can[0] return[0] to[0] the[0] annoying[-2] main[0] plot[0] line[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
why are they here ? 	why are they here ?	1	-1	 why[0] are[0] they[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so that we can all point to them and say " hey , look it's ( fill in the blank ) ! 	so that we can all point to them and say " hey , look it's ( fill in the blank ) !	2	-1	 so[0] that[0] we[0] can[0] all[0] point[0] to[0] them[0] and[0] say[0] hey[1] look[0] it's[0] fill[0] in[0] the[0] blank[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
wow ! " 	wow !<br> "	3	-1	 wow[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
gimme a break . 	gimme a break .	1	-1	 gimme[0] a[0] break[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film's meaning is pretty easy to detect : that , you know , teens are so precious , and the world is such a horrible place , that when the two entities collide , there's a giant explosion of horrific violence . 	the film's meaning is pretty easy to detect : that , you know , teens are so precious , and the world is such a horrible place , that when the two entities collide , there's a giant explosion of horrific violence .	3	-5	 the[0] film's[0] meaning[0] is[0] pretty[2] easy[0] to[0] detect[0] that[0] you[0] know[0] teens[0] are[0] so[0] precious[2] and[0] the[0] world[0] is[0] such[0] a[0] horrible[-3] place[0] that[0] when[0] the[0] two[0] entities[0] collide[-1] there's[0] a[0] giant[0] explosion[-1] of[0] horrific[-3] violence[-3][-1 MultiplePositiveWords] [[Sentence=-5,3=word max, 1-5]][[[3,-5 max of sentences]]]
otherwise defined as " teen angst , " or the belief that being a teenager is a horrible thing and that the world is too bad for you . 	otherwise defined as " teen angst , " or the belief that being a teenager is a horrible thing and that the world is too bad for you .	1	-4	 otherwise[0] defined[0] as[0] teen[0] angst[0] or[0] the[0] belief[0] that[0] being[0] a[0] teenager[0] is[0] a[0] horrible[-3] thing[0] and[0] that[0] the[0] world[0] is[0] too[0] bad[-1] for[0] you[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
look , i'm 19 years old . 	look , i'm 19 years old .	1	-1	 look[0] i'm[0] 19[0] years[0] old[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i went through a very brief teen angst thing which curiously lasted about as long as my taste in nirvana did . 	i went through a very brief teen angst thing which curiously lasted about as long as my taste in nirvana did .	1	-1	 i[0] went[0] through[0] a[0] very[0] brief[0] teen[0] angst[0] thing[0] which[0] curiously[0] lasted[0] about[0] as[0] long[0] as[0] my[0] taste[0] in[0] nirvana[0] did[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i've since moved on to " i don't really know what to do with my life " phase , but the teen angst phase is something which is so annoyingly sophomoric and ignorant that any film that thinks they're dealing with it on any kind of serious level is just beating the wrong horse . 	i've since moved on to " i don't really know what to do with my life " phase , but the teen angst phase is something which is so annoyingly sophomoric and ignorant that any film that thinks they're dealing with it on any kind of serious level is just beating the wrong horse .	2	-3	 i've[0] since[0] moved[0] on[0] to[0] i[0] don't[0] really[0] know[0] what[0] to[0] do[0] with[0] my[0] life[0] phase[0] but[0] the[0] teen[0] angst[0] phase[0] is[0] something[0] which[0] is[0] so[0] annoyingly[-2] sophomoric[0] and[0] ignorant[-2] that[0] any[0] film[0] that[0] thinks[0] they're[0] dealing[0] with[0] it[0] on[0] any[0] kind[1] of[0] serious[-1] level[0] is[0] just[0] beating[0] the[0] wrong[-1] horse[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
part of being a teen is experimenting , and testing the waters . 	part of being a teen is experimenting , and testing the waters .	1	-1	 part[0] of[0] being[0] a[0] teen[0] is[0] experimenting[0] and[0] testing[0] the[0] waters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's not whining about how awful parents are , and purposely feeling dispondent . 	it's not whining about how awful parents are , and purposely feeling dispondent .	3	-4	 it's[0] not[0] whining[-2][NegatedDueToPreviousWord] about[0] how[0] awful[-3] parents[0] are[0] and[0] purposely[0] feeling[0] dispondent[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
this is what the characters in this film do , and the film wants to show how they're these great people who are being punished by the world because they're teenagers , and how they try to defend themselves but can't totally overcome them . 	this is what the characters in this film do , and the film wants to show how they're these great people who are being punished by the world because they're teenagers , and how they try to defend themselves but can't totally overcome them .	3	-2	 this[0] is[0] what[0] the[0] characters[0] in[0] this[0] film[0] do[0] and[0] the[0] film[0] wants[0] to[0] show[0] how[0] they're[0] these[0] great[2] people[0] who[0] are[0] being[0] punished[-1] by[0] the[0] world[0] because[0] they're[0] teenagers[0] and[0] how[0] they[0] try[0] to[0] defend[0] themselves[0] but[0] can't[0] totally[0] overcome[0] them[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it's not their fault they kill people ; it's the world's ! 	it's not their fault they kill people ; it's the world's !	2	-2	 it's[0] not[0] their[0] fault[-1][NegatedDueToPreviousWord] they[0] kill[-1] people[0] it's[0] the[0] world's[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
what they really need is a reality check . 	what they really need is a reality check .	1	-1	 what[0] they[0] really[0] need[0] is[0] a[0] reality[0] check[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the world is a bad place , and teenagers can be easily harmed because they are experimenting . 	the world is a bad place , and teenagers can be easily harmed because they are experimenting .	1	-3	 the[0] world[0] is[0] a[0] bad[-1] place[0] and[0] teenagers[0] can[0] be[0] easily[0] harmed[-2] because[0] they[0] are[0] experimenting[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but part of it is taking everything that happens to you and learning from it . 	but part of it is taking everything that happens to you and learning from it .	1	-1	 but[0] part[0] of[0] it[0] is[0] taking[0] everything[0] that[0] happens[0] to[0] you[0] and[0] learning[0] from[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film thinks that teenagers are basically doomed , and there's nothing they can do about it . 	the film thinks that teenagers are basically doomed , and there's nothing they can do about it .	1	-2	 the[0] film[0] thinks[0] that[0] teenagers[0] are[0] basically[0] doomed[-1] and[0] there's[0] nothing[0] they[0] can[0] do[0] about[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
hence the title . 	hence the title .	1	-1	 hence[0] the[0] title[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
