while watching loser , it occurred to me that amy heckerling's true genius as a film-maker is casting . 	Translation	Positive	Negative	EmotionRationale
they're two conscientious kids who love animals and homeless people , so clearly they belong together , even if paul is a loser . 	they're two conscientious kids who love animals and homeless people , so clearly they belong together , even if paul is a loser .	3	-3	 they're[0] two[0] conscientious[0] kids[0] who[0] love[2] animals[0] and[0] homeless[0] people[0] so[0] clearly[0] they[0] belong[0] together[0] even[0] if[0] paul[0] is[0] a[0] loser[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
i must confess that , for a while , i was suckered in by heckerling's casting . 	i must confess that , for a while , i was suckered in by heckerling's casting .	1	-2	 i[0] must[0] confess[-1] that[0] for[0] a[0] while[0] i[0] was[0] suckered[-1] in[0] by[0] heckerling's[0] casting[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jason biggs is an engaging performer whose unconventional looks make him even easier to embrace ; suvari is a coquette with an undercurrent of intelligence . 	jason biggs is an engaging performer whose unconventional looks make him even easier to embrace ; suvari is a coquette with an undercurrent of intelligence .	1	-1	 jason[0] biggs[0] is[0] an[0] engaging[0] performer[0] whose[0] unconventional[0] looks[0] make[0] him[0] even[0] easier[0] to[0] embrace[0] suvari[0] is[0] a[0] coquette[0] with[0] an[0] undercurrent[0] of[0] intelligence[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they're pleasant enough to watch , and heckerling gives us plenty of scenes establishing how nice they are and how nice their respective antagonists aren't . 	they're pleasant enough to watch , and heckerling gives us plenty of scenes establishing how nice they are and how nice their respective antagonists aren't .	3	-2	 they're[0] pleasant[2] enough[0] to[0] watch[0] and[0] heckerling[0] gives[0] us[0] plenty[0] of[0] scenes[0] establishing[0] how[0] nice[1] they[0] are[0] and[0] how[0] nice[1] their[0] respective[2] antagonists[-1] aren't[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
then it gradually becomes clear that there's virtually nothing to loser but scenes of that sort . 	then it gradually becomes clear that there's virtually nothing to loser but scenes of that sort .	1	-3	 then[0] it[0] gradually[0] becomes[0] clear[0] that[0] there's[0] virtually[0] nothing[0] to[0] loser[-2] but[0] scenes[0] of[0] that[0] sort[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in theory , loser is a romantic comedy , but there is scarcely a laugh to be found in the entire film ( notable exception : a cameo by a scene-stealing comic actor as a video store clerk ) . 	in theory , loser is a romantic comedy , but there is scarcely a laugh to be found in the entire film ( notable exception : a cameo by a scene-stealing comic actor as a video store clerk ) .	4	-3	 in[0] theory[0] loser[-2] is[0] a[0] romantic[3] comedy[0] but[0] there[0] is[0] scarcely[0] a[0] laugh[1] to[0] be[0] found[0] in[0] the[0] entire[0] film[0] notable[0] exception[0] a[0] cameo[0] by[0] a[0] scene[0] stealing[-2] comic[0] actor[0] as[0] a[0] video[0] store[0] clerk[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
instead of taking any time to make the characters' situations funny , heckerling spends 98 minutes making her characters' situations pathetic . 	instead of taking any time to make the characters' situations funny , heckerling spends 98 minutes making her characters' situations pathetic .	2	-3	 instead[0] of[0] taking[0] any[0] time[0] to[0] make[0] the[0] characters'[0] situations[0] funny[1] heckerling[0] spends[0] 98[0] minutes[0] making[0] her[0] characters'[0] situations[0] pathetic[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
she shows none of the ear for quirky dialogue that sparked clueless , nor any of that film's interest in lively plotting ( not surprisingly , since clueless's plot came via jane austen's emma ) . 	she shows none of the ear for quirky dialogue that sparked clueless , nor any of that film's interest in lively plotting ( not surprisingly , since clueless's plot came via jane austen's emma ) .	2	-1	 she[0] shows[0] none[0] of[0] the[0] ear[0] for[0] quirky[0] dialogue[0] that[0] sparked[0] clueless[0] nor[0] any[0] of[0] that[0] film's[0] interest[1] in[0] lively[1] plotting[0] not[0] surprisingly[0] since[0] clueless's[0] plot[0] came[0] via[0] jane[0] austen's[0] emma[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she simply turns the film into a pity party . 	she simply turns the film into a pity party .	1	-2	 she[0] simply[0] turns[0] the[0] film[0] into[0] a[0] pity[-1] party[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
since loser is a film composed almost entirely of establishing character , you might think that those characters would be interesting , or at least slightly complicated . 	since loser is a film composed almost entirely of establishing character , you might think that those characters would be interesting , or at least slightly complicated .	2	-3	 since[0] loser[-2] is[0] a[0] film[0] composed[0] almost[0] entirely[0] of[0] establishing[0] character[0] you[0] might[0] think[0] that[0] those[0] characters[0] would[0] be[0] interesting[1] or[0] at[0] least[0] slightly[0] complicated[-1][--1 LastWordBoosterStrength] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
instead , you have people either so perfect or so unredeemable that there's no reason to watch them . 	instead , you have people either so perfect or so unredeemable that there's no reason to watch them .	2	-1	 instead[0] you[0] have[0] people[0] either[0] so[0] perfect[1] or[0] so[0] unredeemable[0] that[0] there's[0] no[0] reason[0] to[0] watch[0] them[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
paul isn't just a nice guy , he's flawless ; consequently , he's a central character who does absolutely no growing . 	paul isn't just a nice guy , he's flawless ; consequently , he's a central character who does absolutely no growing .	2	-2	 paul[0] isn't[0] just[0] a[0] nice[1][NegatedDueToPreviousWord] guy[0] he's[0] flawless[1] consequently[0] he's[0] a[0] central[0] character[0] who[0] does[0] absolutely[0] no[0] growing[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
his roommates aren't just inconsiderate , they're actively evil-blackmailing professor alcott , drugging women with rohypnol and generally giving humanity a bad name . 	his roommates aren't just inconsiderate , they're actively evil-blackmailing professor alcott , drugging women with rohypnol and generally giving humanity a bad name .	1	-4	 his[0] roommates[0] aren't[0] just[0] inconsiderate[0] they're[0] actively[0] evil[-2] blackmailing[-2][-1 MultiplePositiveWords] professor[0] alcott[0] drugging[0] women[0] with[0] rohypnol[0] and[0] generally[0] giving[0] humanity[0] a[0] bad[-1] name[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and professor alcott isn't just manipulative , he turns dora into his house slave . 	and professor alcott isn't just manipulative , he turns dora into his house slave .	1	-1	 and[0] professor[0] alcott[0] isn't[0] just[0] manipulative[-1][--1 LastWordBoosterStrength] he[0] turns[0] dora[0] into[0] his[0] house[0] slave[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dora's unthinking devotion to alcott is the only whiff of basic human frailty to be found in loser , and even that isn't explored in sufficient detail . 	dora's unthinking devotion to alcott is the only whiff of basic human frailty to be found in loser , and even that isn't explored in sufficient detail .	3	-3	 dora's[0] unthinking[0] devotion[2] to[0] alcott[0] is[0] the[0] only[0] whiff[0] of[0] basic[0] human[0] frailty[0] to[0] be[0] found[0] in[0] loser[-2] and[0] even[0] that[0] isn't[0] explored[0] in[0] sufficient[0] detail[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
there's more ambiguity in the 30-second snippet from alan cumming's broadway performance as the emcee in cabaret then there is in the rest of loser it's one thing to turn supporting characters into comic exaggerations ; it's another to flatten your leads into easily digestible mush . 	there's more ambiguity in the 30-second snippet from alan cumming's broadway performance as the emcee in cabaret then there is in the rest of loser it's one thing to turn supporting characters into comic exaggerations ; it's another to flatten your leads into easily digestible mush .	2	-3	 there's[0] more[0] ambiguity[-1] in[0] the[0] 30[0] second[0] snippet[0] from[0] alan[0] cumming's[0] broadway[0] performance[0] as[0] the[0] emcee[0] in[0] cabaret[0] then[0] there[0] is[0] in[0] the[0] rest[0] of[0] loser[-2] it's[0] one[0] thing[0] to[0] turn[0] supporting[1] characters[0] into[0] comic[0] exaggerations[-1] it's[0] another[0] to[0] flatten[0] your[0] leads[0] into[0] easily[0] digestible[0] mush[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
and it would help if those comic exaggerations were somehow . . . 	and it would help if those comic exaggerations were somehow .<br> .<br> .	1	-2	 and[0] it[0] would[0] help[0] if[0] those[0] comic[0] exaggerations[-1] were[0] somehow[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i don't know . . . 	i don't know .<br> .<br> .	1	-1	 i[0] don't[0] know[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
comic . 	comic .	1	-1	 comic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
still , i spent much of the film holding out the ridiculous hope that heckerling would somehow salvage loser from its tedium and justify my desire to like paul and dora . 	still , i spent much of the film holding out the ridiculous hope that heckerling would somehow salvage loser from its tedium and justify my desire to like paul and dora .	3	-3	 still[0] i[0] spent[0] much[0] of[0] the[0] film[0] holding[0] out[0] the[0] ridiculous[-2] hope[2] that[0] heckerling[0] would[0] somehow[0] salvage[0] loser[-2] from[0] its[0] tedium[0] and[0] justify[0] my[0] desire[0] to[0] like[1] paul[0] and[0] dora[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
that hope dissolved the moment heckerling underscored a sequence of paul in the throes of unrequited love to simon and garfunkel's " scarborough fair/canticle . " 	that hope dissolved the moment heckerling underscored a sequence of paul in the throes of unrequited love to simon and garfunkel's " scarborough fair/canticle .<br> "	3	-1	 that[0] hope[2] dissolved[0] the[0] moment[0] heckerling[0] underscored[0] a[0] sequence[0] of[0] paul[0] in[0] the[0] throes[0] of[0] unrequited[0] love[2] to[0] simon[0] and[0] garfunkel's[0] scarborough[0] fair/canticle[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
instead of giving the sequence a knowing wink-a reference to the graduate , a hint that paul is becoming an overly-sensitive clich-heckerling plays it deadly straight . 	instead of giving the sequence a knowing wink-a reference to the graduate , a hint that paul is becoming an overly-sensitive clich-heckerling plays it deadly straight .	2	-2	 instead[0] of[0] giving[0] the[0] sequence[0] a[0] knowing[0] wink[0] a[0] reference[0] to[0] the[0] graduate[0] a[0] hint[0] that[0] paul[0] is[0] becoming[0] an[0] overly[0] sensitive[0] clich[0] heckerling[0] plays[1] it[0] deadly[-1] straight[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
even in the scenes that scream for a light comic touch and a bit of a poke at her protagonist's foibles , she finds it impossible to stray from the gospel of paul as saint . 	even in the scenes that scream for a light comic touch and a bit of a poke at her protagonist's foibles , she finds it impossible to stray from the gospel of paul as saint .	1	-4	 even[0] in[0] the[0] scenes[0] that[0] scream[-3] for[0] a[0] light[0] comic[0] touch[0] and[0] a[0] bit[0] of[0] a[0] poke[0] at[0] her[0] protagonist's[0] foibles[-1] she[0] finds[0] it[0] impossible[0] to[0] stray[-1] from[0] the[0] gospel[0] of[0] paul[0] as[0] saint[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
clueless's cher had her self-absorption and manipulative tendencies to balance her cuteness . 	clueless's cher had her self-absorption and manipulative tendencies to balance her cuteness .	2	-2	 clueless's[0] cher[0] had[0] her[0] self[0] absorption[0] and[0] manipulative[-1] tendencies[0] to[0] balance[0] her[0] cuteness[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in loser , amy heckerling shows a leaden hand with material that demands friskiness ( her one show of wit involves naming paul's dorm " hunt's hall " after erstwhile bowery boy huntz hall ) . 	in loser , amy heckerling shows a leaden hand with material that demands friskiness ( her one show of wit involves naming paul's dorm " hunt's hall " after erstwhile bowery boy huntz hall ) .	1	-3	 in[0] loser[-2] amy[0] heckerling[0] shows[0] a[0] leaden[0] hand[0] with[0] material[0] that[0] demands[0] friskiness[0] her[0] one[0] show[0] of[0] wit[0] involves[0] naming[0] paul's[0] dorm[0] hunt's[0] hall[0] after[0] erstwhile[0] bowery[0] boy[0] huntz[0] hall[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
her gift with casting proved to be her curse . 	her gift with casting proved to be her curse .	1	-2	 her[0] gift[0] with[0] casting[0] proved[0] to[0] be[0] her[0] curse[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
loser may be a crashing bore , but gee , aren't those two kids swell ? 	loser may be a crashing bore , but gee , aren't those two kids swell ?	1	-3	 loser[-2] may[0] be[0] a[0] crashing[0] bore[-1] but[0] gee[0] aren't[0] those[0] two[0] kids[0] swell[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
