this film is worth seeing for those who want to see what mick jagger looks like when sporting an abe lincoln beard . 	Translation	Positive	Negative	EmotionRationale
he begins by stealing horses , after complaining about the unfair tax law on horses that stray , which favors the rich landowners . 	he begins by stealing horses , after complaining about the unfair tax law on horses that stray , which favors the rich landowners .	2	-3	 he[0] begins[0] by[0] stealing[-2] horses[0] after[0] complaining[-1] about[0] the[0] unfair[-1] tax[-1] law[0] on[0] horses[0] that[0] stray[-1] which[0] favors[1] the[0] rich[0] landowners[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
when he's only 20 he forms a gang , causing him to hide the rest of his life from the police , who put a price on his head of two thousand pounds . 	when he's only 20 he forms a gang , causing him to hide the rest of his life from the police , who put a price on his head of two thousand pounds .	1	-1	 when[0] he's[0] only[0] 20[0] he[0] forms[0] a[0] gang[0] causing[0] him[0] to[0] hide[0] the[0] rest[0] of[0] his[0] life[0] from[0] the[0] police[0] who[0] put[0] a[0] price[0] on[0] his[0] head[0] of[0] two[0] thousand[0] pounds[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when ned's mother ( clarissa kaye ) is jailed on a false charge of abetting criminals and sentenced to 3-5 years , ned offers to surrender in exchange for his mother's freedom . 	when ned's mother ( clarissa kaye ) is jailed on a false charge of abetting criminals and sentenced to 3-5 years , ned offers to surrender in exchange for his mother's freedom .	1	-2	 when[0] ned's[0] mother[0] clarissa[0] kaye[0] is[0] jailed[-1] on[0] a[0] false[0] charge[-1] of[0] abetting[0] criminals[-1] and[0] sentenced[0] to[0] 3[0] -5[0] years[0] ned[0] offers[0] to[0] surrender[0] in[0] exchange[0] for[0] his[0] mother's[0] freedom[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when the authorities refuse , the kelly brothers go on a robbing rampage , burning mortgages of the poor found in postal vaults and murdering some soldiers . 	when the authorities refuse , the kelly brothers go on a robbing rampage , burning mortgages of the poor found in postal vaults and murdering some soldiers .	1	-4	 when[0] the[0] authorities[0] refuse[-1] the[0] kelly[0] brothers[0] go[0] on[0] a[0] robbing[0] rampage[0] burning[-1] mortgages[0] of[0] the[0] poor[-1] found[0] in[0] postal[0] vaults[0] and[0] murdering[-3] some[0] soldiers[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
rampaging through the outback , they gather sympathy among the poor and lower classes , who don't trust the traps ( police ) . 	rampaging through the outback , they gather sympathy among the poor and lower classes , who don't trust the traps ( police ) .	1	-2	 rampaging[0] through[0] the[0] outback[0] they[0] gather[0] sympathy[0] among[0] the[0] poor[-1] and[0] lower[0] classes[0] who[0] don't[0] trust[1][NegatedDueToPreviousWord] the[0] traps[0] police[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
spoiler to follow in the next paragraph . 	spoiler to follow in the next paragraph .	1	-2	 spoiler[-1] to[0] follow[0] in[0] the[0] next[0] paragraph[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in the climax , kelly and his gang plan to ambush a train with british police , but someone kelly trusted tips the police on the train and kelly is trapped in a saloon and captured . 	in the climax , kelly and his gang plan to ambush a train with british police , but someone kelly trusted tips the police on the train and kelly is trapped in a saloon and captured .	2	-2	 in[0] the[0] climax[0] kelly[0] and[0] his[0] gang[0] plan[0] to[0] ambush[-1] a[0] train[0] with[0] british[0] police[0] but[0] someone[0] kelly[0] trusted[1] tips[0] the[0] police[0] on[0] the[0] train[0] and[0] kelly[0] is[0] trapped[0] in[0] a[0] saloon[0] and[0] captured[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
ned's brothers commit suicide rather than be taken alive . 	ned's brothers commit suicide rather than be taken alive .	1	-4	 ned's[0] brothers[0] commit[0] suicide[-3] rather[0] than[0] be[0] taken[0] alive[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
but kelly's gang escapes , as ned heroically has the police go after only him and his brothers , as they become decoys . 	but kelly's gang escapes , as ned heroically has the police go after only him and his brothers , as they become decoys .	3	-1	 but[0] kelly's[0] gang[0] escapes[0] as[0] ned[0] heroically[2] has[0] the[0] police[0] go[0] after[0] only[0] him[0] and[0] his[0] brothers[0] as[0] they[0] become[0] decoys[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this was a flat presentation , hardly touching an emotional button on what all the fuss was about over ned kelly's call for justice . 	this was a flat presentation , hardly touching an emotional button on what all the fuss was about over ned kelly's call for justice .	1	-2	 this[0] was[0] a[0] flat[0] presentation[0] hardly[0] touching[0] an[0] emotional[-1] button[0] on[0] what[0] all[0] the[0] fuss[-1] was[0] about[0] over[0] ned[0] kelly's[0] call[0] for[0] justice[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jagger didn't have a prayer in succeeding in this dry script offered by ian jones and tony richardson . 	jagger didn't have a prayer in succeeding in this dry script offered by ian jones and tony richardson .	3	-1	 jagger[0] didn't[0] have[0] a[0] prayer[0] in[0] succeeding[2] in[0] this[0] dry[0] script[0] offered[0] by[0] ian[0] jones[0] and[0] tony[0] richardson[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the story failed to focus on australia , seemingly a more british film than australian . 	the story failed to focus on australia , seemingly a more british film than australian .	1	-3	 the[0] story[0] failed[-2] to[0] focus[0] on[0] australia[0] seemingly[0] a[0] more[0] british[0] film[0] than[0] australian[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
under richardson's lackluster direction , all jagger seemed to do , was proclaim his innocence and vow revenge , which soon became a shrill cry . 	under richardson's lackluster direction , all jagger seemed to do , was proclaim his innocence and vow revenge , which soon became a shrill cry .	2	-4	 under[0] richardson's[0] lackluster[0] direction[0] all[0] jagger[0] seemed[0] to[0] do[0] was[0] proclaim[0] his[0] innocence[1] and[0] vow[0] revenge[-1] which[0] soon[0] became[0] a[0] shrill[-1] cry[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
if you want to see a better film about ned kelly , catch " mad dog morgan " ( 76 ) , a much truer and more daring version , with dennis hopper giving a much better characterization of ned kelly's madness , something this film could only do in a ho-hum manner . 	if you want to see a better film about ned kelly , catch " mad dog morgan " ( 76 ) , a much truer and more daring version , with dennis hopper giving a much better characterization of ned kelly's madness , something this film could only do in a ho-hum manner .	2	-2	 if[0] you[0] want[0] to[0] see[0] a[0] better[0] film[0] about[0] ned[0] kelly[0] catch[0] mad[-1] dog[0] morgan[0] 76[0] a[0] much[0] truer[1] and[0] more[0] daring[0] version[0] with[0] dennis[0] hopper[0] giving[0] a[0] much[0] better[0] characterization[0] of[0] ned[0] kelly's[0] madness[-1] something[0] this[0] film[0] could[0] only[0] do[0] in[0] a[0] ho[0] hum[0] manner[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
