conventional wisdom among collectibles retailers is that children's items begin to dramatically escalate in price about twenty-five or thirty years after the item was made . 	Translation	Positive	Negative	EmotionRationale
none of these are even good films . 	none of these are even good films .	2	-1	 none[0] of[0] these[0] are[0] even[0] good[1] films[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
you can now add " the avengers " to the list . 	you can now add " the avengers " to the list .	1	-2	 you[0] can[0] now[0] add[0] the[0] avengers[-1] to[0] the[0] list[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the british television series began in 1961 . 	the british television series began in 1961 .	1	-1	 the[0] british[0] television[0] series[0] began[0] in[0] 1961[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
super secret agent john steed ( then-patrick macnee ) and his third partner , emma peel ( then-diana rigg ) are the pair that the american audience fell for . 	super secret agent john steed ( then-patrick macnee ) and his third partner , emma peel ( then-diana rig ) are the pair that the american audience fell for .	3	-1	 super[2] secret[0] agent[0] john[0] steed[0] then[0] patrick[0] macnee[0] and[0] his[0] third[0] partner[0] emma[0] peel[0] then[0] diana[0] rigg/rig[0] are[0] the[0] pair[0] that[0] the[0] american[0] audience[0] fell[0] for[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
surrealistic and witty , the series fit the mood of the times . 	surrealistic and witty , the series fit the mood of the times .	1	-1	 surrealistic[0] and[0] witty[0] the[0] series[0] fit[0] the[0] mood[0] of[0] the[0] times[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the leather-clad rigg probably didn't hurt the ratings either . 	the leather-clad rig probably didn't hurt the ratings either .	1	-3	 the[0] leather[0] clad[0] rigg/rig[0] probably[0] didn't[0] hurt[-2] the[0] ratings[0] either[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
after all it's not a coincidence that you can't pronounce her character's name without " appeal " . 	after all it's not a coincidence that you can't pronounce her character's name without " appeal " .	1	-1	 after[0] all[0] it's[0] not[0] a[0] coincidence[0] that[0] you[0] can't[0] pronounce[0] her[0] character's[0] name[0] without[0] appeal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now we're in the nineties . 	now we're in the nineties .	1	-1	 now[0] we're[0] in[0] the[0] nineties[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
steed ( now-ralph fiennes ) and peel ( now-uma thurman ) are battling evil genius sir august de wynter ( sean connery ) who is screwing with england's weather . 	steed ( now-ralph fiennes ) and peel ( now-uma thurman ) are battling evil genius sir august de wynter ( sean connery ) who is screwing with england's weather .	1	-3	 steed[0] now[0] ralph[0] fiennes[0] and[0] peel[0] now[0] uma[0] thurman[0] are[0] battling[0] evil[-2] genius[0] sir[0] august[0] de[0] wynter[0] sean[0] connery[0] who[0] is[0] screwing[0] with[0] england's[0] weather[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
that's about as much of a plot as we have . 	that's about as much of a plot as we have .	1	-1	 that's[0] about[0] as[0] much[0] of[0] a[0] plot[0] as[0] we[0] have[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's some footage about a lot of other things that either don't make sense or make even less sense . 	there's some footage about a lot of other things that either don't make sense or make even less sense .	1	-1	 there's[0] some[0] footage[0] about[0] a[0] lot[0] of[0] other[0] things[0] that[0] either[0] don't[0] make[0] sense[0] or[0] make[0] even[0] less[0] sense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we get betrayal for some unknown reason . 	we get betrayal for some unknown reason .	1	-3	 we[0] get[0] betrayal[-2] for[0] some[0] unknown[0] reason[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
evil clones appear and vanish and have no connection to the film . 	evil clones appear and vanish and have no connection to the film .	1	-3	 evil[-2] clones[0] appear[0] and[0] vanish[-1] and[0] have[0] no[0] connection[0] to[0] the[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
remarkably ineffective giant flying robot wasps with machine guns in their belly come from nowhere for no good reason . 	remarkably ineffective giant flying robot wasps with machine guns in their belly come from nowhere for no good reason .	2	-2	 remarkably[0] ineffective[-1] giant[0] flying[0] robot[0] wasps[0] with[0] machine[0] guns[-1] in[0] their[0] belly[0] come[0] from[0] nowhere[0] for[0] no[0] good[1] reason[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there's a high tech hot air balloon , but i have no idea why anyone's in it . 	there's a high tech hot air balloon , but i have no idea why anyone's in it .	1	-1	 there's[0] a[0] high[0] tech[0] hot[0] air[0] balloon[0] but[0] i[0] have[0] no[0] idea[0] why[0] anyone's[0] in[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the spy agency is run by a man called " mother " who is in a wheelchair and a woman named " father " who is blind . . . at 	the spy agency is run by a man called " mother " who is in a wheelchair and a woman named " father " who is blind .<br> .<br> .<br> at	1	-2	 the[0] spy[0] agency[0] is[0] run[0] by[0] a[0] man[0] called[0] mother[0] who[0] is[0] in[0] a[0] wheelchair[0] and[0] a[0] woman[0] named[0] father[0] who[0] is[0] blind[-1] [[Sentence=-2,1=word max, 1-5]] at[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
least in some scenes . 	least in some scenes .	1	-1	 least[0] in[0] some[0] scenes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's probably a reason for all of this , but we'll never know it . 	there's probably a reason for all of this , but we'll never know it .	1	-1	 there's[0] probably[0] a[0] reason[0] for[0] all[0] of[0] this[0] but[0] we'll[0] never[0] know[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
macnee makes an appearance of sorts . 	macnee makes an appearance of sorts .	1	-1	 macnee[0] makes[0] an[0] appearance[0] of[0] sorts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he is the voice for an invisible man whose character goes nowhere in a scene that does nothing . 	he is the voice for an invisible man whose character goes nowhere in a scene that does nothing .	1	-2	 he[0] is[0] the[0] voice[0] for[0] an[0] invisible[-1] man[0] whose[0] character[0] goes[0] nowhere[0] in[0] a[0] scene[0] that[0] does[0] nothing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a group of villains sits around a table , all clad in huge pastel-colored teddy bear outfits . 	a group of villains sits around a table , all clad in huge pastel-colored teddy bear outfits .	1	-3	 a[0] group[0] of[0] villains[-2] sits[0] around[0] a[0] table[0] all[0] clad[0] in[0] huge[0] pastel[0] colored[0] teddy[0] bear[0] outfits[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
at first it's humorous to watch the teddies waddle around , but then it becomes goofy . 	at first it's humorous to watch the teddies waddle around , but then it becomes goofy .	3	-1	 at[0] first[0] it's[0] humorous[2] to[0] watch[0] the[0] teddies[0] waddle[0] around[0] but[0] then[0] it[0] becomes[0] goofy[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the movie is a medley of clutter , confusion and wrong decisions around every corner . 	the movie is a medley of clutter , confusion and wrong decisions around every corner .	1	-2	 the[0] movie[0] is[0] a[0] medley[0] of[0] clutter[-1] confusion[-1] and[0] wrong[-1] decisions[0] around[0] every[0] corner[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it feels like major portions of the film are missing . 	it feels like major portions of the film are missing .	2	-1	 it[0] feels[0] like[1] major[0] portions[0] of[0] the[0] film[0] are[0] missing[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the storyline jumps rather than flows . 	the storyline jumps rather than flows .	1	-1	 the[0] storyline[0] jumps[0] rather[0] than[0] flows[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
reportedly the film was re-cut several times . 	reportedly the film was re-cut several times .	1	-1	 reportedly[0] the[0] film[0] was[0] re[0] cut[0] several[0] times[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is one of those times where the whole is less than the sum of the parts especially since some of the parts appear to be missing . 	this is one of those times where the whole is less than the sum of the parts especially since some of the parts appear to be missing .	1	-1	 this[0] is[0] one[0] of[0] those[0] times[0] where[0] the[0] whole[0] is[0] less[0] than[0] the[0] sum[0] of[0] the[0] parts[0] especially[0] since[0] some[0] of[0] the[0] parts[0] appear[0] to[0] be[0] missing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's one good point where peel is running from one room to another in a house designed by escher . 	there's one good point where peel is running from one room to another in a house designed by escher .	2	-1	 there's[0] one[0] good[1] point[0] where[0] peel[0] is[0] running[0] from[0] one[0] room[0] to[0] another[0] in[0] a[0] house[0] designed[0] by[0] escher[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
other than that , the effects are second-rate . 	other than that , the effects are second-rate .	1	-1	 other[0] than[0] that[0] the[0] effects[0] are[0] second[0] rate[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the weather threat is old hat as are the scenes of huge tornadoes . 	the weather threat is old hat as are the scenes of huge tornadoes .	1	-3	 the[0] weather[0] threat[-2] is[0] old[0] hat[0] as[0] are[0] the[0] scenes[0] of[0] huge[0] tornadoes[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
thurman almost makes an adequate emma peel but it doesn't work . 	thurman almost makes an adequate emma peel but it doesn't work .	1	-1	 thurman[0] almost[0] makes[0] an[0] adequate[0] emma[0] peel[0] but[0] it[0] doesn't[0] work[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she looks good , dresses in all the right fetish outfits but there's no spark . 	she looks good , dresses in all the right fetish outfits but there's no spark .	2	-1	 she[0] looks[0] good[1] dresses[0] in[0] all[0] the[0] right[0] fetish[0] outfits[0] but[0] there's[0] no[0] spark[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
fiennes fares even less well . 	fiennes fares even less well .	1	-1	 fiennes[0] fares[0] even[0] less[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
macnee's steed was a witty man of the world with a sense of humor . 	macnee's steed was a witty man of the world with a sense of humor .	3	-1	 macnee's[0] steed[0] was[0] a[0] witty[0] man[0] of[0] the[0] world[0] with[0] a[0] sense[0] of[0] humor[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
fiennes' agent comes across as a dour kid in grown-up clothes who has never been out of his home town . 	fiennes' agent comes across as a dour kid in grown-up clothes who has never been out of his home town .	1	-1	 fiennes'[0] agent[0] comes[0] across[0] as[0] a[0] dour[0] kid[0] in[0] grown[0] up[0] clothes[0] who[0] has[0] never[0] been[0] out[0] of[0] his[0] home[0] town[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even connery , one of the greatest living actors , doesn't have much of a presence outside of a few fiery scenes . 	even connery , one of the greatest living actors , doesn't have much of a presence outside of a few fiery scenes .	3	-2	 even[0] connery[0] one[0] of[0] the[0] greatest[2] living[0] actors[0] doesn't[0] have[0] much[0] of[0] a[0] presence[0] outside[0] of[0] a[0] few[0] fiery[-1] scenes[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the action scenes are difficult to follow . 	the action scenes are difficult to follow .	1	-2	 the[0] action[0] scenes[0] are[0] difficult[-1] to[0] follow[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
director jeremiah chechik ( responsible for the atrocious remake of " diabolique " ) somehow manages to put the camera exactly where it shouldn't be . 	director jeremiah chechik ( responsible for the atrocious remake of " diabolique " ) somehow manages to put the camera exactly where it shouldn't be .	1	-4	 director[0] jeremiah[0] chechik[0] responsible[0] for[0] the[0] atrocious[-3] remake[0] of[0] diabolique[0] somehow[0] manages[0] to[0] put[0] the[0] camera[0] exactly[0] where[0] it[0] shouldn't[0] be[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
things happen , people move around , but even if , with the utmost effort , you were able to care about any of it , the scenes are bewildering . 	things happen , people move around , but even if , with the utmost effort , you were able to care about any of it , the scenes are bewildering .	2	-3	 things[0] happen[0] people[0] move[0] around[0] but[0] even[0] if[0] with[0] the[0] utmost[0] effort[0] you[0] were[0] able[0] to[0] care[1] about[0] any[0] of[0] it[0] the[0] scenes[0] are[0] bewildering[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the primary allure of the original was the interaction between the two leads . 	the primary allure of the original was the interaction between the two leads .	1	-1	 the[0] primary[0] allure[0] of[0] the[0] original[0] was[0] the[0] interaction[0] between[0] the[0] two[0] leads[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
witty banter and an underplayed sexual tension were a winning combination . 	witty banter and an underplayed sexual tension were a winning combination .	2	-3	 witty[0] banter[0] and[0] an[0] underplayed[0] sexual[0] tension[-2] were[0] a[0] winning[1] combination[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
admittedly there are a few humorous sexual puns in the film , but there's no chemistry and the repartee is anything but clever . 	admittedly there are a few humorous sexual puns in the film , but there's no chemistry and the repartee is anything but clever .	3	-1	 admittedly[0] there[0] are[0] a[0] few[0] humorous[2] sexual[0] puns[0] in[0] the[0] film[0] but[0] there's[0] no[0] chemistry[0] and[0] the[0] repartee[0] is[0] anything[0] but[0] clever[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
one of emma peel's first lines of dialog is " rules are made to be broken . " 	one of emma peel's first lines of dialog is " rules are made to be broken .<br> "	1	-2	 one[0] of[0] emma[0] peel's[0] first[0] lines[0] of[0] dialog[0] is[0] rules[0] are[0] made[0] to[0] be[0] broken[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it doesn't get any better . 	it doesn't get any better .	1	-1	 it[0] doesn't[0] get[0] any[0] better[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
advance word alone should have been enough to scare off anyone . 	advance word alone should have been enough to scare off anyone .	1	-4	 advance[0] word[0] alone[0] should[0] have[0] been[0] enough[0] to[0] scare[-3] off[0] anyone[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the release date was changed several times . 	the release date was changed several times .	1	-1	 the[0] release[0] date[0] was[0] changed[0] several[0] times[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
connery refuses to promote the film . 	connery refuses to promote the film .	1	-2	 connery[0] refuses[-1] to[0] promote[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there was no screening for critics which may have been a good choice for warner brothers . 	there was no screening for critics which may have been a good choice for warner brothers .	2	-1	 there[0] was[0] no[0] screening[0] for[0] critics[0] which[0] may[0] have[0] been[0] a[0] good[1] choice[0] for[0] warner[0] brothers[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
at least this way , they get something of an audience for the first weekend before the news gets out . 	at least this way , they get something of an audience for the first weekend before the news gets out .	1	-1	 at[0] least[0] this[0] way[0] they[0] get[0] something[0] of[0] an[0] audience[0] for[0] the[0] first[0] weekend[0] before[0] the[0] news[0] gets[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
admittedly i haven't seen an episode of the television series for a couple of decades . 	admittedly i haven't seen an episode of the television series for a couple of decades .	1	-1	 admittedly[0] i[0] haven't[0] seen[0] an[0] episode[0] of[0] the[0] television[0] series[0] for[0] a[0] couple[0] of[0] decades[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
my guess is that it would be severely dated now . 	my guess is that it would be severely dated now .	1	-2	 my[0] guess[0] is[0] that[0] it[0] would[0] be[0] severely[-1] dated[0] now[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
no matter how antiquated it might be , there's no doubt that it holds up better than this film is at first viewing . 	no matter how antiquated it might be , there's no doubt that it holds up better than this film is at first viewing .	1	-2	 no[0] matter[0] how[0] antiquated[-1] it[0] might[0] be[0] there's[0] no[0] doubt[-1] that[0] it[0] holds[0] up[0] better[0] than[0] this[0] film[0] is[0] at[0] first[0] viewing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there's no reason to waste any part of the last few days of summer inside watching this movie . 	there's no reason to waste any part of the last few days of summer inside watching this movie .	1	-2	 there's[0] no[0] reason[0] to[0] waste[-1] any[0] part[0] of[0] the[0] last[0] few[0] days[0] of[0] summer[0] inside[0] watching[0] this[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
no reason at all . 	no reason at all .	1	-1	 no[0] reason[0] at[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
