alexander dumas' the three musketeers is one of the most often-adapted literary works , and for good reason : the swashbuckler is a legend rather than just a story . 	Translation	Positive	Negative	EmotionRationale
oh , and as an afterthought , d'artagnan falls in love with the poor maid at the local inn ( mena suvari ) . 	oh , and as an afterthought , d'artagnan falls in love with the poor maid at the local in ( mena suvari ) .	3	-2	 oh[0] and[0] as[0] an[0] afterthought[0] d'artagnan[0] falls[0] in[0] love[2] with[0] the[0] poor[-1] maid[0] at[0] the[0] local[0] inn/in[0] mena[0] suvari[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
just thought i'd mention that . 	just thought i'd mention that .	1	-1	 just[0] thought[0] i'd[0] mention[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now , look : i don't know whose idea this was , but whoever is responsible deserves a severe tongue-lashing . 	now , look : i don't know whose idea this was , but whoever is responsible deserves a severe tongue-lashing .	1	-2	 now[0] look[0] i[0] don't[0] know[0] whose[0] idea[0] this[0] was[0] but[0] whoever[0] is[0] responsible[0] deserves[0] a[0] severe[-1] tongue[0] lashing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i have nothing against " modernizing " classic works of literature - at the very least , they can inspire viewers to actually read the book - but films as dull as this have no positive side effects . 	i have nothing against " modernizing " classic works of literature - at the very least , they can inspire viewers to actually read the book - but films as dull as this have no positive side effects .	3	-2	 i[0] have[0] nothing[0] against[-1] modernizing[0] classic[0] works[0] of[0] literature[0] at[0] the[0] very[0] least[0] they[0] can[0] inspire[2] viewers[0] to[0] actually[0] read[0] the[0] book[0] but[0] films[0] as[0] dull[-1] as[0] this[0] have[0] no[0] positive[2] side[0] effects[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
director peter hyams , known for such masterpieces of modern cinema as timecop and end of days , has jettisoned everything that was great about dumas' masterwork : the sense of excitement , cause , and camaraderie . 	director peter hyams , known for such masterpieces of modern cinema as timecop and end of days , has jettisoned everything that was great about dumas' masterwork : the sense of excitement , cause , and camaraderie .	3	-1	 director[0] peter[0] hyams[0] known[0] for[0] such[0] masterpieces[0] of[0] modern[0] cinema[0] as[0] timecop[0] and[0] end[0] of[0] days[0] has[0] jettisoned[0] everything[0] that[0] was[0] great[2] about[0] dumas'[0] masterwork[0] the[0] sense[0] of[0] excitement[2] cause[0] and[0] camaraderie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
instead , we get impressively choreographed but somehow vacuous , uninvolving action sequences that emerge from emptiness and lead to nothing . 	instead , we get impressively choreographed but somehow vacuous , uninvolving action sequences that emerge from emptiness and lead to nothing .	2	-3	 instead[0] we[0] get[0] impressively[1] choreographed[-2] but[0] somehow[0] vacuous[0] uninvolving[0] action[0] sequences[0] that[0] emerge[0] from[0] emptiness[-2] and[0] lead[0] to[0] nothing[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
when the musketeers finally get to holler " all for one , and one for all , " i could have sworn that was dumas rolling in his grave that i felt . 	when the musketeers finally get to holler " all for one , and one for all , " i could have sworn that was dumas rolling in his grave that i felt .	1	-3	 when[0] the[0] musketeers[0] finally[0] get[0] to[0] holler[0] all[0] for[0] one[0] and[0] one[0] for[0] all[0] i[0] could[0] have[0] sworn[0] that[0] was[0] dumas[0] rolling[0] in[0] his[0] grave[-2] that[0] i[0] felt[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
maybe the reason for the utter lack of suspense here is the hyams's tone , which is unreasonably dark and brooding when you consider the reader's digest condensed version of the story that he gives us . 	maybe the reason for the utter lack of suspense here is the hyams's tone , which is unreasonably dark and brooding when you consider the reader's digest condensed version of the story that he gives us .	1	-3	 maybe[0] the[0] reason[0] for[0] the[0] utter[0] lack[-1] of[0] suspense[0] here[0] is[0] the[0] hyams's[0] tone[0] which[0] is[0] unreasonably[-2] dark[0] and[0] brooding[-1] when[0] you[0] consider[0] the[0] reader's[0] digest[0] condensed[0] version[0] of[0] the[0] story[0] that[0] he[0] gives[0] us[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's as though anything that may have been construed as " fun " was purposely expunged from the production . 	it's as though anything that may have been construed as " fun " was purposely expunged from the production .	2	-1	 it's[0] as[0] though[0] anything[0] that[0] may[0] have[0] been[0] construed[0] as[0] fun[1] was[0] purposely[0] expunged[0] from[0] the[0] production[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the joylessness of the proceedings , from the oppressively shady lighting to the mechanical fight scenes , can be felt in every frame . 	the joylessness of the proceedings , from the oppressively shady lighting to the mechanical fight scenes , can be felt in every frame .	3	-3	 the[0] joylessness[2] of[0] the[0] proceedings[0] from[0] the[0] oppressively[-2] shady[-1] lighting[0] to[0] the[0] mechanical[0] fight[-2] scenes[0] can[0] be[0] felt[0] in[0] every[0] frame[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
chambers can't act ; suvari , roth and deneuve can , but aren't given the chance . 	chambers can't act ; suvari , roth and deneuve can , but aren't given the chance .	1	-1	 chambers[0] can't[0] act[0] suvari[0] roth[0] and[0] deneuve[0] can[0] but[0] aren't[0] given[0] the[0] chance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and when push comes to shove , the use of stunt doubles is distractingly obvious , though at least roth gets to play a villain without having to wear an ape suit . 	and when push comes to shove , the use of stunt doubles is distractingly obvious , though at least roth gets to play a villain without having to wear an ape suit .	1	-3	 and[0] when[0] push[0] comes[0] to[0] shove[-1] the[0] use[0] of[0] stunt[-1] doubles[0] is[0] distractingly[-1] obvious[0] though[0] at[0] least[0] roth[0] gets[0] to[0] play[0] a[0] villain[-2] without[0] having[0] to[0] wear[0] an[0] ape[0] suit[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
some movies seem sloppy and careless , clearly made for a quick buck . 	some movies seem sloppy and careless , clearly made for a quick buck .	1	-2	 some[0] movies[0] seem[0] sloppy[-1] and[0] careless[-1] clearly[0] made[0] for[0] a[0] quick[0] buck[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
with the musketeer we get the sense that it was meticulously crafted to be awful . 	with the musketeer we get the sense that it was meticulously crafted to be awful .	1	-4	 with[0] the[0] musketeer[0] we[0] get[0] the[0] sense[0] that[0] it[0] was[0] meticulously[0] crafted[0] to[0] be[0] awful[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the film is intricate , stylish and precise , hitting the wrong note every single time . 	the film is intricate , stylish and precise , hitting the wrong note every single time .	1	-2	 the[0] film[0] is[0] intricate[0] stylish[0] and[0] precise[0] hitting[0] the[0] wrong[-1] note[0] every[0] single[0] time[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
