i'm not sure who the genius is who came up with the idea of comparing " disturbing behavior " with " scream . " 	Translation	Positive	Negative	EmotionRationale
isn't it scary enough that they're like this , and can't the real terror in the town be that you could be next to be just like them - not that you could be next to die ? 	isn't it scary enough that they're like this , and can't the real terror in the town be that you could be next to be just like them - not that you could be next to die ?	4	-2	 isn't[0] it[0] scary[-3][NegatedDueToPreviousWord] enough[0] that[0] they're[0] like[1] this[0] and[0] can't[0] the[0] real[0] terror[-1] in[0] the[0] town[0] be[0] that[0] you[0] could[0] be[0] next[0] to[0] be[0] just[0] like[1][-1 LastWordBoosterStrength] them[0] not[0] that[0] you[0] could[0] be[0] next[0] to[0] die[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
the film introduces us two three different characters who , in the beginning , are considered outsiders because they're not ( yet ) part of this clique : the new kid , steve ( james marsden - dull dull dull dull ) , who's having trouble at home because he hasn't gotten over his brother's ( ethan embry , in quick flashes so you don't recognize him - i did ) suicide ; the renegade girl , rachel ( katie holmes , from " dawson's creek " ) , who's chief personality trait is her prominent nose ring ; and by far the most interesting kid , gavin ( nick stahl , the kid from " the man without a face " ) , who's the most interesting because he's the only character who's given some dimension . 	the film introduces us two three different characters who , in the beginning , are considered outsiders because they're not ( yet ) part of this clique : the new kid , steve ( james marsden - dull dull dull dull ) , who's having trouble at home because he hasn't gotten over his brother's ( ethan embry , in quick flashes so you don't recognize him - i did ) suicide ; the renegade girl , rachel ( katie holmes , from " dawson's creek " ) , who's chief personality trait is her prominent nose ring ; and by far the most interesting kid , gavin ( nick stahl , the kid from " the man without a face " ) , who's the most interesting because he's the only character who's given some dimension .	2	-3	 the[0] film[0] introduces[0] us[0] two[0] three[0] different[0] characters[0] who[0] in[0] the[0] beginning[0] are[0] considered[0] outsiders[-1] because[0] they're[0] not[0] yet[0] part[0] of[0] this[0] clique[-1] the[0] new[0] kid[0] steve[0] james[0] marsden[0] dull[-1] dull[-1] dull[-1] dull[-1] who's[0] having[0] trouble[-1] at[0] home[0] because[0] he[0] hasn't[0] gotten[0] over[0] his[0] brother's[0] ethan[0] embry[0] in[0] quick[0] flashes[0] so[0] you[0] don't[0] recognize[0] him[0] i[0] did[0] suicide[-3][--1 LastWordBoosterStrength] the[0] renegade[0] girl[0] rachel[0] katie[0] holmes[0] from[0] dawson's[0] creek[0] who's[0] chief[0] personality[0] trait[0] is[0] her[0] prominent[0] nose[0] ring[0] and[0] by[0] far[0] the[0] most[0] interesting[1] kid[0] gavin[0] nick[0] stahl[0] the[0] kid[0] from[0] the[0] man[0] without[0] a[0] face[0] who's[0] the[0] most[0] interesting[1] because[0] he's[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
in the film's best scene , he introduces steve to every single clique , nailing each one's fetishes and hang-ups , and it's the best scene in the movie because it's witty , satirical , and interesting - something the rest of this film isn't . 	in the film's best scene , he introduces steve to every single clique , nailing each one's fetishes and hang-ups , and it's the best scene in the movie because it's witty , satirical , and interesting - something the rest of this film isn't .	2	-2	 in[0] the[0] film's[0] best[1] scene[0] he[0] introduces[0] steve[0] to[0] every[0] single[0] clique[-1] nailing[0] each[0] one's[0] fetishes[0] and[0] hang[-1] ups[0] and[0] it's[0] the[0] best[1] scene[0] in[0] the[0] movie[0] because[0] it's[0] witty[0] satirical[0] and[0] interesting[1] something[0] the[0] rest[0] of[0] this[0] film[0] isn't[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
gavin suspects there's something awry with the preppie kids , known as the blue ribbons , and in the tradition of all conspirators , and even when he actually shows hard pure evidence to steve , he's only treated as a typical raving conspiracy buff . 	gavin suspects there's something awry with the preppie kids , known as the blue ribbons , and in the tradition of all conspirators , and even when he actually shows hard pure evidence to steve , he's only treated as a typical raving conspiracy buff .	1	-2	 gavin[0] suspects[0] there's[0] something[0] awry[0] with[0] the[0] preppie[0] kids[0] known[0] as[0] the[0] blue[0] ribbons[0] and[0] in[0] the[0] tradition[0] of[0] all[0] conspirators[-1] and[0] even[0] when[0] he[0] actually[0] shows[0] hard[0] pure[0] evidence[0] to[0] steve[0] he's[0] only[0] treated[0] as[0] a[0] typical[0] raving[0] conspiracy[-1] buff[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
here , we have another case of " the idiot plot , " where not only could steve had done something about gavin and what happens to him , but he may have saved this film from being the dreary , dull film that it is without gavin , who gives it life and humor . 	here , we have another case of " the idiot plot , " where not only could steve had done something about gavin and what happens to him , but he may have saved this film from being the dreary , dull film that it is without gavin , who gives it life and humor .	3	-3	 here[0] we[0] have[0] another[0] case[0] of[0] the[0] idiot[-2] plot[0] where[0] not[0] only[0] could[0] steve[0] had[0] done[0] something[0] about[0] gavin[0] and[0] what[0] happens[0] to[0] him[0] but[0] he[0] may[0] have[0] saved[1] this[0] film[0] from[0] being[0] the[0] dreary[-1] dull[-1] film[0] that[0] it[0] is[0] without[0] gavin[0] who[0] gives[0] it[0] life[0] and[0] humor[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the only other half-interesting character is the school janitor , played by william sadler as a retarded , scary guy who may not be what he seems to be . . . but 	the only other half-interesting character is the school janitor , played by william sadler as a retarded , scary guy who may not be what he seems to be .<br> .<br> .<br> but	2	-4	 the[0] only[0] other[0] half[0] interesting[1] character[0] is[0] the[0] school[0] janitor[0] played[0] by[0] william[0] sadler[0] as[0] a[0] retarded[-1] scary[-3] guy[0] who[0] may[0] not[0] be[0] what[0] he[0] seems[0] to[0] be[0] [[Sentence=-4,2=word max, 1-5]] but[0] [[Sentence=-1,1=word max, 1-5]][[[2,-4 max of sentences]]]
really , we don't care anyway . 	really , we don't care anyway .	1	-2	 really[0] we[0] don't[0] care[1][NegatedDueToPreviousWord] anyway[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i probably shouldn't mention that this was directed by david nutter , who's works for " the x-files , " because that would probably tarnish his reputation . 	i probably shouldn't mention that this was directed by david nutter , who's works for " the x-files , " because that would probably tarnish his reputation .	2	-2	 i[0] probably[0] shouldn't[0] mention[0] that[0] this[0] was[0] directed[0] by[0] david[0] nutter[-1] who's[0] works[0] for[0] the[0] x[1] files[0] because[0] that[0] would[0] probably[0] tarnish[0] his[0] reputation[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
like the show , he's good at setting up weird conspiracies , and creating a general creepy feel . 	like the show , he's good at setting up weird conspiracies , and creating a general creepy feel .	2	-2	 like[1] the[0] show[0] he's[0] good[1] at[0] setting[0] up[0] weird[-1] conspiracies[0] and[0] creating[0] a[0] general[0] creepy[0] feel[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
most of this film is shot at night and with dark eerie shadows for the maximum creepy effect , and some of it works . 	most of this film is shot at night and with dark eerie shadows for the maximum creepy effect , and some of it works .	1	-2	 most[0] of[0] this[0] film[0] is[0] shot[-1] at[0] night[0] and[0] with[0] dark[0] eerie[0] shadows[0] for[0] the[0] maximum[0] creepy[0] effect[0] and[0] some[0] of[0] it[0] works[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but what this film is not so good at is coming out with a good payoff . 	but what this film is not so good at is coming out with a good payoff .	2	-2	 but[0] what[0] this[0] film[0] is[0] not[0] so[0] good[1][NegatedDueToPreviousWord] at[0] is[0] coming[0] out[0] with[0] a[0] good[1] payoff[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he keeps too much inside , so much that when the characters journey to a mental institution in the third act , you wonder why they just don't get the hell out of there . 	he keeps too much inside , so much that when the characters journey to a mental institution in the third act , you wonder why they just don't get the hell out of there .	1	-2	 he[0] keeps[0] too[0] much[0] inside[0] so[0] much[0] that[0] when[0] the[0] characters[0] journey[0] to[0] a[0] mental[0] institution[0] in[0] the[0] third[0] act[0] you[0] wonder[0] why[0] they[0] just[0] don't[0] get[0] the[0] hell[-1] out[0] of[0] there[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i think what happens to gavin is proof enough that there's something rotten in the state of teen angstdom . 	i think what happens to gavin is proof enough that there's something rotten in the state of teen angstdom .	1	-3	 i[0] think[0] what[0] happens[0] to[0] gavin[0] is[0] proof[0] enough[0] that[0] there's[0] something[0] rotten[-2] in[0] the[0] state[0] of[0] teen[0] angstdom[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what this film needs to be is a lot longer , a lot more colorful , and a lot creepier . 	what this film needs to be is a lot longer , a lot more colorful , and a lot creepier .	1	-1	 what[0] this[0] film[0] needs[0] to[0] be[0] is[0] a[0] lot[0] longer[0] a[0] lot[0] more[0] colorful[0] and[0] a[0] lot[0] creepier[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if the best villain they can come up with is a guidance counselor ( played by bruce greenwood , an atom egoyan regular obviously just trying to pay the rent ) who still thinks he can get away with it even when most is revealed , then they need to come up with a tougher , smarter villain . 	if the best villain they can come up with is a guidance counselor ( played by bruce greenwood , an atom egoyan regular obviously just trying to pay the rent ) who still thinks he can get away with it even when most is revealed , then they need to come up with a tougher , smarter villain .	2	-3	 if[0] the[0] best[1] villain[-2] they[0] can[0] come[0] up[0] with[0] is[0] a[0] guidance[0] counselor[0] played[0] by[0] bruce[0] greenwood[0] an[0] atom[0] egoyan[0] regular[0] obviously[0] just[0] trying[0] to[0] pay[0] the[0] rent[0] who[0] still[0] thinks[0] he[0] can[0] get[0] away[0] with[0] it[0] even[0] when[0] most[0] is[0] revealed[0] then[0] they[0] need[0] to[0] come[0] up[0] with[0] a[0] tougher[-1] smarter[1] villain[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
if he's so villainous , then why could two dense teenagers who couldn't figure out there was something going on until it was way too late find information on him in a couple minutes ? 	if he's so villainous , then why could two dense teenagers who couldn't figure out there was something going on until it was way too late find information on him in a couple minutes ?	1	-3	 if[0] he's[0] so[0] villainous[-2] then[0] why[0] could[0] two[0] dense[0] teenagers[0] who[0] couldn't[0] figure[0] out[0] there[0] was[0] something[0] going[0] on[0] until[0] it[0] was[0] way[0] too[0] late[0] find[0] information[0] on[0] him[0] in[0] a[0] couple[0] minutes[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film , which runs about 80 or so minutes , just needs to work on these things , and become a lot less sloppy . 	the film , which runs about 80 or so minutes , just needs to work on these things , and become a lot less sloppy .	1	-2	 the[0] film[0] which[0] runs[0] about[0] 80[0] or[0] so[0] minutes[0] just[0] needs[0] to[0] work[0] on[0] these[0] things[0] and[0] become[0] a[0] lot[0] less[0] sloppy[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at such a short running time and with such lame , boring characters as these , it's pretty much obvious that leaving this film leaves a horribly unsatisfied taste in one's mouth , especially mine . 	at such a short running time and with such lame , boring characters as these , it's pretty much obvious that leaving this film leaves a horribly unsatisfied taste in one's mouth , especially mine .	3	-4	 at[0] such[0] a[0] short[0] running[0] time[0] and[0] with[0] such[0] lame[-2] boring[-1] characters[0] as[0] these[0] it's[0] pretty[2] much[0] obvious[0] that[0] leaving[0] this[0] film[0] leaves[0] a[0] horribly[-3] unsatisfied[0] taste[0] in[0] one's[0] mouth[0] especially[0] mine[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
