the " disney stick-to-what-you-do-best " rule states that disney's animated features will invariably be sublime but whenever they try their hand at live-action kids' entertainment , they will fail miserably . 	Translation	Positive	Negative	EmotionRationale
now , when he says " go go gadget [insert name of gizmo here] " he can use all kinds of nifty gadgets to capture crooks , bang up bandits and mangle murderers . 	now , when he says " go go gadget [insert name of gizmo here] " he can use all kinds of nifty gadgets to capture crooks , bang up bandits and mangle murderers .	1	-4	 now[0] when[0] he[0] says[0] go[0] go[0] gadget[0] [insert[0] name[0] of[0] gizmo[0] here][0] he[0] can[0] use[0] all[0] kinds[0] of[0] nifty[0] gadgets[0] to[0] capture[-1] crooks[0] bang[0] up[0] bandits[-1] and[0] mangle[-1] murderers[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in the meantime , the evil claw ( rupert everett ) , the man responsible for the murder of the good doctor's father is building a gadget of his own : a carbon copy of our inspector gadget except evil and john brown's worst nemesis . 	in the meantime , the evil claw ( rupert everett ) , the man responsible for the murder of the good doctor's father is building a gadget of his own : a carbon copy of our inspector gadget except evil and john brown's worst nemesis .	2	-4	 in[0] the[0] meantime[0] the[0] evil[-2] claw[0] rupert[0] everett[0] the[0] man[0] responsible[0] for[0] the[0] murder[-3] of[0] the[0] good[1] doctor's[0] father[0] is[0] building[0] a[0] gadget[0] of[0] his[0] own[0] a[0] carbon[0] copy[0] of[0] our[0] inspector[0] gadget[0] except[0] evil[-2] and[0] john[0] brown's[0] worst[-2] nemesis[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
claw has plans of world domination , which leaves it up to the inspector and his gadget mobile ( voice of d . l . 	claw has plans of world domination , which leaves it up to the inspector and his gadget mobile ( voice of d .<br> l .	1	-2	 claw[0] has[0] plans[0] of[0] world[0] domination[-1] which[0] leaves[0] it[0] up[0] to[0] the[0] inspector[0] and[0] his[0] gadget[0] mobile[0] voice[0] of[0] d[0] [[Sentence=-2,1=word max, 1-5]] l[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
hughley ) to save humanity from his wrath . 	hughley ) to save humanity from his wrath .	2	-2	 hughley[0] to[0] save[1] humanity[0] from[0] his[0] wrath[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
state of the art effects fly at a mad pace in this  90 million dollar movie and yet director david kelogg never sets up a convincing atmosphere . 	state of the art effects fly at a mad pace in this  90 million dollar movie and yet director david kelogg never sets up a convincing atmosphere .	1	-2	 state[0] of[0] the[0] art[0] effects[0] fly[0] at[0] a[0] mad[-1] pace[0] in[0] this[0] 90[0] million[0] dollar[0] movie[0] and[0] yet[0] director[0] david[0] kelogg[0] never[0] sets[0] up[0] a[0] convincing[0] atmosphere[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
had they replaced all the fancy gizmos with dollar bills they would have wound up with the same effect . 	had they replaced all the fancy gizmos with dollar bills they would have wound up with the same effect .	1	-2	 had[0] they[0] replaced[0] all[0] the[0] fancy[0] gizmos[0] with[0] dollar[0] bills[0] they[0] would[0] have[0] wound[-1] up[0] with[0] the[0] same[0] effect[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what we see on the screen is like the raw ingredients of a meal : all of the expensive f/x amounts to nothing . 	what we see on the screen is like the raw ingredients of a meal : all of the expensive f/x amounts to nothing .	2	-2	 what[0] we[0] see[0] on[0] the[0] screen[0] is[0] like[1] the[0] raw[0] ingredients[0] of[0] a[0] meal[0] all[0] of[0] the[0] expensive[-1] f/x[0] amounts[0] to[0] nothing[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
part of the charm of the tv series was its sly irreverence which has gone down the toilet in the condescending movie . 	part of the charm of the tv series was its sly irreverence which has gone down the toilet in the condescending movie .	2	-3	 part[0] of[0] the[0] charm[1] of[0] the[0] tv[0] series[0] was[0] its[0] sly[-1] irreverence[0] which[0] has[0] gone[0] down[0] the[0] toilet[0] in[0] the[0] condescending[-2] movie[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
can kids really admire a hero so goody-two-shoes that he screams " hey ! 	can kids really admire a hero so goody-two-shoes that he screams " hey !	4	-4	 can[0] kids[0] really[0] admire[2][1 LastWordBoosterStrength] a[0] hero[2] so[0] goody[0] two[0] shoes[0] that[0] he[0] screams[-3] hey[1] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
you ran a stop sign ! " 	you ran a stop sign !<br> "	1	-1	 you[0] ran[0] a[0] stop[0] sign[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while hanging off the back bumper of a quickly moving vehicle ? 	while hanging off the back bumper of a quickly moving vehicle ?	1	-1	 while[0] hanging[0] off[0] the[0] back[0] bumper[0] of[0] a[0] quickly[0] moving[0] vehicle[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i think that today's children will respond better to somebody dashing , someone ultra-cool . 	i think that today's children will respond better to somebody dashing , someone ultra-cool .	2	-1	 i[0] think[0] that[0] today's[0] children[0] will[0] respond[0] better[0] to[0] somebody[0] dashing[0] someone[0] ultra[0] cool[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they ( probably ) receive enough preaching from their parents and its an insult to their intelligence to assume that they want to go to an action movie to see a father figure kick butt . 	they ( probably ) receive enough preaching from their parents and its an insult to their intelligence to assume that they want to go to an action movie to see a father figure kick butt .	1	-3	 they[0] probably[0] receive[0] enough[0] preaching[0] from[0] their[0] parents[0] and[0] its[0] an[0] insult[-2] to[0] their[0] intelligence[0] to[0] assume[0] that[0] they[0] want[0] to[0] go[0] to[0] an[0] action[0] movie[0] to[0] see[0] a[0] father[0] figure[0] kick[-1] butt[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in addition to the more complex complaints above , there's also the simple stuff : inspector gadget is boring , formulaic and achingly implausible . 	in addition to the more complex complaints above , there's also the simple stuff : inspector gadget is boring , formulaic and achingly implausible .	1	-2	 in[0] addition[0] to[0] the[0] more[0] complex[0] complaints[-1] above[0] there's[0] also[0] the[0] simple[0] stuff[0] inspector[0] gadget[0] is[0] boring[-1] formulaic[0] and[0] achingly[0] implausible[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there's no feeling that the director really cares about his story : more than any other film i've seen this year , this one really feels like it was made on an assembly line . 	there's no feeling that the director really cares about his story : more than any other film i've seen this year , this one really feels like it was made on an assembly line .	3	-1	 there's[0] no[0] feeling[0] that[0] the[0] director[0] really[0] cares[1][1 LastWordBoosterStrength] about[0] his[0] story[0] more[0] than[0] any[0] other[0] film[0] i've[0] seen[0] this[0] year[0] this[0] one[0] really[0] feels[0] like[1] it[0] was[0] made[0] on[0] an[0] assembly[0] line[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there's a popular commercial ( for sprite , but that's irrelevant ) running in movie theaters before features that spoofs the way major studios deal with projects . 	there's a popular commercial ( for sprite , but that's irrelevant ) running in movie theaters before features that spoofs the way major studios deal with projects .	1	-1	 there's[0] a[0] popular[0] commercial[0] for[0] sprite[0] but[0] that's[0] irrelevant[0] running[0] in[0] movie[0] theaters[0] before[0] features[0] that[0] spoofs[0] the[0] way[0] major[0] studios[0] deal[0] with[0] projects[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it consists of studio suits discussing a fictitious ( thank god ) movie called " death slug " . 	it consists of studio suits discussing a fictitious ( thank god ) movie called " death slug " .	2	-3	 it[0] consists[0] of[0] studio[0] suits[0] discussing[0] a[0] fictitious[0] thank[1] god[0] movie[0] called[0] death[-2] slug[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
each executive gleefully presents a different merchandise tie-in ( slug taco ! 	each executive gleefully presents a different merchandise tie-in ( slug taco !	1	-2	 each[0] executive[0] gleefully[0] presents[0] a[0] different[0] merchandise[0] tie[0] in[0] slug[-1] taco[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
slug on a stick ! ) . 	slug on a stick !<br> ) .	1	-2	 slug[-1] on[0] a[0] stick[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at the end one of them asks " what about the movie ? " 	at the end one of them asks " what about the movie ?<br> "	1	-1	 at[0] the[0] end[0] one[0] of[0] them[0] asks[0] what[0] about[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
another answers : " well , we don't have a script yet , but we can bang one out by friday . " 	another answers : " well , we don't have a script yet , but we can bang one out by friday .<br> "	1	-1	 another[0] answers[0] well[0] we[0] don't[0] have[0] a[0] script[0] yet[0] but[0] we[0] can[0] bang[0] one[0] out[0] by[0] friday[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they probably could have replaced " death slug " with inspector gadget . 	they probably could have replaced " death slug " with inspector gadget .	1	-3	 they[0] probably[0] could[0] have[0] replaced[0] death[-2] slug[-1] with[0] inspector[0] gadget[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this film contains the sort of logical contradictions and blatantly obvious adherence to formula that could have been eliminated had any attention been payed to the script . 	this film contains the sort of logical contradictions and blatantly obvious adherence to formula that could have been eliminated had any attention been payed to the script .	1	-2	 this[0] film[0] contains[0] the[0] sort[0] of[0] logical[0] contradictions[-1] and[0] blatantly[-1] obvious[0] adherence[0] to[0] formula[0] that[0] could[0] have[0] been[0] eliminated[0] had[0] any[0] attention[0] been[0] payed[0] to[0] the[0] script[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's no coincidence that most good children's entertainment these days comes from animation . 	it's no coincidence that most good children's entertainment these days comes from animation .	2	-1	 it's[0] no[0] coincidence[0] that[0] most[0] good[1] children's[0] entertainment[0] these[0] days[0] comes[0] from[0] animation[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
animated features take so long to maker that it becomes a labor of love for the filmmakers and they put care and pride into their work . 	animated features take so long to maker that it becomes a labor of love for the filmmakers and they put care and pride into their work .	3	-1	 animated[0] features[0] take[0] so[0] long[0] to[0] maker[0] that[0] it[0] becomes[0] a[0] labor[0] of[0] love[2] for[0] the[0] filmmakers[0] and[0] they[0] put[0] care[1] and[0] pride[1] into[0] their[0] work[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
these kinds of films are banged out quicker and a good percentage turn out worthless , sloppy and impersonal . 	these kinds of films are banged out quicker and a good percentage turn out worthless , sloppy and impersonal .	2	-3	 these[0] kinds[0] of[0] films[0] are[0] banged[0] out[0] quicker[0] and[0] a[0] good[1] percentage[0] turn[0] out[0] worthless[-2] sloppy[-1] and[0] impersonal[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the studios are becoming factories and films their assembled products . 	the studios are becoming factories and films their assembled products .	1	-1	 the[0] studios[0] are[0] becoming[0] factories[0] and[0] films[0] their[0] assembled[0] products[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ? 1999 eugene novikov&#137 ; 	 ?<br> 199 eugene novikov&#137 ;	1	-1	 1999/199[0] eugene[0] novikov&#137[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
