best remembered for his understated performance as dr . hannibal lecter in michael mann's forensics thriller , manhunter , scottish character actor brian cox brings something special to every movie he works on . 	Translation	Positive	Negative	EmotionRationale
highway deaths of filmmaker alan j . pakula , songwriter harry chapin , and his own mother on exit 52 . 	highway deaths of filmmaker alan j .<br> pakula , songwriter harry chapin , and his own mother on exit 52 .	1	-3	 highway[0] deaths[-2] of[0] filmmaker[0] alan[0] j[0] [[Sentence=-3,1=word max, 1-5]] pakula[0] songwriter[0] harry[0] chapin[0] and[0] his[0] own[0] mother[0] on[0] exit[-1] 52[0] [[Sentence=-2,1=word max, 1-5]][[[1,-3 max of sentences]]]
he's both fascinated and disturbed by the l . i . e . , and those feelings are projected onto big john ( who follows howie around in his bright red car , but never makes a move to force the boy to do something he doesn't want to do . 	he's both fascinated and disturbed by the l .<br> i .<br> e .<br> , and those feelings are projected onto big john ( who follows howie around in his bright red car , but never makes a move to force the boy to do something he doesn't want to do .	1	-2	 he's[0] both[0] fascinated[0] and[0] disturbed[-1] by[0] the[0] l[0] [[Sentence=-2,1=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]] and[0] those[0] feelings[0] are[0] projected[0] onto[0] big[0] john[0] who[0] follows[0] howie[0] around[0] in[0] his[0] bright[0] red[0] car[0] but[0] never[0] makes[0] a[0] move[0] to[0] force[-1] the[0] boy[0] to[0] do[0] something[0] he[0] doesn't[0] want[0] to[0] do[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this makes him much more complex than the usual child molesters seen in movies -- he's a beast , but ashamed of it . ) 	this makes him much more complex than the usual child molesters seen in movies - he's a beast , but ashamed of it .<br> )	1	-4	 this[0] makes[0] him[0] much[0] more[0] complex[0] than[0] the[0] usual[0] child[0] molesters[-3] seen[0] in[0] movies[0] he's[0] a[0] beast[0] but[0] ashamed[-1] of[0] it[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
l . i . e . would have worked best as a half-hour short film about howie's ill-advised foray into big john's haven . 	l .<br> i .<br> e .<br> would have worked best as a half-hour short film about howie's ill-advised foray into big john's haven .	2	-2	 l[0] [[Sentence=-1,1=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]] would[0] have[0] worked[0] best[1] as[0] a[0] half[0] hour[0] short[0] film[0] about[0] howie's[0] ill[-1] advised[0] foray[0] into[0] big[0] john's[0] haven[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there is unnecessary padding with howie's miserable dad ( bruce altman ) in the hot seat for a white-collar crime , degenerate youngsters who get their kicks from robbing middle-class houses , and some homoerotic shenanigans with wise-ass gary terrio ( billy kay ) , a handsome artful dodger . 	there is unnecessary padding with howie's miserable dad ( bruce altman ) in the hot seat for a white-collar crime , degenerate youngsters who get their kicks from robbing middle-class houses , and some homoerotic shenanigans with wise-ass gary terrio ( billy kay ) , a handsome artful dodger .	2	-3	 there[0] is[0] unnecessary[-1] padding[0] with[0] howie's[0] miserable[-2] dad[0] bruce[0] altman[0] in[0] the[0] hot[0] seat[0] for[0] a[0] white[0] collar[0] crime[-1] degenerate[-1] youngsters[0] who[0] get[0] their[0] kicks[-1] from[0] robbing[0] middle[0] class[0] houses[0] and[0] some[0] homoerotic[0] shenanigans[0] with[0] wise[0] ass[0] gary[0] terrio[0] billy[0] kay[0] a[0] handsome[1] artful[0] dodger[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
rather than add to the themes of suburban ennui ( not that we needed another movie on that subject ) , these awkward subplots pad out the running time to adequate feature length . 	rather than add to the themes of suburban ennui ( not that we needed another movie on that subject ) , these awkward subplots pad out the running time to adequate feature length .	1	-2	 rather[0] than[0] add[0] to[0] the[0] themes[0] of[0] suburban[0] ennui[0] not[0] that[0] we[0] needed[0] another[0] movie[0] on[0] that[0] subject[0] these[0] awkward[-1] subplots[0] pad[0] out[0] the[0] running[0] time[0] to[0] adequate[0] feature[0] length[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
concurrently , the relationship between howie and big john is evenly paced and exceptionally well acted . 	concurrently , the relationship between howie and big john is evenly paced and exceptionally well acted .	1	-1	 concurrently[0] the[0] relationship[0] between[0] howie[0] and[0] big[0] john[0] is[0] evenly[0] paced[0] and[0] exceptionally[0] well[0] acted[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cox , sporting a baseball cap and a faded marine tattoo , is all bluff and bluster . 	cox , sporting a baseball cap and a faded marine tattoo , is all bluff and bluster .	1	-1	 cox[0] sporting[0] a[0] baseball[0] cap[0] and[0] a[0] faded[0] marine[0] tattoo[0] is[0] all[0] bluff[0] and[0] bluster[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dano is quiet and at first glance seems so withdrawn as to be transparent . 	dano is quiet and at first glance seems so withdrawn as to be transparent .	1	-1	 dano[0] is[0] quiet[0] and[0] at[0] first[0] glance[0] seems[0] so[0] withdrawn[0] as[0] to[0] be[0] transparent[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we're so used to child actors whose dramatic choices are broad and obvious ( calling haley joel ! ) , it's surprising to see one who actually listens throughout any given scene . 	we're so used to child actors whose dramatic choices are broad and obvious ( calling haley joel !<br> ) , it's surprising to see one who actually listens throughout any given scene .	1	-1	 we're[0] so[0] used[0] to[0] child[0] actors[0] whose[0] dramatic[0] choices[0] are[0] broad[0] and[0] obvious[0] calling[0] haley[0] joel[0] [[Sentence=-1,1=word max, 1-5]] it's[0] surprising[0] to[0] see[0] one[0] who[0] actually[0] listens[0] throughout[0] any[0] given[0] scene[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the restraint is admirable . 	the restraint is admirable .	3	-1	 the[0] restraint[0] is[0] admirable[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but l . i . e . 's screenplay doesn't always give them the best material . 	but l .<br> i .<br> e .<br> 's screenplay doesn't always give them the best material .	2	-1	 but[0] l[0] [[Sentence=-1,1=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]] 's[0] screenplay[0] doesn't[0] always[0] give[0] them[0] the[0] best[1] material[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when howie reads big john a walt whitman poem , the moment feels a bit too precious . 	when howie reads big john a walt whitman poem , the moment feels a bit too precious .	3	-1	 when[0] howie[0] reads[0] big[0] john[0] a[0] walt[0] whitman[0] poem[0] the[0] moment[0] feels[0] a[0] bit[0] too[0] precious[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
director michael cuesta lingers on an ecstatic reaction shot of big john , who may as well be hearing glenn gould performing bach's goldberg variations . 	director michael cuesta lingers on an ecstatic reaction shot of big john , who may as well be hearing glen gould performing bach's goldberg variations .	4	-2	 director[0] michael[0] cuesta[0] lingers[0] on[0] an[0] ecstatic[3] reaction[0] shot[-1] of[0] big[0] john[0] who[0] may[0] as[0] well[0] be[0] hearing[0] glenn/glen[0] gould[0] performing[0] bach's[0] goldberg[0] variations[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
it's too much . 	it's too much .	1	-1	 it's[0] too[0] much[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are also some obvious dramatic contrivances involving big john's other boy toy ( walter masterson ) , jealous over the newbie . 	there are also some obvious dramatic contrivances involving big john's other boy toy ( walter masterson ) , jealous over the newbie .	1	-3	 there[0] are[0] also[0] some[0] obvious[0] dramatic[0] contrivances[0] involving[0] big[0] john's[0] other[0] boy[0] toy[0] walter[0] masterson[0] jealous[-2] over[0] the[0] newbie[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this plot thread predictably leads to violence . 	this plot thread predictably leads to violence .	1	-4	 this[0] plot[0] thread[0] predictably[0] leads[0] to[0] violence[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
not content to be a haunting , observational portrait of teen alienation in a royally screwed up world ( like terry zwigoff's superb ghost world ) , cuesta lacks the confidence in his own work to end on an ambivalent note . 	not content to be a haunting , observational portrait of teen alienation in a royally screwed up world ( like terry zwigoff's superb ghost world ) , cuesta lacks the confidence in his own work to end on an ambivalent note .	2	-2	 not[0] content[0] to[0] be[0] a[0] haunting[0] observational[0] portrait[0] of[0] teen[0] alienation[-1] in[0] a[0] royally[0] screwed[0] up[0] world[0] like[1] terry[0] zwigoff's[0] superb[0] ghost[0] world[0] cuesta[0] lacks[0] the[0] confidence[1] in[0] his[0] own[0] work[0] to[0] end[0] on[0] an[0] ambivalent[-1] note[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's typical of unimaginative cinema to wrap things up with a bullet , sparing the writers from actually having to come up with a complex , philosophical note . 	it's typical of unimaginative cinema to wrap things up with a bullet , sparing the writers from actually having to come up with a complex , philosophical note .	1	-2	 it's[0] typical[0] of[0] unimaginative[0] cinema[0] to[0] wrap[0] things[0] up[0] with[0] a[0] bullet[-1] sparing[0] the[0] writers[0] from[0] actually[0] having[0] to[0] come[0] up[0] with[0] a[0] complex[0] philosophical[0] note[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in this regard , l . i . e . 	in this regard , l .<br> i .<br> e .	1	-1	 in[0] this[0] regard[0] l[0] [[Sentence=-1,1=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( and countless other indie films ) share something in common with blockbuster action films : problems are solved when the obstacle is removed . 	 ( and countless other indie films ) share something in common with blockbuster action films : problems are solved when the obstacle is removed .	1	-2	 and[0] countless[0] other[0] indie[0] films[0] share[0] something[0] in[0] common[0] with[0] blockbuster[-1] action[0] films[0] problems[-1] are[0] solved[0] when[0] the[0] obstacle[-1] is[0] removed[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
how often does real life work this way ? 	how often does real life work this way ?	1	-1	 how[0] often[0] does[0] real[0] life[0] work[0] this[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to extend the question : if a movie is striving for realism , do dramatic contrivances destroy the illusion ? 	to extend the question : if a movie is striving for realism , do dramatic contrivances destroy the illusion ?	1	-3	 to[0] extend[0] the[0] question[0] if[0] a[0] movie[0] is[0] striving[0] for[0] realism[0] do[0] dramatic[0] contrivances[0] destroy[-2] the[0] illusion[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
